Name	Rating	Year	Fed	Rank
R. Fischer	2780	1975	USA	1	
An. Karpov	2705	1975	USR	2	
V. Kortchnoi	2665	1975	SUI	3	
T. Petrosian	2645	1975	USR	4	
L. Polugaevsky	2645	1975	USR	5	
Tal	2645	1975	USR	6	
L. Portisch	2635	1975	HUN	7	
B. Larsen	2625	1975	DEN	8	
B. Spassky	2625	1975	USR	9	
R. Huebner	2615	1975	FRG	10	
Lj. Ljubojevic	2615	1975	YUG	11	
H. Mecking	2610	1975	BRA	12	
V. Smyslov	2605	1975	USR	13	
R. Byrne	2600	1975	USA	14	
E.P. Geller	2600	1975	USR	15	
V. Hort	2600	1975	CSR	16	
G.P. Kuzmin	2600	1975	USR	17	
J. Smejkal	2600	1975	CSR	18	
D. Bronstein	2590	1975	USR	19	
M. Taimanov	2580	1975	USR	20	
S. Gligoric	2575	1975	YUG	21	
Savon	2575	1975	USR	22	
N. Krogius	2570	1975	USR	23	
V. Tukmakov	2570	1975	USR	24	
U. Andersson	2565	1975	SWE	25	
P. Keres	2565	1975	USR	26	
S. Furman	2560	1975	USR	27	
E. Vasiukov	2560	1975	USR	28	
V. Cseshkovsky	2555	1975	USR	29	
L. Kavalek	2555	1975	USA	30	
W.S. Browne	2550	1975	USA	31	
B. Ivkov	2550	1975	YUG	32	
A.S. Lutikov	2545	1975	USR	33	
O. Panno	2545	1975	ARG	34	
L. Szabo	2545	1975	HUN	35	
Y. Balashov	2540	1975	USR	36	
F. Gheorghiu	2540	1975	ROM	37	
V. Jansa	2540	1975	CSR	38	
R. Kholmov	2540	1975	USR	39	
H. Pfleger	2540	1975	FRG	40	
L. Schmid	2540	1975	FRG	41	
E. Gufeld	2535	1975	USR	42	
A. Lein	2535	1975	USR	43	
F. Olafsson	2535	1975	ISL	44	
A. Planinc	2535	1975	YUG	45	
W. Uhlmann	2535	1975	DDR	46	
W. Unzicker	2535	1975	FRG	47	
I. Boleslavsky	2530	1975	USR	48	
I. Csom	2530	1975	HUN	49	
L.M. Evans	2530	1975	USA	50	
A. Gipslis	2530	1975	USR	51	
M. Matulovic	2530	1975	YUG	52	
S. Reshevsky	2530	1975	USA	53	
R. Sanguinetti	2530	1975	ARG	54	
R. Vaganian	2530	1975	USR	55	
R. Dzindzichashvili	2525	1975	USR	56	
B. Kurajica	2525	1975	YUG	57	
D. Velimirovic	2525	1975	YUG	58	
K.A. Grigorian	2520	1975	USR	59	
W. Lombardy	2520	1975	USA	60	
B. Malich	2520	1975	DDR	61	
Z. Ribli	2520	1975	HUN	62	
A.S. Suetin	2520	1975	USR	63	
A. Adorjan	2515	1975	HUN	64	
Y.L. Averbakh	2515	1975	USR	65	
P. Benko	2515	1975	USA	66	
J. Diez Del Corral	2515	1975	ESP	67	
N. Rashkovsky	2515	1975	USR	68	
Razuvaev	2515	1975	USR	69	
E. Torre	2515	1975	PHI	70	
R. Knaak	2510	1975	DDR	71	
Najdorf	2510	1975	ARG	72	
L. Pachman	2510	1975	FRG	73	
Parma B.	2510	1975	YUG	74	
I. Radulov	2510	1975	BUL	75	
Gy. Sax	2510	1975	HUN	76	
