Name	Rating	Year	Fed	Rank
Gary Kasparov	2800	1991	RUS	1	
Robert J Fischer	2780	1991	USA	2	
Anatoly Karpov	2725	1991	RUS	3	
Boris Gelfand	2700	1991	BLR	4	
Vassily Ivanchuk	2695	1991	UKR	5	
Evgeny Bareev	2650	1991	RUS	6	
Jaan Ehlvest	2650	1991	EST	7	
Mikhail Gurevich	2650	1991	BEL	8	
Valery Salov	2645	1991	RUS	9	
Leonid Yudasin	2645	1991	ISR	10	
Ulf Andersson	2640	1991	SWE	11	
Alexander..G Beliavsky	2640	1991	SLO	12	
Gata Kamsky	2640	1991	USA	13	
Alexander Khalifman	2640	1991	RUS	14	
Viswanathan Anand	2635	1991	IND	15	
Nigel.D Short	2635	1991	ENG	16	
Jan..H Timman	2630	1991	NED	17	
Alexey Dreev	2625	1991	RUS	18	
Sergey Dolmatov	2620	1991	RUS	19	
Vladimir Epishin	2620	1991	RUS	20	
Robert.Dr Huebner	2620	1991	GER	21	
Predrag Nikolic	2620	1991	BIH	22	
Viktor Korchnoi	2615	1991	SUI	23	
Henrique Mecking	2615	1991	BRA	24	
Aleksej Shirov	2615	1991	UKR	25	
Alexander Chernin	2610	1991	HUN	26	
Lev Polugaevsky	2610	1991	RUS	27	
Oleg..M Romanishin	2610	1991	UKR	28	
Jonathan.S Speelman	2610	1991	ENG	29	
Artur Jussupow	2605	1991	GER	30	
Gyula Sax	2605	1991	HUN	31	
Alexey Vyzmanavin	2605	1991	RUS	32	
Michael Adams	2600	1991	ENG	33	
John.D.M Nunn	2600	1991	ENG	34	
Helgi Olafsson	2595	1991	ISL	35	
Zoltan Ribli	2595	1991	HUN	36	
Yasser Seirawan	2595	1991	USA	37	
Simen Agdestein	2590	1991	NOR	38	
Larry..M Christiansen	2590	1991	USA	39	
Lubomir Ftacnik	2590	1991	SVK	40	
Ljubomir Ljubojevic	2590	1991	YUG	41	
Lajos Portisch	2590	1991	HUN	42	
Zurab Azmaiparashvili	2585	1991	GEO	43	
Kiril Georgiev	2585	1991	BUL	44	
Anthony.J Miles	2585	1991	ENG	45	
Yuri..S Razuvaev	2585	1991	RUS	46	
Rafael..A Vaganian	2585	1991	ARM	47	
Yuri..S Balashov	2580	1991	RUS	48	
Viktor N Gavrikov	2580	1991	UKR	49	
Zdenko Kozul	2580	1991	CRO	50	
Murray.G Chandler	2575	1991	ENG	51	
Nick..E DeFirmian	2575	1991	USA	52	
Josif..D Dorfman	2575	1991	FRA	53	
Vereslav..S Eingorn	2575	1991	UKR	54	
Boris..F Gulko	2575	1991	USA	55	
Evgeny Vladimirov	2575	1991	KAZ	56	
Rustem Dautov	2570	1991	GER	57	
Maxim Dlugy	2570	1991	USA	58	
Mikhail Krasenkov	2570	1991	RUS	59	
Eduard Rosentalis	2570	1991	UKR	60	
Vadim Ruban	2570	1991	RUS	61	
Ivan Sokolov	2570	1991	BIH	62	
Alexander Goldin	2565	1991	RUS	63	
Curt Hansen	2565	1991	DEN	64	
Smbat..G Lputian	2565	1991	ARM	65	
Jozsef Pinter	2565	1991	HUN	66	
Mikhail N Tal	2565	1991	UKR	67	
Alex Yermolinsky	2565	1991	USA	68	
Branko Damljanovic	2560	1991	YUG	69	
Semen.I Dvoirys	2560	1991	RUS	70	
Bent Larsen	2560	1991	DEN	71	
Lembit Oll	2560	1991	EST	72	
Ilia Smirin	2560	1991	ISR	73	
Boris.V Spassky	2560	1991	FRA	74	
Matthias Wahls	2560	1991	GER	75	
Vladimir Akopian	2555	1991	ARM	76	
Lev..O Alburt	2555	1991	USA	77	
Joel Benjamin	2555	1991	USA	78	
Roman Dzindzichashvili	2555	1991	USA	79	
John..P Fedorowicz	2555	1991	USA	80	
Anatoly D Machulsky	2555	1991	RUS	81	
Lev Psakhis	2555	1991	ISR	82	
Aleksandr Shneider	2555	1991	UKR	83	
Julio..E Granda.Zuniga	2550	1991	PER	84	
Ferdinand Hellers	2550	1991	SWE	85	
Gregory..S Kaidanov	2550	1991	USA	86	
Lubomir Kavalek	2550	1991	USA	87	
Vlatko Kovacevic	2550	1991	CRO	88	
Joel Lautier	2550	1991	FRA	89	
Sergey Makarichev	2550	1991	RUS	90	
Jeroen Piket	2550	1991	NED	91	
Michael..A Rohde	2550	1991	USA	92	
Sergey Smagin	2550	1991	RUS	93	
Andrei Sokolov	2550	1991	RUS	94	
Vasil Spasov	2550	1991	BUL	95	
Igor Stohl	2550	1991	SVK	96	
Julian.M Hodgson	2545	1991	ENG	97	
Miguel Illescas.Cordoba	2545	1991	ESP	98	
Edwin Kengis	2545	1991	UKR	99	
Daniel.J King	2545	1991	ENG	100	
Konstantin..Z Lerner	2545	1991	UKR	101	
Eric Lobron	2545	1991	GER	102	
Igor..A Novikov	2545	1991	UKR	103	
Ian Rogers	2545	1991	AUS	104	
Rongguang Ye	2545	1991	CHN	105	
Jon..L Arnason	2540	1991	ISL	106	
Miso Cebalo	2540	1991	CRO	107	
Stefan Djuric	2540	1991	YUG	108	
Yury Dokhoian	2540	1991	RUS	109	
Igor.V Glek	2540	1991	RUS	110	
Vlastimil Hort	2540	1991	GER	111	
Jozsef Horvath	2540	1991	HUN	112	
Jesus Nogueiras	2540	1991	CUB	113	
Judit.(GM) Polgar	2540	1991	HUN	114	
Mihai Suba	2540	1991	ROM	115	
Anatoli Vaisser	2540	1991	FRA	116	
Michael Wilder	2540	1991	USA	117	
Aleksander Wojtkiewicz	2540	1991	POL	118	
Uwe Boensch	2535	1991	GER	119	
Ognjen Cvitan	2535	1991	CRO	120	
Goran Dizdar	2535	1991	CRO	121	
Alexander Fominyh	2535	1991	RUS	122	
Gerald Hertneck	2535	1991	GER	123	
Johann Hjartarson	2535	1991	ISL	124	
Bozidar Ivanovic	2535	1991	YUG	125	
Nikolai..V Krogius	2535	1991	RUS	126	
Gennadi..P Kuzmin	2535	1991	UKR	127	
Mihail Marin	2535	1991	ROM	128	
Ivan Morovic.Fernandez	2535	1991	CHI	129	
Evgeny Pigusov	2535	1991	RUS	130	
Nukhim..N Rashkovsky	2535	1991	RUS	131	
Jan Smejkal	2535	1991	CZE	132	
Vassily Smyslov	2535	1991	RUS	133	
Eugenio Torre	2535	1991	PHI	134	
Elizbar Ubilava	2535	1991	GEO	135	
Walter Arencibia	2530	1991	CUB	136	
Valery..A Loginov	2530	1991	RUS	137	
Adrian Mikhalchishin	2530	1991	SLO	138	
Gilberto Milos	2530	1991	BRA	139	
Amador Rodriguez	2530	1991	CUB	140	
Lothar Schmid	2530	1991	GER	141	
Marcel Sisniega	2530	1991	MEX	142	
John.T.H Van.Der.Wiel	2530	1991	NED	143	
Jun Xu	2530	1991	CHN	144	
Yuri Yakovich	2530	1991	RUS	145	
Alonso Zapata	2530	1991	COL	146	
Andras Adorjan	2525	1991	HUN	147	
Efim..P Geller	2525	1991	RUS	148	
Tamaz Giorgadze	2525	1991	GEO	149	
Lars.Bo Hansen	2525	1991	DEN	150	
Gilberto Hernandez	2525	1991	MEX	151	
Alexander Ivanov	2525	1991	USA	152	
Elmar Magerramov	2525	1991	AZE	153	
Viktor Moskalenko	2525	1991	UKR	154	
James E Tarjan	2525	1991	USA	155	
Leonid Yurtaev	2525	1991	KGZ	156	
Bosko Abramovic	2520	1991	YUG	157	
Joris Brenninkmeijer	2520	1991	NED	158	
Walter.S Browne	2520	1991	USA	159	
Dimitar.I Donchev	2520	1991	BUL	160	
Victor..J Frias	2520	1991	CHI	161	
Joseph.G Gallagher	2520	1991	SUI	162	
Alon Greenfeld	2520	1991	ISR	163	
Krunoslav Hulak	2520	1991	CRO	164	
Sergey Kishnev	2520	1991	RUS	165	
Vasilios Kotronias	2520	1991	GRE	166	
Andrej Kovalev	2520	1991	RUS	167	
Bojan Kurajica	2520	1991	BIH	168	
Alexey Kuzmin	2520	1991	RUS	169	
Bogdan Lalic	2520	1991	CRO	170	
A..Jonathan Mestel	2520	1991	ENG	171	
Ruslan Sherbakov	2520	1991	RUS	172	
Gennadi Sosonko	2520	1991	NED	173	
Sergei Tiviakov	2520	1991	RUS	174	
Vladimir..B Tukmakov	2520	1991	UKR	175	
Dragoljub Velimirovic	2520	1991	YUG	176	
Patrick..G Wolff	2520	1991	USA	177	
Konstantin..N Aseev	2515	1991	RUS	178	
Dibyendu Barua	2515	1991	IND	179	
Daniel.H Campora	2515	1991	ARG	180	
Valery..A Chekhov	2515	1991	RUS	181	
Sergey Ionov	2515	1991	RUS	182	
Stefan Kindermann	2515	1991	GER	183	
Rainer Knaak	2515	1991	GER	184	
Anthony.C Kosten	2515	1991	ENG	185	
Margeir Petursson	2515	1991	ISL	186	
Jiangchuan Ye	2515	1991	CHN	187	
Raset Ziatdinov	2515	1991	UZB	188	
Viktor Bologan	2510	1991	MDA	189	
Roberto Cifuentes.Parada	2510	1991	NED	190	
Evgenij Ermenkov	2510	1991	BUL	191	
Sergey Kudrin	2510	1991	USA	192	
Zigurd F Lanka	2510	1991	UKR	193	
Karel Mokry	2510	1991	CZE	194	
Zsuzsa.(GM) Polgar	2510	1991	HUN	195	
Petar Popovic	2510	1991	YUG	196	
Gad Rechlis	2510	1991	ISR	197	
Evgeny Sveshnikov	2510	1991	RUS	198	
Wolfgang Uhlmann	2510	1991	GER	199	
Alexander Vaulin	2510	1991	RUS	200	
Lothar Vogt	2510	1991	GER	201	
Dragan Barlov	2505	1991	YUG	202	
Emir Dizdarevic	2505	1991	BIH	203	
Yehuda Gruenfeld	2505	1991	ISR	204	
Vidmantas Malishauskas	2505	1991	UKR	205	
Igor Naumkin	2505	1991	RUS	206	
Valeriy Neverov	2505	1991	UKR	207	
Arshak..B Petrosian	2505	1991	ARM	208	
Miguel.A Quinteros	2505	1991	ARG	209	
Kenneth S Rogoff	2505	1991	USA	210	
Alexander Shabalov	2505	1991	USA	211	
Hedinn Steingrimsson	2505	1991	ISL	212	
Zurab Sturua	2505	1991	GEO	213	
William.N Watson	2505	1991	ENG	214	
Luc Winants	2505	1991	BEL	215	
Jouni Yrjola	2505	1991	FIN	216	
Sergey Arkhipov	2500	1991	RUS	217	
Leonid Bass	2500	1991	USA	218	
Nigel..R Davies	2500	1991	ENG	219	
Milan Drasko	2500	1991	YUG	220	
Thomas Ernst	2500	1991	SWE	221	
Alexander Kochyev	2500	1991	RUS	222	
