Name	Rating	Year	Rank	Fed
Gary Kasparov	2812	1999	RUS	1	
Viswanathan Anand	2784	1999	IND	2	
Robert J Fischer	2780	1999	USA	3	
Vladimir Kramnik	2751	1999	RUS	4	
Alexei Shirov	2726	1999	ESP	5	
Alexander Morozevich	2723	1999	RUS	6	
Gata Kamsky	2720	1999	USA	7	
Michael Adams	2716	1999	ENG	8	
Vassily Ivanchuk	2714	1999	UKR	9	
Peter Svidler	2713	1999	RUS	10	
Anatoly Karpov	2710	1999	RUS	11	
Veselin Topalov	2700	1999	BUL	12	
Nigel D. Short	2697	1999	ENG	13	
Peter Leko	2694	1999	HUN	14	
Boris Gelfand	2691	1999	BLR	15	
Sergei Rublevsky	2684	1999	RUS	16	
Evgeny Bareev	2679	1999	RUS	17	
Judit (GM) Polgar	2677	1999	HUN	18	
Zurab Azmaiparashvili	2673	1999	GEO	19	
Viktor Korchnoi	2673	1999	SUI	20	
Valery Salov	2670	1999	RUS	21	
Matthew Sadler	2668	1999	ENG	22	
Zoltan Almasi	2665	1999	HUN	23	
Sergei Shipov	2662	1999	RUS	24	
Kiril Georgiev	2659	1999	BUL	25	
Vadim Zvjaginsev	2658	1999	RUS	26	
Ilia Smirin	2652	1999	ISR	27	
Alexander G Beliavsky	2650	1999	SLO	28	
Sergei Movsesian	2650	1999	CZE	29	
Konstantin Sakaev	2649	1999	RUS	30	
Jan H Timman	2649	1999	NED	31	
Alexei Fedorov	2648	1999	BLR	32	
Alexander Onischuk	2646	1999	UKR	33	
Michal Krasenkow	2643	1999	POL	34	
Yasser Seirawan	2643	1999	USA	35	
Artur Jussupow	2641	1999	GER	36	
Igor Khenkin	2641	1999	GER	37	
Vladimir Akopian	2640	1999	ARM	38	
Alexey Dreev	2639	1999	RUS	39	
Loek Van Wely	2636	1999	NED	40	
Vladislav Tkachiev	2634	1999	FRA	41	
Vadim Milov	2633	1999	SUI	42	
Johann Hjartarson	2630	1999	ISL	43	
Lembit Oll	2630	1999	EST	44	
Mikhail Gurevich	2629	1999	BEL	45	
Predrag Nikolic	2629	1999	BIH	46	
Sergei Tiviakov	2627	1999	RUS	47	
Ulf Andersson	2623	1999	SWE	48	
Boris F Gulko	2620	1999	USA	49	
Alexander Shabalov	2620	1999	USA	50	
Ian Rogers	2618	1999	AUS	51	
Boris Alterman	2616	1999	ISR	52	
Giorgi Giorgadze	2616	1999	GEO	53	
Alexander Khalifman	2616	1999	RUS	54	
Alexander Nenashev	2616	1999	UZB	55	
Zbynek Hracek	2615	1999	CZE	56	
Smbat G Lputian	2614	1999	ARM	57	
