Name	Rating	Year	Rank	Fed
Joel Lautier	2613	1999	FRA	58	
Ivan Morovic Fernandez	2613	1999	CHI	59	
Emil Sutovsky	2612	1999	ISR	60	
Nick E DeFirmian	2610	1999	USA	61	
Christopher Lutz	2610	1999	GER	62	
Ivan Sokolov	2610	1999	BIH	63	
Aleksej Aleksandrov	2609	1999	BLR	64	
Anthony J. Miles	2609	1999	ENG	65	
Jeroen Piket	2609	1999	NED	66	
Ruslan Ponomariov	2609	1999	UKR	67	
Matthias Wahls	2609	1999	GER	68	
Viktor Bologan	2608	1999	MDA	69	
Curt Hansen	2608	1999	DEN	70	
Utut Adianto	2607	1999	INA	71	
Julio E Granda Zuniga	2607	1999	PER	72	
Gregory S Kaidanov	2606	1999	USA	73	
Ferdinand Hellers	2605	1999	SWE	74	
Zurab Sturua	2605	1999	GEO	75	
Rafael A Vaganian	2605	1999	ARM	76	
Alexander Chernin	2604	1999	HUN	77	
Magaram Magomedov	2604	1999	TJK	78	
Boris Avrukh	2603	1999	ISR	79	
Ildar Ibragimov	2602	1999	RUS	80	
Evgeny Pigusov	2602	1999	RUS	81	
Igor A Novikov	2601	1999	UKR	82	
Jonathan S. Speelman	2601	1999	ENG	83	
Babakuli Annakov	2600	1999	TKM	84	
Andrei Kharlov	2600	1999	RUS	85	
Igor Khenkin	2600	1999	RUS	86	
John D.M. Nunn	2600	1999	ENG	87	
Rustem Dautov	2598	1999	GER	88	
Alex Yermolinsky	2597	1999	USA	89	
Rustam Kasimdzhanov	2595	1999	UZB	90	
Artashes Minasian	2594	1999	ARM	91	
Liviu-Dieter Nisipeanu	2594	1999	ROM	92	
Suat Atalik	2593	1999	TUR	93	
Joel Benjamin	2593	1999	USA	94	
Jaan Ehlvest	2593	1999	EST	95	
Vereslav S Eingorn	2592	1999	UKR	96	
Georgy Timoshenko	2592	1999	UKR	97	
Josif D Dorfman	2590	1999	FRA	98	
Sergey Dolmatov	2589	1999	RUS	99	
Mladen Palac	2589	1999	CRO	100	
Dimitri Komarov	2588	1999	UKR	101	
Miroslav Markovic	2587	1999	YUG	102	
Vasil Spasov	2587	1999	BUL	103	
Sergey Volkov	2587	1999	RUS	104	
Alexander Baburin	2586	1999	IRL	105	
Gilberto Milos	2586	1999	BRA	106	
Lubomir Ftacnik	2585	1999	SVK	107	
Alexander Goldin	2585	1999	RUS	108	
Robert Dr. Huebner	2585	1999	GER	109	
Miguel Illescas Cordoba	2585	1999	ESP	110	
Zdenko Kozul	2585	1999	CRO	111	
Evgeny Vladimirov	2585	1999	KAZ	112	
Oleg Korneev	2583	1999	RUS	113	
Valerij Popov	2582	1999	RUS	114	
Zoltan Ribli	2582	1999	HUN	115	
Larry M Christiansen	2581	1999	USA	116	
Christian Gabriel	2581	1999	GER	117	
Jozsef Pinter	2581	1999	HUN	118	
Vladimir B Tukmakov	2581	1999	UKR	119	
Yury Dokhoian	2580	1999	RUS	120	
Ilya Gurevich	2580	1999	USA	121	
Yuri S Balashov	2578	1999	RUS	122	
Vladimir Epishin	2578	1999	RUS	123	
Eduardas Rozentalis	2577	1999	LTU	124	
Karen Asrian	2576	1999	ARM	125	
Toni Najdoski	2576	1999	FRM	126	
Joerg Hickl	2575	1999	GER	127	
Alexander Huzman	2575	1999	ISR	128	
Zlatko Ilincic	2575	1999	YUG	129	
John P Fedorowicz	2574	1999	USA	130	
Valerij Filippov	2574	1999	RUS	131	
John M. Emms	2573	1999	ENG	132	
Gerald Hertneck	2573	1999	GER	133	
Sergey Smagin	2573	1999	RUS	134	
Oleg M Romanishin	2572	1999	UKR	135	
Edvins Kengis	2571	1999	LAT	136	
Alexey Kuzmin	2571	1999	RUS	137	
Ljubomir Ljubojevic	2571	1999	YUG	138	
Giorgi Kacheishvili	2570	1999	GEO	139	
Mikhail Krasenkov	2570	1999	POL	140	
Pavel V. Tregubov	2570	1999	RUS	141	
Aleksander Wojtkiewicz	2570	1999	POL	142	
Patrick G Wolff	2570	1999	USA	143	
Konstantin Z Lerner	2568	1999	UKR	144	
Sarunas Sulskis	2568	1999	LTU	145	
Andrei Sokolov	2567	1999	RUS	146	
Elizbar Ubilava	2567	1999	GEO	147	
Igor V. Glek	2566	1999	RUS	148	
Aleksandr Poluljahov	2566	1999	RUS	149	
Vlastimil Babula	2565	1999	CZE	150	
Lars Bo Hansen	2565	1999	DEN	151	
Julian M. Hodgson	2565	1999	ENG	152	
Yona Kosashvili	2565	1999	ISR	153	
Xiaomin Peng	2565	1999	CHN	154	
Zsuzsa (GM) Polgar	2565	1999	HUN	155	
Yuri Yakovich	2565	1999	RUS	156	
Win Lay Zaw	2565	1999	MYA	157	
Hichem Hamdouchi	2564	1999	MAR	158	
Petr Kiriakov	2564	1999	RUS	159	
Jiangchuan Ye	2564	1999	CHN	160	
Goran Dizdar	2563	1999	CRO	161	
Elmar Magerramov	2563	1999	AZE	162	
Lev Psakhis	2563	1999	ISR	163	
Evgeny Sveshnikov	2563	1999	RUS	164	
Dragoljub Velimirovic	2563	1999	YUG	165	
Valery Beim	2562	1999	ISR	166	
Semen I. Dvoirys	2562	1999	RUS	167	
Andrei Y Kharitonov	2562	1999	RUS	168	
Etienne Bacrot	2561	1999	FRA	169	
Vyacheslav Ikonnikov	2561	1999	RUS	170	
Vasilios Kotronias	2561	1999	CYP	171	
Yuri Kruppa	2561	1999	UKR	172	
Igor Stohl	2561	1999	SVK	173	
Henrique Mecking	2560	1999	BRA	174	
Yuri S Razuvaev	2559	1999	RUS	175	
Ruslan Sherbakov	2559	1999	RUS	176	
Anatoli Vaisser	2559	1999	FRA	177	
Paul Van Der Sterren	2559	1999	NED	178	
Rogelio Jr Antonio	2558	1999	PHI	179	
Alisa (IM RUS Galliamova-Ivanchuk	2558	1999	RUS	180	
Gilberto Hernandez	2558	1999	MEX	181	
Alexander Lastin	2558	1999	RUS	182	
Karsten Mueller	2558	1999	GER	183	
Stanislav Voitsekhovsky	2558	1999	RUS	184	
Alexei Bezgodov	2557	1999	RUS	185	
Roberto Cifuentes Parada	2557	1999	NED	186	
Jordi Magem Badals	2557	1999	ESP	187	
Vladimir Malakhov	2557	1999	RUS	188	
Dorian Rogozenko	2557	1999	ROM	189	
Eugenio Torre	2557	1999	PHI	190	
Mark Hebden	2556	1999	ENG	191	
Vitaly Tseshkovsky	2556	1999	RUS	192	
Dimitrij Bunzmann	2555	1999	GER	193	
Lajos Portisch	2555	1999	HUN	194	
Zhong Zhang	2555	1999	CHN	195	
Moun Moun Latt	2554	1999	MYA	196	
Robert Zelcic	2554	1999	CRO	197	
Roman Dzindzichashvili	2553	1999	USA	198	
Vitali Golod	2553	1999	ISR	199	
Eric Lobron	2553	1999	GER	200	
Bartlomiej Macieja	2553	1999	POL	201	
Vladimir Baklan	2552	1999	UKR	202	
Alexander Fominyh	2552	1999	RUS	203	
Michele Godena	2552	1999	ITA	204	
Ruslan Irzhanov	2552	1999	KAZ	205	
Vladimir P Malaniuk	2552	1999	UKR	206	
Mikhail Ulibin	2552	1999	RUS	207	
Daniel H. Campora	2551	1999	ARG	208	
Maia (GM) Chiburdanidze	2551	1999	GEO	209	
Branko Damljanovic	2551	1999	YUG	210	
Sergey Ionov	2551	1999	RUS	211	
Maxim Sorokin	2551	1999	ARG	212	
Simen Agdestein	2550	1999	NOR	213	
Lev O Alburt	2550	1999	USA	214	
Vasily Yemelin	2550	1999	RUS	215	
Andrei Istratescu	2549	1999	ROM	216	
Bogdan Lalic	2549	1999	CRO	217	
Tomasz Markowski	2549	1999	POL	218	
Boris V. Spassky	2549	1999	FRA	219	
Leonid Yudasin	2549	1999	ISR	220	
Aleksander Delchev	2548	1999	BUL	221	
Alejandro Hoffman	2547	1999	ARG	222	
Murtas Kazhgaleyev	2547	1999	KAZ	223	
Hannes Stefansson	2547	1999	ISL	224	
Erik Van Den Doel	2547	1999	NED	225	
Alexander Vaulin	2547	1999	RUS	226	
Reynaldo Vera	2547	1999	CUB	227	
Valery Grechihin	2546	1999	RUS	228	
Gennadi P Kuzmin	2546	1999	UKR	229	
Vladimir Magai	2546	1999	KGZ	230	
Jaime Sunye Neto	2546	1999	BRA	231	
Jun Xu	2546	1999	CHN	232	
Dmitry Gurevich	2545	1999	USA	233	
Petr Haba	2545	1999	CZE	234	
Rafael Leitao	2545	1999	BRA	235	
Vadim Ruban	2545	1999	RUS	236	
Aleksandr Shneider	2545	1999	UKR	237	
Evgeniy Solozhenkin	2545	1999	RUS	238	
Markus Stangl	2545	1999	GER	239	
Giorgi Bagaturov	2543	1999	GEO	240	
Thien Hai Dao	2543	1999	VIE	241	
Sergey Kudrin	2543	1999	USA	242	
Alexander Volzhin	2543	1999	RUS	243	
Jonny Hector	2542	1999	SWE	244	
Konstantin Landa	2542	1999	RUS	245	
Thomas Luther	2542	1999	GER	246	
Adrian Mikhalchishin	2542	1999	SLO	247	
Ioannis Papaioannou	2542	1999	GRE	248	
Dimitri Reinderman	2542	1999	NED	249	
Luis Comas Fabrego	2541	1999	ESP	250	
Alexandre Dgebuadze	2541	1999	GEO	251	
kyaw Htun Lynn	2541	1999	MYA	252	
Khin Than	2541	1999	MYA	253	
Stefan Kindermann	2541	1999	GER	254	
Atanas Kolev	2541	1999	BUL	255	
Narek Seferjan	2541	1999	ARM	256	
Grigory Serper	2541	1999	USA	257	
Rainer Knaak	2540	1999	GER	258	
Jesus Nogueiras	2540	1999	CUB	259	
Drazen Sermek	2540	1999	SLO	260	
Alexey Vyzmanavin	2540	1999	RUS	261	
Michael Wilder	2540	1999	USA	262	
Viorel Iordachescu	2539	1999	MDA	263	
Boris Kantsler	2539	1999	ISR	264	
Alexander Rustemov	2539	1999	RUS	265	
Stanislav Savchenko	2539	1999	UKR	266	
Andrey Shariyazdanov	2539	1999	RUS	267	
Dan Oo Thein	2539	1999	MYA	268	
Dibyendu Barua	2538	1999	IND	269	
Igor Berdichevski	2538	1999	RUS	270	
Mihail Kobalija	2537	1999	RUS	271	
Marat Makarov	2537	1999	RUS	272	
Michael A Rohde	2537	1999	USA	273	
Jiri Stocek	2537	1999	CZE	274	
Altin Cela	2536	1999	ALB	275	
Jean-Marc Degraeve	2536	1999	FRA	276	
Bojan Kurajica	2536	1999	BIH	277	
Roman Slobodjan	2536	1999	GER	278	
Julio Becerra Rivero	2535	1999	CUB	279	
Boris Kantsler	2535	1999	KGZ	280	
David Norwood	2535	1999	ENG	281	
Margeir Petursson	2535	1999	ISL	282	
Gennadij Sagalchik	2535	1999	USA	283	
Krishnan Sashikiran	2535	1999	IND	284	
Tibor Tolnai	2535	1999	HUN	285	
Vladimir Burmakin	2534	1999	RUS	286	
Vladimir Chuchelov	2534	1999	BEL	287	
Friso Nijboer	2534	1999	NED	288	
Evgenij Agrest	2533	1999	SWE	289	
Uwe Boensch	2533	1999	GER	290	
Alberto David	2533	1999	LUX	291	
Ivan Farago	2533	1999	HUN	292	
Robert Kempinski	2533	1999	POL	293	
Mikhail Rytshagov	2533	1999	EST	294	
Viktor Gavrikov	2532	1999	LTU	295	
Bent Larsen	2532	1999	DEN	296	
Valery A Loginov	2532	1999	RUS	297	
Jun (GM) Xie	2532	1999	CHN	298	
Igor Zakharevich	2532	1999	RUS	299	
Maxim Dlugy	2531	1999	USA	300	
Hugo Spangenberg	2531	1999	ARG	301	
Mihai Suba	2531	1999	ROM	302	
Ye Naung Win Myint	2531	1999	MYA	303	
Ralf Akesson	2530	1999	SWE	304	
Michail Brodsky	2530	1999	UKR	305	
Alexandar Budnikov	2530	1999	RUS	306	
Alexandru Crisan	2530	1999	ROM	307	
Jacek Gdanski	2530	1999	POL	308	
Maris Krakops	2530	1999	LAT	309	
Lothar Schmid	2530	1999	GER	310	
Evgeni Vasiukov	2530	1999	RUS	311	
Andrey Zontakh	2530	1999	UKR	312	
Ashot Anastasian	2529	1999	ARM	313	
Jon L Arnason	2529	1999	ISL	314	
Daniel Fridman	2529	1999	LAT	315	
Mihail Golubev	2529	1999	UKR	316	
Zoltan Gyimesi	2529	1999	HUN	317	
Gabriel Schwartzman	2529	1999	USA	318	
John T.H. Van Der Wiel	2529	1999	NED	319	
Mohamad Al-Modiahki	2528	1999	QAT	320	
Christian Bauer	2528	1999	FRA	321	
Emir Dizdarevic	2528	1999	BIH	322	
Efstratios Grivas	2528	1999	GRE	323	
Sergey Ivanov	2528	1999	RUS	324	
Sergey Kalinitschew	2528	1999	GER	325	
Dragan Kosic	2528	1999	YUG	326	
Victor Mikhalevski	2528	1999	ISR	327	
Valeriy Neverov	2528	1999	UKR	328	
Mihail Marin	2527	1999	ROM	329	
Pablo Ricardi	2527	1999	ARG	330	
Lars Schandorff	2527	1999	DEN	331	
George Grigore	2526	1999	ROM	332	
Vlastimil Hort	2526	1999	GER	333	
Vidmantas Malisauskas	2526	1999	LTU	334	
Paul Van Der Sterren	2526	1999	NED	335	
Einar Gausel	2525	1999	NOR	336	
Gabor Kallai	2525	1999	HUN	337	
Normunds Miezis	2525	1999	LAT	338	
Milos Pavlovic	2525	1999	YUG	339	
Nikolai Pushkov	2525	1999	RUS	340	
Nukhim N Rashkovsky	2525	1999	RUS	341	
Jan Smejkal	2525	1999	CZE	342	
James E Tarjan	2525	1999	USA	343	
William N. Watson	2525	1999	ENG	344	
Boris Chatalbashev	2524	1999	BUL	345	
Arnaud Hauchard	2524	1999	FRA	346	
Csaba Horvath	2524	1999	HUN	347	
Andrei Maksimenko	2524	1999	UKR	348	
Gyula Sax	2524	1999	HUN	349	
Leonid Yurtaev	2524	1999	KGZ	350	
Yuri Shulman	2523	1999	BLR	351	
Kevin Spraggett	2523	1999	CAN	352	
Aleksa Strikovic	2523	1999	YUG	353	
Evgeniy Najer	2522	1999	RUS	354	
Jonathan Parker	2522	1999	ENG	355	
Giovanni Vescovi	2522	1999	BRA	356	
Peter Acs	2521	1999	HUN	357	
Klaus Bischoff	2521	1999	GER	358	
Ognjen Cvitan	2521	1999	CRO	359	
Oganes Danielian	2521	1999	ARM	360	
Alexander Galkin	2521	1999	RUS	361	
Alon Greenfeld	2521	1999	ISR	362	
Orest Gritsak	2521	1999	UKR	363	
Zigurds Lanka	2521	1999	LAT	364	
Alexandre Lesiege	2521	1999	CAN	365	
David Marciano	2521	1999	FRA	366	
Tomas Oral	2521	1999	CZE	367	
Sergio Slipak	2521	1999	ARG	368	
Raj Tischbierek	2521	1999	GER	369	
Walter Arencibia	2520	1999	CUB	370	
Murray G. Chandler	2520	1999	ENG	371	
Lubomir Kavalek	2520	1999	USA	372	
Sergey Makarichev	2520	1999	RUS	373	
Gennadi Sosonko	2520	1999	NED	374	
Konstantin N Aseev	2519	1999	RUS	375	
Joseph G. Gallagher	2519	1999	SUI	376	
Garcia David	2519	1999	ESP	377	
Sergey Arkhipov	2518	1999	RUS	378	
Hristos Banikas	2518	1999	GRE	379	
Evgeny Gleizerov	2518	1999	RUS	380	
Bozidar Ivanovic	2518	1999	YUG	381	
Zoltan Varga	2518	1999	HUN	382	
Stefan Djuric	2517	1999	YUG	383	
Leonid D Gofshtein	2517	1999	ISR	384	
Miroslav Tosic	2517	1999	YUG	385	
Arsen Yegiazarian	2517	1999	ARM	386	
Walter S. Browne	2516	1999	USA	387	
Felix Izeta Txabarri	2516	1999	ESP	388	
Khin Thaung	2516	1999	MYA	389	
Yaacov Zilberman	2516	1999	ISR	390	
Manuel Apicella	2515	1999	FRA	391	
Michael A Brooks	2515	1999	USA	392	
Pia (GM) Cramling	2515	1999	SWE	393	
Nigel R Davies	2515	1999	ENG	394	
Gustavo German	2515	1999	ARG	395	
Saidali Iuldachev	2515	1999	UZB	396	
Peter Heine Nielsen	2515	1999	DEN	397	
Sergei Ovsejevitsch	2515	1999	UKR	398	
Leonid M. Sokolin	2515	1999	USA	399	
Zili Wang	2515	1999	CHN	400	
Alexei Barsov	2514	1999	UZB	401	
Igor Koniushkov	2514	1999	RUS	402	
Vladimir Lazarev	2514	1999	RUS	403	
Gad Rechlis	2514	1999	ISR	404	
Win Myint Soe	2514	1999	MYA	405	
Vladimir Gurevich	2513	1999	UKR	406	
Aidyn Guseinov	2513	1999	AZE	407	
Eran Liss	2513	1999	ISR	408	
Ilan Manor	2513	1999	ISR	409	
Milko Popchev	2513	1999	BUL	410	
Ram Soffer	2513	1999	ISR	411	
Tamaz Gelashvili	2512	1999	GEO	412	
Jozsef Horvath	2512	1999	HUN	413	
Ruslan Pogorelov	2512	1999	UKR	414	
Andrei Shchekachev	2512	1999	RUS	415	
Hoang Thong Tu	2512	1999	VIE	416	
Sergei Beshukov	2511	1999	RUS	417	
Miso Cebalo	2511	1999	CRO	418	
Valery A Chekhov	2511	1999	RUS	419	
Roman Ovetchkin	2511	1999	RUS	420	
Philipp Schlosser	2511	1999	GER	421	
Jan Votava	2511	1999	CZE	422	
Rongguang Ye	2511	1999	CHN	423	
Raset Ziatdinov	2511	1999	USA	424	
Joris Brenninkmeijer	2510	1999	NED	425	
David Garcia Ilundain	2510	1999	ESP	426	
Marcin Kaminski	2510	1999	POL	427	
Alexander Kaspi	2510	1999	ISR	428	
Aleksei Lugovoi	2510	1999	RUS	429	
Ioannis Nikolaidis	2510	1999	GRE	430	
Oleg Nikolenko	2510	1999	RUS	431	
Thaung Khin	2509	1999	MYA	432	
Htun Zaw Tin	2509	1999	MYA	433	
Vladimir Georgiev	2508	1999	BUL	434	
Goran A Kosanovic	2508	1999	YUG	435	
Arshak B Petrosian	2508	1999	ARM	436	
Igors Rausis	2508	1999	LAT	437	
Dan Zoler	2508	1999	ISR	438	
Ruben Gunawan	2507	1999	INA	439	
Igor V Ivanov	2507	1999	USA	440	
May Aung Hlaing	2507	1999	MYA	441	
Henrik Danielsen	2506	1999	DEN	442	
Lars Degerman	2506	1999	SWE	443	
Daniel J. King	2506	1999	ENG	444	
Bosko Abramovic	2505	1999	YUG	445	
Sapar Batyrov	2505	1999	TKM	446	
Milan Drasko	2505	1999	YUG	447	
Artur Frolov	2505	1999	UKR	448	
Alfredo Giaccio	2505	1999	ARG	449	
Tamaz Giorgadze	2505	1999	GEO	450	
Ronen Har-Zvi	2505	1999	ISR	451	
Alexander Ivanov	2505	1999	USA	452	
Dharshan Kumaran	2505	1999	ENG	453	
Anatoly D Machulsky	2505	1999	RUS	454	
Alexander Motylev	2505	1999	RUS	455	
Vladislav Nevednichy	2505	1999	ROM	456	
Sofia (IM) Polgar	2505	1999	HUN	457	
Kenneth S Rogoff	2505	1999	USA	458	
Leonid Shmuter	2505	1999	UKR	459	
Sang Cao	2504	1999	VIE	460	
Mihail Saltaev	2504	1999	UZB	461	
Milan Vukic	2504	1999	YUG	462	
Michael Bezold	2503	1999	GER	463	
Ko Ko A Chit	2503	1999	MYA	464	
Alexander Khasin	2503	1999	RUS	465	
Yuri Shabanov	2503	1999	RUS	466	
Veniamen Shtyrenkov	2503	1999	RUS	467	
Dimitri Tyomkin	2503	1999	ISR	468	
Tun Win Zaw	2503	1999	MYA	469	
Denis Yevseev	2503	1999	RUS	470	
Levon Aronian	2502	1999	ARM	471	
Vlatko Bogdanovski	2502	1999	FRM	472	
Anthony C. Kosten	2502	1999	ENG	473	
Aloyzas Kveinys	2502	1999	LTU	474	
Dusko Pavasovic	2502	1999	SLO	475	
Miguel A. Quinteros	2502	1999	ARG	476	
Roland Schmaltz	2502	1999	GER	477	
Soe Aung Than	2502	1999	MYA	478	
Alexander Zubov	2502	1999	RUS	479	
Stephan Berndt	2501	1999	GER	480	
Alexander Fishbein	2501	1999	USA	481	
Igor Miladinovic	2501	1999	GRE	482	
Valery Petukhov	2501	1999	RUS	483	
Ariel Sorin	2501	1999	ARG	484	
Dov Zifroni	2501	1999	ISR	485	
Bolat Asanov	2500	1999	KAZ	486	
Aung Aung	2500	1999	MYA	487	
Mihail Feigin	2500	1999	UKR	488	
Benjamin Finegold	2500	1999	USA	489	
Gilbert Guerrero	2500	1999	USA	490	
Sergey Kiselev	2500	1999	RUS	491	
Sergey Kishnev	2500	1999	RUS	492	
Shilong Li	2500	1999	CHN	493	
Evgenij Miroshnichenko	2500	1999	UKR	494	
Olivier Renet	2500	1999	FRA	495	
Andres Rodriguez	2500	1999	URU	496	
Shukhrat Safin	2500	1999	UZB	497	
Michael F. Stean	2500	1999	ENG	498	
Henrik Teske	2500	1999	GER	499	
Genadij Timoscenko	2500	1999	SVK	500	
Aung Tin	2500	1999	MYA	501	
David Zilberstein	2500	1999	ITA	502	
Sune Berg Hansen	2499	1999	DEN	503	
Than Htun Htun	2499	1999	MYA	504	
Artur Kogan	2499	1999	ISR	505	
Davor Komljenovic	2499	1999	CRO	506	
Pavel Kotsur	2499	1999	KAZ	507	
Ekaterina Kovalevskaya	2499	1999	RUS	508	
Karl-Heinz Podzielny	2499	1999	GER	509	
Throstur Thorhallsson	2499	1999	ISL	510	
Roland Ekstroem	2498	1999	SUI	511	
Sergey Janovsky	2498	1999	RUS	512	
Karen Movsziszian	2498	1999	ARM	513	
Helgi Olafsson	2498	1999	ISL	514	
Robert Rabiega	2498	1999	GER	515	
Ziaur Rahman	2498	1999	BAN	516	
Gennadi Zaichik	2498	1999	GEO	517	
Viacheslav Dydyshko	2497	1999	BLR	518	
Sergey V. Kalygin	2497	1999	RUS	519	
Luke J. McShane	2497	1999	ENG	520	
Bartosz Socko	2497	1999	POL	521	
Pablo Zarnicki	2497	1999	ARG	522	
Antonio Antunes	2496	1999	POR	523	
Felix Levin	2496	1999	GER	524	
Vadim Malakhatko	2496	1999	UKR	525	
Andras Adorjan	2495	1999	HUN	526	
Lwin Aye	2495	1999	MYA	527	
Rogelio Barcenilla	2495	1999	PHI	528	
Vladimir Belikov	2495	1999	RUS	529	
Frank De La Paz	2495	1999	CUB	530	
Anatoly Dozorets	2495	1999	USA	531	
Nenad Fercec	2495	1999	CRO	532	
Gennadij Ginsburg	2495	1999	GER	533	
James C. Howell	2495	1999	ENG	534	
Mikhail M Ivanov	2495	1999	RUS	535	
Alexander Mikhalevski	2495	1999	ISR	536	
Oo Kyaw Tun Nay	2495	1999	MYA	537	
Georgi Orlov	2495	1999	USA	538	
Marek Vokac	2495	1999	CZE	539	
Javier B. Campos Moreno	2494	1999	CHI	540	
Igor Efimov	2494	1999	ITA	541	
Darcy Lima	2494	1999	BRA	542	
Jonathan Rowson	2494	1999	SCO	543	
Ivan Smikovski	2494	1999	RUS	544	
Leonid Totsky	2494	1999	RUS	545	
Francisco Vallejo Pons	2494	1999	ESP	546	
Shaobin Wu	2494	1999	CHN	547	
Vladimir Bagirov	2493	1999	LAT	548	
Krunoslav Hulak	2493	1999	CRO	549	
Nana (IM) Ioseliani	2493	1999	GEO	550	
Eduard Meduna	2493	1999	CZE	551	
Alexander Moroz	2493	1999	UKR	552	
Igor Naumkin	2493	1999	RUS	553	
Alfonso Romero Holmes	2493	1999	ESP	554	
Arkadij Rotstein	2493	1999	UKR	555	
Karl Thorsteins	2493	1999	ISL	556	
Tom Wedberg	2493	1999	SWE	557	
Aleksandar Berelovich	2492	1999	UKR	558	
Lucas Brunner	2492	1999	SUI	559	
Dragoljub Jacimovic	2492	1999	FRM	560	
Robert Ruck	2492	1999	HUN	561	
Jonathan D Tisdall	2492	1999	NOR	562	
Petar Velikov	2492	1999	BUL	563	
Peter K. Wells	2492	1999	ENG	564	
Sergey Zagrebelny	2492	1999	UZB	565	
Ovidiu Foisor	2491	1999	ROM	566	
Carlos Garcia Palermo	2491	1999	ITA	567	
Gilles Miralles	2491	1999	FRA	568	
Wiliam G Addison	2490	1999	USA	569	
Ralf Appel	2490	1999	GER	570	
Slavisa Brenjo	2490	1999	YUG	571	
Slavko Cicak	2490	1999	SWE	572	
Oleg I Dementiev	2490	1999	RUS	573	
Krum Georgiev	2490	1999	BUL	574	
Juan Carlos Gonzalez	2490	1999	CUB	575	
Darryl K. Johansen	2490	1999	AUS	576	
Vlatko Kovacevic	2490	1999	CRO	577	
Aleksandar Matanovic	2490	1999	YUG	578	
Semon Palatnik	2490	1999	USA	579	
Andrei Sokolov	2490	1999	LAT	580	
Konstantin Starosek	2490	1999	RUS	581	
Serik Temirbaev	2490	1999	KAZ	582	
I Tseitlin	2490	1999	RUS	583	
Mark D Tseitlin	2490	1999	ISR	584	
Maxim Turov	2490	1999	RUS	585	
Stellan Brynell	2489	1999	SWE	586	
Evgeny Prokopchuk	2489	1999	RUS	587	
Yuanming Tong	2489	1999	CHN	588	
Lazaro Bruzon	2488	1999	CUB	589	
Konstantin Chernyshov	2488	1999	RUS	590	
Stuart Conquest	2488	1999	ENG	591	
Aram Gazarian	2488	1999	RUS	592	
Tomas Polak	2488	1999	CZE	593	
Nikolay A Legky	2487	1999	UKR	594	
Juraj Nikolac	2487	1999	CRO	595	
Nyee Nyee Zaw	2487	1999	MYA	596	
Amador Rodriguez	2487	1999	CUB	597	
Andrey Rychagov	2487	1999	RUS	598	
Darmen Sadvakasov	2487	1999	KAZ	599	
Chen Zhu	2487	1999	CHN	600	
Oscar De La Riva Aguado	2486	1999	ESP	601	
Evgeni Dragomarezkij	2486	1999	RUS	602	
Sarhan Guliev	2486	1999	AZE	603	
Jesper Hall	2486	1999	SWE	604	
Sergei Iskusnyh	2486	1999	RUS	605	
