Name	Rating	Year	Rank	Fed
An. Karpov	2690	1981	USR	1	
V. Kortchnoi	2650	1981	SUI	2	
L. Portisch	2650	1981	HUN	3	
R. Huebner	2635	1981	FRG	4	
B. Spassky	2635	1981	USR	5	
G. Kasparov	2625	1981	USR	6	
A. Beliavsky	2620	1981	USR	7	
L. Polugaevsky	2620	1981	USR	8	
J. Timman	2620	1981	NED	9	
E.P. Geller	2615	1981	USR	10	
H. Mecking	2615	1981	BRA	11	
U. Andersson	2610	1981	SWE	12	
B. Larsen	2610	1981	DEN	13	
Lj. Ljubojevic	2605	1981	YUG	14	
Y. Balashov	2600	1981	USR	15	
O. Romanishin	2595	1981	USR	16	
G. Sosonko	2595	1981	NED	17	
B. Gulko	2590	1981	USR	18	
A. Miles	2590	1981	ENG	19	
T. Petrosian	2585	1981	USR	20	
Z. Ribli	2585	1981	HUN	21	
L.O. Alburt	2575	1981	USA	22	
V. Hort	2575	1981	CSR	23	
V. Kupreichik	2575	1981	CAN	24	
Ji. Nun	2575	1981	ENG	25	
A. Yusupov	2575	1981	USR	26	
R. Vaganian	2565	1981	USR	27	
Gy. Sax	2560	1981	HUN	28	
W.S. Browne	2555	1981	USA	29	
Y. Seirawan	2555	1981	USA	30	
Tal	2555	1981	USR	31	
L. Kavalek	2550	1981	USA	32	
N. Krogius	2550	1981	USR	33	
J. Pinter	2550	1981	HUN	34	
E. Torre	2550	1981	PHI	35	
A. Adorjan	2545	1981	HUN	36	
S. Dolmatov	2545	1981	USR	37	
F. Gheorghiu	2545	1981	ROM	38	
G.P. Kuzmin	2545	1981	USR	39	
V. Smyslov	2545	1981	USR	40	
E. Vasiukov	2545	1981	USR	41	
B. Ivkov	2540	1981	YUG	42	
A. Kochiyev	2540	1981	USR	43	
I. Farago	2535	1981	HUN	44	
S. Makarichev	2535	1981	USR	45	
A. Mikhalchishin	2535	1981	USR	46	
N. Rashkovsky	2535	1981	USR	47	
J. Smejkal	2535	1981	CSR	48	
J. Speelman	2535	1981	ENG	49	
E. Sveshnikov	2535	1981	USR	50	
V. Cseshkovsky	2530	1981	USR	51	
T. Georgadze	2530	1981	USR	52	
S. Gligoric	2530	1981	YUG	53	
Najdorf	2530	1981	ARG	54	
F. Olafsson	2530	1981	ISL	55	
A.N. Panchenko	2530	1981	USR	56	
L. Schmid	2530	1981	FRG	57	
Tarjan	2530	1981	USA	58	
L.M. Evans	2525	1981	USA	59	
Razuvaev	2525	1981	USR	60	
L. Ftacnik	2520	1981	CSR	61	
G. Garcia Gonzales	2520	1981	CUB	62	
K. Lerner	2520	1981	USR	63	
W. Lombardy	2520	1981	USA	64	
O. Panno	2520	1981	ARG	65	
L. Christiansen	2515	1981	USA	66	
E. Gufeld	2515	1981	USR	67	
S. Marjanovic	2515	1981	YUG	68	
Pr. Nikolic	2515	1981	YUG	69	
W. Unzicker	2515	1981	FRG	70	
R. Byrne	2510	1981	USA	71	
M. Cebalo	2510	1981	YUG	72	
L. Szabo	2510	1981	HUN	73	
Gen. Timoshchenko	2510	1981	USR	74	
V.K. Bagirov	2505	1981	USR	75	
I. Dorfman	2505	1981	USR	76	
R. Kholmov	2505	1981	USR	77	
H. Pfleger	2505	1981	FRG	78	
Quinteros	2505	1981	ARG	79	
K. Rogoff	2505	1981	USA	80	
M.F. Stean	2505	1981	ENG	81	
Mikh. Tseitlin	2505	1981	USR	82	
M. Vukic	2505	1981	YUG	83	
V.S. Zhidkov	2505	1981	USR	84	
I. Csom	2500	1981	HUN	85	
Y. Gruenfeld	2500	1981	ISR	86	
Vlado Kovacevic	2500	1981	YUG	87	
A. Matanovic	2500	1981	YUG	88	
Parma B.	2500	1981	YUG	89	
L. Psakhis	2500	1981	USR	90	
M. Taimanov	2500	1981	USR	91	
K. Darga	2495	1981	FRG	92	
V.S. Eingorn	2495	1981	USR	93	
R. Knaak	2495	1981	DDR	94	
B. Kurajica	2495	1981	YUG	95	
Ney	2495	1981	USR	96	
A. Petrosian	2495	1981	USR	97	
W. Schmidt	2495	1981	POL	98	
L. Shamkovich	2495	1981	USA	99	
S. Tatai	2495	1981	ITA	100	
Mark Tseitlin	2495	1981	USR	101	
J. Ambroz	2490	1981	CSR	102	
Y.L. Averbakh	2490	1981	USR	103	
D. Bronstein	2490	1981	USR	104	
O. Dementiev	2490	1981	USR	105	
R. Dzindzichashvili	2490	1981	USA	106	
E. Ermenkov	2490	1981	BUL	107	
M. Filip	2490	1981	CSR	108	
B. Gurgenidze	2490	1981	USR	109	
B. Ivanovic	2490	1981	YUG	110	
R. Keene	2490	1981	ENG	111	
M. Matulovic	2490	1981	YUG	112	
Savon	2490	1981	USR	113	
M. Suba	2490	1981	ROM	114	
A. Lein	2485	1981	USA	115	
G. Makropoulos	2485	1981	GRE	116	
S. Mariotti	2485	1981	ITA	117	
Mestelj.	2485	1981	ENG	118	
J.A. Peters	2485	1981	USA	119	
Ree	2485	1981	NED	120	
S. Reshevsky	2485	1981	USA	121	
R. Sanguinetti	2485	1981	ARG	122	
P. Benko	2480	1981	USA	123	
E. Bukic	2480	1981	YUG	124	
I. Dahlberg	2480	1981	USA	125	
J. Diez Del Corral	2480	1981	ESP	126	
M.I. Dvorietzky	2480	1981	USR	127	
Kr. Georgiev	2480	1981	BUL	128	
L. Kaplan	2480	1981	USA	129	
S. Palatnik	2480	1981	USR	130	
Soltis	2480	1981	USA	131	
V. Tukmakov	2480	1981	USR	132	
J.E. Vatnikov	2480	1981	USR	133	
D. Velimirovic	2480	1981	YUG	134	
D. Verduga	2480	1981	ECU	135	
J. Donner	2475	1981	NED	136	
H.-J. Hecht	2475	1981	FRG	137	
N. Kirov	2475	1981	BUL	138	
S. Martinovic	2475	1981	YUG	139	
E. Mednis	2475	1981	USA	140	
A. Ornstein	2475	1981	SWE	141	
Y. Sacharov	2475	1981	USR	142	
W. Uhlmann	2475	1981	DDR	143	
A.A. Vitolinsh	2475	1981	USR	144	
B. Zuckerman	2475	1981	USA	145	
V.S. Antoshin	2470	1981	USR	146	
A. Chernin	2470	1981	USR	147	
A. Gipslis	2470	1981	USR	148	
Hulak	2470	1981	YUG	149	
A. Kotov	2470	1981	USR	150	
Z. Krnic	2470	1981	YUG	151	
B. Malich	2470	1981	DDR	152	
L. Ogaard	2470	1981	NOR	153	
D. Sahovic	2470	1981	YUG	154	
Suttles	2470	1981	CAN	155	
Tringov	2470	1981	BUL	156	
L. Vadasz	2470	1981	HUN	157	
K. Commons	2465	1981	USA	158	
Gy.V. Forintos	2465	1981	HUN	159	
L. Karlsson	2465	1981	SWE	160	
Z. Klaric	2465	1981	YUG	161	
S. Lputian	2465	1981	USR	162	
P. Lukacs	2465	1981	HUN	163	
L. Popov	2465	1981	BUL	164	
D. Rajkovic	2465	1981	YUG	165	
J. Van der Wiel	2465	1981	NED	166	
B. Vladimirov	2465	1981	USR	167	
I.A. Zaitsev	2465	1981	USR	168	
Y. Bleiman	2460	1981	ISR	169	
O.L. Chernikov	2460	1981	USR	170	
S. Hamann	2460	1981	DEN	171	
I. Hausner	2460	1981	CSR	172	
V. Jansa	2460	1981	CSR	173	
U. Kunsztowicz	2460	1981	FRG	174	
V. Liberzon	2460	1981	ISR	175	
A. Lukin	2460	1981	USR	176	
J. Nikolac	2460	1981	YUG	177	
Z. Pavicic	2460	1981	YUG	178	
Rantanen	2460	1981	FIN	179	
M. Rivas Pastor	2460	1981	ESP	180	
V. Spasov	2460	1981	BUL	181	
A.S. Suetin	2460	1981	USR	182	
V.I. Zhuravliov	2460	1981	USR	183	
D. Bernstein	2455	1981	ISR	184	
N. Birnboim	2455	1981	ISR	185	
U. Boensch	2455	1981	DDR	186	
D.H. Campora	2455	1981	ARG	187	
M. Chandler	2455	1981	NZL	188	
A. Kapengut	2455	1981	USR	189	
Al. Khassin	2455	1981	USR	190	
S. Kindermann	2455	1981	AUT	191	
Y. Klovan	2455	1981	USR	192	
M. Knezevic	2455	1981	YUG	193	
V.A. Kozlov	2455	1981	USR	194	
K. Langeweg	2455	1981	NED	195	
J. Lechtynsky	2455	1981	CSR	196	
J. Nogueiras	2455	1981	CUB	197	
V. Osnos	2455	1981	USR	198	
L. Pachman	2455	1981	FRG	199	
I. Polovodin	2455	1981	USR	200	
P. Popovic	2455	1981	YUG	201	
O. Rodriguez	2455	1981	PER	202	
E. Ubilava	2455	1981	USR	203	
R. Vera	2455	1981	CUB	204	
L. Vogt	2455	1981	DDR	205	
N. Weinstein	2455	1981	USA	206	
A. Yermolinsky	2455	1981	USR	207	
J. Arnason	2450	1981	ISL	208	
P. Biyiasas	2450	1981	USA	209	
V.Z. Faibisovich	2450	1981	USR	210	
M.-V. Ghinda	2450	1981	ROM	211	
L. Gutman	2450	1981	ISR	212	
W. Hartston	2450	1981	ENG	213	
L. Hazai	2450	1981	HUN	214	
A.V. Ivanov	2450	1981	USR	215	
A. Kharitonov	2450	1981	USR	216	
A. Kuligowski	2450	1981	POL	217	
Maiorov	2450	1981	USR	218	
A. Malevinsky	2450	1981	USR	219	
S. Marangunic	2450	1981	YUG	220	
E. Meduna	2450	1981	CSR	221	
E. Mnatsakanian	2450	1981	USR	222	
Monakov	2450	1981	USR	223	
G. Mukhin	2450	1981	USR	224	
Y. Murey	2450	1981	ISR	225	
V. Peresypkin	2450	1981	USR	226	
Podgaets	2450	1981	USR	227	
I. Radulov	2450	1981	BUL	228	
A. Rodriguez	2450	1981	CUB	229	
M. Sisniega	2450	1981	MEX	230	
K. Spraggett	2450	1981	CAN	231	
Sturua	2450	1981	USR	232	
A. Sznapik	2450	1981	POL	233	
Vukcevich	2450	1981	USA	234	
C. Zuidema	2450	1981	NED	235	
Zwaig	2450	1981	NOR	236	
V.M. Arbakov	2445	1981	USR	237	
V. Ciocaltea	2445	1981	ROM	238	
A. Deze	2445	1981	YUG	239	
V. Didishko	2445	1981	USR	240	
J. Dueball	2445	1981	FRG	241	
K.A. Grigorian	2445	1981	USR	242	
A. Hennings	2445	1981	DDR	243	
V. Inkiov	2445	1981	BUL	244	
I.R. Johannsson	2445	1981	ISL	245	
D. Marovic	2445	1981	YUG	246	
F. Muco	2445	1981	ALB	247	
M. Petursson	2445	1981	ISL	248	
Schussler	2445	1981	SWE	249	
J. Sofrevski	2445	1981	YUG	250	
R. Toran Albero	2445	1981	ESP	251	
A. Veingold	2445	1981	USR	252	
