Name	Rating	Year	Rank	Fed
G. Kasparov	2735	1987	USR	1	
An. Karpov	2710	1987	USR	2	
A. Sokolov	2645	1987	USR	3	
A. Yusupov	2645	1987	USR	4	
V. Kortchnoi	2625	1987	SUI	5	
Lj. Ljubojevic	2620	1987	YUG	6	
R. Huebner	2615	1987	FRG	7	
N.D. Short	2615	1987	ENG	8	
L. Portisch	2610	1987	HUN	9	
B. Spassky	2605	1987	USR	10	
Tal	2605	1987	USR	11	
U. Andersson	2600	1987	SWE	12	
Pr. Nikolic	2600	1987	YUG	13	
M. Chandler	2595	1987	ENG	14	
Y. Seirawan	2595	1987	USA	15	
Kir. Georgiev	2590	1987	BUL	16	
J. Timman	2590	1987	NED	17	
R. Vaganian	2590	1987	USR	18	
J. Van der Wiel	2590	1987	NED	19	
A. Beliavsky	2585	1987	USR	20	
J.D.M. Nunn	2585	1987	ENG	21	
L. Polugaevsky	2585	1987	USR	22	
Z. Ribli	2580	1987	HUN	23	
L.O. Alburt	2575	1987	USA	24	
L. Christiansen	2575	1987	USA	25	
V.-P. Malaniuk	2575	1987	USR	26	
L. Psakhis	2575	1987	USR	27	
V. Tukmakov	2575	1987	USR	28	
E. Vazoura	2575	1987	GRE	29	
A. Chernin	2570	1987	USR	30	
J. Pinter	2570	1987	HUN	31	
O. Romanishin	2570	1987	USR	32	
Gy. Sax	2570	1987	HUN	33	
Joel Benjamin	2565	1987	USA	34	
B. Larsen	2565	1987	DEN	35	
A.J. Miles	2565	1987	USA	36	
J. Nogueiras	2565	1987	CUB	37	
A. Adorjan	2560	1987	HUN	38	
S. Agdestein	2560	1987	NOR	39	
L. Kavalek	2560	1987	USA	40	
M. Suba	2560	1987	ROM	41	
J.E. Granda Zuniga	2555	1987	PER	42	
V. Hort	2555	1987	FRG	43	
K. Lerner	2555	1987	USR	44	
D.H. Campora	2550	1987	ARG	45	
V.N. Gavrikov	2550	1987	USR	46	
H. Olafsson	2550	1987	ISL	47	
V. Salov	2550	1987	USR	48	
