Name	Rating	Year	Fed	Rank
An. Karpov	2720	1982	USR	1	
J. Timman	2655	1982	NED	2	
V. Kortchnoi	2645	1982	SUI	3	
G. Kasparov	2640	1982	USR	4	
L. Portisch	2630	1982	HUN	5	
B. Spassky	2625	1982	USR	6	
R. Huebner	2620	1982	FRG	7	
A. Beliavsky	2615	1982	USR	8	
H. Mecking	2615	1982	BRA	9	
U. Andersson	2605	1982	SWE	10	
B. Larsen	2605	1982	DEN	11	
T. Petrosian	2605	1982	USR	12	
Tal	2605	1982	USR	13	
Lj. Ljubojevic	2600	1982	YUG	14	
L. Polugaevsky	2600	1982	USR	15	
Y. Balashov	2595	1982	USR	16	
V. Cseshkovsky	2595	1982	USR	17	
S. Dolmatov	2590	1982	USR	18	
V. Hort	2590	1982	CSR	19	
L. Kavalek	2590	1982	USA	20	
Ji. Nun	2590	1982	ENG	21	
Z. Ribli	2590	1982	HUN	22	
W.S. Browne	2585	1982	USA	23	
L. Christiansen	2585	1982	USA	24	
O. Romanishin	2580	1982	USR	25	
G. Sosonko	2580	1982	NED	26	
A. Miles	2575	1982	ENG	27	
Y. Seirawan	2575	1982	USA	28	
V. Kupreichik	2570	1982	CAN	29	
J. Smejkal	2570	1982	CSR	30	
B. Gulko	2565	1982	USR	31	
V. Smyslov	2565	1982	USR	32	
L. Ftacnik	2560	1982	CSR	33	
A. Yusupov	2555	1982	USR	34	
L.O. Alburt	2550	1982	USA	35	
F. Gheorghiu	2550	1982	ROM	36	
N. Krogius	2550	1982	USR	37	
Gy. Sax	2550	1982	HUN	38	
J. Speelman	2550	1982	ENG	39	
R. Vaganian	2550	1982	USR	40	
E.P. Geller	2545	1982	USR	41	
G.P. Kuzmin	2545	1982	USR	42	
L. Psakhis	2545	1982	USR	43	
S. Gligoric	2535	1982	YUG	44	
E. Torre	2535	1982	PHI	45	
A. Mikhalchishin	2530	1982	USR	46	
F. Olafsson	2530	1982	ISL	47	
L. Schmid	2525	1982	FRG	48	
E. Sveshnikov	2525	1982	USR	49	
J. Pinter	2520	1982	HUN	50	
Tarjan	2520	1982	USA	51	
A. Adorjan	2515	1982	HUN	52	
R. Byrne	2515	1982	USA	53	
L.M. Evans	2515	1982	USA	54	
I.V. Ivanov	2515	1982	CAN	55	
S. Marjanovic	2515	1982	YUG	56	
N. Rashkovsky	2515	1982	USR	57	
W. Uhlmann	2515	1982	DDR	58	
I. Dorfman	2510	1982	USR	59	
B. Kurajica	2510	1982	YUG	60	
Najdorf	2510	1982	ARG	61	
O. Panno	2510	1982	ARG	62	
L. Szabo	2510	1982	HUN	63	
M. Taimanov	2510	1982	USR	64	
W. Unzicker	2510	1982	FRG	65	
I. Csom	2505	1982	HUN	66	
Z. Franco	2505	1982	PAR	67	
Y. Gruenfeld	2505	1982	ISR	68	
R. Keene	2505	1982	ENG	69	
A. Kochiyev	2505	1982	USR	70	
W. Lombardy	2505	1982	USA	71	
S. Makarichev	2505	1982	USR	72	
S. Palatnik	2505	1982	USR	73	
Quinteros	2505	1982	ARG	74	
I. Radulov	2505	1982	BUL	75	
K. Rogoff	2505	1982	USA	76	
M.F. Stean	2505	1982	ENG	77	
T. Georgadze	2500	1982	USR	78	
L. Karlsson	2500	1982	SWE	79	
K. Lerner	2500	1982	USR	80	
Mestelj.	2500	1982	ENG	81	
H. Pfleger	2500	1982	FRG	82	
S. Reshevsky	2500	1982	USA	83	
M. Suba	2500	1982	ROM	84	
V. Tukmakov	2500	1982	USR	85	
D. Velimirovic	2500	1982	YUG	86	
V.K. Bagirov	2495	1982	USR	87	
D. Bronstein	2495	1982	USR	88	
M. Cebalo	2495	1982	YUG	89	
K. Darga	2495	1982	FRG	90	
B. Gurgenidze	2495	1982	USR	91	
V. Inkiov	2495	1982	BUL	92	
R. Kholmov	2495	1982	USR	93	
R. Knaak	2495	1982	DDR	94	
Vlado Kovacevic	2495	1982	YUG	95	
A. Matanovic	2495	1982	YUG	96	
Ney	2495	1982	USR	97	
J. Nogueiras	2495	1982	CUB	98	
P. Popovic	2495	1982	YUG	99	
Gen. Timoshchenko	2495	1982	USR	100	
E. Vasiukov	2495	1982	USR	101	
E. Vladimirov	2495	1982	USR	102	
L. Vogt	2495	1982	DDR	103	
Y.L. Averbakh	2490	1982	USR	104	
A. Chernin	2490	1982	USR	105	
O. Dementiev	2490	1982	USR	106	
S. Djuric	2490	1982	YUG	107	
Hulak	2490	1982	YUG	108	
E. Meduna	2490	1982	CSR	109	
Mikh. Tseitlin	2490	1982	USR	110	
A. Vaiser	2490	1982	USR	111	
A. Vyzmanavin	2490	1982	USR	112	
G. Agzamov	2485	1982	USR	113	
I. Farago	2485	1982	HUN	114	
G. Garcia Gonzales	2485	1982	CUB	115	
A. Gipslis	2485	1982	USR	116	
E. Gufeld	2485	1982	USR	117	
B. Ivanovic	2485	1982	YUG	118	
A. Lein	2485	1982	USA	119	
Pr. Nikolic	2485	1982	YUG	120	
L. Ogaard	2485	1982	NOR	121	
Parma B.	2485	1982	YUG	122	
A. Petrosian	2485	1982	USR	123	
Razuvaev	2485	1982	USR	124	
A. Rodriguez	2485	1982	CUB	125	
R. Sanguinetti	2485	1982	ARG	126	
Savon	2485	1982	USR	127	
W. Schmidt	2485	1982	POL	128	
Schussler	2485	1982	SWE	129	
R. Simic	2485	1982	YUG	130	
Tringov	2485	1982	BUL	131	
E. Bukic	2480	1982	YUG	132	
M.I. Dvorietzky	2480	1982	USR	133	
M. Filip	2480	1982	CSR	134	
K. Frey	2480	1982	MEX	135	
B. Ivkov	2480	1982	YUG	136	
L. Kaplan	2480	1982	USA	137	
A. Kharitonov	2480	1982	USR	138	
A.N. Panchenko	2480	1982	USR	139	
J.E. Vatnikov	2480	1982	USR	140	
J. Diez Del Corral	2475	1982	ESP	141	
A. Groszpeter	2475	1982	HUN	142	
V. Jansa	2475	1982	CSR	143	
Y. Murey	2475	1982	ISR	144	
A. Ornstein	2475	1982	SWE	145	
Ree	2475	1982	NED	146	
Y. Sakharov	2475	1982	USR	147	
J. Sunye Neto	2475	1982	BRA	148	
Suttles	2475	1982	CAN	149	
B. Zuckerman	2475	1982	USA	150	
P. Benko	2470	1982	USA	151	
M. Chandler	2470	1982	NZL	152	
N. De Firmian	2470	1982	USA	153	
L. Espig	2470	1982	DDR	154	
C. Garcia Palermo	2470	1982	ARG	155	
S. Gorelov	2470	1982	USR	156	
D. Gurevich	2470	1982	USA	157	
P. Lukacs	2470	1982	HUN	158	
E. Mednis	2470	1982	USA	159	
Nickoloff	2470	1982	CAN	160	
M. Rivas Pastor	2470	1982	ESP	161	
L. Shamkovich	2470	1982	USA	162	
P. Van der Sterren	2470	1982	NED	163	
J. Van der Wiel	2470	1982	NED	164	
P. Velikov	2470	1982	BUL	165	
D. Verduga	2470	1982	ECU	166	
A.A. Vitolinsh	2470	1982	USR	167	
Y. Anikaev	2465	1982	USR	168	
K. Commons	2465	1982	USA	169	
S.I. Dvoirys	2465	1982	USR	170	
Kr. Georgiev	2465	1982	BUL	171	
M. Knezevic	2465	1982	YUG	172	
S. Kudrin	2465	1982	USA	173	
A. Kuligowski	2465	1982	POL	174	
V. Liberzon	2465	1982	ISR	175	
A. Lukin	2465	1982	USR	176	
K. Shirazi	2465	1982	IRI	177	
J. Sofrevski	2465	1982	YUG	178	
K. Spraggett	2465	1982	CAN	179	
B. Vladimirov	2465	1982	USR	180	
M. Vukic	2465	1982	YUG	181	
I.A. Zaitsev	2465	1982	USR	182	
V.S. Zhidkov	2465	1982	USR	183	
N. Birnboim	2460	1982	ISR	184	
Y. Bleiman	2460	1982	ISR	185	
V. Chekhov	2460	1982	USR	186	
O.L. Chernikov	2460	1982	USR	187	
V. Ciocaltea	2460	1982	ROM	188	
J. Donner	2460	1982	NED	189	
V.S. Eingorn	2460	1982	USR	190	
E. Ermenkov	2460	1982	BUL	191	
S. Giardelli	2460	1982	ARG	192	
H.-J. Hecht	2460	1982	FRG	193	
R. Henley	2460	1982	USA	194	
V.A. Kozlov	2460	1982	USR	195	
J. Lechtynsky	2460	1982	CSR	196	
P. Littlewood	2460	1982	ENG	197	
S. Martinovic	2460	1982	YUG	198	
M. Matulovic	2460	1982	YUG	199	
J.A. Peters	2460	1982	USA	200	
I. Polovodin	2460	1982	USR	201	
D. Rajkovic	2460	1982	YUG	202	
T. Rakic	2460	1982	YUG	203	
Soltis	2460	1982	USA	204	
V.I. Zhuravliov	2460	1982	USR	205	
J. Dueball	2455	1982	FRG	206	
J.P. Fedorowicz	2455	1982	USA	207	
A. Kapengut	2455	1982	USR	208	
B. Kogan	2455	1982	USR	209	
G. Ligterink	2455	1982	NED	210	
S. Marangunic	2455	1982	YUG	211	
S. Mariotti	2455	1982	ITA	212	
J. Nikolac	2455	1982	YUG	213	
V. Osnos	2455	1982	USR	214	
L. Pachman	2455	1982	FRG	215	
Mark Tseitlin	2455	1982	USR	216	
