Name	Rating	Year	Fed	Rank
G. Kasparov	2715	1985	RUS	1	
An. Karpov	2705	1985	RUS	2	
J. Timman	2650	1985	NED	3	
R. Vaganian	2640	1985	RUS	4	
A. Beliavsky	2635	1985	RUS	5	
L. Portisch	2635	1985	HUN	6	
V. Kortchnoi	2630	1985	SUI	7	
L. Polugaevsky	2625	1985	RUS	8	
Ji. Nun	2615	1985	ENG	9	
Z. Ribli	2615	1985	HUN	10	
R. Huebner	2605	1985	FRG	11	
V. Smyslov	2600	1985	RUS	12	
Lj. Ljubojevic	2595	1985	YUG	13	
G. Agzamov	2590	1985	RUS	14	
A. Yusupov	2590	1985	RUS	15	
M. Chandler	2585	1985	ENG	16	
B. Spassky	2580	1985	RUS	17	
U. Andersson	2575	1985	SWE	18	
Pr. Nikolic	2575	1985	YUG	19	
R. Dzindzichashvili	2570	1985	USA	20	
A. Miles	2570	1985	ENG	21	
O. Romanishin	2570	1985	RUS	22	
V. Tukmakov	2570	1985	RUS	23	
A. Adorjan	2565	1985	HUN	24	
Gy. Sax	2565	1985	HUN	25	
Tal	2565	1985	RUS	26	
L. Christiansen	2560	1985	USA	27	
V. Hort	2560	1985	CSR	28	
Y. Seirawan	2560	1985	USA	29	
K. Spraggett	2560	1985	CAN	30	
L. Kavalek	2555	1985	USA	31	
L. Psakhis	2555	1985	RUS	32	
J. Smejkal	2555	1985	CSR	33	
S. Arkhipov	2550	1985	RUS	34	
V.N. Gavrikov	2550	1985	RUS	35	
L. Karlsson	2550	1985	SWE	36	
A. Sokolov	2550	1985	RUS	37	
L. Ftacnik	2545	1985	CSR	38	
J. Nogueiras	2545	1985	CUB	39	
Joel Benjamin	2540	1985	USA	40	
N. De Firmian	2540	1985	USA	41	
S. Dolmatov	2540	1985	RUS	42	
E.P. Geller	2540	1985	RUS	43	
Mestelj.	2540	1985	ENG	44	
J. Pinter	2540	1985	HUN	45	
P. Popovic	2540	1985	YUG	46	
E. Torre	2540	1985	PHI	47	
L.O. Alburt	2535	1985	USA	48	
Kir. Georgiev	2535	1985	BUL	49	
B. Kurajica	2535	1985	YUG	50	
M. Petursson	2535	1985	ISL	51	
N.D. Short	2535	1985	ENG	52	
G. Sosonko	2535	1985	NED	53	
A. Zapata	2535	1985	COL	54	
W.S. Browne	2530	1985	USA	55	
F. Gheorghiu	2530	1985	ROM	56	
J. Hjartarson	2530	1985	ISL	57	
R. Knaak	2530	1985	DDR	58	
Vlado Kovacevic	2530	1985	YUG	59	
S. Lputian	2530	1985	RUS	60	
Quinteros	2530	1985	ARG	61	
L. Schmid	2530	1985	FRG	62	
J. Speelman	2530	1985	ENG	63	
E. Sveshnikov	2530	1985	RUS	64	
I. Dorfman	2525	1985	RUS	65	
V.S. Eingorn	2525	1985	RUS	66	
V. Salov	2525	1985	RUS	67	
Tarjan	2525	1985	USA	68	
J.P. Fedorowicz	2520	1985	USA	69	
C. Garcia Palermo	2520	1985	ARG	70	
Jo. Horvath	2520	1985	HUN	71	
G.P. Kuzmin	2520	1985	RUS	72	
B. Larsen	2520	1985	DEN	73	
K. Lerner	2520	1985	RUS	74	
Razuvaev	2520	1985	RUS	75	
E. Ermenkov	2515	1985	BUL	76	
B. Ivanovic	2515	1985	YUG	77	
H. Olafsson	2515	1985	ISL	78	
O. Panno	2515	1985	ARG	79	
R. Byrne	2510	1985	USA	80	
S. Gligoric	2510	1985	YUG	81	
B. Ivkov	2510	1985	YUG	82	
A. Petrosian	2510	1985	RUS	83	
J. Sunye Neto	2510	1985	BRA	84	
J. Ehlvest	2505	1985	RUS	85	
C. Hansen	2505	1985	DEN	86	
R. Henley	2505	1985	USA	87	
E. Lobron	2505	1985	FRG	88	
S. Marjanovic	2505	1985	YUG	89	
A. Mikhalchishin	2505	1985	RUS	90	
A. Rodriguez	2505	1985	CUB	91	
S. Agdestein	2500	1985	NOR	92	
T. Georgadze	2500	1985	RUS	93	
B. Kogan	2500	1985	RUS	94	
W. Lombardy	2500	1985	USA	95	
M.F. Stean	2500	1985	ENG	96	
J. Van der Wiel	2500	1985	NED	97	
D. Velimirovic	2500	1985	YUG	98	
T. Wedberg	2500	1985	SWE	99	
J. Yrjola	2500	1985	FIN	100	
J. Arnason	2495	1985	ISL	101	
Y. Balashov	2495	1985	RUS	102	
V. Chekhov	2495	1985	RUS	103	
A. Chernin	2495	1985	RUS	104	
L.M. Evans	2495	1985	USA	105	
I. Farago	2495	1985	HUN	106	
J. Klinger	2495	1985	AUT	107	
S. Makarichev	2495	1985	RUS	108	
Najdorf	2495	1985	ARG	109	
J. Plaskett	2495	1985	ENG	110	
O. Dementiev	2490	1985	RUS	111	
A. Gipslis	2490	1985	RUS	112	
A. Greenfeld	2490	1985	ISR	113	
D. Gurevich	2490	1985	USA	114	
S. Kindermann	2490	1985	AUT	115	
A. Matanovic	2490	1985	YUG	116	
K. Mokry	2490	1985	CSR	117	
Parma B.	2490	1985	YUG	118	
H. Pfleger	2490	1985	FRG	119	
E. Rosentalis	2490	1985	RUS	120	
M. Taimanov	2490	1985	RUS	121	
A. Vaiser	2490	1985	RUS	122	
E. Vladimirov	2490	1985	RUS	123	
M. Vukic	2490	1985	YUG	124	
B. Zuckerman	2490	1985	USA	125	
V.K. Bagirov	2485	1985	RUS	126	
D.H. Campora	2485	1985	ARG	127	
M. Cebalo	2485	1985	YUG	128	
V. Didishko	2485	1985	RUS	129	
M. Dlugy	2485	1985	USA	130	
M. Filip	2485	1985	CSR	131	
A. Khalifman	2485	1985	RUS	132	
S. Kudrin	2485	1985	USA	133	
F. Olafsson	2485	1985	ISL	134	
S. Reshevsky	2485	1985	USA	135	
I. Rogers	2485	1985	AUS	136	
G. Sigurjonsson	2485	1985	ISL	137	
A. Vyzmanavin	2485	1985	RUS	138	
I. Csom	2480	1985	HUN	139	
L. Hazai	2480	1985	HUN	140	
M. Hebden	2480	1985	ENG	141	
V. Inkiov	2480	1985	BUL	142	
Z. Klaric	2480	1985	YUG	143	
Ostermeyer	2480	1985	FRG	144	
J.A. Peters	2480	1985	USA	145	
M. Rivas Pastor	2480	1985	ESP	146	
R. Simic	2480	1985	YUG	147	
T. Taylor	2480	1985	USA	148	
T. Utasi	2480	1985	HUN	149	
E. Vasiukov	2480	1985	RUS	150	
R. Vera	2480	1985	CUB	151	
M.I. Dvorietzky	2475	1985	RUS	152	
M.-V. Ghinda	2475	1985	ROM	153	
Y. Gruenfeld	2475	1985	ISR	154	
B. Gulko	2475	1985	RUS	155	
Wl. Schmidt	2475	1985	POL	156	
S. Tatai	2475	1985	ITA	157	
Gen. Timoshchenko	2475	1985	RUS	158	
L. Yudasin	2475	1985	RUS	159	
G. Zaitshik	2475	1985	RUS	160	
V. Cseshkovsky	2470	1985	RUS	161	
K. Darga	2470	1985	FRG	162	
S. Djuric	2470	1985	YUG	163	
A. Groszpeter	2470	1985	HUN	164	
E. Gufeld	2470	1985	RUS	165	
V. Kupreichik	2470	1985	RUS	166	
P. Lukacs	2470	1985	HUN	167	
Z. Nikolic	2470	1985	YUG	168	
J. Rukavina	2470	1985	YUG	169	
M. Sisniega	2470	1985	MEX	170	
L. Szabo	2470	1985	HUN	171	
P. Thipsay	2470	1985	IND	172	
Mikh. Tseitlin	2470	1985	RUS	173	
W. Uhlmann	2470	1985	DDR	174	
W. Unzicker	2470	1985	FRG	175	
Y.L. Averbakh	2465	1985	RUS	176	
O. Averkin	2465	1985	RUS	177	
Z. Azmayparashvili	2465	1985	RUS	178	
D. Barbulescu	2465	1985	ROM	179	
E. Bukic	2465	1985	YUG	180	
O. Cvitan	2465	1985	YUG	181	
I.V. Ivanov	2465	1985	CAN	182	
V. Jansa	2465	1985	CSR	183	
A. Kochiyev	2465	1985	RUS	184	
A. Lein	2465	1985	USA	185	
V.P. Malaniuk	2465	1985	RUS	186	
D. Marovic	2465	1985	YUG	187	
E. Mednis	2465	1985	USA	188	
E. Meyer	2465	1985	USA	189	
V. Raicevic	2465	1985	YUG	190	
M. Rodriguez	2465	1985	COL	191	
M. Suba	2465	1985	ROM	192	
E. Ubilava	2465	1985	RUS	193	
A. Yermolinsky	2465	1985	RUS	194	
B. Abramovic	2460	1985	YUG	195	
Y. Anikaev	2460	1985	RUS	196	
A. Antunes	2460	1985	POR	197	
P. Biyiasas	2460	1985	USA	198	
O.L. Chernikov	2460	1985	RUS	199	
M. Drasko	2460	1985	YUG	200	
R. Keene	2460	1985	ENG	201	
P. Korzubov	2460	1985	RUS	202	
B. Kouatly	2460	1985	LIB	203	
Y. Kruppa	2460	1985	RUS	204	
E. Meduna	2460	1985	CSR	205	
E. Mortensen	2460	1985	DEN	206	
V. Moskalenko	2460	1985	RUS	207	
I.A. Novikov	2460	1985	RUS	208	
D. Sahovic	2460	1985	YUG	209	
L. Shamkovich	2460	1985	USA	210	
R. Tischbierek	2460	1985	DDR	211	
Tringov	2460	1985	BUL	212	
L. Vogt	2460	1985	DDR	213	
W.N. Watson	2460	1985	ENG	214	
M. Wilder	2460	1985	USA	215	
V.S. Zhidkov	2460	1985	RUS	216	
J. Ambroz	2455	1985	CSR	217	
K.N. Aseev	2455	1985	RUS	218	
