Name	Rating	Year	Fed	Rank
Gary Kasparov	2795	1997	RUS	1	
Robert J Fischer	2780	1997	USA	2	
Viswanathan Anand	2765	1997	IND	3	
Anatoly Karpov	2760	1997	RUS	4	
Vassily Ivanchuk	2740	1997	UKR	5	
Vladimir Kramnik	2740	1997	RUS	6	
Veselin Topalov	2725	1997	BUL	7	
Gata Kamsky	2720	1997	USA	8	
Boris Gelfand	2700	1997	BLR	9	
Alexei Shirov	2690	1997	ESP	10	
Nigel.D Short	2690	1997	ENG	11	
Michael Adams	2665	1997	ENG	12	
Evgeny Bareev	2665	1997	RUS	13	
Alexander..G Beliavsky	2665	1997	SLO	14	
Artur Jussupow	2665	1997	GER	15	
Valery Salov	2665	1997	RUS	16	
Vladimir Akopian	2660	1997	ARM	17	
Ulf Andersson	2655	1997	SWE	18	
Predrag Nikolic	2655	1997	BIH	19	
Zurab Azmaiparashvili	2650	1997	GEO	20	
Alexey Dreev	2650	1997	RUS	21	
Alexander Khalifman	2650	1997	RUS	22	
Eduardas Rozentalis	2650	1997	LTU	23	
Matthew Sadler	2650	1997	ENG	24	
Kiril Georgiev	2645	1997	BUL	25	
Judit.(GM) Polgar	2645	1997	HUN	26	
Sergei Rublevsky	2645	1997	RUS	27	
Loek Van.Wely	2645	1997	NED	28	
Jeroen Piket	2640	1997	NED	29	
Peter Svidler	2640	1997	RUS	30	
Alexander Chernin	2635	1997	HUN	31	
Jaan Ehlvest	2635	1997	EST	32	
Miguel Illescas.Cordoba	2635	1997	ESP	33	
Viktor Korchnoi	2635	1997	SUI	34	
Zbynek Hracek	2630	1997	CZE	35	
Joel Lautier	2630	1997	FRA	36	
Sergei Movsesian	2630	1997	CZE	37	
Lajos Portisch	2630	1997	HUN	38	
Yasser Seirawan	2630	1997	USA	39	
Jan..H Timman	2630	1997	NED	40	
Vladislav Tkachiev	2630	1997	KAZ	41	
Alex Yermolinsky	2630	1997	USA	42	
Lembit Oll	2625	1997	EST	43	
Igor.V Glek	2620	1997	RUS	44	
Julio..E Granda.Zuniga	2620	1997	PER	45	
Utut Adianto	2615	1997	INA	46	
Aleksej Aleksandrov	2615	1997	BLR	47	
Dimitri Komarov	2615	1997	UKR	48	
Michal Krasenkow	2615	1997	POL	49	
Smbat..G Lputian	2615	1997	ARM	50	
Ivan Sokolov	2615	1997	BIH	51	
Vladimir..P Malaniuk	2610	1997	UKR	52	
Vadim Milov	2610	1997	SUI	53	
Lev Psakhis	2610	1997	ISR	54	
Jonathan.S Speelman	2610	1997	ENG	55	
Vadim Zvjaginsev	2610	1997	RUS	56	
Curt Hansen	2605	1997	DEN	57	
Gilberto Milos	2605	1997	BRA	58	
John.D.M Nunn	2605	1997	ENG	59	
Matthias Wahls	2605	1997	GER	60	
Vladimir Epishin	2600	1997	RUS	61	
Robert.Dr Huebner	2600	1997	GER	62	
Alexander Ivanov	2600	1997	USA	63	
Peter Leko	2600	1997	HUN	64	
Ian Rogers	2600	1997	AUS	65	
Sergei Tiviakov	2600	1997	RUS	66	
Leonid Yudasin	2600	1997	ISR	67	
Zoltan Almasi	2595	1997	HUN	68	
Boris Alterman	2595	1997	ISR	69	
Vereslav..S Eingorn	2595	1997	UKR	70	
Lubomir Ftacnik	2595	1997	SVK	71	
Giorgi Giorgadze	2595	1997	GEO	72	
Boris..F Gulko	2595	1997	USA	73	
Alexander Morozevich	2595	1997	RUS	74	
Mladen Palac	2595	1997	CRO	75	
Rustem Dautov	2590	1997	GER	76	
Semen.I Dvoirys	2590	1997	RUS	77	
Viktor Gavrikov	2590	1997	LTU	78	
Alexander Goldin	2590	1997	RUS	79	
Gregory..S Kaidanov	2590	1997	USA	80	
Oleg Korneev	2590	1997	RUS	81	
Vasilios Kotronias	2590	1997	GRE	82	
Zdenko Kozul	2590	1997	CRO	83	
Josif..D Dorfman	2585	1997	FRA	84	
Mikhail Gurevich	2585	1997	BEL	85	
Ferdinand Hellers	2585	1997	SWE	86	
Johann Hjartarson	2585	1997	ISL	87	
Alexander Huzman	2585	1997	ISR	88	
Edvins Kengis	2585	1997	LAT	89	
Bogdan Lalic	2585	1997	CRO	90	
Alexander Nenashev	2585	1997	UZB	91	
Zoltan Ribli	2585	1997	HUN	92	
Vasil Spasov	2585	1997	BUL	93	
Vladimir..B Tukmakov	2585	1997	UKR	94	
Evgeny Vladimirov	2585	1997	KAZ	95	
Alexey Vyzmanavin	2585	1997	RUS	96	
Yury Dokhoian	2580	1997	RUS	97	
Alexei Fedorov	2580	1997	BLR	98	
Dmitry Gurevich	2580	1997	USA	99	
Ivan Morovic.Fernandez	2580	1997	CHI	100	
Igor..A Novikov	2580	1997	UKR	101	
Alexander Onischuk	2580	1997	UKR	102	
Konstantin Sakaev	2580	1997	RUS	103	
Ruslan Sherbakov	2580	1997	RUS	104	
Andrei Sokolov	2580	1997	RUS	105	
Kevin Spraggett	2580	1997	CAN	106	
Igor Stohl	2580	1997	SVK	107	
Rafael..A Vaganian	2580	1997	ARM	108	
Anatoli Vaisser	2580	1997	FRA	109	
Ashot Anastasian	2575	1997	ARM	110	
Viktor Bologan	2575	1997	MDA	111	
Nick..E DeFirmian	2575	1997	USA	112	
Ilya Gurevich	2575	1997	USA	113	
Joerg Hickl	2575	1997	GER	114	
Igor Khenkin	2575	1997	RUS	115	
Zigurds Lanka	2575	1997	LAT	116	
Jozsef Pinter	2575	1997	HUN	117	
Pablo Ricardi	2575	1997	ARG	118	
Stanislav Savchenko	2575	1997	UKR	119	
Drazen Sermek	2575	1997	SLO	120	
Sergey Smagin	2575	1997	RUS	121	
Ilia Smirin	2575	1997	ISR	122	
Patrick..G Wolff	2575	1997	USA	123	
Yuri Yakovich	2575	1997	RUS	124	
Simen Agdestein	2570	1997	NOR	125	
Ilija Balinov	2570	1997	BUL	126	
Alexei Bezgodov	2570	1997	RUS	127	
Christian Gabriel	2570	1997	GER	128	
Konstantin Landa	2570	1997	RUS	129	
Konstantin..Z Lerner	2570	1997	UKR	130	
Ljubomir Ljubojevic	2570	1997	YUG	131	
Eric Lobron	2570	1997	GER	132	
Jordi Magem.Badals	2570	1997	ESP	133	
Eugenio Torre	2570	1997	PHI	134	
Gerald Hertneck	2565	1997	GER	135	
Zlatko Ilincic	2565	1997	YUG	136	
Elmar Magerramov	2565	1997	AZE	137	
Ioannis Nikolaidis	2565	1997	GRE	138	
Margeir Petursson	2565	1997	ISL	139	
Evgeny Pigusov	2565	1997	RUS	140	
Zsuzsa.(GM) Polgar	2565	1997	HUN	141	
Ruslan Ponomariov	2565	1997	UKR	142	
Yuri..S Razuvaev	2565	1997	RUS	143	
Andres Rodriguez	2565	1997	URU	144	
Michael..A Rohde	2565	1997	USA	145	
Aleksandr Shneider	2565	1997	UKR	146	
Aleksander Wojtkiewicz	2565	1997	POL	147	
Walter Arencibia	2560	1997	CUB	148	
Alexander Baburin	2560	1997	IRL	149	
Larry..M Christiansen	2560	1997	USA	150	
Sergey Dolmatov	2560	1997	RUS	151	
Julian.M Hodgson	2560	1997	ENG	152	
Yona Kosashvili	2560	1997	ISR	153	
Henrique Mecking	2560	1997	BRA	154	
Philipp Schlosser	2560	1997	GER	155	
Maxim Sorokin	2560	1997	ARG	156	
Zurab Sturua	2560	1997	GEO	157	
Emil Sutovsky	2560	1997	ISR	158	
Evgeny Sveshnikov	2560	1997	RUS	159	
Pablo Zarnicki	2560	1997	ARG	160	
Suat Atalik	2555	1997	TUR	161	
Valery Beim	2555	1997	ISR	162	
Joel Benjamin	2555	1997	USA	163	
Daniel.H Campora	2555	1997	ARG	164	
Murray.G Chandler	2555	1997	ENG	165	
