Name	Rating	Year	Fed	Rank
An. Karpov	2725	1980	RUS	1	
Tal	2705	1980	RUS	2	
V. Kortchnoi	2695	1980	SUI	3	
L. Portisch	2655	1980	HUN	4	
L. Polugaevsky	2635	1980	RUS	5	
H. Mecking	2615	1980	BRA	6	
T. Petrosian	2615	1980	RUS	7	
B. Spassky	2615	1980	RUS	8	
Z. Ribli	2610	1980	HUN	9	
F. Gheorghiu	2605	1980	ROM	10	
Y. Balashov	2600	1980	RUS	11	
R. Huebner	2600	1980	FRG	12	
L. Kavalek	2600	1980	USA	13	
J. Timman	2600	1980	NED	14	
V. Cseshkovsky	2595	1980	RUS	15	
V. Hort	2595	1980	CSR	16	
G. Kasparov	2595	1980	RUS	17	
U. Andersson	2590	1980	SWE	18	
A. Beliavsky	2590	1980	RUS	19	
B. Gulko	2590	1980	RUS	20	
B. Larsen	2590	1980	DEN	21	
Lj. Ljubojevic	2590	1980	YUG	22	
R. Vaganian	2590	1980	RUS	23	
O. Romanishin	2580	1980	RUS	24	
R. Dzindzichashvili	2570	1980	ISR	25	
Gy. Sax	2570	1980	HUN	26	
E. Sveshnikov	2570	1980	RUS	27	
E.P. Geller	2565	1980	RUS	28	
S. Gligoric	2565	1980	YUG	29	
V.K. Bagirov	2560	1980	RUS	30	
V. Tukmakov	2560	1980	RUS	31	
J. Smejkal	2555	1980	CSR	32	
A. Adorjan	2550	1980	HUN	33	
N. Krogius	2550	1980	RUS	34	
V. Smyslov	2550	1980	RUS	35	
V. Liberzon	2545	1980	ISR	36	
F. Olafsson	2545	1980	ISL	37	
G. Sosonko	2545	1980	NED	38	
E. Vasiukov	2545	1980	RUS	39	
W.S. Browne	2540	1980	USA	40	
I. Dorfman	2540	1980	RUS	41	
T. Georgadze	2540	1980	RUS	42	
O. Panno	2540	1980	ARG	43	
D. Bronstein	2535	1980	RUS	44	
S. Dolmatov	2535	1980	RUS	45	
R. Kholmov	2535	1980	RUS	46	
R. Knaak	2535	1980	DDR	47	
A. Kochiyev	2535	1980	RUS	48	
V. Kupreichik	2535	1980	CAN	49	
J. Pinter	2535	1980	HUN	50	
L. Psakhis	2535	1980	RUS	51	
Tarjan	2535	1980	USA	52	
R. Byrne	2530	1980	USA	53	
B. Ivkov	2530	1980	YUG	54	
G.P. Kuzmin	2530	1980	RUS	55	
L. Schmid	2530	1980	FRG	56	
M.F. Stean	2530	1980	ENG	57	
Gen. Timoshchenko	2530	1980	RUS	58	
W. Lombardy	2525	1980	USA	59	
H. Pfleger	2525	1980	FRG	60	
L.M. Evans	2520	1980	USA	61	
A. Lein	2520	1980	USA	62	
B. Malich	2520	1980	DDR	63	
Parma B.	2520	1980	YUG	64	
N. Rashkovsky	2520	1980	RUS	65	
Ree	2520	1980	NED	66	
K. Rogoff	2520	1980	USA	67	
E. Torre	2520	1980	PHI	68	
V.S. Zhidkov	2520	1980	RUS	69	
L.O. Alburt	2515	1980	USA	70	
Ji. Nun	2515	1980	ENG	71	
Quinteros	2515	1980	ARG	72	
Razuvaev	2515	1980	RUS	73	
L. Shamkovich	2515	1980	USA	74	
Mark Tseitlin	2515	1980	RUS	75	
D. Velimirovic	2515	1980	YUG	76	
I. Csom	2510	1980	HUN	77	
M.I. Dvorietzky	2510	1980	RUS	78	
E. Gufeld	2510	1980	RUS	79	
Vlado Kovacevic	2510	1980	YUG	80	
Najdorf	2510	1980	ARG	81	
L. Pachman	2510	1980	FRG	82	
Savon	2510	1980	RUS	83	
Y. Seirawan	2510	1980	USA	84	
M. Taimanov	2510	1980	RUS	85	
W. Uhlmann	2510	1980	DDR	86	
W. Unzicker	2510	1980	FRG	87	
L. Vogt	2510	1980	DDR	88	
I. Farago	2505	1980	HUN	89	
G. Garcia Gonzales	2505	1980	CUB	90	
B. Gurgenidze	2505	1980	RUS	91	
B. Kurajica	2505	1980	YUG	92	
S. Palatnik	2505	1980	RUS	93	
L. Szabo	2505	1980	HUN	94	
E. Bukic	2500	1980	YUG	95	
A. Gipslis	2500	1980	RUS	96	
S. Mariotti	2500	1980	ITA	97	
A.S. Suetin	2500	1980	RUS	98	
Mikh. Tseitlin	2500	1980	RUS	99	
L. Vadasz	2500	1980	HUN	100	
K. Darga	2495	1980	FRG	101	
E. Ermenkov	2495	1980	BUL	102	
K. Lerner	2495	1980	RUS	103	
S. Makarichev	2495	1980	RUS	104	
A. Matanovic	2495	1980	YUG	105	
Ney	2495	1980	RUS	106	
A.N. Panchenko	2495	1980	RUS	107	
D. Rajkovic	2495	1980	YUG	108	
Y.L. Averbakh	2490	1980	RUS	109	
O. Dementiev	2490	1980	RUS	110	
M. Filip	2490	1980	CSR	111	
Gy.V. Forintos	2490	1980	HUN	112	
M. Knezevic	2490	1980	YUG	113	
B. Marjasin	2490	1980	RUS	114	
A. Mikhalchishin	2490	1980	RUS	115	
P. Popovic	2490	1980	YUG	116	
