Name	Rating	Year	Rank	Fed
G. Kasparov	2720	1986	USR	1	
An. Karpov	2700	1986	USR	2	
J. Timman	2645	1986	NED	3	
R. Vaganian	2645	1986	USR	4	
A. Yusupov	2645	1986	USR	5	
V. Kortchnoi	2635	1986	SUI	6	
A. Beliavsky	2625	1986	USR	7	
R. Huebner	2625	1986	FRG	8	
A.J. Miles	2610	1986	ENG	9	
L. Portisch	2610	1986	HUN	10	
B. Spassky	2610	1986	USR	11	
Lj. Ljubojevic	2605	1986	YUG	12	
Y. Seirawan	2605	1986	USA	13	
Tal	2600	1986	USR	14	
A. Sokolov	2595	1986	USR	15	
U. Andersson	2585	1986	SWE	16	
Nunn J.D.M.	2585	1986	ENG	17	
Z. Ribli	2585	1986	HUN	18	
N.D. Short	2585	1986	ENG	19	
B. Larsen	2575	1986	DEN	20	
L. Polugaevsky	2575	1986	USR	21	
V. Smyslov	2575	1986	USR	22	
D. Velimirovic	2575	1986	YUG	23	
A. Chernin	2570	1986	USR	24	
J. Nogueiras	2570	1986	CUB	25	
V. Tukmakov	2570	1986	USR	26	
Pr. Nikolic	2565	1986	YUG	27	
V.S. Eingorn	2560	1986	USR	28	
L. Kavalek	2560	1986	USA	29	
O. Romanishin	2560	1986	USR	30	
J. Speelman	2560	1986	ENG	31	
E. Sveshnikov	2560	1986	USR	32	
A. Adorjan	2555	1986	HUN	33	
Joel Benjamin	2555	1986	USA	34	
L. Christiansen	2555	1986	USA	35	
J. Pinter	2555	1986	HUN	36	
L. Psakhis	2555	1986	USR	37	
J. Van der Wiel	2555	1986	NED	38	
C. Garcia Palermo	2550	1986	ARG	39	
V.N. Gavrikov	2550	1986	USR	40	
J. Smejkal	2550	1986	CSR	41	
G. Agzamov	2545	1986	USR	42	
S. Arkhipov	2545	1986	USR	43	
M. Dlugy	2545	1986	USA	44	
Kir. Georgiev	2545	1986	BUL	45	
V. Hort	2545	1986	FRG	46	
S. Lputian	2545	1986	USR	47	
H. Olafsson	2545	1986	ISL	48	
