Name	Rating	Year	Rank	Fed
G. Kasparov	2800	1990	USR	1	
An. Karpov	2730	1990	USR	2	
J.H. Timman	2680	1990	NED	3	
V. Ivanchuk	2665	1990	USR	4	
M. Gurevich	2645	1990	USR	5	
V. Salov	2645	1990	USR	6	
A. Beliavsky	2640	1990	USR	7	
N.D. Short	2635	1990	ENG	8	
U. Andersson	2630	1990	SWE	9	
V. Kortschnoj	2625	1990	SUI	10	
Lj. Ljubojevic	2625	1990	YUG	11	
S. Dolmatov	2620	1990	USR	12	
J. Ehlvest	2620	1990	USR	13	
B. Gelfand	2615	1990	USR	14	
A. Yusupov	2615	1990	USR	15	
Z. Azmayparashvili	2610	1990	USR	16	
B.F. Gulko	2610	1990	USA	17	
L. Polugaevsky	2610	1990	USR	18	
J.S. Speelman	2610	1990	ENG	19	
A. Dreev	2605	1990	USR	20	
Ki. Georgiev	2605	1990	BUL	21	
L. Portisch	2605	1990	HUN	22	
Z. Ribli	2605	1990	HUN	23	
Gy. Sax	2605	1990	HUN	24	
R.A. Vaganian	2605	1990	USR	25	
S. Agdestein	2600	1990	NOR	26	
A. Chernin	2600	1990	USR	27	
Pr. Nikolic	2600	1990	YUG	28	
J.D.M. Nunn	2600	1990	ENG	29	
I.D. Dorfman	2595	1990	USR	30	
R. Huebner	2595	1990	FRG	31	
Y. Seirawan	2595	1990	USA	32	
E. Bareev	2590	1990	USR	33	
M. Chandler	2585	1990	ENG	34	
A. Sokolov	2585	1990	USR	35	
M.N. Tal	2585	1990	USR	36	
V.N. Gavrikov	2580	1990	USR	37	
A.J. Miles	2580	1990	USA	38	
Z. Kozul	2575	1990	YUG	39	
H. Olafsson	2575	1990	ISL	40	
L. Yudasin	2575	1990	USR	41	
V.S. Eingorn	2570	1990	USR	42	
Cu. Hansen	2570	1990	DEN	43	
L. Oll	2570	1990	USR	44	
L. Psakhis	2570	1990	USR	45	
V. Smyslov	2570	1990	USR	46	
V.B. Tukmakov	2570	1990	USR	47	
L.O. Alburt	2565	1990	USA	48	
N.E. De Firmian	2565	1990	USA	49	
S. Kudrin	2565	1990	USA	50	
V. Ruban	2565	1990	USR	51	
E. Vladimirov	2565	1990	USR	52	
M. Wahls	2565	1990	FRG	53	
W.S. Browne	2560	1990	USA	54	
L.M. Christiansen	2560	1990	USA	55	
R. Dautov	2560	1990	USR	56	
J.P. Fedorowicz	2560	1990	USA	57	
L. Ftacnik	2560	1990	CSR	58	
V. Hort	2560	1990	FRG	59	
K. Hulak	2560	1990	YUG	60	
L. Kavalek	2560	1990	USA	61	
A. Khalifman	2560	1990	USR	62	
S. Kindermann	2560	1990	FRG	63	
K.Z. Lerner	2560	1990	USR	64	
B.V. Spassky	2560	1990	FRA	65	
A. Vyzmanavin	2560	1990	USR	66	
M. Adams	2555	1990	ENG	67	
V. Anand	2555	1990	IND	68	
J. Nogueiras	2555	1990	CUB	69	
M. Petursson	2555	1990	ISL	70	
J. Pinter	2555	1990	HUN	71	
M.A. Rohde	2555	1990	USA	72	
K. Spraggett	2555	1990	CAN	73	
V. Akopian	2550	1990	USR	74	
V. Epishin	2550	1990	USR	75	
B. Larsen	2550	1990	DEN	76	
I.A. Novikov	2550	1990	USR	77	
J. Polgar	2550	1990	HUN	78	
I. Sokolov	2550	1990	YUG	79	
M. Todorcevic	2550	1990	YUG	80	
E. Torre	2550	1990	PHI	81	
J.T.H. Van der Wiel	2550	1990	NED	82	
A. Wojtkiewicz	2550	1990	POL	83	
K.N. Aseev	2545	1990	USR	84	
R. Dzindzichashvili	2545	1990	USA	85	
A. Groszpeter	2545	1990	HUN	86	
M. Krasenkov	2545	1990	USR	87	
E. Lobron	2545	1990	FRG	88	
S.G. Lputian	2545	1990	USR	89	
E. Pigusov	2545	1990	USR	90	
Y.S. Razuvaev	2545	1990	USR	91	
E. Vasiukov	2545	1990	USR	92	
Y. Dokhoian	2540	1990	USR	93	
J.M. Hodgson	2540	1990	ENG	94	
Vlado Kovacevic	2540	1990	YUG	95	
N.V. Krogius	2540	1990	USR	96	
N.N. Rashkovsky	2540	1990	USR	97	
G. Timoshenko	2540	1990	USR	98	
A.V. Vaiser	2540	1990	USR	99	
M. Wilder	2540	1990	USA	100	
Y.S. Balashov	2535	1990	USR	101	
B. Damljanovic	2535	1990	YUG	102	
S.I. Dvoirys	2535	1990	USR	103	
I.V. Glek	2535	1990	USR	104	
I. Morovic Fernandez	2535	1990	CHI	105	
I. Smirin	2535	1990	USR	106	
A. Yermolinsky	2535	1990	USR	107	
Joel Benjamin	2530	1990	USA	108	
U. Boensch	2530	1990	DDR	109	
A. Greenfeld	2530	1990	ISR	110	
Y. Gruenfeld	2530	1990	ISR	111	
M. Hebden	2530	1990	ENG	112	
M. Illescas Cordoba	2530	1990	ESP	113	
G. Milos	2530	1990	BRA	114	
Y. Murey	2530	1990	FRA	115	
D. Norwood	2530	1990	ENG	116	
J. Smejkal	2530	1990	CSR	117	
I. Stohl	2530	1990	CSR	118	
Jiangchuan Ye	2530	1990	CHN	119	
U. Adianto	2525	1990	INA	120	
L. Brunner	2525	1990	SUI	121	
M. Cebalo	2525	1990	YUG	122	
O. Cvitan	2525	1990	YUG	123	
M. Dlugy	2525	1990	USA	124	
D. Donchev	2525	1990	BUL	125	
A. Goldin	2525	1990	USR	126	
F. Hellers	2525	1990	SWE	127	
Jozsef Horvath	2525	1990	HUN	128	
J.A. Mestel	2525	1990	ENG	129	
V. Moskalenko	2525	1990	USR	130	
A. Phominyh	2525	1990	USR	131	
O.M. Romanishin	2525	1990	USR	132	
G. Sosonko	2525	1990	NED	133	
J.E. Tarjan	2525	1990	USA	134	
D. Velimirovic	2525	1990	YUG	135	
Zili Wang	2525	1990	CHN	136	
A. Adorjan	2520	1990	HUN	137	
D. Barlov	2520	1990	YUG	138	
D.H. Campora	2520	1990	ARG	139	
T. Georgadze	2520	1990	USR	140	
Alexa.V. Ivanov	2520	1990	USA	141	
B. Ivanovic	2520	1990	YUG	142	
L. Karlsson	2520	1990	SWE	143	
P. Popovic	2520	1990	YUG	144	
O. Renet	2520	1990	FRA	145	
E. Rosentalis	2520	1990	USR	146	
S. Smagin	2520	1990	USR	147	
E.P. Geller	2515	1990	USR	148	
D.J. King	2515	1990	ENG	149	
I. Rogers	2515	1990	AUS	150	
E. Sveshnikov	2515	1990	USR	151	
M.E. Taimanov	2515	1990	USR	152	
E. Ubilava	2515	1990	USR	153	
P. Van der Sterren	2515	1990	NED	154	
P. Blatny	2510	1990	CSR	155	
J.E. Granda Zuniga	2510	1990	PER	156	
V. Inkiov	2510	1990	BUL	157	
G. Kamsky	2510	1990	USA	158	
S. Makarichev	2510	1990	USR	159	
O. Panno	2510	1990	ARG	160	
K. Bischoff	2505	1990	FRG	161	
I. Csom	2505	1990	HUN	162	
J. Hjartarson	2505	1990	ISL	163	
V.A. Loginov	2505	1990	USR	164	
P. Lukacs	2505	1990	HUN	165	
V.P. Malaniuk	2505	1990	USR	166	
K. Mokry	2505	1990	CSR	167	
V. Neverov	2505	1990	USR	168	
G. Orlov	2505	1990	USR	169	
M. Palac	2505	1990	YUG	170	
J.A. Peters	2505	1990	USA	171	
H. Pfleger	2505	1990	FRG	172	
M. Rivas Pastor	2505	1990	ESP	173	
R. Simic	2505	1990	YUG	174	
M. Suba	2505	1990	ENG	175	
G.A. Timoshchenko	2505	1990	USR	176	
W. Uhlmann	2505	1990	DDR	177	
R. Wessman	2505	1990	SWE	178	
Jun Xu	2505	1990	CHN	179	
L. Yurtaev	2505	1990	USR	180	
J. Arnason	2500	1990	ISL	181	
J. Borges Mateos	2500	1990	CUB	182	
G. Garcia Gonzales	2500	1990	CUB	183	
J. Hickl	2500	1990	FRG	184	
G.S. Kaidanov	2500	1990	USR	185	
V. Karpman	2500	1990	USR	186	
E. Kengis	2500	1990	USR	187	
A.Y. Kharitonov	2500	1990	USR	188	
R. Knaak	2500	1990	DDR	189	
V. Kotronias	2500	1990	GRE	190	
A. Kovalev	2500	1990	USR	191	
J. Lautier	2500	1990	FRA	192	
E. Magerramov	2500	1990	USR	193	
V. Malishauskas	2500	1990	USR	194	
E.B. Meyer	2500	1990	USA	195	
Zsu. Polgar	2500	1990	HUN	196	
O. Rodriguez	2500	1990	PER	197	
M.N. Sher	2500	1990	USR	198	
A. Shirov	2500	1990	USR	199	
M. Ulybin	2500	1990	USR	200	
L. Vogt	2500	1990	DDR	201	
P.G. Wolff	2500	1990	USA	202	
B. Abramovic	2495	1990	YUG	203	
B. Badea-Takacs	2495	1990	ROM	204	
A. Bykhovsky	2495	1990	USR	205	
S. Djuric	2495	1990	YUG	206	
A. Dozorets	2495	1990	USA	207	
V.J. Frias	2495	1990	USA	208	
I.V. Ivanov	2495	1990	USA	209	
S. Kishnev	2495	1990	USR	210	
A. Kuzmin	2495	1990	USR	211	
G.P. Kuzmin	2495	1990	USR	212	
Mi. Lazic	2495	1990	YUG	213	
A.D. Machulsky	2495	1990	USR	214	
Je. Piket	2495	1990	NED	215	
Am. Rodriguez	2495	1990	CUB	216	
V. Topalov	2495	1990	BUL	217	
P. Velikov	2495	1990	BUL	218	
M.I. Vukic	2495	1990	YUG	219	
J. Yrjola	2495	1990	FIN	220	
A. Anastasian	2490	1990	USR	221	
D. Barua	2490	1990	IND	222	
V. Cseshkovsky	2490	1990	USR	223	
R.W. Henley	2490	1990	USA	224	
A. Huzman	2490	1990	USR	225	
Z. Ilincic	2490	1990	YUG	226	
B. Kouatly	2490	1990	FRA	227	
V. Kramnik	2490	1990	USR	228	
M. Kuijf	2490	1990	NED	229	
V.D. Kupreichik	2490	1990	USR	230	
A. Matanovic	2490	1990	YUG	231	
H. Schussler	2490	1990	SWE	232	
Se. Tiviakov	2490	1990	USR	233	
T. Tolnai	2490	1990	HUN	234	
G. Tunik	2490	1990	USR	235	
Rongguang Ye	2490	1990	CHN	236	
L. Bass	2485	1990	USA	237	
G. Georgadze	2485	1990	USR	238	
S. Gligoric	2485	1990	YUG	239	
R.D. Kholmov	2485	1990	USR	240	
A.C. Kosten	2485	1990	ENG	241	
A. Lein	2485	1990	USA	242	
E. Meduna	2485	1990	CSR	243	
A. Mikhalchishin	2485	1990	USR	244	
F. Nijboer	2485	1990	NED	245	
J. Nikolac	2485	1990	YUG	246	
F. Olafsson	2485	1990	ISL	247	
A. Shneider	2485	1990	USR	248	
A. Sznapik	2485	1990	POL	249	
T. Wedberg	2485	1990	SWE	250	
F. Braga	2480	1990	ITA	251	
G. Cabrilo	2480	1990	YUG	252	
E. Ermenkov	2480	1990	BUL	253	
A. Fauland	2480	1990	AUT	254	
A.P. Gipslis	2480	1990	USR	255	
G. Hertneck	2480	1990	FRG	256	
S. Ionov	2480	1990	USR	257	
B. Ivkov	2480	1990	YUG	258	
B. Kurajica	2480	1990	YUG	259	
