Name	Rating	Year	Fed	Rank
G. Kasparov	2750	1988	RUS	1	
An. Karpov	2715	1988	RUS	2	
J. Timman	2675	1988	NED	3	
A. Beliavsky	2645	1988	RUS	4	
V. Kortchnoi	2640	1988	SUI	5	
Pr. Nikolic	2630	1988	YUG	6	
N.D. Short	2630	1988	ENG	7	
Tal	2630	1988	RUS	8	
M. Gurevich	2625	1988	RUS	9	
J. Speelman	2625	1988	ENG	10	
R. Vaganian	2625	1988	RUS	11	
Z. Ribli	2620	1988	HUN	12	
A. Yusupov	2620	1988	RUS	13	
J.D.M. Nunn	2615	1988	ENG	14	
Lj. Ljubojevic	2610	1988	YUG	15	
L. Portisch	2610	1988	HUN	16	
Gy. Sax	2610	1988	HUN	17	
U. Andersson	2605	1988	SWE	18	
Kir. Georgiev	2595	1988	BUL	19	
B. Gulko	2595	1988	USA	20	
R. Huebner	2595	1988	FRG	21	
V. Salov	2595	1988	RUS	22	
Y. Seirawan	2595	1988	USA	23	
A. Sokolov	2595	1988	RUS	24	
M. Chandler	2590	1988	ENG	25	
J. Hjartarson	2590	1988	ISL	26	
V. Hort	2590	1988	FRG	27	
J. Ehlvest	2585	1988	RUS	28	
K. Spraggett	2580	1988	CAN	29	
U. Boensch	2575	1988	DDR	30	
L. Christiansen	2575	1988	USA	31	
L. Polugaevsky	2575	1988	RUS	32	
V.S. Eingorn	2570	1988	RUS	33	
L. Ftacnik	2570	1988	CSR	34	
B. Larsen	2570	1988	DEN	35	
J. Pinter	2570	1988	HUN	36	
P. Popovic	2570	1988	YUG	37	
O. Romanishin	2570	1988	RUS	38	
V. Tukmakov	2570	1988	RUS	39	
Joel Benjamin	2565	1988	USA	40	
S. Dolmatov	2565	1988	RUS	41	
B. Spassky	2565	1988	RUS	42	
S. Agdestein	2560	1988	NOR	43	
A. Chernin	2560	1988	RUS	44	
M.G. Chiburdanidze	2560	1988	RUS	45	
J.P. Fedorowicz	2560	1988	USA	46	
C. Hansen	2560	1988	DEN	47	
L. Kavalek	2560	1988	USA	48	
J. Nogueiras	2560	1988	CUB	49	
Y. Balashov	2555	1988	RUS	50	
E. Bareev	2555	1988	RUS	51	
S. Kudrin	2555	1988	USA	52	
S. Lputian	2555	1988	RUS	53	
M.A. Rohde	2555	1988	USA	54	
J. Van der Wiel	2555	1988	NED	55	
M. Dlugy	2550	1988	USA	56	
Y. Gruenfeld	2550	1988	ISR	57	
L. Psakhis	2550	1988	RUS	58	
V. Smyslov	2550	1988	RUS	59	
M. Suba	2550	1988	ROM	60	
D. Velimirovic	2550	1988	YUG	61	
V.N. Gavrikov	2545	1988	RUS	62	
I. Sokolov	2545	1988	YUG	63	
E. Torre	2545	1988	PHI	64	
A. Adorjan	2540	1988	HUN	65	
Z. Azmayparashvili	2540	1988	RUS	66	
D.H. Campora	2540	1988	ARG	67	
J.E. Granda Zuniga	2540	1988	PER	68	
R. Lau	2540	1988	FRG	69	
A.J. Miles	2540	1988	USA	70	
M. Petursson	2540	1988	ISL	71	
Am. Rodriguez	2540	1988	CUB	72	
S. Smagin	2540	1988	RUS	73	
A. Vyzmanavin	2540	1988	RUS	74	
L.O. Alburt	2535	1988	USA	75	
F. Gheorghiu	2535	1988	ROM	76	
V. Ivanchuk	2535	1988	RUS	77	
I. Morovic F	2535	1988	CHI	78	
Y. Murey	2535	1988	ISR	79	
G. Sosonko	2535	1988	NED	80	
W.N. Watson	2535	1988	ENG	81	
M. Wilder	2535	1988	USA	82	
W.S. Browne	2530	1988	USA	83	
R. Cifuentes Parada	2530	1988	CHI	84	
R. Dzindzichashvili	2530	1988	USA	85	
B. Ivanovic	2530	1988	YUG	86	
P.G. Wolff	2530	1988	USA	87	
U. Adianto	2525	1988	INA	88	
B. Damljanovic	2525	1988	YUG	89	
R. Knaak	2525	1988	DDR	90	
E. Pigusov	2525	1988	RUS	91	
Razuvaev	2525	1988	RUS	92	
Tarjan	2525	1988	USA	93	
E. Vladimirov	2525	1988	RUS	94	
V. Anand	2520	1988	IND	95	
D. Barlov	2520	1988	YUG	96	
O. Cvitan	2520	1988	YUG	97	
I. Dorfman	2520	1988	RUS	98	
I. Rogers	2520	1988	AUS	99	
E. Rosentalis	2520	1988	RUS	100	
M. Cebalo	2515	1988	YUG	101	
R. Dautov	2515	1988	RUS	102	
N. De Firmian	2515	1988	USA	103	
Y. Dokhoian	2515	1988	RUS	104	
S. Gligoric	2515	1988	YUG	105	
G. Kaidanov	2515	1988	RUS	106	
A. Kharitonov	2515	1988	RUS	107	
A. Kosten	2515	1988	ENG	108	
Vlado Kovacevic	2515	1988	YUG	109	
K. Lerner	2515	1988	RUS	110	
V.-P. Malaniuk	2515	1988	RUS	111	
O. Panno	2515	1988	ARG	112	
R. Simic	2515	1988	YUG	113	
J. Smejkal	2515	1988	CSR	114	
J. Arnason	2510	1988	ISL	115	
A. Greenfeld	2510	1988	ISR	116	
L. Karlsson	2510	1988	SWE	117	
V. Kupreichik	2510	1988	RUS	118	
Mestelj.	2510	1988	ENG	119	
G. Milos	2510	1988	BRA	120	
H. Olafsson	2510	1988	ISL	121	
I. Smirin	2510	1988	RUS	122	
G.F. Barbero	2505	1988	ARG	123	
G. Cabrilo	2505	1988	YUG	124	
C. Garcia Palermo	2505	1988	ARG	125	
B. Gelfand	2505	1988	RUS	126	
E.P. Geller	2505	1988	RUS	127	
T. Georgadze	2505	1988	RUS	128	
A. Gipslis	2505	1988	RUS	129	
R. Henley	2505	1988	USA	130	
I.V. Ivanov	2505	1988	CAN	131	
A. Khalifman	2505	1988	RUS	132	
J. Klinger	2505	1988	AUT	133	
E. Meduna	2505	1988	CSR	134	
M. Rivas Pastor	2505	1988	ESP	135	
W. Uhlmann	2505	1988	DDR	136	
Jun Xu	2505	1988	CHN	137	
Jiangchuan Ye	2505	1988	CHN	138	
M.-V. Ghinda	2500	1988	ROM	139	
I. Glek	2500	1988	RUS	140	
A. Goldin	2500	1988	RUS	141	
S. Kindermann	2500	1988	FRG	142	
J. Nikolac	2500	1988	YUG	143	
Th. Paehtz	2500	1988	DDR	144	
M.F. Stean	2500	1988	ENG	145	
P. Stefanov	2500	1988	ROM	146	
R. Tischbierek	2500	1988	DDR	147	
A. Zapata	2500	1988	COL	148	
I. Csom	2495	1988	HUN	149	
A. Dozorets	2495	1988	USA	150	
O. Foisor	2495	1988	ROM	151	
A. Groszpeter	2495	1988	HUN	152	
M. Illescas Cordoba	2495	1988	ESP	153	
B. Lalic	2495	1988	YUG	154	
K. Ninov	2495	1988	BUL	155	
J.A. Peters	2495	1988	USA	156	
D. Rajkovic	2495	1988	YUG	157	
Gy. Rajna	2495	1988	HUN	158	
G. Zaitshik	2495	1988	RUS	159	
R. Byrne	2490	1988	USA	160	
G. Dizdar	2490	1988	YUG	161	
Kr. Georgiev	2490	1988	BUL	162	
A. Huzman	2490	1988	RUS	163	
V. Inkiov	2490	1988	BUL	164	
V. Karpman	2490	1988	RUS	165	
B. Kurajica	2490	1988	YUG	166	
E. Lobron	2490	1988	FRG	167	
P. Lukacs	2490	1988	HUN	168	
M. Marin	2490	1988	ROM	169	
A. Matanovic	2490	1988	YUG	170	
A. Mikhalchishin	2490	1988	RUS	171	
S. Palatnik	2490	1988	RUS	172	
N. Rashkovsky	2490	1988	RUS	173	
J. Sunye Neto	2490	1988	BRA	174	
A. Vaiser	2490	1988	RUS	175	
Vasiukov	2490	1988	RUS	176	
J. Bolbochan	2485	1988	ARG	177	
J.C. Diaz	2485	1988	CUB	178	
E. Dizdarevic	2485	1988	YUG	179	
A. Dreev	2485	1988	RUS	180	
V.J.. Frias	2485	1988	USA	181	
N. Gaprindashvili	2485	1988	RUS	182	
G. Garcia Gonzales	2485	1988	CUB	183	
E. Gufeld	2485	1988	RUS	184	
F. Hellers	2485	1988	SWE	185	
J. Hickl	2485	1988	FRG	186	
R. Kuczynski	2485	1988	POL	187	
S. Makarichev	2485	1988	RUS	188	
I. Naumkin	2485	1988	RUS	189	
I.A. Novikov	2485	1988	RUS	190	
F. Olafsson	2485	1988	ISL	191	
H. Pfleger	2485	1988	FRG	192	
A. Sorin	2485	1988	ARG	193	
G.A. Timoshchenko	2485	1988	RUS	194	
D. Uddenfeldt	2485	1988	SWE	195	
L. Yurtaev	2485	1988	RUS	196	
V.K. Bagirov	2480	1988	RUS	197	
D. Barua	2480	1988	IND	198	
E. Ermenkov	2480	1988	BUL	199	
M. Filip	2480	1988	CSR	200	
J.G. Gallagher	2480	1988	ENG	201	
J.M. Hodgson	2480	1988	ENG	202	
Jo. Horvath	2480	1988	HUN	203	
S. Marjanovic	2480	1988	YUG	204	
Parma B.	2480	1988	YUG	205	
A. Petrosian	2480	1988	RUS	206	
K. Rasmussen	2480	1988	DEN	207	
Ree	2480	1988	NED	208	
A. Sznapik	2480	1988	POL	209	
S. Djuric	2475	1988	YUG	210	
M.I. Dvorietzky	2475	1988	RUS	211	
V. Epishin	2475	1988	RUS	212	
I. Farago	2475	1988	HUN	213	
D. Gurevich	2475	1988	USA	214	
P. Haba	2475	1988	CSR	215	
M. Hebden	2475	1988	ENG	216	
Hulak	2475	1988	YUG	217	
Jr. Karolyi	2475	1988	HUN	218	
D.J. King	2475	1988	ENG	219	
G.P. Kuzmin	2475	1988	RUS	220	
A. Lein	2475	1988	USA	221	
A.N. Panchenko	2475	1988	RUS	222	
Zsu. Polgar	2475	1988	HUN	223	
V. Raicevic	2475	1988	YUG	224	
G. Rechlis	2475	1988	ISR	225	
H. Schussler	2475	1988	SWE	226	
M. Todorcevic	2475	1988	YUG	227	
P. Velikov	2475	1988	BUL	228	
T. Wedberg	2475	1988	SWE	229	
L. Yudasin	2475	1988	RUS	230	
V. Didishko	2470	1988	RUS	231	
D. Donchev	2470	1988	BUL	232	
E. Kengis	2470	1988	RUS	233	
N. Kirov	2470	1988	BUL	234	
Z. Kozul	2470	1988	YUG	235	
J. Lechtynsky	2470	1988	CSR	236	
D. Marovic	2470	1988	YUG	237	
E. Meyer	2470	1988	USA	238	
Ji. Nun	2470	1988	CSR	239	
Je. Piket	2470	1988	NED	240	
M. Popchev	2470	1988	BUL	241	
S. Semkov	2470	1988	BUL	242	
M. Taimanov	2470	1988	RUS	243	
P. Van der Sterren	2470	1988	NED	244	
Zueger	2470	1988	SUI	245	
N. Aleksic	2465	1988	YUG	246	
S. Arkhipov	2465	1988	RUS	247	
Y.L. Averbakh	2465	1988	RUS	248	
O. Averkin	2465	1988	RUS	249	
K. Bischoff	2465	1988	FRG	250	
M. Drasko	2465	1988	YUG	251	
M. Dzevlan	2465	1988	YUG	252	
H.-U. Gruenberg	2465	1988	DDR	253	
L. Gutman	2465	1988	ISR	254	
K.J. Helmers	2465	1988	NOR	255	
G. Hertneck	2465	1988	FRG	256	
V. Jansa	2465	1988	CSR	257	
A. Kochiyev	2465	1988	RUS	258	
