Name	Rating	Year	Fed	Rank
Christopher Lutz	2550	1993	GER	137	
Valeriy Neverov	2550	1993	UKR	138	
Nukhim..N Rashkovsky	2550	1993	RUS	139	
William.N Watson	2550	1993	ENG	140	
Andras Adorjan	2545	1993	HUN	141	
Yuri..S Balashov	2545	1993	RUS	142	
Igor.V Glek	2545	1993	RUS	143	
Lars.Bo Hansen	2545	1993	DEN	144	
Vlastimil Hort	2545	1993	GER	145	
Zigurds Lanka	2545	1993	LAT	146	
Weiguo Lin	2545	1993	CHN	147	
Sergey Makarichev	2545	1993	RUS	148	
Jaime Sunye.Neto	2545	1993	BRA	149	
Emir Dizdarevic	2540	1993	BIH	150	
Thomas Ernst	2540	1993	SWE	151	
Giorgi Giorgadze	2540	1993	GEO	152	
Joerg Hickl	2540	1993	GER	153	
Krunoslav Hulak	2540	1993	CRO	154	
Ildar Ibragimov	2540	1993	RUS	155	
Bent Larsen	2540	1993	DEN	156	
Igor..A Novikov	2540	1993	UKR	157	
Matthew Sadler	2540	1993	ENG	158	
Aleksandr Shneider	2540	1993	UKR	159	
Igor Stohl	2540	1993	SVK	160	
Eugenio Torre	2540	1993	PHI	161	
Vitaly Tseshkovsky	2540	1993	RUS	162	
Michael Wilder	2540	1993	USA	163	
Jiangchuan Ye	2540	1993	CHN	164	
Leonid Yurtaev	2540	1993	KGZ	165	
Lev..O Alburt	2535	1993	USA	166	
Jon..L Arnason	2535	1993	ISL	167	
Suat Atalik	2535	1993	TUR	168	
John..P Fedorowicz	2535	1993	USA	169	
Lubomir Ftacnik	2535	1993	SVK	170	
Jozsef Horvath	2535	1993	HUN	171	
Bojan Kurajica	2535	1993	BIH	172	
Anatoly D Machulsky	2535	1993	RUS	173	
Olivier Renet	2535	1993	FRA	174	
Stanislav Savchenko	2535	1993	UKR	175	
Gennadi Sosonko	2535	1993	NED	176	
Aleksej Aleksandrov	2530	1993	BLR	177	
Vladimir Bagirov	2530	1993	LAT	178	
Dibyendu Barua	2530	1993	IND	179	
Goran Cabrilo	2530	1993	YUG	180	
Artur Frolov	2530	1993	UKR	181	
Tamaz Giorgadze	2530	1993	GEO	182	
Yehuda Gruenfeld	2530	1993	ISR	183	
Mark Hebden	2530	1993	ENG	184	
Igor..V Ivanov	2530	1993	USA	185	
