Name	Rating	Year	Fed	Rank
Robert J Fischer	2780	1996	USA	1	
Gary Kasparov	2775	1996	RUS	2	
Vladimir Kramnik	2775	1996	RUS	3	
Anatoly Karpov	2770	1996	RUS	4	
Vassily Ivanchuk	2735	1996	UKR	5	
Gata Kamsky	2735	1996	USA	6	
Viswanathan Anand	2725	1996	IND	7	
Boris Gelfand	2700	1996	BLR	8	
Veselin Topalov	2700	1996	BUL	9	
Alexei Shirov	2690	1996	ESP	10	
Judit.(GM) Polgar	2675	1996	HUN	11	
Alexey Dreev	2670	1996	RUS	12	
Valery Salov	2670	1996	RUS	13	
Nigel.D Short	2665	1996	ENG	14	
Ivan Sokolov	2665	1996	BIH	15	
Michael Adams	2660	1996	ENG	16	
Zurab Azmaiparashvili	2660	1996	GEO	17	
Jaan Ehlvest	2660	1996	EST	18	
Artur Jussupow	2655	1996	GER	19	
Zoltan Almasi	2650	1996	HUN	20	
Zbynek Hracek	2650	1996	CZE	21	
Alexander Khalifman	2650	1996	RUS	22	
Evgeny Bareev	2645	1996	RUS	23	
Vladimir Epishin	2645	1996	RUS	24	
Viktor Korchnoi	2645	1996	SUI	25	
Predrag Nikolic	2645	1996	BIH	26	
Lembit Oll	2640	1996	EST	27	
Igor.V Glek	2635	1996	RUS	28	
Robert.Dr Huebner	2635	1996	GER	29	
Miguel Illescas.Cordoba	2635	1996	ESP	30	
Anthony.J Miles	2635	1996	ENG	31	
Leonid Yudasin	2635	1996	ISR	32	
Ulf Andersson	2630	1996	SWE	33	
Joel Lautier	2630	1996	FRA	34	
Yasser Seirawan	2630	1996	USA	35	
Peter Svidler	2630	1996	RUS	36	
Peter Leko	2625	1996	HUN	37	
Alexander Morozevich	2625	1996	RUS	38	
Jonathan.S Speelman	2625	1996	ENG	39	
Sergei Tiviakov	2625	1996	RUS	40	
Vladimir Akopian	2620	1996	ARM	41	
Jan..H Timman	2620	1996	NED	42	
Alexander..G Beliavsky	2615	1996	SLO	43	
Rustem Dautov	2615	1996	GER	44	
Kiril Georgiev	2615	1996	BUL	45	
Boris..F Gulko	2615	1996	USA	46	
Curt Hansen	2615	1996	DEN	47	
Julian.M Hodgson	2615	1996	ENG	48	
Ilia Smirin	2615	1996	ISR	49	
Rafael..A Vaganian	2615	1996	ARM	50	
Utut Adianto	2610	1996	INA	51	
Sergey Dolmatov	2610	1996	RUS	52	
Vasilios Kotronias	2610	1996	GRE	53	
Michal Krasenkow	2610	1996	POL	54	
Lev Psakhis	2610	1996	ISR	55	
Sergei Rublevsky	2610	1996	RUS	56	
Alexey Vyzmanavin	2610	1996	RUS	57	
Viktor Gavrikov	2605	1996	LTU	58	
Gregory..S Kaidanov	2605	1996	USA	59	
John.D.M Nunn	2605	1996	ENG	60	
Eduardas Rozentalis	2605	1996	LTU	61	
Alexander Goldin	2600	1996	RUS	62	
Julio..E Granda.Zuniga	2600	1996	PER	63	
Ljubomir Ljubojevic	2600	1996	YUG	64	
Matthew Sadler	2600	1996	ENG	65	
Vladislav Tkachiev	2600	1996	KAZ	66	
Alexander Chernin	2595	1996	HUN	67	
Nick..E DeFirmian	2595	1996	USA	68	
Konstantin..Z Lerner	2595	1996	UKR	69	
Alexander Nenashev	2595	1996	UZB	70	
Lajos Portisch	2595	1996	HUN	71	
Vladimir..B Tukmakov	2595	1996	UKR	72	
Viktor Bologan	2590	1996	MDA	73	
Giorgi Giorgadze	2590	1996	GEO	74	
Mikhail Gurevich	2590	1996	BEL	75	
Oleg Korneev	2590	1996	RUS	76	
Eric Lobron	2590	1996	GER	77	
Igor..A Novikov	2590	1996	UKR	78	
Zoltan Ribli	2590	1996	HUN	79	
Oleg..M Romanishin	2590	1996	UKR	80	
Sergey Smagin	2590	1996	RUS	81	
Simen Agdestein	2585	1996	NOR	82	
Boris Alterman	2585	1996	ISR	83	
Semen.I Dvoirys	2585	1996	RUS	84	
Lubomir Ftacnik	2585	1996	SVK	85	
Ferdinand Hellers	2585	1996	SWE	86	
Vladimir..P Malaniuk	2585	1996	UKR	87	
Vadim Milov	2585	1996	SUI	88	
Margeir Petursson	2585	1996	ISL	89	
Lev Polugaevsky	2585	1996	RUS	90	
Stanislav Savchenko	2585	1996	UKR	91	
Evgeny Vladimirov	2585	1996	KAZ	92	
Vadim Zvjaginsev	2585	1996	RUS	93	
Larry..M Christiansen	2580	1996	USA	94	
Yury Dokhoian	2580	1996	RUS	95	
Josif..D Dorfman	2580	1996	FRA	96	
Vereslav..S Eingorn	2580	1996	UKR	97	
Joerg Hickl	2580	1996	GER	98	
Yona Kosashvili	2580	1996	ISR	99	
Zdenko Kozul	2580	1996	CRO	100	
Yuri Kruppa	2580	1996	UKR	101	
Smbat..G Lputian	2580	1996	ARM	102	
Artashes Minasian	2580	1996	ARM	103	
Sergei Movsesian	2580	1996	CZE	104	
Alexander Onischuk	2580	1996	UKR	105	
Evgeny Pigusov	2580	1996	RUS	106	
Yuri..S Razuvaev	2580	1996	RUS	107	
Ian Rogers	2580	1996	AUS	108	
Andrei Sokolov	2580	1996	RUS	109	
Andrey Zontakh	2580	1996	UKR	110	
Viacheslav Dydyshko	2575	1996	BLR	111	
Ilya Gurevich	2575	1996	USA	112	
Gerald Hertneck	2575	1996	GER	113	
Ildar Ibragimov	2575	1996	RUS	114	
Andrei Kharlov	2575	1996	RUS	115	
Igor Khenkin	2575	1996	RUS	116	
Stefan Kindermann	2575	1996	GER	117	
Bogdan Lalic	2575	1996	CRO	118	
Ivan Morovic.Fernandez	2575	1996	CHI	119	
Andres Rodriguez	2575	1996	URU	120	
Valery Beim	2570	1996	ISR	121	
Joel Benjamin	2570	1996	USA	122	
Johann Hjartarson	2570	1996	ISL	123	
Alexander Huzman	2570	1996	ISR	124	
Edvins Kengis	2570	1996	LAT	125	
Jeroen Piket	2570	1996	NED	126	
Petar Popovic	2570	1996	YUG	127	
Alexander Shabalov	2570	1996	USA	128	
Vasil Spasov	2570	1996	BUL	129	
Loek Van.Wely	2570	1996	NED	130	
Attila Groszpeter	2565	1996	HUN	131	
Lars.Bo Hansen	2565	1996	DEN	132	
Jordi Magem.Badals	2565	1996	ESP	133	
Elmar Magerramov	2565	1996	AZE	134	
Gilberto Milos	2565	1996	BRA	135	
Ruslan Sherbakov	2565	1996	RUS	136	
Markus Stangl	2565	1996	GER	137	
Mihai Suba	2565	1996	ROM	138	
Evgeny Sveshnikov	2565	1996	RUS	139	
Anatoli Vaisser	2565	1996	FRA	140	
Patrick..G Wolff	2565	1996	USA	141	
Alex Yermolinsky	2565	1996	USA	142	
Lev..O Alburt	2560	1996	USA	143	
Thien.Hai Dao	2560	1996	VIE	144	
Renier Gonzalez	2560	1996	CUB	145	
Alon Greenfeld	2560	1996	ISR	146	
Andrei..Y Kharitonov	2560	1996	RUS	147	
Konstantin Landa	2560	1996	RUS	148	
Henrique Mecking	2560	1996	BRA	149	
Igor Miladinovic	2560	1996	GRE	150	
Jozsef Pinter	2560	1996	HUN	151	
Konstantin Sakaev	2560	1996	RUS	152	
Gyula Sax	2560	1996	HUN	153	
Maxim Sorokin	2560	1996	ARG	154	
Jiangchuan Ye	2560	1996	CHN	155	
Vitali Golod	2555	1996	ISR	156	
Gilberto Hernandez	2555	1996	MEX	157	
Zlatko Ilincic	2555	1996	YUG	158	
Christopher Lutz	2555	1996	GER	159	
Jesus Nogueiras	2555	1996	CUB	160	
Pablo Ricardi	2555	1996	ARG	161	
Aleksandr Shneider	2555	1996	UKR	162	
Boris.V Spassky	2555	1996	FRA	163	
Matthias Wahls	2555	1996	GER	164	
Uwe Boensch	2550	1996	GER	165	
David Garcia.Ilundain	2550	1996	ESP	166	
Vlastimil Hort	2550	1996	GER	167	
Valery Petukhov	2550	1996	RUS	168	
Zsuzsa.(GM) Polgar	2550	1996	HUN	169	
Vassily Smyslov	2550	1996	RUS	170	
Aleksander Wojtkiewicz	2550	1996	POL	171	
Jun Xu	2550	1996	CHN	172	
Antonio Antunes	2545	1996	POR	173	
Michail Brodsky	2545	1996	UKR	174	
Roman Dzindzichashvili	2545	1996	USA	175	
Zoltan Gyimesi	2545	1996	HUN	176	
Krunoslav Hulak	2545	1996	CRO	177	
Sergey Ivanov	2545	1996	RUS	178	
Marat Makarov	2545	1996	RUS	179	
Andrei Maksimenko	2545	1996	UKR	180	
Mihail Marin	2545	1996	ROM	181	
Mladen Palac	2545	1996	CRO	182	
Ivan Smikovski	2545	1996	RUS	183	
Kevin Spraggett	2545	1996	CAN	184	
Emil Sutovsky	2545	1996	ISR	185	
Mark..D Tseitlin	2545	1996	ISR	186	
Pablo Zarnicki	2545	1996	ARG	187	
Manuel Apicella	2540	1996	FRA	188	
Vlastimil Babula	2540	1996	CZE	189	
Daniel.H Campora	2540	1996	ARG	190	
Stuart Conquest	2540	1996	ENG	191	
Ognjen Cvitan	2540	1996	CRO	192	
Alexei Fedorov	2540	1996	BLR	193	
Evgeny Gleizerov	2540	1996	RUS	194	
Leonid..D Gofshtein	2540	1996	ISR	195	
Mark Hebden	2540	1996	ENG	196	
Csaba Horvath	2540	1996	HUN	197	
Rainer Knaak	2540	1996	GER	198	
Anthony.C Kosten	2540	1996	ENG	199	
Sergey Makarichev	2540	1996	RUS	200	
Nikolai Pushkov	2540	1996	RUS	201	
Michael..A Rohde	2540	1996	USA	202	
Philipp Schlosser	2540	1996	GER	203	
Grigory Serper	2540	1996	USA	204	
Sergei Shipov	2540	1996	RUS	205	
Hannes Stefansson	2540	1996	ISL	206	
Zurab Sturua	2540	1996	GEO	207	
Vitaly Tseshkovsky	2540	1996	RUS	208	
Zoltan Varga	2540	1996	HUN	209	
Jan Votava	2540	1996	CZE	210	
Zili Wang	2540	1996	CHN	211	
Michael Wilder	2540	1996	USA	212	
Yuri Yakovich	2540	1996	RUS	213	
Gennadi Zaichik	2540	1996	GEO	214	
Aleksej Aleksandrov	2535	1996	BLR	215	
Jon..L Arnason	2535	1996	ISL	216	
Suat Atalik	2535	1996	TUR	217	
Walter.S Browne	2535	1996	USA	218	
Vladimir Burmakin	2535	1996	RUS	219	
Murray.G Chandler	2535	1996	ENG	220	
Dmitry Gurevich	2535	1996	USA	221	
Hichem Hamdouchi	2535	1996	MAR	222	
Vyacheslav Ikonnikov	2535	1996	RUS	223	
Lubomir Kavalek	2535	1996	USA	224	
Sergey Kudrin	2535	1996	USA	225	
Gennadi..P Kuzmin	2535	1996	UKR	226	
Thomas Luther	2535	1996	GER	227	
Vladimir Malakhov	2535	1996	RUS	228	
Tomasz Markowski	2535	1996	POL	229	
Pablo San.Segundo.Carrillo	2535	1996	ESP	230	
Drazen Sermek	2535	1996	SLO	231	
Sergio Slipak	2535	1996	ARG	232	
Eugenio Torre	2535	1996	PHI	233	
Elizbar Ubilava	2535	1996	GEO	234	
Mikhail Ulibin	2535	1996	RUS	235	
Paul Van.Der.Sterren	2535	1996	NED	236	
John.T.H Van.Der.Wiel	2535	1996	NED	237	
Rogelio.Jr Antonio	2530	1996	PHI	238	
Konstantin..N Aseev	2530	1996	RUS	239	
Julio Becerra.Rivero	2530	1996	CUB	240	
Alexandar Budnikov	2530	1996	RUS	241	
Alexandru Crisan	2530	1996	ROM	242	
Maxim Dlugy	2530	1996	USA	243	
Mihail Feigin	2530	1996	UKR	244	
Valerij Filippov	2530	1996	RUS	245	
Tamaz Giorgadze	2530	1996	GEO	246	
Dimitri Komarov	2530	1996	UKR	247	
Alexey Kuzmin	2530	1996	RUS	248	
Sergej Loginov	2530	1996	RUS	249	
Vidmantas Malisauskas	2530	1996	LTU	250	
Ioannis Nikolaidis	2530	1996	GRE	251	
Mihail Saltaev	2530	1996	UZB	252	
Lothar Schmid	2530	1996	GER	253	
Ram Soffer	2530	1996	ISR	254	
Genadij Timoscenko	2530	1996	SVK	255	
William.N Watson	2530	1996	ENG	256	
Jun.(GM) Xie	2530	1996	CHN	257	
Darius Zagorskis	2530	1996	LTU	258	
Andras Adorjan	2525	1996	HUN	259	
Keith.C Arkell	2525	1996	ENG	260	
Juan Borges.Mateos	2525	1996	CUB	261	
Pia.(GM) Cramling	2525	1996	SWE	262	
Jesus De.La.Villa.Garcia	2525	1996	ESP	263	
Goran Dizdar	2525	1996	CRO	264	
Ivan Farago	2525	1996	HUN	265	
Joseph.G Gallagher	2525	1996	SUI	266	
Gildardo Garcia	2525	1996	COL	267	
Mihail Golubev	2525	1996	UKR	268	
Constantin Ionescu	2525	1996	ROM	269	
Alexander Ivanov	2525	1996	USA	270	
Marcin Kaminski	2525	1996	POL	271	
Sergey Kiselev	2525	1996	RUS	272	
Valery..A Loginov	2525	1996	RUS	273	
David Norwood	2525	1996	ENG	274	
Vadim Ruban	2525	1996	RUS	275	
Yuri Shulman	2525	1996	BLR	276	
Roman Slobodjan	2525	1996	GER	277	
James E Tarjan	2525	1996	USA	278	
Ashot Anastasian	2520	1996	ARM	279	
Bela Badea	2520	1996	ROM	280	
Vladimir..A Baikov	2520	1996	RUS	281	
Dibyendu Barua	2520	1996	IND	282	
Klaus Bischoff	2520	1996	GER	283	
Alexander Fominyh	2520	1996	RUS	284	
Victor..J Frias	2520	1996	CHI	285	
Yehuda Gruenfeld	2520	1996	ISR	286	
Jonny Hector	2520	1996	SWE	287	
Janis Klovans	2520	1996	LAT	288	
Bent Larsen	2520	1996	DEN	289	
