Name	Rating	Year	Rank	Fed
An. Karpov	2695	1976	USR	1	
V. Kortchnoi	2670	1976	SUI	2	
T. Petrosian	2635	1976	USR	3	
L. Polugaevsky	2635	1976	USR	4	
B. Spassky	2630	1976	USR	5	
B. Larsen	2625	1976	DEN	6	
L. Portisch	2625	1976	HUN	7	
E.P. Geller	2620	1976	USR	8	
Lj. Ljubojevic	2620	1976	YUG	9	
H. Mecking	2620	1976	BRA	10	
J. Smejkal	2615	1976	CSR	11	
Tal	2615	1976	USR	12	
V. Hort	2600	1976	CSR	13	
U. Andersson	2585	1976	SWE	14	
W.S. Browne	2585	1976	USA	15	
R. Huebner	2585	1976	FRG	16	
P. Keres	2580	1976	USR	17	
V. Smyslov	2580	1976	USR	18	
E. Vasiukov	2580	1976	USR	19	
S. Gligoric	2575	1976	YUG	20	
Z. Ribli	2575	1976	HUN	21	
N. Krogius	2570	1976	USR	22	
G.P. Kuzmin	2565	1976	USR	23	
A. Beliavsky	2560	1976	USR	24	
O. Romanishin	2560	1976	USR	25	
S. Furman	2555	1976	USR	26	
W. Uhlmann	2555	1976	DDR	27	
V. Cseshkovsky	2550	1976	USR	28	
R. Kholmov	2550	1976	USR	29	
F. Olafsson	2550	1976	ISL	30	
J. Timman	2550	1976	NED	31	
R. Vaganian	2550	1976	USR	32	
Y. Balashov	2545	1976	USR	33	
E. Gufeld	2545	1976	USR	34	
H. Pfleger	2545	1976	FRG	35	
Savon	2545	1976	USR	36	
D. Bronstein	2540	1976	USR	37	
R. Byrne	2540	1976	USA	38	
M.I. Dvorietzky	2540	1976	USR	39	
L.M. Evans	2540	1976	USA	40	
F. Gheorghiu	2540	1976	ROM	41	
L. Kavalek	2540	1976	USA	42	
V. Liberzon	2540	1976	ISR	43	
Quinteros	2540	1976	ARG	44	
M. Taimanov	2540	1976	USR	45	
A. Gipslis	2535	1976	USR	46	
Y.L. Averbakh	2530	1976	USR	47	
V. Chekhov	2530	1976	USR	48	
B. Gulko	2530	1976	USR	49	
B. Malich	2530	1976	DDR	50	
Gy. Sax	2530	1976	HUN	51	
G. Sigurjonsson	2530	1976	ISL	52	
W. Unzicker	2530	1976	FRG	53	
R. Dzindzichashvili	2525	1976	USR	54	
B. Kurajica	2525	1976	YUG	55	
A. Matanovic	2525	1976	YUG	56	
A.S. Suetin	2525	1976	USR	57	
L. Szabo	2525	1976	HUN	58	
D. Velimirovic	2525	1976	YUG	59	
L.O. Alburt	2520	1976	USR	60	
B. Ivkov	2520	1976	YUG	61	
R. Knaak	2520	1976	DDR	62	
W. Lombardy	2520	1976	USA	63	
L. Pachman	2520	1976	FRG	64	
O. Panno	2520	1976	ARG	65	
L. Schmid	2520	1976	FRG	66	
A. Lein	2515	1976	USR	67	
Parma B.	2515	1976	YUG	68	
I. Radulov	2515	1976	BUL	69	
S. Reshevsky	2515	1976	USA	70	
A. Adorjan	2510	1976	HUN	71	
A. Miles	2510	1976	ENG	72	
Najdorf	2510	1976	ARG	73	
Ney	2510	1976	USR	74	
E. Sveshnikov	2510	1976	USR	75	
M. Vukic	2510	1976	YUG	76	
M. Matulovic	2505	1976	YUG	77	
G. Sosonko	2505	1976	NED	78	
E. Torre	2505	1976	PHI	79	
E. Bukic	2500	1976	YUG	80	
K. Darga	2500	1976	FRG	81	
B. Gurgenidze	2500	1976	USR	82	
A.S. Lutikov	2500	1976	USR	83	
M. Filip	2495	1976	CSR	84	
H.-J. Hecht	2495	1976	FRG	85	
V.I. Karasev	2495	1976	USR	86	
S. Makarichev	2495	1976	USR	87	
P. Ostojic	2495	1976	YUG	88	
Razuvaev	2495	1976	USR	89	
V.S. Zhidkov	2495	1976	USR	90	
V.K. Bagirov	2490	1976	USR	91	
I. Csom	2490	1976	HUN	92	
O. Dementiev	2490	1976	USR	93	
J. Diez Del Corral	2490	1976	ESP	94	
Gy.V. Forintos	2490	1976	HUN	95	
V. Jansa	2490	1976	CSR	96	
