Name	Rating	Year	Rank	Fed
N. Birnboim	2465	1978	ISR	156	
O.L. Chernikov	2465	1978	USR	157	
Rom. Hernandez	2465	1978	CUB	158	
S. Kagan	2465	1978	ISR	159	
A. Kapengut	2465	1978	USR	160	
V.I. Karasev	2465	1978	USR	161	
N. Kirov	2465	1978	BUL	162	
V.Z. Faibisovich	2460	1978	USR	163	
W. Hug	2460	1978	SUI	164	
B. Ivanovic	2460	1978	YUG	165	
L. Kaplan	2460	1978	USA	166	
N. Karaklajic	2460	1978	YUG	167	
A. Kharitonov	2460	1978	USR	168	
P. Lukacs	2460	1978	HUN	169	
A. Lukin	2460	1978	USR	170	
S. Martinovic	2460	1978	YUG	171	
E. Mednis	2460	1978	USA	172	
A. Mikhalchishin	2460	1978	USR	173	
A. O'Kelly	2460	1978	BEL	174	
J. Plachetka	2460	1978	CSR	175	
Razuvaev	2460	1978	USR	176	
A. Sacharov	2460	1978	USR	177	
Shereshevsky	2460	1978	USR	178	
Skrobek	2460	1978	POL	179	
Soltis	2460	1978	USA	180	
V. Varlamov	2460	1978	USR	181	
Vukcevich	2460	1978	USA	182	
Y. Anikaev	2455	1978	USR	183	
G. Antunac	2455	1978	YUG	184	
O. Averkin	2455	1978	USR	185	
R. Calvo Minguez	2455	1978	ESP	186	
V. Ciocaltea	2455	1978	ROM	187	
M. Damjanovic	2455	1978	YUG	188	
L. Hazai	2455	1978	HUN	189	
D. Janosevic	2455	1978	YUG	190	
Y. Kraidman	2455	1978	ISR	191	
D. Marovic	2455	1978	YUG	192	
Padevsky	2455	1978	BUL	193	
Platonov	2455	1978	USR	194	
J. Pribyl	2455	1978	CSR	195	
M. Sisniega	2455	1978	MEX	196	
S. Tatai	2455	1978	ITA	197	
N.R. Zilberman	2455	1978	USR	198	
A. Antoshik	2450	1978	BUL	199	
P. Biyiasas	2450	1978	CAN	200	
A. Brkljaca	2450	1978	YUG	201	
M. Cebalo	2450	1978	YUG	202	
J. Dueball	2450	1978	FRG	203	
Th. Ghitescu	2450	1978	ROM	204	
Hulak	2450	1978	YUG	205	
V. Inkiov	2450	1978	BUL	206	
V. Kondratiev	2450	1978	USR	207	
B. Marjasin	2450	1978	USR	208	
Menakov	2450	1978	USR	209	
