Name	Rating	Year	Rank	Fed
An. Karpov	2705	1979	USR	1	
V. Kortchnoi	2695	1979	SUI	2	
L. Portisch	2640	1979	HUN	3	
B. Spassky	2640	1979	USR	4	
L. Polugaevsky	2625	1979	USR	5	
J. Timman	2625	1979	NED	6	
B. Larsen	2620	1979	DEN	7	
Tal	2615	1979	USR	8	
T. Petrosian	2610	1979	USR	9	
Y. Balashov	2600	1979	USR	10	
V. Hort	2600	1979	CSR	11	
A. Beliavsky	2595	1979	USR	12	
I. Dorfman	2595	1979	USR	13	
R. Dzindzichashvili	2595	1979	ISR	14	
R. Huebner	2595	1979	FRG	15	
Z. Ribli	2595	1979	HUN	16	
L. Kavalek	2590	1979	USA	17	
Lj. Ljubojevic	2590	1979	YUG	18	
Gy. Sax	2590	1979	HUN	19	
B. Gulko	2585	1979	USR	20	
V. Tukmakov	2575	1979	USR	21	
R. Vaganian	2570	1979	USR	22	
R. Knaak	2565	1979	DDR	23	
G.P. Kuzmin	2565	1979	USR	24	
U. Andersson	2560	1979	SWE	25	
V. Cseshkovsky	2560	1979	USR	26	
S. Gligoric	2560	1979	YUG	27	
A. Miles	2560	1979	ENG	28	
O. Romanishin	2560	1979	USR	29	
V. Smyslov	2560	1979	USR	30	
E. Vasiukov	2560	1979	USR	31	
D. Bronstein	2555	1979	USR	32	
F. Olafsson	2555	1979	ISL	33	
E.P. Geller	2550	1979	USR	34	
R. Kholmov	2550	1979	USR	35	
N. Krogius	2550	1979	USR	36	
Savon	2550	1979	USR	37	
J. Smejkal	2550	1979	CSR	38	
V.K. Bagirov	2545	1979	USR	39	
A. Kochiyev	2545	1979	USR	40	
O. Panno	2545	1979	ARG	41	
H. Pfleger	2545	1979	FRG	42	
Quinteros	2545	1979	ARG	43	
E. Sveshnikov	2545	1979	USR	44	
W.S. Browne	2540	1979	USA	45	
F. Gheorghiu	2540	1979	ROM	46	
G. Kuprejanov	2540	1979	USR	47	
M.F. Stean	2540	1979	ENG	48	
R. Byrne	2535	1979	USA	49	
T. Georgadze	2535	1979	USR	50	
A. Lein	2535	1979	USA	51	
G. Sosonko	2535	1979	NED	52	
A.S. Suetin	2535	1979	USR	53	
E. Gufeld	2530	1979	USR	54	
B. Malich	2530	1979	DDR	55	
Parma B.	2530	1979	YUG	56	
Gen. Timoshchenko	2530	1979	USR	57	
W. Uhlmann	2530	1979	DDR	58	
