Name	Rating	Year	Fed	Rank
Robert J Fischer	2780	1994	USA	1	
Anatoly Karpov	2740	1994	RUS	2	
Viswanathan Anand	2715	1994	IND	3	
Alexei Shirov	2715	1994	ESP	4	
Vassily Ivanchuk	2710	1994	UKR	5	
Vladimir Kramnik	2710	1994	RUS	6	
Gata Kamsky	2695	1994	USA	7	
Evgeny Bareev	2685	1994	RUS	8	
Boris Gelfand	2685	1994	BLR	9	
Valery Salov	2685	1994	RUS	10	
Vladimir Epishin	2675	1994	RUS	11	
Artur Jussupow	2665	1994	GER	12	
Michael Adams	2660	1994	ENG	13	
Alexander Khalifman	2660	1994	RUS	14	
Alexander..G Beliavsky	2650	1994	SLO	15	
Ivan Sokolov	2650	1994	BIH	16	
Alexey Dreev	2645	1994	RUS	17	
Gregory..S Kaidanov	2645	1994	USA	18	
Veselin Topalov	2640	1994	BUL	19	
Alexander Chernin	2630	1994	HUN	20	
Judit.(GM) Polgar	2630	1994	HUN	21	
Sergei Tiviakov	2630	1994	RUS	22	
Zurab Azmaiparashvili	2625	1994	GEO	23	
Rustem Dautov	2625	1994	GER	24	
Joel Lautier	2625	1994	FRA	25	
Predrag Nikolic	2625	1994	BIH	26	
Rafael..A Vaganian	2625	1994	ARM	27	
Leonid Yudasin	2625	1994	ISR	28	
Ulf Andersson	2620	1994	SWE	29	
Joel Benjamin	2620	1994	USA	30	
Jan..H Timman	2620	1994	NED	31	
Alex Yermolinsky	2620	1994	USA	32	
Kiril Georgiev	2615	1994	BUL	33	
Boris..F Gulko	2615	1994	USA	34	
Gerald Hertneck	2615	1994	GER	35	
Viktor Korchnoi	2615	1994	SUI	36	
Ilia Smirin	2615	1994	ISR	37	
Zoltan Almasi	2610	1994	HUN	38	
Sergey Dolmatov	2610	1994	RUS	39	
Jaan Ehlvest	2610	1994	EST	40	
Alon Greenfeld	2610	1994	ISR	41	
Mikhail Gurevich	2610	1994	BEL	42	
Robert.Dr Huebner	2610	1994	GER	43	
Evgeny Sveshnikov	2610	1994	RUS	44	
Alexey Vyzmanavin	2610	1994	RUS	45	
Vladimir Akopian	2605	1994	ARM	46	
Julio..E Granda.Zuniga	2605	1994	PER	47	
Ivan Morovic.Fernandez	2605	1994	CHI	48	
John.D.M Nunn	2605	1994	ENG	49	
Lembit Oll	2605	1994	EST	50	
Jeroen Piket	2605	1994	NED	51	
Lajos Portisch	2605	1994	HUN	52	
Eduardas Rozentalis	2605	1994	LTU	53	
Jonathan.S Speelman	2605	1994	ENG	54	
Paul Van.Der.Sterren	2605	1994	NED	55	
Ljubomir Ljubojevic	2600	1994	YUG	56	
Zoltan Ribli	2600	1994	HUN	57	
Simen Agdestein	2595	1994	NOR	58	
Boris Alterman	2595	1994	ISR	59	
Johann Hjartarson	2595	1994	ISL	60	
Christopher Lutz	2595	1994	GER	61	
Vladimir..P Malaniuk	2595	1994	UKR	62	
Lev Polugaevsky	2595	1994	RUS	63	
Patrick..G Wolff	2595	1994	USA	64	
Viktor Gavrikov	2590	1994	LTU	65	
Igor.V Glek	2590	1994	RUS	66	
Miguel Illescas.Cordoba	2590	1994	ESP	67	
Smbat..G Lputian	2590	1994	ARM	68	
Anthony.J Miles	2590	1994	ENG	69	
Alexander Morozevich	2590	1994	RUS	70	
Oleg..M Romanishin	2590	1994	UKR	71	
Alexander Shabalov	2590	1994	USA	72	
Viktor Bologan	2585	1994	MDA	73	
Alexander Goldin	2585	1994	RUS	74	
