Name	Rating	Year	Fed	Rank
Gary Kasparov	2825	1998	RUS	1	
Vladimir Kramnik	2790	1998	RUS	2	
Viswanathan Anand	2770	1998	IND	3	
Vassily Ivanchuk	2740	1998	UKR	4	
Veselin Topalov	2740	1998	BUL	5	
Anatoly Karpov	2735	1998	RUS	6	
Gata Kamsky	2720	1998	USA	7	
Alexei Shirov	2710	1998	ESP	8	
Alexander..G Beliavsky	2690	1998	SLO	9	
Peter Svidler	2690	1998	RUS	10	
Valery Salov	2680	1998	RUS	11	
Evgeny Bareev	2675	1998	RUS	12	
Boris Gelfand	2675	1998	BLR	13	
Kiril Georgiev	2675	1998	BUL	14	
Michael Adams	2670	1998	ENG	15	
Peter Leko	2670	1998	HUN	16	
Judit.(GM) Polgar	2670	1998	HUN	17	
Sergei Rublevsky	2665	1998	RUS	18	
Vladimir Akopian	2660	1998	ARM	19	
Alexander Khalifman	2660	1998	RUS	20	
Michal Krasenkow	2660	1998	POL	21	
Nigel.D Short	2660	1998	ENG	22	
Alex Yermolinsky	2660	1998	USA	23	
Lembit Oll	2655	1998	EST	24	
Vadim Zvjaginsev	2655	1998	RUS	25	
Zurab Azmaiparashvili	2650	1998	GEO	26	
Matthew Sadler	2650	1998	ENG	27	
Alexander Chernin	2645	1998	HUN	28	
Joel Lautier	2645	1998	FRA	29	
Mikhail Gurevich	2640	1998	BEL	30	
Sergei Tiviakov	2640	1998	RUS	31	
Rafael..A Vaganian	2640	1998	ARM	32	
Ulf Andersson	2635	1998	SWE	33	
Alexandru Crisan	2635	1998	ROM	34	
Vadim Milov	2635	1998	SUI	35	
Predrag Nikolic	2635	1998	BIH	36	
Zoltan Almasi	2630	1998	HUN	37	
Alexey Dreev	2630	1998	RUS	38	
Artur Jussupow	2630	1998	GER	39	
Julio..E Granda.Zuniga	2630	1998	PER	40	
Johann Hjartarson	2630	1998	ISL	41	
Viktor Korchnoi	2630	1998	SUI	42	
Alexander Nenashev	2625	1998	UZB	43	
Yasser Seirawan	2625	1998	USA	44	
Ivan Sokolov	2625	1998	BIH	45	
Gregory..S Kaidanov	2620	1998	USA	46	
Konstantin Sakaev	2620	1998	RUS	47	
Sergei Shipov	2620	1998	RUS	48	
Jan..H Timman	2620	1998	NED	49	
Utut Adianto	2615	1998	INA	50	
Aleksej Aleksandrov	2615	1998	BLR	51	
Boris Alterman	2615	1998	ISR	52	
Alexander Shabalov	2615	1998	USA	53	
Jaan Ehlvest	2610	1998	EST	54	
Zbynek Hracek	2610	1998	CZE	55	
Alexander Huzman	2610	1998	ISR	56	
Smbat..G Lputian	2610	1998	ARM	57	
Liviu-Dieter Nisipeanu	2610	1998	ROM	58	
John.D.M Nunn	2610	1998	ENG	59	
Alexander Onischuk	2610	1998	UKR	60	
Eduardas Rozentalis	2610	1998	LTU	61	
Vladimir..B Tukmakov	2610	1998	UKR	62	
Vereslav..S Eingorn	2605	1998	UKR	63	
Giorgi Giorgadze	2605	1998	GEO	64	
Ferdinand Hellers	2605	1998	SWE	65	
Vasil Spasov	2605	1998	BUL	66	
Jonathan.S Speelman	2605	1998	ENG	67	
Loek Van.Wely	2605	1998	NED	68	
Matthias Wahls	2605	1998	GER	69	
Alexander Baburin	2600	1998	IRL	70	
Rustem Dautov	2600	1998	GER	71	
Josif..D Dorfman	2600	1998	FRA	72	
Miguel Illescas.Cordoba	2600	1998	ESP	73	
Vladimir..P Malaniuk	2600	1998	UKR	74	
Ivan Morovic.Fernandez	2600	1998	CHI	75	
Lajos Portisch	2600	1998	HUN	76	
Suat Atalik	2595	1998	TUR	77	
Joel Benjamin	2595	1998	USA	78	
Alexei Fedorov	2595	1998	BLR	79	
Valerij Filippov	2595	1998	RUS	80	
Curt Hansen	2595	1998	DEN	81	
Christopher Lutz	2595	1998	GER	82	
Anthony.J Miles	2595	1998	ENG	83	
Sergei Movsesian	2595	1998	CZE	84	
Stanislav Savchenko	2595	1998	UKR	85	
Zurab Sturua	2595	1998	GEO	86	
Emil Sutovsky	2595	1998	ISR	87	
Evgeny Sveshnikov	2595	1998	RUS	88	
Anatoli Vaisser	2595	1998	FRA	89	
Nick..E DeFirmian	2590	1998	USA	90	
Vladimir Epishin	2590	1998	RUS	91	
Alexander Goldin	2590	1998	RUS	92	
Ildar Ibragimov	2590	1998	RUS	93	
Alexander Morozevich	2590	1998	RUS	94	
Friso Nijboer	2590	1998	NED	95	
Jozsef Pinter	2590	1998	HUN	96	
Ilia Smirin	2590	1998	ISR	97	
Babakuli Annakov	2585	1998	TKM	98	
Semen.I Dvoirys	2585	1998	RUS	99	
Boris..F Gulko	2585	1998	USA	100	
Mark Hebden	2585	1998	ENG	101	
Andrei..Y Kharitonov	2585	1998	RUS	102	
Zdenko Kozul	2585	1998	CRO	103	
Viktor Bologan	2580	1998	MDA	104	
Yury Dokhoian	2580	1998	RUS	105	
Lubomir Ftacnik	2580	1998	SVK	106	
Ilya Gurevich	2580	1998	USA	107	
Julian.M Hodgson	2580	1998	ENG	108	
Dimitri Komarov	2580	1998	UKR	109	
Bojan Kurajica	2580	1998	BIH	110	
Gennadi..P Kuzmin	2580	1998	UKR	111	
Jeroen Piket	2580	1998	NED	112	
Ruslan Ponomariov	2580	1998	UKR	113	
Andrei Sokolov	2580	1998	RUS	114	
Larry..M Christiansen	2575	1998	USA	115	
Andrei Istratescu	2575	1998	ROM	116	
Konstantin..Z Lerner	2575	1998	UKR	117	
Evgeny Pigusov	2575	1998	RUS	118	
Alexander Rustemov	2575	1998	RUS	119	
Sergey Smagin	2575	1998	RUS	120	
Maxim Sorokin	2575	1998	ARG	121	
Mikhail Ulibin	2575	1998	RUS	122	
Patrick..G Wolff	2575	1998	USA	123	
Simen Agdestein	2570	1998	NOR	124	
Sergey Dolmatov	2570	1998	RUS	125	
Petr Haba	2570	1998	CZE	126	
Lars.Bo Hansen	2570	1998	DEN	127	
Sergey Ivanov	2570	1998	RUS	128	
Aleksandr Karpatchev	2570	1998	RUS	129	
Yona Kosashvili	2570	1998	ISR	130	
Vasilios Kotronias	2570	1998	GRE	131	
Artashes Minasian	2570	1998	ARM	132	
Ian Rogers	2570	1998	AUS	133	
Oleg..M Romanishin	2570	1998	UKR	134	
Yuri Yakovich	2570	1998	RUS	135	
Konstantin..N Aseev	2565	1998	RUS	136	
Etienne Bacrot	2565	1998	FRA	137	
Alexander Galkin	2565	1998	RUS	138	
Vladimir Georgiev	2565	1998	BUL	139	
Zlatko Ilincic	2565	1998	YUG	140	
Rustam Kasimdzhanov	2565	1998	UZB	141	
Edvins Kengis	2565	1998	LAT	142	
Igor Khenkin	2565	1998	RUS	143	
Stefan Kindermann	2565	1998	GER	144	
Sergey Kudrin	2565	1998	USA	145	
Igor Miladinovic	2565	1998	GRE	146	
Zsuzsa.(GM) Polgar	2565	1998	HUN	147	
Lev Psakhis	2565	1998	ISR	148	
Zoltan Ribli	2565	1998	HUN	149	
Andrei Shchekachev	2565	1998	RUS	150	
Kevin Spraggett	2565	1998	CAN	151	
Aleksa Strikovic	2565	1998	YUG	152	
Pavel Blatny	2560	1998	CZE	153	
Ognjen Cvitan	2560	1998	CRO	154	
