Name	Rating	Year	Rank	Fed
G. Kasparov	2710	1984	USR	1	
An. Karpov	2700	1984	USR	2	
V. Kortchnoi	2635	1984	SUI	3	
Lj. Ljubojevic	2635	1984	YUG	4	
U. Andersson	2630	1984	SWE	5	
R. Vaganian	2630	1984	USR	6	
L. Portisch	2625	1984	HUN	7	
R. Huebner	2620	1984	FRG	8	
Tal	2620	1984	USR	9	
V. Hort	2615	1984	CSR	10	
L. Polugaevsky	2615	1984	USR	11	
B. Spassky	2615	1984	USR	12	
Z. Ribli	2610	1984	HUN	13	
J. Timman	2610	1984	NED	14	
Ji. Nun	2600	1984	ENG	15	
V. Smyslov	2600	1984	USR	16	
W.S. Browne	2585	1984	USA	17	
T. Petrosian	2580	1984	USR	18	
O. Romanishin	2580	1984	USR	19	
Gy. Sax	2575	1984	HUN	20	
A. Adorjan	2570	1984	HUN	21	
G. Agzamov	2570	1984	USR	22	
L. Ftacnik	2570	1984	CSR	23	
Pr. Nikolic	2570	1984	YUG	24	
A. Yusupov	2570	1984	USR	25	
A. Beliavsky	2565	1984	USR	26	
B. Larsen	2565	1984	DEN	27	
E. Torre	2565	1984	PHI	28	
E.P. Geller	2560	1984	USR	29	
G. Sosonko	2560	1984	NED	30	
Vlado Kovacevic	2555	1984	YUG	31	
L. Christiansen	2550	1984	USA	32	
I.V. Ivanov	2550	1984	CAN	33	
V. Tukmakov	2550	1984	USR	34	
D. Gurevich	2545	1984	USA	35	
L. Kavalek	2545	1984	USA	36	
J. Smejkal	2545	1984	CSR	37	
S. Lputian	2540	1984	USR	38	
Mestelj.	2540	1984	ENG	39	
K. Spraggett	2540	1984	CAN	40	
Y. Balashov	2535	1984	USR	41	
V. Chekhov	2535	1984	USR	42	
L. Psakhis	2535	1984	USR	43	
L. Schmid	2530	1984	FRG	44	
S. Dolmatov	2525	1984	USR	45	
I. Farago	2525	1984	HUN	46	
B. Ivanovic	2525	1984	YUG	47	
S. Marjanovic	2525	1984	YUG	48	
Y. Seirawan	2525	1984	USA	49	
M. Suba	2525	1984	ROM	50	
R. Byrne	2520	1984	USA	51	
S. Kudrin	2520	1984	USA	52	
E. Lobron	2520	1984	FRG	53	
L.O. Alburt	2515	1984	USA	54	
M. Chandler	2515	1984	ENG	55	
N. De Firmian	2515	1984	USA	56	
I. Dorfman	2515	1984	USR	57	
G. Garcia Gonzales	2515	1984	CUB	58	
O. Panno	2515	1984	ARG	59	
J. Pinter	2515	1984	HUN	60	
P. Popovic	2515	1984	YUG	61	
E. Sveshnikov	2515	1984	USR	62	
M. Taimanov	2515	1984	USR	63	
J. Van der Wiel	2515	1984	NED	64	
J. Yrjola	2515	1984	FIN	65	
S. Gligoric	2510	1984	YUG	66	
Hulak	2510	1984	YUG	67	
V. Cseshkovsky	2505	1984	USR	68	
I. Csom	2505	1984	HUN	69	
G.P. Kuzmin	2505	1984	USR	70	
W. Lombardy	2505	1984	USA	71	
Quinteros	2505	1984	ARG	72	
Tarjan	2505	1984	USA	73	
W. Uhlmann	2505	1984	DDR	74	
J. Arnason	2500	1984	ISL	75	
S. Djuric	2500	1984	YUG	76	
J.A. Peters	2500	1984	USA	77	
H. Pfleger	2500	1984	FRG	78	
Razuvaev	2500	1984	USR	79	
M. Rivas Pastor	2500	1984	ESP	80	
