Name	Rating	Year	Rank	Fed
Robert J Fischer	2780	1992	USA	1	
Gary Kasparov	2780	1992	RUS	2	
Anatoly Karpov	2725	1992	RUS	3	
Vassily Ivanchuk	2720	1992	UKR	4	
Nigel.D Short	2685	1992	ENG	5	
Viswanathan Anand	2670	1992	IND	6	
Boris Gelfand	2665	1992	BLR	7	
Artur Jussupow	2655	1992	GER	8	
Gata Kamsky	2655	1992	USA	9	
Valery Salov	2655	1992	RUS	10	
Alexei Shirov	2655	1992	ESP	11	
Evgeny Bareev	2635	1992	RUS	12	
Mikhail Gurevich	2635	1992	BEL	13	
Predrag Nikolic	2635	1992	BIH	14	
Lev Polugaevsky	2630	1992	RUS	15	
Ivan Sokolov	2630	1992	BIH	16	
Jonathan.S Speelman	2630	1992	ENG	17	
Alexander Khalifman	2625	1992	RUS	18	
Michael Adams	2620	1992	ENG	19	
Alexander..G Beliavsky	2620	1992	SLO	20	
Alexander Chernin	2620	1992	HUN	21	
Vladimir Epishin	2620	1992	RUS	22	
Curt Hansen	2620	1992	DEN	23	
Jan..H Timman	2620	1992	NED	24	
Jaan Ehlvest	2615	1992	EST	25	
Julio..E Granda.Zuniga	2615	1992	PER	26	
Robert.Dr Huebner	2615	1992	GER	27	
John.D.M Nunn	2615	1992	ENG	28	
Jeroen Piket	2615	1992	NED	29	
Zurab Azmaiparashvili	2610	1992	GEO	30	
Rustem Dautov	2610	1992	GER	31	
Ljubomir Ljubojevic	2610	1992	YUG	32	
Henrique Mecking	2610	1992	BRA	33	
Vladimir Akopian	2605	1992	ARM	34	
Ulf Andersson	2605	1992	SWE	35	
Josif..D Dorfman	2605	1992	FRA	36	
Kiril Georgiev	2605	1992	BUL	37	
Lev Psakhis	2605	1992	ISR	38	
Simen Agdestein	2600	1992	NOR	39	
Lembit Oll	2600	1992	EST	40	
Gyula Sax	2600	1992	HUN	41	
Yasser Seirawan	2600	1992	USA	42	
Larry..M Christiansen	2595	1992	USA	43	
Sergey Dolmatov	2595	1992	RUS	44	
Alexander Goldin	2595	1992	RUS	45	
Zoltan Ribli	2595	1992	HUN	46	
Oleg..M Romanishin	2595	1992	UKR	47	
Alex Yermolinsky	2595	1992	USA	48	
Murray.G Chandler	2590	1992	ENG	49	
Vladimir Kramnik	2590	1992	RUS	50	
Rafael..A Vaganian	2590	1992	ARM	51	
Alexey Vyzmanavin	2590	1992	RUS	52	
Viktor Bologan	2585	1992	MDA	53	
Branko Damljanovic	2585	1992	YUG	54	
Viktor Korchnoi	2585	1992	SUI	55	
Bojan Kurajica	2585	1992	BIH	56	
Michael..A Rohde	2585	1992	USA	57	
Eduardas Rozentalis	2585	1992	LTU	58	
Mikhail Ulibin	2585	1992	RUS	59	
Alexey Dreev	2580	1992	RUS	60	
Vereslav..S Eingorn	2580	1992	UKR	61	
Johann Hjartarson	2580	1992	ISL	62	
Julian.M Hodgson	2580	1992	ENG	63	
Edvins Kengis	2580	1992	LAT	64	
Joel Lautier	2580	1992	FRA	65	
Igor..A Novikov	2580	1992	UKR	66	
Jozsef Pinter	2580	1992	HUN	67	
Vadim Ruban	2580	1992	RUS	68	
Anatoli Vaisser	2580	1992	FRA	69	
Leonid Yudasin	2580	1992	ISR	70	
Eric Lobron	2575	1992	GER	71	
Lajos Portisch	2575	1992	HUN	72	
Yuri..S Razuvaev	2575	1992	RUS	73	
Sergei Tiviakov	2575	1992	RUS	74	
Evgeny Vladimirov	2575	1992	KAZ	75	
Nick..E DeFirmian	2570	1992	USA	76	
Andrej Kovalev	2570	1992	RUS	77	
Maxim Sorokin	2570	1992	ARG	78	
Matthias Wahls	2570	1992	GER	79	
Patrick..G Wolff	2570	1992	USA	80	
Yuri..S Balashov	2565	1992	RUS	81	
Elmar Magerramov	2565	1992	AZE	82	
Anthony.J Miles	2565	1992	ENG	83	
Ivan Morovic.Fernandez	2565	1992	CHI	84	
Andrei Sokolov	2565	1992	RUS	85	
Konstantin..N Aseev	2560	1992	RUS	86	
Roman Dzindzichashvili	2560	1992	USA	87	
Viktor Gavrikov	2560	1992	LTU	88	
Boris..F Gulko	2560	1992	USA	89	
Vlastimil Hort	2560	1992	GER	90	
Alexey Ivanov	2560	1992	RUS	91	
Vasilios Kotronias	2560	1992	GRE	92	
Smbat..G Lputian	2560	1992	ARM	93	
Anatoly D Machulsky	2560	1992	RUS	94	
Igor Stohl	2560	1992	SVK	95	
Evgeny Sveshnikov	2560	1992	RUS	96	
Elizbar Ubilava	2560	1992	GEO	97	
Loek Van.Wely	2560	1992	NED	98	
Dibyendu Barua	2555	1992	IND	99	
Joel Benjamin	2555	1992	USA	100	
Miguel Illescas.Cordoba	2555	1992	ESP	101	
Alexander Ivanov	2555	1992	USA	102	
Margeir Petursson	2555	1992	ISL	103	
Eugenio Torre	2555	1992	PHI	104	
Daniel.H Campora	2550	1992	ARG	105	
Valery..A Chekhov	2550	1992	RUS	106	
Maxim Dlugy	2550	1992	USA	107	
Lubomir Ftacnik	2550	1992	SVK	108	
