Name	Rating	Year	Fed	Rank
Gary Kasparov	2805	1995	RUS	1	
Robert J Fischer	2780	1995	USA	2	
Anatoly Karpov	2765	1995	RUS	3	
Viswanathan Anand	2715	1995	IND	4	
Vladimir Kramnik	2715	1995	RUS	5	
Valery Salov	2715	1995	RUS	6	
Gata Kamsky	2710	1995	USA	7	
Alexei Shirov	2710	1995	ESP	8	
Boris Gelfand	2700	1995	BLR	9	
Vassily Ivanchuk	2700	1995	UKR	10	
Evgeny Bareev	2675	1995	RUS	11	
Jeroen Piket	2670	1995	NED	12	
Artur Jussupow	2660	1995	GER	13	
Michael Adams	2655	1995	ENG	14	
Vladimir Akopian	2655	1995	ARM	15	
Joel Lautier	2655	1995	FRA	16	
Nigel.D Short	2655	1995	ENG	17	
Alexander..G Beliavsky	2650	1995	SLO	18	
Alexey Dreev	2650	1995	RUS	19	
Predrag Nikolic	2645	1995	BIH	20	
Ivan Sokolov	2645	1995	BIH	21	
Rafael..A Vaganian	2640	1995	ARM	22	
Vladimir Epishin	2635	1995	RUS	23	
Alexander Khalifman	2635	1995	RUS	24	
Viktor Korchnoi	2635	1995	SUI	25	
Jan..H Timman	2635	1995	NED	26	
Ulf Andersson	2630	1995	SWE	27	
Curt Hansen	2630	1995	DEN	28	
Smbat..G Lputian	2630	1995	ARM	29	
John.D.M Nunn	2630	1995	ENG	30	
Judit.(GM) Polgar	2630	1995	HUN	31	
Ilia Smirin	2630	1995	ISR	32	
Veselin Topalov	2630	1995	BUL	33	
Rustem Dautov	2625	1995	GER	34	
Kiril Georgiev	2625	1995	BUL	35	
Lev Psakhis	2625	1995	ISR	36	
Sergei Tiviakov	2625	1995	RUS	37	
Julio..E Granda.Zuniga	2620	1995	PER	38	
Robert.Dr Huebner	2620	1995	GER	39	
Jaan Ehlvest	2615	1995	EST	40	
Julian.M Hodgson	2615	1995	ENG	41	
Vladimir..P Malaniuk	2615	1995	UKR	42	
Anthony.J Miles	2615	1995	ENG	43	
Leonid Yudasin	2615	1995	ISR	44	
Zurab Azmaiparashvili	2610	1995	GEO	45	
Lembit Oll	2610	1995	EST	46	
Jonathan.S Speelman	2610	1995	ENG	47	
Sergey Dolmatov	2605	1995	RUS	48	
Lubomir Ftacnik	2605	1995	SVK	49	
Mikhail Gurevich	2605	1995	BEL	50	
Gregory..S Kaidanov	2605	1995	USA	51	
Alexander Morozevich	2605	1995	RUS	52	
Alexander Nenashev	2605	1995	UZB	53	
Alexey Vyzmanavin	2605	1995	RUS	54	
Simen Agdestein	2600	1995	NOR	55	
Alexander Chernin	2600	1995	HUN	56	
Viktor Gavrikov	2600	1995	LTU	57	
Igor.V Glek	2600	1995	RUS	58	
Zoltan Ribli	2600	1995	HUN	59	
Eduardas Rozentalis	2600	1995	LTU	60	
Yasser Seirawan	2600	1995	USA	61	
Vereslav..S Eingorn	2595	1995	UKR	62	
Boris..F Gulko	2595	1995	USA	63	
Gerald Hertneck	2595	1995	GER	64	
Zbynek Hracek	2595	1995	CZE	65	
Miguel Illescas.Cordoba	2595	1995	ESP	66	
Oleg..M Romanishin	2595	1995	UKR	67	
Zoltan Almasi	2590	1995	HUN	68	
Nick..E DeFirmian	2590	1995	USA	69	
Josif..D Dorfman	2590	1995	FRA	70	
Giorgi Giorgadze	2590	1995	GEO	71	
Johann Hjartarson	2590	1995	ISL	72	
Alexander Huzman	2590	1995	ISR	73	
Bogdan Lalic	2590	1995	CRO	74	
Igor..A Novikov	2590	1995	UKR	75	
Alexander Onischuk	2590	1995	UKR	76	
Evgeny Pigusov	2590	1995	RUS	77	
Utut Adianto	2585	1995	INA	78	
Ferdinand Hellers	2585	1995	SWE	79	
Stefan Kindermann	2585	1995	GER	80	
Bojan Kurajica	2585	1995	BIH	81	
Lev Polugaevsky	2585	1995	RUS	82	
Lajos Portisch	2585	1995	HUN	83	
Sergei Rublevsky	2585	1995	RUS	84	
Stanislav Savchenko	2585	1995	UKR	85	
Grigory Serper	2585	1995	USA	86	
Peter Svidler	2585	1995	RUS	87	
Vladimir..B Tukmakov	2585	1995	UKR	88	
Vadim Zvjaginsev	2585	1995	RUS	89	
Yury Dokhoian	2580	1995	RUS	90	
Alexander Goldin	2580	1995	RUS	91	
Alon Greenfeld	2580	1995	ISR	92	
Ljubomir Ljubojevic	2580	1995	YUG	93	
Vadim Milov	2580	1995	SUI	94	
Yuri..S Razuvaev	2580	1995	RUS	95	
Loek Van.Wely	2580	1995	NED	96	
Evgeny Vladimirov	2580	1995	KAZ	97	
