Name,Rating,Year,Fed,Rank,name_FED,ISO3
G. Kasparov,2715,1985,RUS,1,Russia,RUS
An. Karpov,2705,1985,RUS,2,Russia,RUS
R. Vaganian,2640,1985,RUS,4,Russia,RUS
A. Beliavsky,2635,1985,RUS,5,Russia,RUS
L. Polugaevsky,2625,1985,RUS,8,Russia,RUS
V. Smyslov,2600,1985,RUS,12,Russia,RUS
G. Agzamov,2590,1985,RUS,14,Russia,RUS
A. Yusupov,2590,1985,RUS,15,Russia,RUS
B. Spassky,2580,1985,RUS,17,Russia,RUS
O. Romanishin,2570,1985,RUS,22,Russia,RUS
V. Tukmakov,2570,1985,RUS,23,Russia,RUS
Tal,2565,1985,RUS,26,Russia,RUS
L. Psakhis,2555,1985,RUS,32,Russia,RUS
S. Arkhipov,2550,1985,RUS,34,Russia,RUS
V.N. Gavrikov,2550,1985,RUS,35,Russia,RUS
A. Sokolov,2550,1985,RUS,37,Russia,RUS
S. Dolmatov,2540,1985,RUS,42,Russia,RUS
E.P. Geller,2540,1985,RUS,43,Russia,RUS
S. Lputian,2530,1985,RUS,60,Russia,RUS
E. Sveshnikov,2530,1985,RUS,64,Russia,RUS
I. Dorfman,2525,1985,RUS,65,Russia,RUS
V.S. Eingorn,2525,1985,RUS,66,Russia,RUS
V. Salov,2525,1985,RUS,67,Russia,RUS
G.P. Kuzmin,2520,1985,RUS,72,Russia,RUS
K. Lerner,2520,1985,RUS,74,Russia,RUS
Razuvaev,2520,1985,RUS,75,Russia,RUS
A. Petrosian,2510,1985,RUS,83,Russia,RUS
J. Ehlvest,2505,1985,RUS,85,Russia,RUS
A. Mikhalchishin,2505,1985,RUS,90,Russia,RUS
T. Georgadze,2500,1985,RUS,93,Russia,RUS
B. Kogan,2500,1985,RUS,94,Russia,RUS
Y. Balashov,2495,1985,RUS,102,Russia,RUS
V. Chekhov,2495,1985,RUS,103,Russia,RUS
A. Chernin,2495,1985,RUS,104,Russia,RUS
S. Makarichev,2495,1985,RUS,108,Russia,RUS
O. Dementiev,2490,1985,RUS,111,Russia,RUS
A. Gipslis,2490,1985,RUS,112,Russia,RUS
E. Rosentalis,2490,1985,RUS,120,Russia,RUS
M. Taimanov,2490,1985,RUS,121,Russia,RUS
A. Vaiser,2490,1985,RUS,122,Russia,RUS
E. Vladimirov,2490,1985,RUS,123,Russia,RUS
V.K. Bagirov,2485,1985,RUS,126,Russia,RUS
V. Didishko,2485,1985,RUS,129,Russia,RUS
A. Khalifman,2485,1985,RUS,132,Russia,RUS
A. Vyzmanavin,2485,1985,RUS,138,Russia,RUS
E. Vasiukov,2480,1985,RUS,150,Russia,RUS
M.I. Dvorietzky,2475,1985,RUS,152,Russia,RUS
B. Gulko,2475,1985,RUS,155,Russia,RUS
Gen. Timoshchenko,2475,1985,RUS,158,Russia,RUS
L. Yudasin,2475,1985,RUS,159,Russia,RUS
G. Zaitshik,2475,1985,RUS,160,Russia,RUS
V. Cseshkovsky,2470,1985,RUS,161,Russia,RUS
E. Gufeld,2470,1985,RUS,165,Russia,RUS
V. Kupreichik,2470,1985,RUS,166,Russia,RUS
Mikh. Tseitlin,2470,1985,RUS,173,Russia,RUS
