Name,Rating,Year,Fed,Rank,name_FED,ISO3
U. Andersson,2635,1983,SWE,4,Sweden,SWE
L. Karlsson,2505,1983,SWE,72,Sweden,SWE
T. Wedberg,2500,1983,SWE,89,Sweden,SWE
H. Schussler,2485,1983,SWE,116,Sweden,SWE
L.-A. Schneider,2455,1983,SWE,206,Sweden,SWE
A. Ornstein,2450,1983,SWE,227,Sweden,SWE
J. Eslon,2425,1983,SWE,348,Sweden,SWE
D. Cramling,2415,1983,SWE,409,Sweden,SWE
B. Jansson,2415,1983,SWE,418,Sweden,SWE
S. Ivarsson,2405,1983,SWE,475,Sweden,SWE
Renman,2405,1983,SWE,495,Sweden,SWE
Ekstrom,2400,1983,SWE,512,Sweden,SWE
Ch. Niklasson,2400,1983,SWE,520,Sweden,SWE
Akesson,2395,1983,SWE,535,Sweden,SWE
G. Johansson,2395,1983,SWE,546,Sweden,SWE
Th. Ernst,2380,1983,SWE,678,Sweden,SWE
B. Hammar,2370,1983,SWE,765,Sweden,SWE
K. Kaiszauri,2370,1983,SWE,769,Sweden,SWE
P. Cramling,2355,1983,SWE,897,Sweden,SWE
Bjork,2350,1983,SWE,941,Sweden,SWE
M. Sjoberg,2350,1983,SWE,977,Sweden,SWE
Ch. Bergstrom,2345,1983,SWE,991,Sweden,SWE
L.E. Petersson,2345,1983,SWE,1033,Sweden,SWE
E. Lundin,2335,1983,SWE,1121,Sweden,SWE
Rorvall,2335,1983,SWE,1134,Sweden,SWE
Berkell,2330,1983,SWE,1151,Sweden,SWE
Th. Welin,2330,1983,SWE,1209,Sweden,SWE
M. Wahlbohm,2320,1983,SWE,1340,Sweden,SWE
B. Svensson,2315,1983,SWE,1390,Sweden,SWE
B. Andersson,2310,1983,SWE,1397,Sweden,SWE
J. Hector,2300,1983,SWE,1559,Sweden,SWE
J.-O. Lind,2300,1983,SWE,1576,Sweden,SWE
R. Lekander,2295,1983,SWE,1648,Sweden,SWE
M. Carlson,2290,1983,SWE,1699,Sweden,SWE
D. Hansson,2290,1983,SWE,1720,Sweden,SWE
H. Akvist,2285,1983,SWE,1766,Sweden,SWE
M. Bergstrom,2285,1983,SWE,1771,Sweden,SWE
Rothen,2285,1983,SWE,1833,Sweden,SWE
Carleson,2280,1983,SWE,1871,Sweden,SWE
C. Gruvaeus,2275,1983,SWE,1959,Sweden,SWE
G. Andersson,2260,1983,SWE,2187,Sweden,SWE
P. Fransson,2240,1983,SWE,2638,Sweden,SWE
G. Svenn,2240,1983,SWE,2690,Sweden,SWE
M. Svenn,2235,1983,SWE,2771,Sweden,SWE
M. Bergman-Olsen,2230,1983,SWE,2797,Sweden,SWE
Ljungquist,2230,1983,SWE,2856,Sweden,SWE
Gannholm,2220,1983,SWE,3031,Sweden,SWE
Grahn,2215,1983,SWE,3135,Sweden,SWE
Ch. Hartman,2215,1983,SWE,3139,Sweden,SWE
G. Svensson,2215,1983,SWE,3180,Sweden,SWE
Marttala,2205,1983,SWE,3391,Sweden,SWE
B. Borisova,2170,1983,SWE,3543,Sweden,SWE
H. Van Parreren,2035,1983,SWE,3692,Sweden,SWE
S. Bengtsson,2025,1983,SWE,3701,Sweden,SWE
M. Aatolainen,1950,1983,SWE,3843,Sweden,SWE
Nyberg,1895,1983,SWE,4017,Sweden,SWE
L. Portisch,2620,1983,HUN,7,Hungary,HUN
Z. Ribli,2595,1983,HUN,14,Hungary,HUN
Gy. Sax,2560,1983,HUN,31,Hungary,HUN
J. Pinter,2535,1983,HUN,41,Hungary,HUN
A. Adorjan,2530,1983,HUN,44,Hungary,HUN
I. Csom,2505,1983,HUN,69,Hungary,HUN
I. Farago,2505,1983,HUN,70,Hungary,HUN
A. Groszpeter,2505,1983,HUN,71,Hungary,HUN
L. Szabo,2485,1983,HUN,118,Hungary,HUN
L. Hazai,2465,1983,HUN,161,Hungary,HUN
L. Karsa,2460,1983,HUN,179,Hungary,HUN
P. Lukacs,2460,1983,HUN,182,Hungary,HUN
Gy.V. Forintos,2450,1983,HUN,220,Hungary,HUN
L. Barczay,2445,1983,HUN,236,Hungary,HUN
P. Szekely,2435,1983,HUN,305,Hungary,HUN
P. Dely,2430,1983,HUN,312,Hungary,HUN
F. Portisch,2430,1983,HUN,331,Hungary,HUN
Szalanczy,2420,1983,HUN,396,Hungary,HUN
L. Vadasz,2420,1983,HUN,398,Hungary,HUN
E. Haag,2415,1983,HUN,413,Hungary,HUN
L. Lengyel,2415,1983,HUN,422,Hungary,HUN
T. Horvath,2410,1983,HUN,450,Hungary,HUN
I. Bilek,2405,1983,HUN,470,Hungary,HUN
G. Kallai,2405,1983,HUN,476,Hungary,HUN
L. Liptay,2405,1983,HUN,483,Hungary,HUN
Pal Petran,2405,1983,HUN,490,Hungary,HUN
P. Szilagyi,2405,1983,HUN,501,Hungary,HUN
J. Flesch,2395,1983,HUN,542,Hungary,HUN
Cs. Meleghegyi,2395,1983,HUN,555,Hungary,HUN
J. Tompa,2395,1983,HUN,565,Hungary,HUN
Jr. Karolyi,2390,1983,HUN,588,Hungary,HUN
L. Cserna,2385,1983,HUN,625,Hungary,HUN
Karoly Honfi,2385,1983,HUN,630,Hungary,HUN
B. Lengyel,2385,1983,HUN,635,Hungary,HUN
A. Lilienthal,2385,1983,HUN,636,Hungary,HUN
I. Polgar,2385,1983,HUN,645,Hungary,HUN
A. Schneider,2385,1983,HUN,650,Hungary,HUN
Varasdy,2385,1983,HUN,657,Hungary,HUN
E. Vegh,2385,1983,HUN,658,Hungary,HUN
Gy. Horvath,2380,1983,HUN,682,Hungary,HUN
B. Perenyi,2380,1983,HUN,695,Hungary,HUN
Rovid,2375,1983,HUN,740,Hungary,HUN
Ervin Nagy,2370,1983,HUN,776,Hungary,HUN
L. Eperjesi,2365,1983,HUN,802,Hungary,HUN
J. Pogats,2365,1983,HUN,821,Hungary,HUN
Gy. Rajna,2365,1983,HUN,826,Hungary,HUN
E. Varnusz,2360,1983,HUN,885,Hungary,HUN
L. Navarovszky,2355,1983,HUN,918,Hungary,HUN
L.M. Kovacs,2350,1983,HUN,960,Hungary,HUN
Lovass,2350,1983,HUN,965,Hungary,HUN
Marosi,2350,1983,HUN,968,Hungary,HUN
J. Dory,2345,1983,HUN,1005,Hungary,HUN
T. Halasz,2345,1983,HUN,1013,Hungary,HUN
Sapi,2345,1983,HUN,1038,Hungary,HUN
L. Szell,2345,1983,HUN,1042,Hungary,HUN
T. Tolnai,2345,1983,HUN,1043,Hungary,HUN
T. Utasi,2345,1983,HUN,1046,Hungary,HUN
B. Vigh,2345,1983,HUN,1048,Hungary,HUN
I. Csala,2340,1983,HUN,1059,Hungary,HUN
Jo. Horvath,2340,1983,HUN,1067,Hungary,HUN
J. Rigo,2340,1983,HUN,1079,Hungary,HUN
J. Szabolcsi,2335,1983,HUN,1140,Hungary,HUN
T. Filep,2330,1983,HUN,1168,Hungary,HUN
Glatt,2325,1983,HUN,1236,Hungary,HUN
L. Perecz,2325,1983,HUN,1253,Hungary,HUN
M. Kaposztas,2320,1983,HUN,1306,Hungary,HUN
A. Meszaros,2320,1983,HUN,1318,Hungary,HUN
L. Prelovszky,2320,1983,HUN,1325,Hungary,HUN
Sugar,2320,1983,HUN,1336,Hungary,HUN
L. Zsinka,2320,1983,HUN,1344,Hungary,HUN
P. Hardicsay,2315,1983,HUN,1359,Hungary,HUN
Hradeczky,2310,1983,HUN,1419,Hungary,HUN
P. Sinkovics,2310,1983,HUN,1453,Hungary,HUN
I. Mayer,2305,1983,HUN,1501,Hungary,HUN
L. Pacsay,2305,1983,HUN,1508,Hungary,HUN
J. Havasi,2300,1983,HUN,1557,Hungary,HUN
A. Kiss,2300,1983,HUN,1570,Hungary,HUN
A. Ozsvath,2300,1983,HUN,1586,Hungary,HUN
Titkos,2300,1983,HUN,1601,Hungary,HUN
T. Erdelyi,2295,1983,HUN,1626,Hungary,HUN
Gy. Forgacs,2295,1983,HUN,1629,Hungary,HUN
I. Lorincz,2295,1983,HUN,1651,Hungary,HUN
G. Kadas,2290,1983,HUN,1728,Hungary,HUN
I. Somogyi,2290,1983,HUN,1750,Hungary,HUN
I. Bokor,2285,1983,HUN,1774,Hungary,HUN
Gy. Feher,2285,1983,HUN,1789,Hungary,HUN
Gyorkos,2285,1983,HUN,1798,Hungary,HUN
M. Hever,2285,1983,HUN,1802,Hungary,HUN
G. Kadar,2285,1983,HUN,1810,Hungary,HUN
S. Orgovan,2285,1983,HUN,1826,Hungary,HUN
G. Szilagyi,2285,1983,HUN,1842,Hungary,HUN
Im. Horvath,2280,1983,HUN,1885,Hungary,HUN
L. Kubacsny,2280,1983,HUN,1890,Hungary,HUN
G. Letay,2280,1983,HUN,1894,Hungary,HUN
Ortel,2280,1983,HUN,1903,Hungary,HUN
I. Polyak,2280,1983,HUN,1911,Hungary,HUN
I. Schrancz,2280,1983,HUN,1919,Hungary,HUN
Szeles,2280,1983,HUN,1924,Hungary,HUN
J. Tabor,2280,1983,HUN,1925,Hungary,HUN
Gy. Kende,2275,1983,HUN,1968,Hungary,HUN
Koszorus,2275,1983,HUN,1970,Hungary,HUN
Sr.L. Szollosi,2275,1983,HUN,2005,Hungary,HUN
B. Balogh,2270,1983,HUN,2022,Hungary,HUN
J. Boguszlavzky,2270,1983,HUN,2025,Hungary,HUN
S. Fodre,2270,1983,HUN,2036,Hungary,HUN
Honos,2270,1983,HUN,2044,Hungary,HUN
Gy. Kluger,2270,1983,HUN,2052,Hungary,HUN
M. Morvay,2270,1983,HUN,2070,Hungary,HUN
Puschmann,2270,1983,HUN,2078,Hungary,HUN
L. Abel,2265,1983,HUN,2104,Hungary,HUN
Z. Nemeth,2265,1983,HUN,2154,Hungary,HUN
Z. Sarosi,2265,1983,HUN,2167,Hungary,HUN
S. Sulyok,2265,1983,HUN,2175,Hungary,HUN
I. Kertesz,2260,1983,HUN,2234,Hungary,HUN
I. Poor,2260,1983,HUN,2266,Hungary,HUN
B. Radnoti,2260,1983,HUN,2269,Hungary,HUN
Demeter,2255,1983,HUN,2321,Hungary,HUN
Fabian,2255,1983,HUN,2324,Hungary,HUN
Kormanyos,2255,1983,HUN,2348,Hungary,HUN
R. Ortega,2255,1983,HUN,2365,Hungary,HUN
P. Kamaras,2250,1983,HUN,2447,Hungary,HUN
Z. Szabo,2250,1983,HUN,2490,Hungary,HUN
