Name,Rating,Year,Fed,Rank,name_FED,ISO3
V. Kortchnoi,2645,1977,SUI,2,Switzerland,CHE
W. Hug,2445,1977,SUI,208,Switzerland,CHE
Partos,2415,1977,SUI,352,Switzerland,CHE
A. Lombard,2410,1977,SUI,372,Switzerland,CHE
Vucenovic,2395,1977,SUI,472,Switzerland,CHE
H. Wirthensohn,2390,1977,SUI,505,Switzerland,CHE
Luginbuhl,2365,1977,SUI,633,Switzerland,CHE
Huss,2350,1977,SUI,720,Switzerland,CHE
M. Schauwecker,2340,1977,SUI,818,Switzerland,CHE
Schaufelberger,2325,1977,SUI,910,Switzerland,CHE
E. Bhend,2320,1977,SUI,923,Switzerland,CHE
E. Gereben,2310,1977,SUI,990,Switzerland,CHE
R. Castagna,2275,1977,SUI,1192,Switzerland,CHE
Marthaler,2275,1977,SUI,1203,Switzerland,CHE
W. Bichsel,2265,1977,SUI,1259,Switzerland,CHE
R. Ott,2240,1977,SUI,1423,Switzerland,CHE
P. Ammann,2230,1977,SUI,1459,Switzerland,CHE
Veprek,1990,1977,SUI,1786,Switzerland,CHE
Nopfer,1880,1977,SUI,1874,Switzerland,CHE
Wettstein,1860,1977,SUI,1884,Switzerland,CHE
H. Mecking,2635,1977,BRA,4,Brazil,BRA
Gouveia,2405,1977,BRA,397,Brazil,BRA
F. Trois,2395,1977,BRA,470,Brazil,BRA
H. Van Riemsdijk,2385,1977,BRA,531,Brazil,BRA
A. Segal,2380,1977,BRA,557,Brazil,BRA
A. Rocha,2365,1977,BRA,635,Brazil,BRA
Nobrega,2340,1977,BRA,811,Brazil,BRA
H. Camara,2320,1977,BRA,926,Brazil,BRA
P. Toth,2300,1977,BRA,1078,Brazil,BRA
H. Carvalho,2265,1977,BRA,1261,Brazil,BRA
J. Sunye Neto,2265,1977,BRA,1279,Brazil,BRA
R. Cardoso,2015,1977,BRA,1753,Brazil,BRA
Moyses,2000,1977,BRA,1773,Brazil,BRA
Snitkowski,1940,1977,BRA,1839,Brazil,BRA
L. Portisch,2625,1977,HUN,5,Hungary,HUN
Z. Ribli,2595,1977,HUN,13,Hungary,HUN
Gy. Sax,2565,1977,HUN,26,Hungary,HUN
I. Csom,2535,1977,HUN,49,Hungary,HUN
A. Adorjan,2530,1977,HUN,54,Hungary,HUN
L. Szabo,2530,1977,HUN,59,Hungary,HUN
I. Farago,2500,1977,HUN,88,Hungary,HUN
L. Vadasz,2495,1977,HUN,97,Hungary,HUN
L. Barczay,2470,1977,HUN,141,Hungary,HUN
Pal Petran,2455,1977,HUN,168,Hungary,HUN
J. Flesch,2450,1977,HUN,179,Hungary,HUN
Gy.V. Forintos,2450,1977,HUN,180,Hungary,HUN
P. Lukacs,2450,1977,HUN,186,Hungary,HUN
P. Szekely,2450,1977,HUN,197,Hungary,HUN
J. Pinter,2445,1977,HUN,212,Hungary,HUN
P. Dely,2440,1977,HUN,222,Hungary,HUN
L. Hazai,2440,1977,HUN,229,Hungary,HUN
Karoly Honfi,2440,1977,HUN,230,Hungary,HUN
G. Barcza,2435,1977,HUN,241,Hungary,HUN
I. Bilek,2435,1977,HUN,242,Hungary,HUN
E. Haag,2430,1977,HUN,277,Hungary,HUN
F. Portisch,2425,1977,HUN,303,Hungary,HUN
T. Horvath,2420,1977,HUN,316,Hungary,HUN
Sapi,2420,1977,HUN,328,Hungary,HUN
L. Lengyel,2415,1977,HUN,347,Hungary,HUN
Ervin Nagy,2415,1977,HUN,351,Hungary,HUN
L. Liptay,2410,1977,HUN,371,Hungary,HUN
J. Tompa,2410,1977,HUN,386,Hungary,HUN
P. Szilagyi,2405,1977,HUN,405,Hungary,HUN
L. Eperjesi,2400,1977,HUN,423,Hungary,HUN
L. Navarovszky,2400,1977,HUN,437,Hungary,HUN
E. Varnusz,2400,1977,HUN,443,Hungary,HUN
M. Kovacs-Pinter,2395,1977,HUN,455,Hungary,HUN
Gy. Rajna,2395,1977,HUN,463,Hungary,HUN
J. Pogats,2390,1977,HUN,497,Hungary,HUN
A. Schneider,2390,1977,HUN,498,Hungary,HUN
Marosi,2380,1977,HUN,547,Hungary,HUN
I. Somogyi,2380,1977,HUN,559,Hungary,HUN
P. Gesos,2370,1977,HUN,594,Hungary,HUN
Gy. Kluger,2370,1977,HUN,600,Hungary,HUN
G. Szilagyi,2370,1977,HUN,611,Hungary,HUN
J. Tabor,2370,1977,HUN,612,Hungary,HUN
P. Hardicsay,2355,1977,HUN,688,Hungary,HUN
Cs. Meleghegyi,2355,1977,HUN,697,Hungary,HUN
B. Sandor,2330,1977,HUN,879,Hungary,HUN
Gy. Honfi,2310,1977,HUN,994,Hungary,HUN
G. Kadas,2310,1977,HUN,998,Hungary,HUN
M. Kaposztas,2310,1977,HUN,999,Hungary,HUN
Sr. Karolyi,2310,1977,HUN,1000,Hungary,HUN
B. Lengyel,2310,1977,HUN,1001,Hungary,HUN
A. Ozsvath,2310,1977,HUN,1009,Hungary,HUN
M. Ivanka-Budinsky,2305,1977,HUN,1027,Hungary,HUN
I. Schrancz,2300,1977,HUN,1072,Hungary,HUN
Gasztonyi,2295,1977,HUN,1093,Hungary,HUN
L. Perecz,2290,1977,HUN,1124,Hungary,HUN
B. Balogh,2285,1977,HUN,1137,Hungary,HUN
Zs. Veroci-Petronic,2285,1977,HUN,1160,Hungary,HUN
Gy. Horvath,2280,1977,HUN,1172,Hungary,HUN
Koszorus,2280,1977,HUN,1176,Hungary,HUN
B. Perenyi,2270,1977,HUN,1248,Hungary,HUN
Zs. Makai,2240,1977,HUN,1417,Hungary,HUN
J. Juhasz,2235,1977,HUN,1448,Hungary,HUN
Foldi,2230,1977,HUN,1470,Hungary,HUN
Porubszky-Angyalosin,2160,1977,HUN,1644,Hungary,HUN
Karakas,2150,1977,HUN,1648,Hungary,HUN
Gy. Krizsan-Bilek,2150,1977,HUN,1650,Hungary,HUN
Mrs. Nagy,2100,1977,HUN,1681,Hungary,HUN
Karolyne Honfi,2075,1977,HUN,1704,Hungary,HUN
Csapo,2070,1977,HUN,1707,Hungary,HUN
B. Sinka,2070,1977,HUN,1709,Hungary,HUN
R. Kas,2040,1977,HUN,1732,Hungary,HUN
T. Csonkics,2030,1977,HUN,1738,Hungary,HUN
M. Grosch,2020,1977,HUN,1746,Hungary,HUN
Zs. Barta,2015,1977,HUN,1751,Hungary,HUN
L. Szaday,2015,1977,HUN,1756,Hungary,HUN
E. Finta,2000,1977,HUN,1769,Hungary,HUN
P. Csatlos,1980,1977,HUN,1794,Hungary,HUN
Langos,1965,1977,HUN,1808,Hungary,HUN
Mrs. Gy. Nagy,1955,1977,HUN,1817,Hungary,HUN
Zsogony,1955,1977,HUN,1820,Hungary,HUN
Cynolter,1950,1977,HUN,1822,Hungary,HUN
Biglova,1945,1977,HUN,1829,Hungary,HUN
E. Kovacs,1940,1977,HUN,1835,Hungary,HUN
Jaszay,1905,1977,HUN,1860,Hungary,HUN
Kereszturi,1890,1977,HUN,1867,Hungary,HUN
I. Deak,1870,1977,HUN,1875,Hungary,HUN
B. Larsen,2615,1977,DEN,9,Denmark,DNK
S. Hamann,2465,1977,DEN,152,Denmark,DNK
O. Jakobsen,2420,1977,DEN,319,Denmark,DNK
U. Rath,2420,1977,DEN,325,Denmark,DNK
S. Fedder,2400,1977,DEN,424,Denmark,DNK
J. Ost-Hansen,2395,1977,DEN,458,Denmark,DNK
J. Sloth,2395,1977,DEN,467,Denmark,DNK
B.R. Anderson,2385,1977,DEN,506,Denmark,DNK
J. Kristiansen,2385,1977,DEN,518,Denmark,DNK
T. Bjerre,2380,1977,DEN,535,Denmark,DNK
B. Brinck-Claussen,2380,1977,DEN,536,Denmark,DNK
S. Holm,2380,1977,DEN,542,Denmark,DNK
K. Pedersen,2380,1977,DEN,553,Denmark,DNK
G. Iskov,2370,1977,DEN,595,Denmark,DNK
B. Jacobsen,2370,1977,DEN,596,Denmark,DNK
K. Bjerring,2365,1977,DEN,613,Denmark,DNK
J. Hansen,2360,1977,DEN,652,Denmark,DNK
M. Moe,2360,1977,DEN,659,Denmark,DNK
P.E. Nielsen,2360,1977,DEN,661,Denmark,DNK
E. Mortensen,2355,1977,DEN,699,Denmark,DNK
E. Brondum,2335,1977,DEN,831,Denmark,DNK
Kolbak,2335,1977,DEN,839,Denmark,DNK
Hoi,2330,1977,DEN,867,Denmark,DNK
J. Rodgaard,2330,1977,DEN,877,Denmark,DNK
Rosenlund,2330,1977,DEN,878,Denmark,DNK
F. Petersen,2325,1977,DEN,906,Denmark,DNK
P. Norbi,2320,1977,DEN,938,Denmark,DNK
Rosell,2320,1977,DEN,943,Denmark,DNK
L. Moller,2315,1977,DEN,970,Denmark,DNK
A. Poulsen,2310,1977,DEN,1014,Denmark,DNK
Grabow,2305,1977,DEN,1025,Denmark,DNK
N.J. Fries-Nielsen,2300,1977,DEN,1054,Denmark,DNK
Isaksen,2295,1977,DEN,1097,Denmark,DNK
E. Bang,2275,1977,DEN,1190,Denmark,DNK
B. Kristensen,2275,1977,DEN,1200,Denmark,DNK
Blom,2250,1977,DEN,1342,Denmark,DNK
Hvenekilde,2250,1977,DEN,1357,Denmark,DNK
A. Jensen,2245,1977,DEN,1393,Denmark,DNK
I. Andersen,2240,1977,DEN,1401,Denmark,DNK
From,2230,1977,DEN,1471,Denmark,DNK
Ingerslev,2230,1977,DEN,1477,Denmark,DNK
P. Auchenberg,2225,1977,DEN,1495,Denmark,DNK
V. Jensen,2225,1977,DEN,1507,Denmark,DNK
J.O. Fries-Nielsen,2220,1977,DEN,1525,Denmark,DNK
L. Kristensen,2220,1977,DEN,1530,Denmark,DNK
O. Buch,2210,1977,DEN,1568,Denmark,DNK
S. Eriksen,2210,1977,DEN,1570,Denmark,DNK
Kjaerbye,2210,1977,DEN,1576,Denmark,DNK
M. Haahr,2020,1977,DEN,1747,Denmark,DNK
N. Hoiberg,1950,1977,DEN,1825,Denmark,DNK
J. Timman,2590,1977,NED,18,Netherlands,NLD
G. Sosonko,2530,1977,NED,58,Netherlands,NLD
J. Donner,2470,1977,NED,142,Netherlands,NLD
Ree,2460,1977,NED,160,Netherlands,NLD
C. Zuidema,2450,1977,NED,200,Netherlands,NLD
H. Bohm,2445,1977,NED,204,Netherlands,NLD
K. Langeweg,2445,1977,NED,210,Netherlands,NLD
G. Ligterink,2430,1977,NED,281,Netherlands,NLD
C. Van Wijgerden,2430,1977,NED,288,Netherlands,NLD
F. Kuijpers,2415,1977,NED,345,Netherlands,NLD
R. Hartoch,2405,1977,NED,398,Netherlands,NLD
B. Enklaar,2400,1977,NED,422,Netherlands,NLD
Happel,2400,1977,NED,428,Netherlands,NLD
Scholl,2385,1977,NED,527,Netherlands,NLD
P. Van der Sterren,2375,1977,NED,588,Netherlands,NLD
Faase,2355,1977,NED,684,Netherlands,NLD
P.A. Boersma,2350,1977,NED,713,Netherlands,NLD
F. Van der Vliet,2340,1977,NED,824,Netherlands,NLD
J. Marcus,2335,1977,NED,842,Netherlands,NLD
T. Timman,2335,1977,NED,854,Netherlands,NLD
Van Reek,2335,1977,NED,855,Netherlands,NLD
Vogel,2335,1977,NED,856,Netherlands,NLD
J. Van Baarle,2325,1977,NED,918,Netherlands,NLD
Van Scheltinga,2325,1977,NED,919,Netherlands,NLD
R. Dieks,2300,1977,NED,1051,Netherlands,NLD
A. Van Dop,2300,1977,NED,1080,Netherlands,NLD
Du Chattell,2280,1977,NED,1167,Netherlands,NLD
P. Van der Weide,2280,1977,NED,1186,Netherlands,NLD
Schouten,2275,1977,NED,1210,Netherlands,NLD
N. Bloch,2260,1977,NED,1282,Netherlands,NLD
F.W.M. Borm,2260,1977,NED,1283,Netherlands,NLD
A. Van der Mije,2260,1977,NED,1312,Netherlands,NLD
R. Witt,2260,1977,NED,1314,Netherlands,NLD
G. Van den Berg,2250,1977,NED,1378,Netherlands,NLD
Westerveld,2250,1977,NED,1382,Netherlands,NLD
C. Baljon,2220,1977,NED,1522,Netherlands,NLD
C. Vreeken,2135,1977,NED,1659,Netherlands,NLD
Van der Giessen,2085,1977,NED,1694,Netherlands,NLD
F. Heemskerk,2035,1977,NED,1734,Netherlands,NLD
C. Bruinenberg,2015,1977,NED,1752,Netherlands,NLD
E. Belle,2005,1977,NED,1760,Netherlands,NLD
De Graaf,2005,1977,NED,1763,Netherlands,NLD
R. Timmer,2005,1977,NED,1767,Netherlands,NLD
M. Van Elst,1970,1977,NED,1806,Netherlands,NLD
J. Mulder,1955,1977,NED,1816,Netherlands,NLD
Van Gent,1950,1977,NED,1828,Netherlands,NLD
R. Byrne,2580,1977,USA,20,United States,USA
L.M. Evans,2555,1977,USA,31,United States,USA
W.S. Browne,2545,1977,USA,40,United States,USA
L. Kavalek,2545,1977,USA,42,United States,USA
W. Lombardy,2530,1977,USA,56,United States,USA
K. Rogoff,2520,1977,USA,70,United States,USA
Tarjan,2495,1977,USA,95,United States,USA
S. Reshevsky,2490,1977,USA,113,United States,USA
L. Shamkovich,2485,1977,USA,119,United States,USA
K. Commons,2480,1977,USA,122,United States,USA
N. Weinstein,2475,1977,USA,139,United States,USA
Vukcevich,2470,1977,USA,148,United States,USA
L. Christiansen,2460,1977,USA,154,United States,USA
P. Benko,2455,1977,USA,164,United States,USA
Hoggatt,2450,1977,USA,182,United States,USA
Soltis,2450,1977,USA,195,United States,USA
B. Zuckerman,2450,1977,USA,199,United States,USA
L. Kaplan,2445,1977,USA,209,United States,USA
A. Bisguier,2440,1977,USA,218,United States,USA
J.P. Fedorowicz,2440,1977,USA,226,United States,USA
Matera,2430,1977,USA,282,United States,USA
E. Mednis,2430,1977,USA,283,United States,USA
A.F. Saidy,2430,1977,USA,287,United States,USA
J. Grefe,2425,1977,USA,297,United States,USA
E.W. Formanek,2410,1977,USA,364,United States,USA
D. Ghizdavu,2410,1977,USA,365,United States,USA
W. Martz,2410,1977,USA,373,United States,USA
L. Kaufman,2390,1977,USA,488,United States,USA
M.A. Rohde,2380,1977,USA,556,United States,USA
K. Regan,2375,1977,USA,580,United States,USA
J.D. Tisdall,2375,1977,USA,586,United States,USA
C. Chellstorp,2370,1977,USA,592,United States,USA
J.A. Peters,2370,1977,USA,606,United States,USA
O. Popovych,2370,1977,USA,608,United States,USA
J. Sherwin,2370,1977,USA,610,United States,USA
A. Dake,2365,1977,USA,619,United States,USA
A. Feuerstein,2365,1977,USA,621,United States,USA
M. Diesen,2360,1977,USA,645,United States,USA
Gilden,2360,1977,USA,651,United States,USA
Ervin Nagy,2360,1977,USA,660,United States,USA
J. Silman,2360,1977,USA,671,United States,USA
E. Meyer,2345,1977,USA,764,United States,USA
L.D. Evans,2340,1977,USA,789,United States,USA
Weinberger,2340,1977,USA,826,United States,USA
A. Denker,2335,1977,USA,832,United States,USA
A. Karklins,2335,1977,USA,838,United States,USA
G. Kane,2330,1977,USA,868,United States,USA
J. Kent,2330,1977,USA,869,United States,USA
L. Levy,2330,1977,USA,871,United States,USA
F. Thornally,2330,1977,USA,882,United States,USA
S. Wagman,2325,1977,USA,920,United States,USA
J.N. Jacobs,2315,1977,USA,962,United States,USA
J.H. Loftsson,2305,1977,USA,1028,United States,USA
R. Blumenfeld,2300,1977,USA,1037,United States,USA
Tamargo,2300,1977,USA,1076,United States,USA
M. Yoffie,2300,1977,USA,1086,United States,USA
D. Berry,2280,1977,USA,1163,United States,USA
Momic,2280,1977,USA,1182,United States,USA
R. Shocron,2280,1977,USA,1185,United States,USA
D. Waterman,2280,1977,USA,1187,United States,USA
Stoutenborough,2270,1977,USA,1253,United States,USA
Hanken,2260,1977,USA,1292,United States,USA
D. Strauss,2260,1977,USA,1307,United States,USA
P. Winston,2260,1977,USA,1313,United States,USA
C. Barnes,2255,1977,USA,1316,United States,USA
Matzner,2255,1977,USA,1325,United States,USA
Y. Seirawan,2250,1977,USA,1371,United States,USA
A.M. Akhsharumova,2245,1977,USA,1385,United States,USA
Remlinger,2225,1977,USA,1511,United States,USA
D. Savereide,2175,1977,USA,1633,United States,USA
D.O. Teasley,2090,1977,USA,1690,United States,USA
Herstein,2080,1977,USA,1697,United States,USA
G.K. Gresser,2060,1977,USA,1715,United States,USA
Orton,2060,1977,USA,1717,United States,USA
R. Crotto,2050,1977,USA,1723,United States,USA
Karff,2035,1977,USA,1735,United States,USA
G. Olsson,1990,1977,USA,1780,United States,USA
Simmons,1985,1977,USA,1790,United States,USA
Aaronson,1950,1977,USA,1821,United States,USA
Donelly,1935,1977,USA,1843,United States,USA
U. Andersson,2565,1977,SWE,23,Sweden,SWE
A. Ornstein,2440,1977,SWE,237,Sweden,SWE
G. Rorvall,2410,1977,SWE,381,Sweden,SWE
D. Uddenfeldt,2405,1977,SWE,407,Sweden,SWE
Renman,2400,1977,SWE,440,Sweden,SWE
J. Eslon,2385,1977,SWE,512,Sweden,SWE
K. Kaiszauri,2385,1977,SWE,517,Sweden,SWE
