Name,Rating,Year,Fed,Rank,name_FED,ISO3
G. Kasparov,2735,1987,RUS,1,Russia,RUS
An. Karpov,2710,1987,RUS,2,Russia,RUS
A. Sokolov,2645,1987,RUS,3,Russia,RUS
A. Yusupov,2645,1987,RUS,4,Russia,RUS
B. Spassky,2605,1987,RUS,10,Russia,RUS
Tal,2605,1987,RUS,11,Russia,RUS
R. Vaganian,2590,1987,RUS,18,Russia,RUS
A. Beliavsky,2585,1987,RUS,20,Russia,RUS
L. Polugaevsky,2585,1987,RUS,22,Russia,RUS
V.-P. Malaniuk,2575,1987,RUS,26,Russia,RUS
L. Psakhis,2575,1987,RUS,27,Russia,RUS
V. Tukmakov,2575,1987,RUS,28,Russia,RUS
A. Chernin,2570,1987,RUS,30,Russia,RUS
O. Romanishin,2570,1987,RUS,32,Russia,RUS
K. Lerner,2555,1987,RUS,44,Russia,RUS
V.N. Gavrikov,2550,1987,RUS,46,Russia,RUS
V. Salov,2550,1987,RUS,48,Russia,RUS
V. Smyslov,2550,1987,RUS,49,Russia,RUS
G. Agzamov,2545,1987,RUS,52,Russia,RUS
V.S. Eingorn,2545,1987,RUS,53,Russia,RUS
M. Gurevich,2540,1987,RUS,59,Russia,RUS
E. Bareev,2535,1987,RUS,65,Russia,RUS
E. Sveshnikov,2535,1987,RUS,72,Russia,RUS
M.G. Chiburdanidze,2530,1987,RUS,75,Russia,RUS
Y. Dokhoian,2530,1987,RUS,76,Russia,RUS
Y. Balashov,2525,1987,RUS,80,Russia,RUS
E. Vladimirov,2525,1987,RUS,87,Russia,RUS
I. Dorfman,2520,1987,RUS,89,Russia,RUS
A. Mikhalchishin,2520,1987,RUS,94,Russia,RUS
E. Pigusov,2520,1987,RUS,95,Russia,RUS
S. Dolmatov,2515,1987,RUS,97,Russia,RUS
A. Khalifman,2515,1987,RUS,99,Russia,RUS
S. Makarichev,2515,1987,RUS,100,Russia,RUS
Razuvaev,2510,1987,RUS,104,Russia,RUS
Vasiukov,2510,1987,RUS,105,Russia,RUS
Z. Azmayparashvili,2505,1987,RUS,106,Russia,RUS
V. Cseshkovsky,2505,1987,RUS,107,Russia,RUS
T. Georgadze,2505,1987,RUS,109,Russia,RUS
S. Smagin,2505,1987,RUS,118,Russia,RUS
A. Vaiser,2505,1987,RUS,119,Russia,RUS
L. Yudasin,2505,1987,RUS,120,Russia,RUS
V. Chekhov,2500,1987,RUS,123,Russia,RUS
E.P. Geller,2500,1987,RUS,127,Russia,RUS
S. Lputian,2500,1987,RUS,128,Russia,RUS
