Name,Rating,Year,Fed,Rank,name_FED,ISO3
J. Timman,2675,1988,NED,3,Netherlands,NLD
J. Van der Wiel,2555,1988,NED,55,Netherlands,NLD
G. Sosonko,2535,1988,NED,80,Netherlands,NLD
Ree,2480,1988,NED,208,Netherlands,NLD
Je. Piket,2470,1988,NED,240,Netherlands,NLD
P. Van der Sterren,2470,1988,NED,244,Netherlands,NLD
G. Ligterink,2455,1988,NED,308,Netherlands,NLD
P. Scheeren,2435,1988,NED,426,Netherlands,NLD
C. Van Wijgerden,2430,1988,NED,465,Netherlands,NLD
F.A. Cuijpers,2420,1988,NED,503,Netherlands,NLD
M. Kuijf,2420,1988,NED,511,Netherlands,NLD
L. Riemersma,2420,1988,NED,521,Netherlands,NLD
F.W.M. Borm,2410,1988,NED,592,Netherlands,NLD
B. Carlier,2410,1988,NED,594,Netherlands,NLD
R. Douven,2410,1988,NED,597,Netherlands,NLD
J.S. De Wit,2405,1988,NED,636,Netherlands,NLD
F. Kuijpers,2405,1988,NED,656,Netherlands,NLD
B. Enklaar,2400,1988,NED,680,Netherlands,NLD
G. Pieterse,2400,1988,NED,709,Netherlands,NLD
N. Cortlever,2395,1988,NED,731,Netherlands,NLD
P. Gelpke,2395,1988,NED,740,Netherlands,NLD
J.A.J. Van Mil,2395,1988,NED,773,Netherlands,NLD
A. Blees,2390,1988,NED,790,Netherlands,NLD
H. Bohm,2390,1988,NED,792,Netherlands,NLD
G.-J. De Boer,2390,1988,NED,796,Netherlands,NLD
L. Pliester,2390,1988,NED,827,Netherlands,NLD
P.A. Boersma,2385,1988,NED,846,Netherlands,NLD
J. Brenninkmeijer,2385,1988,NED,849,Netherlands,NLD
F. Nijboer,2375,1988,NED,999,Netherlands,NLD
R. Hartoch,2370,1988,NED,1044,Netherlands,NLD
J. Van Heste,2370,1988,NED,1093,Netherlands,NLD
P. Peelen,2365,1988,NED,1139,Netherlands,NLD
H. Cardon,2360,1988,NED,1163,Netherlands,NLD
K. Langeweg,2360,1988,NED,1189,Netherlands,NLD
M. Bosboom,2355,1988,NED,1228,Netherlands,NLD
G. Den Broeder,2355,1988,NED,1232,Netherlands,NLD
E. Hoeksema,2355,1988,NED,1245,Netherlands,NLD
M. Piket,2355,1988,NED,1270,Netherlands,NLD
G. Welling,2355,1988,NED,1290,Netherlands,NLD
H.A. Bartels,2345,1988,NED,1371,Netherlands,NLD
M. Peek,2345,1988,NED,1426,Netherlands,NLD
H. Janssen,2340,1988,NED,1479,Netherlands,NLD
P. Nieuwenhuis,2335,1988,NED,1588,Netherlands,NLD
F. Van der Vliet,2330,1988,NED,1721,Netherlands,NLD
R. Witt,2330,1988,NED,1727,Netherlands,NLD
G.J. Ballon,2325,1988,NED,1739,Netherlands,NLD
H. Grooten,2325,1988,NED,1772,Netherlands,NLD
M.D. Etmans,2320,1988,NED,1882,Netherlands,NLD
C. Becx,2315,1988,NED,1994,Netherlands,NLD
Happel,2315,1988,NED,2027,Netherlands,NLD
J. Van Baarle,2315,1988,NED,2091,Netherlands,NLD
J. Booy,2310,1988,NED,2117,Netherlands,NLD
Faase,2310,1988,NED,2136,Netherlands,NLD
F. Goldstern,2310,1988,NED,2149,Netherlands,NLD
C. Stehouwer,2310,1988,NED,2236,Netherlands,NLD
Van De Oudeweet.A.,2310,1988,NED,2243,Netherlands,NLD
A. Van Dop,2310,1988,NED,2244,Netherlands,NLD
Y. Volman,2310,1988,NED,2248,Netherlands,NLD
E.G.J. Knoppert,2305,1988,NED,2325,Netherlands,NLD
T. De Jong,2300,1988,NED,2430,Netherlands,NLD
W. Heemskerk,2300,1988,NED,2461,Netherlands,NLD
J. Marcus,2300,1988,NED,2490,Netherlands,NLD
G.J. Timmerman,2300,1988,NED,2528,Netherlands,NLD
Van Scheltinga,2300,1988,NED,2535,Netherlands,NLD
P. Bierenbroodspot,2295,1988,NED,2548,Netherlands,NLD
L. Jongsma,2295,1988,NED,2585,Netherlands,NLD
P. Tolk,2295,1988,NED,2659,Netherlands,NLD
Y. Visser,2295,1988,NED,2667,Netherlands,NLD
P. Van Voorthuijsen,2290,1988,NED,2807,Netherlands,NLD
R. Timmer,2275,1988,NED,3251,Netherlands,NLD
De Roode,2270,1988,NED,3290,Netherlands,NLD
F. Krudde,2265,1988,NED,3488,Netherlands,NLD
H. Kuijf,2265,1988,NED,3489,Netherlands,NLD
A. Schneiders,2265,1988,NED,3536,Netherlands,NLD
J. Vogel,2265,1988,NED,3562,Netherlands,NLD
R. Caessens,2260,1988,NED,3588,Netherlands,NLD
M. Kremer,2260,1988,NED,3643,Netherlands,NLD
M. Van der Werf,2260,1988,NED,3712,Netherlands,NLD
H. Kerkmeester,2245,1988,NED,4110,Netherlands,NLD
T. Bottema,2240,1988,NED,4214,Netherlands,NLD
H. De Greef,2240,1988,NED,4229,Netherlands,NLD
Straat,2240,1988,NED,4315,Netherlands,NLD
A De Savornin Lohman,2235,1988,NED,4359,Netherlands,NLD
R. Hofman,2235,1988,NED,4390,Netherlands,NLD
R. Olthof,2230,1988,NED,4599,Netherlands,NLD
A.J. Schwartz,2230,1988,NED,4615,Netherlands,NLD
J. Van den Berg,2230,1988,NED,4632,Netherlands,NLD
W. Van der Wijk,2230,1988,NED,4634,Netherlands,NLD
H. Vlam,2230,1988,NED,4638,Netherlands,NLD
M. Beulen,2225,1988,NED,4657,Netherlands,NLD
L. Konings,2225,1988,NED,4716,Netherlands,NLD
N. Hauwert,2215,1988,NED,4989,Netherlands,NLD
A. Van der Mije,2215,1988,NED,5058,Netherlands,NLD
G. Van Manen,2210,1988,NED,5186,Netherlands,NLD
J. Voormans,2210,1988,NED,5188,Netherlands,NLD
M.A. Wind,2210,1988,NED,5193,Netherlands,NLD
J. Harmsen,2200,1988,NED,5430,Netherlands,NLD
H. Van Parreren,2155,1988,NED,5522,Netherlands,NLD
C. Vreeken,2150,1988,NED,5531,Netherlands,NLD
E. De Kleuver,2145,1988,NED,5533,Netherlands,NLD
E. Belle,2140,1988,NED,5538,Netherlands,NLD
Y. Nagel,2085,1988,NED,5693,Netherlands,NLD
C. Bruinenberg,2070,1988,NED,5734,Netherlands,NLD
M. Drewes,2065,1988,NED,5760,Netherlands,NLD
A. Van der Giessen,2045,1988,NED,5828,Netherlands,NLD
A. Cameron,2030,1988,NED,5860,Netherlands,NLD
C. Pluymert,2030,1988,NED,5867,Netherlands,NLD
F. Heemskerk,2025,1988,NED,5883,Netherlands,NLD
F. Selmeier,2015,1988,NED,5925,Netherlands,NLD
M. Van Elst,2005,1988,NED,6011,Netherlands,NLD
E. Vogel-De Graaf,2005,1988,NED,6015,Netherlands,NLD
V. Kortchnoi,2640,1988,SUI,5,Switzerland,CHE
Zueger,2470,1988,SUI,245,Switzerland,CHE
W. Hug,2440,1988,SUI,377,Switzerland,CHE
G. Franzoni,2435,1988,SUI,408,Switzerland,CHE
H. Wirthensohn,2425,1988,SUI,497,Switzerland,CHE
