Name,Rating,Year,Fed,Rank,name_FED,ISO3
V. Kortchnoi,2635,1984,SUI,3,Switzerland,CHE
W. Hug,2435,1984,SUI,298,Switzerland,CHE
Partos,2425,1984,SUI,358,Switzerland,CHE
H. Wirthensohn,2415,1984,SUI,445,Switzerland,CHE
B. Zueger,2385,1984,SUI,662,Switzerland,CHE
F. Gobet,2380,1984,SUI,675,Switzerland,CHE
Glauser,2375,1984,SUI,713,Switzerland,CHE
E. Bhend,2370,1984,SUI,749,Switzerland,CHE
M. Schauwecker,2370,1984,SUI,776,Switzerland,CHE
M. Blau,2355,1984,SUI,876,Switzerland,CHE
G. Franzoni,2355,1984,SUI,882,Switzerland,CHE
M. Trepp,2350,1984,SUI,977,Switzerland,CHE
M. Wittwer,2350,1984,SUI,981,Switzerland,CHE
Ph. Ammann,2345,1984,SUI,983,Switzerland,CHE
H. Karl,2335,1984,SUI,1099,Switzerland,CHE
Hohler,2320,1984,SUI,1272,Switzerland,CHE
Schaufelberger,2315,1984,SUI,1357,Switzerland,CHE
J. Herzog,2310,1984,SUI,1388,Switzerland,CHE
W. Bichsel,2305,1984,SUI,1445,Switzerland,CHE
P. Hammer,2305,1984,SUI,1469,Switzerland,CHE
Vucenovic,2305,1984,SUI,1518,Switzerland,CHE
Farron,2290,1984,SUI,1691,Switzerland,CHE
Huss,2280,1984,SUI,1876,Switzerland,CHE
M. Ruefenacht,2275,1984,SUI,1982,Switzerland,CHE
A. Domont,2270,1984,SUI,2018,Switzerland,CHE
D. Leuba,2270,1984,SUI,2049,Switzerland,CHE
U. Rueetschi,2270,1984,SUI,2079,Switzerland,CHE
B. Schwaegli,2255,1984,SUI,2400,Switzerland,CHE
Erismann,2250,1984,SUI,2436,Switzerland,CHE
C. Flueckiger,2250,1984,SUI,2438,Switzerland,CHE
E. Gereben,2250,1984,SUI,2441,Switzerland,CHE
Mi. Hofmann,2230,1984,SUI,2859,Switzerland,CHE
H. Kaenel,2230,1984,SUI,2869,Switzerland,CHE
G. Gottardi,2225,1984,SUI,2965,Switzerland,CHE
P. Iten,2225,1984,SUI,2981,Switzerland,CHE
Gfeller,2215,1984,SUI,3182,Switzerland,CHE
Krahenbuhl,2215,1984,SUI,3195,Switzerland,CHE
J. Rosenthal,2215,1984,SUI,3223,Switzerland,CHE
S. Branca,2210,1984,SUI,3251,Switzerland,CHE
H. Schaerer,2205,1984,SUI,3423,Switzerland,CHE
J. Strauss,2200,1984,SUI,3516,Switzerland,CHE
M. Keller,2070,1984,SUI,3627,Switzerland,CHE
W. Bilinski,1955,1984,SUI,3827,Switzerland,CHE
E. Vogel,1955,1984,SUI,3835,Switzerland,CHE
Burgin,1920,1984,SUI,3894,Switzerland,CHE
A. Cathrein,1920,1984,SUI,3896,Switzerland,CHE
M. Steiner,1915,1984,SUI,3916,Switzerland,CHE
C. Baumann,1900,1984,SUI,3952,Switzerland,CHE
Eigenmann,1865,1984,SUI,4030,Switzerland,CHE
Schladetzky,1860,1984,SUI,4047,Switzerland,CHE
Leu,1825,1984,SUI,4100,Switzerland,CHE
Nopfer,1825,1984,SUI,4103,Switzerland,CHE
U. Andersson,2630,1984,SWE,5,Sweden,SWE
T. Wedberg,2495,1984,SWE,95,Sweden,SWE
L. Karlsson,2480,1984,SWE,126,Sweden,SWE
H. Schussler,2445,1984,SWE,261,Sweden,SWE
L.-A. Schneider,2440,1984,SWE,285,Sweden,SWE
Ekstrom,2430,1984,SWE,323,Sweden,SWE
J. Eslon,2430,1984,SWE,324,Sweden,SWE
Akesson,2420,1984,SWE,365,Sweden,SWE
Renman,2420,1984,SWE,403,Sweden,SWE
Th. Ernst,2415,1984,SWE,424,Sweden,SWE
P. Cramling,2405,1984,SWE,479,Sweden,SWE
A. Ornstein,2405,1984,SWE,499,Sweden,SWE
G. Johansson,2395,1984,SWE,557,Sweden,SWE
Th. Welin,2395,1984,SWE,580,Sweden,SWE
D. Cramling,2380,1984,SWE,671,Sweden,SWE
B. Hammar,2375,1984,SWE,716,Sweden,SWE
K. Kaiszauri,2375,1984,SWE,721,Sweden,SWE
Ch. Niklasson,2375,1984,SWE,729,Sweden,SWE
Ch. Bergstrom,2370,1984,SWE,748,Sweden,SWE
J. Hector,2350,1984,SWE,945,Sweden,SWE
M. Sjoberg,2345,1984,SWE,1015,Sweden,SWE
Rorvall,2325,1984,SWE,1233,Sweden,SWE
D. Hansson,2320,1984,SWE,1270,Sweden,SWE
Roervall,2320,1984,SWE,1298,Sweden,SWE
Rothen,2315,1984,SWE,1355,Sweden,SWE
B. Svensson,2315,1984,SWE,1364,Sweden,SWE
B. Andersson,2310,1984,SWE,1367,Sweden,SWE
Berkell,2305,1984,SWE,1444,Sweden,SWE
M. Carlson,2300,1984,SWE,1526,Sweden,SWE
A. Olsson,2300,1984,SWE,1566,Sweden,SWE
R. Lekander,2295,1984,SWE,1632,Sweden,SWE
J.-O. Lind,2290,1984,SWE,1711,Sweden,SWE
H. Akvist,2285,1984,SWE,1749,Sweden,SWE
M. Bergstrom,2285,1984,SWE,1758,Sweden,SWE
Carleson,2280,1984,SWE,1855,Sweden,SWE
L. Degerman,2270,1984,SWE,2015,Sweden,SWE
Gannholm,2270,1984,SWE,2025,Sweden,SWE
K. Engstrom,2265,1984,SWE,2127,Sweden,SWE
B. Lindberg,2265,1984,SWE,2153,Sweden,SWE
Marklund,2265,1984,SWE,2161,Sweden,SWE
M. Unander,2265,1984,SWE,2194,Sweden,SWE
S. Winge,2250,1984,SWE,2517,Sweden,SWE
C. Gruvaeus,2245,1984,SWE,2549,Sweden,SWE
P. Fransson,2240,1984,SWE,2646,Sweden,SWE
M. Svenn,2235,1984,SWE,2803,Sweden,SWE
M. Bergman-Olsen,2230,1984,SWE,2827,Sweden,SWE
Ljungquist,2230,1984,SWE,2882,Sweden,SWE
G. Svenn,2230,1984,SWE,2920,Sweden,SWE
P. Korning,2215,1984,SWE,3194,Sweden,SWE
Marttala,2215,1984,SWE,3207,Sweden,SWE
G. Svensson,2215,1984,SWE,3227,Sweden,SWE
Ch. Hartman,2210,1984,SWE,3273,Sweden,SWE
Josefsson,2200,1984,SWE,3481,Sweden,SWE
J. Dahlin,2100,1984,SWE,3585,Sweden,SWE
B. Borisova,2095,1984,SWE,3590,Sweden,SWE
