Name,Rating,Year,Fed,Rank,name_FED,ISO3
Gary Kasparov,2805,1995,RUS,1,Russia,RUS
Anatoly Karpov,2765,1995,RUS,3,Russia,RUS
Vladimir Kramnik,2715,1995,RUS,5,Russia,RUS
Valery Salov,2715,1995,RUS,6,Russia,RUS
Evgeny Bareev,2675,1995,RUS,11,Russia,RUS
Alexey Dreev,2650,1995,RUS,19,Russia,RUS
Vladimir Epishin,2635,1995,RUS,23,Russia,RUS
Alexander Khalifman,2635,1995,RUS,24,Russia,RUS
Sergei Tiviakov,2625,1995,RUS,37,Russia,RUS
Sergey Dolmatov,2605,1995,RUS,48,Russia,RUS
Alexander Morozevich,2605,1995,RUS,52,Russia,RUS
Alexey Vyzmanavin,2605,1995,RUS,54,Russia,RUS
Igor.V Glek,2600,1995,RUS,58,Russia,RUS
Evgeny Pigusov,2590,1995,RUS,77,Russia,RUS
Lev Polugaevsky,2585,1995,RUS,82,Russia,RUS
Sergei Rublevsky,2585,1995,RUS,84,Russia,RUS
Peter Svidler,2585,1995,RUS,87,Russia,RUS
Vadim Zvjaginsev,2585,1995,RUS,89,Russia,RUS
Yury Dokhoian,2580,1995,RUS,90,Russia,RUS
Alexander Goldin,2580,1995,RUS,91,Russia,RUS
Yuri..S Razuvaev,2580,1995,RUS,95,Russia,RUS
Mikhail Krasenkov,2575,1995,RUS,104,Russia,RUS
Andrei Sokolov,2575,1995,RUS,109,Russia,RUS
Evgeny Sveshnikov,2560,1995,RUS,132,Russia,RUS
Vladimir Burmakin,2555,1995,RUS,135,Russia,RUS
Vyacheslav Ikonnikov,2555,1995,RUS,137,Russia,RUS
Andrei Kharlov,2555,1995,RUS,138,Russia,RUS
Yuri Yakovich,2555,1995,RUS,146,Russia,RUS
Semen.I Dvoirys,2550,1995,RUS,148,Russia,RUS
Andrei..Y Kharitonov,2550,1995,RUS,151,Russia,RUS
Valery..A Loginov,2550,1995,RUS,152,Russia,RUS
Nukhim..N Rashkovsky,2550,1995,RUS,155,Russia,RUS
Vadim Ruban,2550,1995,RUS,156,Russia,RUS
Evgeny Gleizerov,2545,1995,RUS,164,Russia,RUS
Igor Khenkin,2545,1995,RUS,167,Russia,RUS
Oleg Korneev,2540,1995,RUS,179,Russia,RUS
Sergey Makarichev,2540,1995,RUS,182,Russia,RUS
Yury Piskov,2540,1995,RUS,187,Russia,RUS
Sergey Smagin,2540,1995,RUS,188,Russia,RUS
Vassily Smyslov,2540,1995,RUS,189,Russia,RUS
Mikhail Ulibin,2540,1995,RUS,191,Russia,RUS
Alexandar Budnikov,2535,1995,RUS,196,Russia,RUS
Sergey Ivanov,2535,1995,RUS,202,Russia,RUS
Konstantin Sakaev,2535,1995,RUS,207,Russia,RUS
Konstantin..N Aseev,2530,1995,RUS,218,Russia,RUS
Vitaly Tseshkovsky,2530,1995,RUS,236,Russia,RUS
Gennady Tunik,2530,1995,RUS,237,Russia,RUS
Sergey Ionov,2525,1995,RUS,243,Russia,RUS
Valeri Yandemirov,2525,1995,RUS,255,Russia,RUS
Alexander Fominyh,2520,1995,RUS,260,Russia,RUS
Ildar Ibragimov,2520,1995,RUS,264,Russia,RUS
Marat Makarov,2520,1995,RUS,267,Russia,RUS
Ruslan Sherbakov,2520,1995,RUS,273,Russia,RUS
Viktor Varavin,2520,1995,RUS,278,Russia,RUS
Sergey Arkhipov,2515,1995,RUS,282,Russia,RUS
Eldar Mukhametov,2515,1995,RUS,292,Russia,RUS
Pavel.V Tregubov,2515,1995,RUS,297,Russia,RUS
Vasily Yemelin,2515,1995,RUS,299,Russia,RUS
