Name,Rating,Year,Fed,Rank,name_FED,ISO3
Gary Kasparov,2805,1993,RUS,1,Russia,RUS
Anatoly Karpov,2725,1993,RUS,3,Russia,RUS
Vladimir Kramnik,2685,1993,RUS,7,Russia,RUS
Evgeny Bareev,2670,1993,RUS,8,Russia,RUS
Valery Salov,2660,1993,RUS,11,Russia,RUS
Lev Polugaevsky,2635,1993,RUS,18,Russia,RUS
Alexander Khalifman,2630,1993,RUS,23,Russia,RUS
Vladimir Epishin,2620,1993,RUS,31,Russia,RUS
Alexey Vyzmanavin,2620,1993,RUS,36,Russia,RUS
Sergey Dolmatov,2615,1993,RUS,38,Russia,RUS
Vadim Ruban,2595,1993,RUS,58,Russia,RUS
Andrei Kharlov,2580,1993,RUS,69,Russia,RUS
Igor Khenkin,2575,1993,RUS,81,Russia,RUS
Evgeny Pigusov,2575,1993,RUS,85,Russia,RUS
Sergei Tiviakov,2575,1993,RUS,88,Russia,RUS
Ruslan Sherbakov,2570,1993,RUS,94,Russia,RUS
Semen.I Dvoirys,2565,1993,RUS,96,Russia,RUS
Mikhail Ulibin,2565,1993,RUS,106,Russia,RUS
Alexey Dreev,2560,1993,RUS,109,Russia,RUS
Mikhail Krasenkov,2560,1993,RUS,112,Russia,RUS
Evgeny Gleizerov,2555,1993,RUS,120,Russia,RUS
Alexander Goldin,2555,1993,RUS,121,Russia,RUS
Alexey Kuzmin,2555,1993,RUS,124,Russia,RUS
Konstantin Sakaev,2555,1993,RUS,127,Russia,RUS
Andrei Sokolov,2555,1993,RUS,128,Russia,RUS
Evgeny Sveshnikov,2555,1993,RUS,129,Russia,RUS
Aleksandar Baburin,2550,1993,RUS,130,Russia,RUS
Nukhim..N Rashkovsky,2550,1993,RUS,139,Russia,RUS
Yuri..S Balashov,2545,1993,RUS,142,Russia,RUS
Igor.V Glek,2545,1993,RUS,143,Russia,RUS
Sergey Makarichev,2545,1993,RUS,148,Russia,RUS
Ildar Ibragimov,2540,1993,RUS,155,Russia,RUS
Vitaly Tseshkovsky,2540,1993,RUS,162,Russia,RUS
Anatoly D Machulsky,2535,1993,RUS,173,Russia,RUS
Vassily Smyslov,2530,1993,RUS,193,Russia,RUS
Yuri..S Razuvaev,2525,1993,RUS,204,Russia,RUS
Alexandar Budnikov,2520,1993,RUS,210,Russia,RUS
Avigdor Bykhovsky,2520,1993,RUS,211,Russia,RUS
Yury Piskov,2520,1993,RUS,218,Russia,RUS
Sergey Smagin,2520,1993,RUS,221,Russia,RUS
Sergey Arkhipov,2515,1993,RUS,228,Russia,RUS
Konstantin..N Aseev,2515,1993,RUS,229,Russia,RUS
Efim..P Geller,2515,1993,RUS,231,Russia,RUS
Mikhail..M Ivanov,2515,1993,RUS,233,Russia,RUS
Marat Makarov,2515,1993,RUS,238,Russia,RUS
Sergei Rublevsky,2515,1993,RUS,243,Russia,RUS
Aleksandr Poluljahov,2515,1993,RUS,246,Russia,RUS
Alexander Vaulin,2515,1993,RUS,248,Russia,RUS
Yury Dokhoian,2510,1993,RUS,254,Russia,RUS
Sergey-G Gorelov,2510,1993,RUS,257,Russia,RUS
Andrei..Y Kharitonov,2510,1993,RUS,261,Russia,RUS
Sergey Kiselev,2510,1993,RUS,262,Russia,RUS
Sergey Kishnev,2510,1993,RUS,263,Russia,RUS
Evgeni Ragozin,2510,1993,RUS,267,Russia,RUS
Yuri Yakovich,2510,1993,RUS,270,Russia,RUS
Alexander Fominyh,2505,1993,RUS,277,Russia,RUS
Alexey Ivanov,2505,1993,RUS,281,Russia,RUS
Aleksandr Karpatchev,2505,1993,RUS,283,Russia,RUS
Valery..A Loginov,2505,1993,RUS,290,Russia,RUS
Evgeni Maljutin,2505,1993,RUS,291,Russia,RUS
Sergey Ionov,2500,1993,RUS,306,Russia,RUS
Sergey Ivanov,2500,1993,RUS,307,Russia,RUS
Viktor Kuporosov,2500,1993,RUS,311,Russia,RUS
Miron..N Sher,2500,1993,RUS,313,Russia,RUS
Mark..E Taimanov,2500,1993,RUS,316,Russia,RUS
N. Peregudov,2495,1993,RUS,335,Russia,RUS
Andrei Shchekachev,2495,1993,RUS,337,Russia,RUS
Evgeni Vasiukov,2495,1993,RUS,339,Russia,RUS
Orest..N Averkin,2490,1993,RUS,344,Russia,RUS
Oleg I Dementiev,2490,1993,RUS,346,Russia,RUS
Oleg Korneev,2490,1993,RUS,355,Russia,RUS
Sergei Shipov,2490,1993,RUS,362,Russia,RUS
Peter Svidler,2490,1993,RUS,364,Russia,RUS
I Tseitlin,2490,1993,RUS,366,Russia,RUS
Vyacheslav Ikonnikov,2485,1993,RUS,381,Russia,RUS
Nikolai Pushkov,2485,1993,RUS,390,Russia,RUS
Mikhail-S Tseitlin,2485,1993,RUS,394,Russia,RUS
Valery..A Chekhov,2480,1993,RUS,398,Russia,RUS
Evgeniy Solozhenkin,2480,1993,RUS,416,Russia,RUS
Alex Avshalumov,2475,1993,RUS,421,Russia,RUS
Mark Dvoretzky,2475,1993,RUS,424,Russia,RUS
Alexander Kochyev,2475,1993,RUS,432,Russia,RUS
Marat Muhutdinov,2475,1993,RUS,438,Russia,RUS
Yuri N Sakharov,2475,1993,RUS,440,Russia,RUS
Vladimir Burmakin,2470,1993,RUS,448,Russia,RUS
Aleksander I Tuzovsky,2470,1993,RUS,465,Russia,RUS
Evgeni Dragomarezkij,2465,1993,RUS,472,Russia,RUS
Nikolai..V Krogius,2465,1993,RUS,476,Russia,RUS
Alexander Obukhov,2465,1993,RUS,482,Russia,RUS
S Oganesian,2465,1993,RUS,483,Russia,RUS
Alexander Raetsky,2465,1993,RUS,485,Russia,RUS
S Putenko,2465,1993,RUS,489,Russia,RUS
Veniamen Shtyrenkov,2465,1993,RUS,493,Russia,RUS
Gennady Tunik,2465,1993,RUS,498,Russia,RUS
Valeri Yandemirov,2465,1993,RUS,500,Russia,RUS
Nikolai Andrianov,2460,1993,RUS,504,Russia,RUS
Vladimir Belikov,2460,1993,RUS,506,Russia,RUS
 Govashelishvili,2460,1993,RUS,513,Russia,RUS
Alexander Khasin,2460,1993,RUS,518,Russia,RUS
Ratmir..D Kholmov,2460,1993,RUS,519,Russia,RUS
Yakov Meister,2460,1993,RUS,526,Russia,RUS
Igor Naumkin,2460,1993,RUS,527,Russia,RUS
Oleg Nikolenko,2460,1993,RUS,529,Russia,RUS
Alexander..N Panchenko,2460,1993,RUS,530,Russia,RUS
Viktor Varavin,2460,1993,RUS,536,Russia,RUS
Oleg I. Dziuban,2455,1993,RUS,545,Russia,RUS
Sergey Janovsky,2455,1993,RUS,551,Russia,RUS
Konstantin Landa,2455,1993,RUS,555,Russia,RUS
Viktor Moiseev,2455,1993,RUS,558,Russia,RUS
Aleksej Shestoperov,2455,1993,RUS,566,Russia,RUS
Vladimir Zemerov,2455,1993,RUS,572,Russia,RUS
Alexander Zlochevskij,2455,1993,RUS,574,Russia,RUS
Viacheslav Bashkov,2450,1993,RUS,577,Russia,RUS
Victor A Bojarinov,2450,1993,RUS,579,Russia,RUS
Vasilij Gagarin,2450,1993,RUS,584,Russia,RUS
A Monakov,2450,1993,RUS,601,Russia,RUS
Vladimir Nevostrujev,2450,1993,RUS,605,Russia,RUS
Konstantin Starosek,2450,1993,RUS,619,Russia,RUS
Vladislav..V Vorotnikov,2450,1993,RUS,625,Russia,RUS
Igor..A Zaitsev,2450,1993,RUS,628,Russia,RUS
Yuri L Averbakh,2445,1993,RUS,632,Russia,RUS
Alexander Dukhov,2445,1993,RUS,639,Russia,RUS
Alisa.(IM) Galliamova-Ivanchuk,2445,1993,RUS,643,Russia,RUS
Valery Lisik,2445,1993,RUS,658,Russia,RUS
Andrei..M Lukin,2445,1993,RUS,659,Russia,RUS
Jurij Markov,2445,1993,RUS,662,Russia,RUS
Igor..A Polovodin,2445,1993,RUS,673,Russia,RUS
Alexey Pugachov,2445,1993,RUS,674,Russia,RUS
Roman Skomorokhin,2445,1993,RUS,676,Russia,RUS
Pavel.V Tregubov,2445,1993,RUS,681,Russia,RUS
