Name,Rating,Year,Fed,Rank,name_FED,ISO3
V. Kortchnoi,2695,1979,SUI,2,Switzerland,CHE
W. Hug,2460,1979,SUI,179,Switzerland,CHE
Partos,2420,1979,SUI,363,Switzerland,CHE
H. Wirthensohn,2410,1979,SUI,440,Switzerland,CHE
A. Lombard,2395,1979,SUI,540,Switzerland,CHE
Luginbuhl,2370,1979,SUI,705,Switzerland,CHE
R. Roth,2370,1979,SUI,722,Switzerland,CHE
M. Schauwecker,2365,1979,SUI,768,Switzerland,CHE
Huss,2355,1979,SUI,837,Switzerland,CHE
P. Hammer,2350,1979,SUI,875,Switzerland,CHE
E. Bhend,2340,1979,SUI,936,Switzerland,CHE
Karlik,2340,1979,SUI,954,Switzerland,CHE
And. Martin,2330,1979,SUI,1045,Switzerland,CHE
Vucenovic,2325,1979,SUI,1107,Switzerland,CHE
Schaufelberger,2315,1979,SUI,1187,Switzerland,CHE
E. Gereben,2300,1979,SUI,1316,Switzerland,CHE
Holg,2290,1979,SUI,1401,Switzerland,CHE
W. Bichsel,2280,1979,SUI,1459,Switzerland,CHE
Marthaler,2275,1979,SUI,1528,Switzerland,CHE
P. Fecht,2250,1979,SUI,1721,Switzerland,CHE
R. Ott,2245,1979,SUI,1785,Switzerland,CHE
P. Ammann,2225,1979,SUI,1914,Switzerland,CHE
Veprek,1980,1979,SUI,2315,Switzerland,CHE
Nopfer,1880,1979,SUI,2394,Switzerland,CHE
Wettstein,1845,1979,SUI,2412,Switzerland,CHE
L. Portisch,2640,1979,HUN,3,Hungary,HUN
Z. Ribli,2595,1979,HUN,16,Hungary,HUN
Gy. Sax,2590,1979,HUN,19,Hungary,HUN
A. Adorjan,2525,1979,HUN,60,Hungary,HUN
L. Szabo,2515,1979,HUN,79,Hungary,HUN
I. Csom,2510,1979,HUN,81,Hungary,HUN
I. Farago,2510,1979,HUN,82,Hungary,HUN
L. Vadasz,2490,1979,HUN,115,Hungary,HUN
F. Portisch,2475,1979,HUN,143,Hungary,HUN
L. Barczay,2470,1979,HUN,147,Hungary,HUN
I. Bilek,2460,1979,HUN,173,Hungary,HUN
L. Lengyel,2455,1979,HUN,201,Hungary,HUN
R. Ortega,2455,1979,HUN,202,Hungary,HUN
P. Dely,2445,1979,HUN,224,Hungary,HUN
J. Pinter,2445,1979,HUN,232,Hungary,HUN
J. Flesch,2430,1979,HUN,293,Hungary,HUN
E. Haag,2430,1979,HUN,298,Hungary,HUN
M. Kovacs-Pinter,2430,1979,HUN,300,Hungary,HUN
Szeles,2430,1979,HUN,312,Hungary,HUN
Gy.V. Forintos,2425,1979,HUN,325,Hungary,HUN
G. Barcza,2420,1979,HUN,341,Hungary,HUN
L. Hazai,2420,1979,HUN,350,Hungary,HUN
Karoly Honfi,2420,1979,HUN,352,Hungary,HUN
P. Lukacs,2420,1979,HUN,356,Hungary,HUN
J. Tompa,2420,1979,HUN,375,Hungary,HUN
Ervin Nagy,2415,1979,HUN,399,Hungary,HUN
T. Horvath,2410,1979,HUN,419,Hungary,HUN
L. Liptay,2410,1979,HUN,426,Hungary,HUN
Pal Petran,2410,1979,HUN,431,Hungary,HUN
E. Varnusz,2410,1979,HUN,438,Hungary,HUN
P. Szilagyi,2405,1979,HUN,474,Hungary,HUN
L. Cserna,2400,1979,HUN,483,Hungary,HUN
L. Navarovszky,2400,1979,HUN,505,Hungary,HUN
J. Pogats,2390,1979,HUN,578,Hungary,HUN
A. Lilienthal,2385,1979,HUN,608,Hungary,HUN
J. Rigo,2385,1979,HUN,613,Hungary,HUN
I. Somogyi,2380,1979,HUN,649,Hungary,HUN
Varasdy,2380,1979,HUN,651,Hungary,HUN
A. Groszpeter,2375,1979,HUN,666,Hungary,HUN
Marosi,2370,1979,HUN,706,Hungary,HUN
Gy. Rajna,2370,1979,HUN,718,Hungary,HUN
L. Szell,2370,1979,HUN,730,Hungary,HUN
J. Tabor,2365,1979,HUN,772,Hungary,HUN
I. Bokor,2360,1979,HUN,781,Hungary,HUN
Sapi,2360,1979,HUN,805,Hungary,HUN
Cs. Meleghegyi,2355,1979,HUN,847,Hungary,HUN
G. Szilagyi,2355,1979,HUN,859,Hungary,HUN
L. Eperjesi,2350,1979,HUN,873,Hungary,HUN
B. Lengyel,2350,1979,HUN,879,Hungary,HUN
P. Hardicsay,2340,1979,HUN,947,Hungary,HUN
Dezso,2320,1979,HUN,1122,Hungary,HUN
A. Ozsvath,2320,1979,HUN,1145,Hungary,HUN
A. Schneider,2320,1979,HUN,1151,Hungary,HUN
L. Perecz,2315,1979,HUN,1183,Hungary,HUN
Gy. Honfi,2310,1979,HUN,1221,Hungary,HUN
G. Kadas,2310,1979,HUN,1226,Hungary,HUN
Sr. Karolyi,2310,1979,HUN,1227,Hungary,HUN
B. Perenyi,2310,1979,HUN,1243,Hungary,HUN
Gy. Kluger,2305,1979,HUN,1271,Hungary,HUN
Puschmann,2305,1979,HUN,1278,Hungary,HUN
M. Kaposztas,2300,1979,HUN,1325,Hungary,HUN
I. Schrancz,2295,1979,HUN,1382,Hungary,HUN
Zs. Veroci-Petronic,2290,1979,HUN,1421,Hungary,HUN
Szalanczy,2285,1979,HUN,1450,Hungary,HUN
Gy. Horvath,2280,1979,HUN,1478,Hungary,HUN
B. Balogh,2275,1979,HUN,1510,Hungary,HUN
G. Kadar,2260,1979,HUN,1638,Hungary,HUN
Koszorus,2260,1979,HUN,1639,Hungary,HUN
M. Ivanka-Budinsky,2250,1979,HUN,1731,Hungary,HUN
P. Sinkovics,2245,1979,HUN,1788,Hungary,HUN
L. Karsa,2240,1979,HUN,1811,Hungary,HUN
A. Budinszky,2230,1979,HUN,1867,Hungary,HUN
Gy. Emodi,2230,1979,HUN,1874,Hungary,HUN
Foldi,2230,1979,HUN,1875,Hungary,HUN
J. Juhasz,2210,1979,HUN,2045,Hungary,HUN
Zs. Makai,2200,1979,HUN,2119,Hungary,HUN
Karakas,2155,1979,HUN,2144,Hungary,HUN
Kirzsan,2120,1979,HUN,2167,Hungary,HUN
Porubszky-Angyalosin,2120,1979,HUN,2169,Hungary,HUN
M. Grosch,2115,1979,HUN,2171,Hungary,HUN
R. Kas,2110,1979,HUN,2174,Hungary,HUN
Mrs. Nagy,2100,1979,HUN,2187,Hungary,HUN
Csapo,2060,1979,HUN,2221,Hungary,HUN
T. Csonkics,2040,1979,HUN,2239,Hungary,HUN
Karolyne Honfi,2035,1979,HUN,2251,Hungary,HUN
L. Szaday,2015,1979,HUN,2270,Hungary,HUN
E. Finta,2000,1979,HUN,2281,Hungary,HUN
Mrs. Gy. Nagy,1975,1979,HUN,2319,Hungary,HUN
E. Kovacs,1960,1979,HUN,2335,Hungary,HUN
Zs. Barta,1955,1979,HUN,2338,Hungary,HUN
Cynolter,1950,1979,HUN,2341,Hungary,HUN
Il. Kurucsai,1950,1979,HUN,2344,Hungary,HUN
Ne. Kurucsai,1950,1979,HUN,2345,Hungary,HUN
Langos,1945,1979,HUN,2350,Hungary,HUN
Zsogony,1935,1979,HUN,2360,Hungary,HUN
Tokaji Nagi,1930,1979,HUN,2363,Hungary,HUN
P. Csatlos,1925,1979,HUN,2365,Hungary,HUN
Jaszay,1885,1979,HUN,2389,Hungary,HUN
S. Deak,1880,1979,HUN,2391,Hungary,HUN
J. Timman,2625,1979,NED,6,Netherlands,NLD
G. Sosonko,2535,1979,NED,52,Netherlands,NLD
Ree,2480,1979,NED,133,Netherlands,NLD
J. Donner,2465,1979,NED,162,Netherlands,NLD
C. Zuidema,2450,1979,NED,221,Netherlands,NLD
Vanger,2445,1979,NED,240,Netherlands,NLD
K. Langeweg,2440,1979,NED,248,Netherlands,NLD
G. Ligterink,2440,1979,NED,251,Netherlands,NLD
H. Bohm,2410,1979,NED,408,Netherlands,NLD
F. Kuijpers,2410,1979,NED,424,Netherlands,NLD
B. Enklaar,2400,1979,NED,488,Netherlands,NLD
P. Van der Sterren,2400,1979,NED,516,Netherlands,NLD
R. Hartoch,2395,1979,NED,531,Netherlands,NLD
Scholl,2385,1979,NED,614,Netherlands,NLD
Happel,2380,1979,NED,630,Netherlands,NLD
F. Van der Vliet,2365,1979,NED,774,Netherlands,NLD
Faase,2355,1979,NED,829,Netherlands,NLD
P.A. Boersma,2350,1979,NED,866,Netherlands,NLD
D.D. Van Geet,2340,1979,NED,985,Netherlands,NLD
J. Marcus,2335,1979,NED,1009,Netherlands,NLD
T. Timman,2335,1979,NED,1019,Netherlands,NLD
Vogel,2335,1979,NED,1021,Netherlands,NLD
J. Van Baarle,2325,1979,NED,1103,Netherlands,NLD
F.W.M. Borm,2320,1979,NED,1114,Netherlands,NLD
Barendregt,2315,1979,NED,1162,Netherlands,NLD
P. Scheeren,2310,1979,NED,1253,Netherlands,NLD
R. Dieks,2300,1979,NED,1306,Netherlands,NLD
A. Van der Mije,2300,1979,NED,1347,Netherlands,NLD
A. Van Dop,2300,1979,NED,1348,Netherlands,NLD
Hofland,2295,1979,NED,1366,Netherlands,NLD
P. Van der Weide,2290,1979,NED,1419,Netherlands,NLD
Du Chattell,2280,1979,NED,1467,Netherlands,NLD
Knol,2280,1979,NED,1485,Netherlands,NLD
D. Van Riemsdijk,2280,1979,NED,1502,Netherlands,NLD
Schouten,2275,1979,NED,1533,Netherlands,NLD
R. Witt,2265,1979,NED,1619,Netherlands,NLD
N. Bloch,2260,1979,NED,1621,Netherlands,NLD
C. Baljon,2255,1979,NED,1671,Netherlands,NLD
Hoogendoorn,2255,1979,NED,1683,Netherlands,NLD
De Roode,2250,1979,NED,1717,Netherlands,NLD
G. Van den Berg,2250,1979,NED,1755,Netherlands,NLD
Westerveld,2250,1979,NED,1760,Netherlands,NLD
Van Seelen,2205,1979,NED,2112,Netherlands,NLD
C. Vreeken,2115,1979,NED,2173,Netherlands,NLD
Van der Giessen,2055,1979,NED,2229,Netherlands,NLD
R. Timmer,2050,1979,NED,2236,Netherlands,NLD
F. Heemskerk,2035,1979,NED,2250,Netherlands,NLD
E. Belle,2015,1979,NED,2265,Netherlands,NLD
De Graaf,2005,1979,NED,2274,Netherlands,NLD
C. Bruinenberg,1990,1979,NED,2294,Netherlands,NLD
J. Mulder,1985,1979,NED,2306,Netherlands,NLD
Van Gent,1960,1979,NED,2336,Netherlands,NLD
M. Van Elst,1905,1979,NED,2377,Netherlands,NLD
B. Larsen,2620,1979,DEN,7,Denmark,DNK
S. Hamann,2475,1979,DEN,139,Denmark,DNK
S. Fedder,2415,1979,DEN,385,Denmark,DNK
O. Jakobsen,2415,1979,DEN,390,Denmark,DNK
J. Sloth,2400,1979,DEN,514,Denmark,DNK
P. Knudsen,2390,1979,DEN,570,Denmark,DNK
B.R. Anderson,2385,1979,DEN,592,Denmark,DNK
T. Bjerre,2380,1979,DEN,623,Denmark,DNK
J. Ost-Hansen,2380,1979,DEN,640,Denmark,DNK
U. Rath,2380,1979,DEN,646,Denmark,DNK
B. Brinck-Claussen,2375,1979,DEN,657,Denmark,DNK
G. Iskov,2370,1979,DEN,697,Denmark,DNK
B. Jacobsen,2370,1979,DEN,698,Denmark,DNK
M. Moe,2370,1979,DEN,708,Denmark,DNK
H. Pedersen,2370,1979,DEN,714,Denmark,DNK
J. Kristiansen,2365,1979,DEN,756,Denmark,DNK
E. Mortensen,2365,1979,DEN,760,Denmark,DNK
Hoi,2355,1979,DEN,836,Denmark,DNK
Kobak,2335,1979,DEN,1004,Denmark,DNK
E. Pedersen,2330,1979,DEN,1052,Denmark,DNK
F. Petersen,2330,1979,DEN,1053,Denmark,DNK
A. Poulsen,2330,1979,DEN,1054,Denmark,DNK
K. Bjerring,2325,1979,DEN,1069,Denmark,DNK
Norby,2325,1979,DEN,1090,Denmark,DNK
Rosell,2325,1979,DEN,1095,Denmark,DNK
E. Brondum,2320,1979,DEN,1115,Denmark,DNK
J. Rodgaard,2320,1979,DEN,1146,Denmark,DNK
L. Moller,2315,1979,DEN,1181,Denmark,DNK
P.E. Nielsen,2315,1979,DEN,1182,Denmark,DNK
J.O. Fries-Nielsen,2310,1979,DEN,1213,Denmark,DNK
B. Sorensen,2305,1979,DEN,1286,Denmark,DNK
N.J. Fries-Nielsen,2300,1979,DEN,1313,Denmark,DNK
Rosenlund,2300,1979,DEN,1335,Denmark,DNK
Van Seeters,2300,1979,DEN,1349,Denmark,DNK
B. Kristensen,2290,1979,DEN,1405,Denmark,DNK
Grabow,2285,1979,DEN,1434,Denmark,DNK
Hvenekilde,2285,1979,DEN,1437,Denmark,DNK
E. Bang,2275,1979,DEN,1511,Denmark,DNK
Isaksen,2275,1979,DEN,1520,Denmark,DNK
A. Jensen,2245,1979,DEN,1776,Denmark,DNK
I. Andersen,2240,1979,DEN,1796,Denmark,DNK
From,2230,1979,DEN,1876,Denmark,DNK
P. Auchenberg,2225,1979,DEN,1915,Denmark,DNK
V. Jensen,2225,1979,DEN,1932,Denmark,DNK
I. Poulsen,2225,1979,DEN,1937,Denmark,DNK
J. Anderson,2220,1979,DEN,1950,Denmark,DNK
L. Kristensen,2220,1979,DEN,1966,Denmark,DNK
O. Buch,2210,1979,DEN,2028,Denmark,DNK
S. Eriksen,2210,1979,DEN,2036,Denmark,DNK
Kjaerbye,2210,1979,DEN,2046,Denmark,DNK
K. Pedersen,2210,1979,DEN,2059,Denmark,DNK
Boldt,2205,1979,DEN,2069,Denmark,DNK
M. Haahr,2005,1979,DEN,2275,Denmark,DNK
N. Hoiberg,1980,1979,DEN,2310,Denmark,DNK
R. Dzindzichashvili,2595,1979,ISR,14,Israel,ISR
V. Liberzon,2515,1979,ISR,74,Israel,ISR
Y. Bleiman,2465,1979,ISR,159,Israel,ISR
N. Birnboim,2460,1979,ISR,174,Israel,ISR
Vanman,2455,1979,ISR,205,Israel,ISR
S. Kagan,2445,1979,ISR,225,Israel,ISR
Y. Kraidman,2445,1979,ISR,227,Israel,ISR
A. Balshan,2430,1979,ISR,285,Israel,ISR
Y. Gruenfeld,2430,1979,ISR,296,Israel,ISR
Y. Murey,2430,1979,ISR,301,Israel,ISR
Y. Bernstein,2425,1979,ISR,318,Israel,ISR
Kaldor,2420,1979,ISR,354,Israel,ISR
L. Lederman,2415,1979,ISR,395,Israel,ISR
Radashkovich,2390,1979,ISR,579,Israel,ISR
Friedman,2385,1979,ISR,604,Israel,ISR
M. Peretz,2380,1979,ISR,642,Israel,ISR
D. Bernstein,2360,1979,ISR,780,Israel,ISR
M. Czerniak,2345,1979,ISR,903,Israel,ISR
Porat,2345,1979,ISR,920,Israel,ISR
Sh. Giterman,2340,1979,ISR,943,Israel,ISR
Scheinwald,2335,1979,ISR,1016,Israel,ISR
A. Avni,2320,1979,ISR,1111,Israel,ISR
A. Kushnir,2320,1979,ISR,1135,Israel,ISR
Romm,2310,1979,ISR,1249,Israel,ISR
I. Gelfer,2300,1979,ISR,1315,Israel,ISR
A. Ginsberger,2300,1979,ISR,1318,Israel,ISR
Stenborg,2300,1979,ISR,1339,Israel,ISR
D. Wolf,2300,1979,ISR,1353,Israel,ISR
Z. Domnitz,2290,1979,ISR,1396,Israel,ISR
V. Manievich,2290,1979,ISR,1406,Israel,ISR
Gluzman,2280,1979,ISR,1473,Israel,ISR
Ein-Dor,2270,1979,ISR,1547,Israel,ISR
Malachi,2265,1979,ISR,1604,Israel,ISR
Lev,2260,1979,ISR,1640,Israel,ISR
M. Pasman,2260,1979,ISR,1649,Israel,ISR
Ben Zion,2255,1979,ISR,1673,Israel,ISR
A. Stein,2255,1979,ISR,1699,Israel,ISR
A. Mart,2245,1979,ISR,1781,Israel,ISR
Y. Mashian,2245,1979,ISR,1782,Israel,ISR
Oratch,2230,1979,ISR,1901,Israel,ISR
M. Bank,2225,1979,ISR,1916,Israel,ISR
O. Podrazhanskaya,2125,1979,ISR,2164,Israel,ISR
Nudelman,2075,1979,ISR,2207,Israel,ISR
L. Gal,2000,1979,ISR,2282,Israel,ISR
L. Kaufman,2000,1979,ISR,2283,Israel,ISR
L. Kavalek,2590,1979,USA,17,United States,USA
W.S. Browne,2540,1979,USA,45,United States,USA
R. Byrne,2535,1979,USA,49,United States,USA
A. Lein,2535,1979,USA,51,United States,USA
Tarjan,2525,1979,USA,64,United States,USA
L.M. Evans,2520,1979,USA,65,United States,USA
W. Lombardy,2520,1979,USA,66,United States,USA
K. Rogoff,2515,1979,USA,78,United States,USA
E. Mednis,2510,1979,USA,84,United States,USA
P. Benko,2495,1979,USA,101,United States,USA
L. Shamkovich,2495,1979,USA,110,United States,USA
S. Reshevsky,2485,1979,USA,126,United States,USA
Y. Seirawan,2485,1979,USA,128,United States,USA
B. Zuckerman,2480,1979,USA,136,United States,USA
L. Christiansen,2475,1979,USA,137,United States,USA
J.A. Peters,2475,1979,USA,142,United States,USA
V.F. Zaltsman,2470,1979,USA,158,United States,USA
K. Commons,2465,1979,USA,161,United States,USA
N. Weinstein,2465,1979,USA,170,United States,USA
M. Diesen,2460,1979,USA,176,United States,USA
L. Kaplan,2460,1979,USA,182,United States,USA
M. Valvo,2460,1979,USA,192,United States,USA
Vukcevich,2460,1979,USA,195,United States,USA
A. Bisguier,2445,1979,USA,223,United States,USA
Soltis,2445,1979,USA,236,United States,USA
T. Taylor,2445,1979,USA,238,United States,USA
C. Blocker,2435,1979,USA,263,United States,USA
M. Zlotnikov,2435,1979,USA,283,United States,USA
A.F. Saidy,2430,1979,USA,307,United States,USA
K. Regan,2420,1979,USA,367,United States,USA
N. De Firmian,2415,1979,USA,381,United States,USA
D. Ghizdavu,2415,1979,USA,387,United States,USA
Matera,2415,1979,USA,397,United States,USA
E.W. Formanek,2410,1979,USA,412,United States,USA
B. Rind,2410,1979,USA,435,United States,USA
Cleghorn,2405,1979,USA,448,United States,USA
J.P. Fedorowicz,2405,1979,USA,451,United States,USA
R. Henley,2405,1979,USA,458,United States,USA
W. Martz,2405,1979,USA,467,United States,USA
M.A. Rohde,2405,1979,USA,473,United States,USA
P. Brandts,2400,1979,USA,480,United States,USA
