Name,Rating,Year,Fed,Rank,name_FED,ISO3
R. Fischer,2780,1975,USA,1,United States,USA
R. Byrne,2600,1975,USA,14,United States,USA
L. Kavalek,2555,1975,USA,30,United States,USA
W.S. Browne,2550,1975,USA,31,United States,USA
L.M. Evans,2530,1975,USA,50,United States,USA
S. Reshevsky,2530,1975,USA,53,United States,USA
W. Lombardy,2520,1975,USA,60,United States,USA
P. Benko,2515,1975,USA,66,United States,USA
L. Shamkovich,2505,1975,USA,80,United States,USA
Tarjan,2480,1975,USA,117,United States,USA
J. Grefe,2470,1975,USA,128,United States,USA
N. Weinstein,2465,1975,USA,149,United States,USA
E. Mednis,2455,1975,USA,168,United States,USA
A. Bisguier,2445,1975,USA,192,United States,USA
D. Byrne,2445,1975,USA,193,United States,USA
L. Kaplan,2445,1975,USA,196,United States,USA
K. Rogoff,2445,1975,USA,202,United States,USA
A.F. Saidy,2445,1975,USA,203,United States,USA
B. Zuckerman,2435,1975,USA,246,United States,USA
Soltis,2430,1975,USA,266,United States,USA
G. De Fotis,2425,1975,USA,274,United States,USA
D. Ghizdavu,2425,1975,USA,277,United States,USA
E.W. Formanek,2420,1975,USA,290,United States,USA
K. Commons,2415,1975,USA,316,United States,USA
O. Popovych,2405,1975,USA,375,United States,USA
A. Feuerstein,2395,1975,USA,412,United States,USA
A. Karklins,2395,1975,USA,418,United States,USA
L. Christiansen,2390,1975,USA,439,United States,USA
L. Kaufman,2390,1975,USA,448,United States,USA
Rossolimo,2390,1975,USA,464,United States,USA
W. Martz,2385,1975,USA,486,United States,USA
Matera,2385,1975,USA,487,United States,USA
C. Chellstorp,2380,1975,USA,505,United States,USA
K. Smith,2370,1975,USA,573,United States,USA
M.F. Stean,2370,1975,USA,577,United States,USA
A. Dake,2360,1975,USA,612,United States,USA
Gilden,2360,1975,USA,617,United States,USA
E. Meyer,2340,1975,USA,725,United States,USA
J.A. Peters,2335,1975,USA,754,United States,USA
G. Kane,2330,1975,USA,776,United States,USA
L. Levy,2330,1975,USA,782,United States,USA
F. Thornally,2330,1975,USA,797,United States,USA
S. Wagman,2325,1975,USA,825,United States,USA
R. Martin,2320,1975,USA,838,United States,USA
A. Denker,2310,1975,USA,879,United States,USA
M. Diesen,2295,1975,USA,965,United States,USA
P. Winston,2285,1975,USA,1018,United States,USA
G.K. Gresser,2065,1975,USA,1391,United States,USA
Karff,2060,1975,USA,1393,United States,USA
Herstein,2035,1975,USA,1423,United States,USA
Aaronson,1985,1975,USA,1451,United States,USA
Donelly,1845,1975,USA,1513,United States,USA
V. Kortchnoi,2665,1975,SUI,3,Switzerland,CHE
W. Hug,2420,1975,SUI,292,Switzerland,CHE
A. Lombard,2420,1975,SUI,296,Switzerland,CHE
Luginbuhl,2400,1975,SUI,394,Switzerland,CHE
R. Roth,2400,1975,SUI,403,Switzerland,CHE
J. Kupper,2380,1975,SUI,520,Switzerland,CHE
Vucenovic,2375,1975,SUI,544,Switzerland,CHE
Glauser,2360,1975,SUI,618,Switzerland,CHE
Huss,2360,1975,SUI,620,Switzerland,CHE
Persitz,2345,1975,SUI,703,Switzerland,CHE
Hohler,2335,1975,SUI,747,Switzerland,CHE
Schaufelberger,2335,1975,SUI,758,Switzerland,CHE
H. Wirthensohn,2330,1975,SUI,800,Switzerland,CHE
E. Gereben,2325,1975,SUI,809,Switzerland,CHE
E. Bhend,2315,1975,SUI,853,Switzerland,CHE
Y. Mashian,2265,1975,SUI,1089,Switzerland,CHE
Marthaler,2260,1975,SUI,1114,Switzerland,CHE
P. Ammann,2250,1975,SUI,1135,Switzerland,CHE
Walther,2245,1975,SUI,1169,Switzerland,CHE
E. Goldberger,2230,1975,SUI,1205,Switzerland,CHE
R. Ott,2225,1975,SUI,1229,Switzerland,CHE
M. Keller,2190,1975,SUI,1315,Switzerland,CHE
Nopfer,1995,1975,SUI,1450,Switzerland,CHE
Wettstein,1830,1975,SUI,1520,Switzerland,CHE
Lussy,1820,1975,SUI,1522,Switzerland,CHE
L. Portisch,2635,1975,HUN,7,Hungary,HUN
L. Szabo,2545,1975,HUN,35,Hungary,HUN
I. Csom,2530,1975,HUN,49,Hungary,HUN
Z. Ribli,2520,1975,HUN,62,Hungary,HUN
A. Adorjan,2515,1975,HUN,64,Hungary,HUN
Gy. Sax,2510,1975,HUN,76,Hungary,HUN
I. Bilek,2495,1975,HUN,87,Hungary,HUN
Gy.V. Forintos,2490,1975,HUN,94,Hungary,HUN
G. Barcza,2460,1975,HUN,150,Hungary,HUN
I. Farago,2460,1975,HUN,153,Hungary,HUN
Karoly Honfi,2460,1975,HUN,155,Hungary,HUN
L. Vadasz,2460,1975,HUN,162,Hungary,HUN
L. Barczay,2445,1975,HUN,191,Hungary,HUN
P. Dely,2445,1975,HUN,194,Hungary,HUN
P. Szilagyi,2435,1975,HUN,243,Hungary,HUN
E. Haag,2430,1975,HUN,255,Hungary,HUN
L. Hazai,2420,1975,HUN,291,Hungary,HUN
Ervin Nagy,2420,1975,HUN,298,Hungary,HUN
F. Portisch,2420,1975,HUN,303,Hungary,HUN
L. Liptay,2415,1975,HUN,322,Hungary,HUN
J. Tompa,2415,1975,HUN,325,Hungary,HUN
E. Varnusz,2415,1975,HUN,326,Hungary,HUN
L. Lengyel,2410,1975,HUN,341,Hungary,HUN
J. Pinter,2410,1975,HUN,348,Hungary,HUN
Sapi,2410,1975,HUN,355,Hungary,HUN
J. Pogats,2405,1975,HUN,374,Hungary,HUN
Gy. Rajna,2405,1975,HUN,377,Hungary,HUN
L. Eperjesi,2400,1975,HUN,384,Hungary,HUN
Marosi,2400,1975,HUN,397,Hungary,HUN
L. Navarovszky,2400,1975,HUN,399,Hungary,HUN
I. Polgar,2395,1975,HUN,423,Hungary,HUN
Pal Petran,2390,1975,HUN,460,Hungary,HUN
J. Flesch,2385,1975,HUN,476,Hungary,HUN
L.M. Kovacs,2385,1975,HUN,483,Hungary,HUN
P. Lukacs,2385,1975,HUN,485,Hungary,HUN
Szily,2375,1975,HUN,538,Hungary,HUN
I. Somogyi,2370,1975,HUN,575,Hungary,HUN
G. Szilagyi,2370,1975,HUN,580,Hungary,HUN
Geszosz,2365,1975,HUN,592,Hungary,HUN
Cs. Meleghegyi,2360,1975,HUN,625,Hungary,HUN
J. Tabor,2355,1975,HUN,652,Hungary,HUN
B. Sandor,2340,1975,HUN,732,Hungary,HUN
Virag,2335,1975,HUN,762,Hungary,HUN
Ortel,2330,1975,HUN,786,Hungary,HUN
A. Ozsvath,2330,1975,HUN,787,Hungary,HUN
Gy. Kluger,2320,1975,HUN,836,Hungary,HUN
M. Ivanka-Budinsky,2310,1975,HUN,885,Hungary,HUN
Hradeczky,2300,1975,HUN,939,Hungary,HUN
Gasztonyi,2295,1975,HUN,966,Hungary,HUN
Zs. Veroci-Petronic,2290,1975,HUN,997,Hungary,HUN
Gy. Horvath,2280,1975,HUN,1031,Hungary,HUN
I. Schrancz,2270,1975,HUN,1078,Hungary,HUN
Sallay,2260,1975,HUN,1117,Hungary,HUN
B. Perenyi,2255,1975,HUN,1130,Hungary,HUN
B. Balogh,2250,1975,HUN,1136,Hungary,HUN
P. Szekely,2250,1975,HUN,1152,Hungary,HUN
J. Cuibus,2240,1975,HUN,1177,Hungary,HUN
K. Muller,2230,1975,HUN,1214,Hungary,HUN
Zs. Makai,2200,1975,HUN,1311,Hungary,HUN
Karakas,2165,1975,HUN,1329,Hungary,HUN
Porubszky-Angyalosin,2165,1975,HUN,1330,Hungary,HUN
Gy. Krizsan-Bilek,2150,1975,HUN,1345,Hungary,HUN
Mrs. Nagy,2110,1975,HUN,1364,Hungary,HUN
Karolyne Honfi,2080,1975,HUN,1380,Hungary,HUN
Csapo,2070,1975,HUN,1383,Hungary,HUN
R. Kas,2070,1975,HUN,1386,Hungary,HUN
E. Finta,2060,1975,HUN,1392,Hungary,HUN
Karoly (Sillye),2060,1975,HUN,1394,Hungary,HUN
L. Szaday,2030,1975,HUN,1426,Hungary,HUN
T. Csonkics,2015,1975,HUN,1434,Hungary,HUN
Langos,2005,1975,HUN,1441,Hungary,HUN
P. Csatlos,1980,1975,HUN,1456,Hungary,HUN
