1975	B05	1	0
1975	B33	1	1
1975	B52	1	2
1975	B39	1	3
1975	A03	1	4
1976	C05	1	0
1976	B22	2	1
1976	B33	2	2
1976	B23	1	3
1976	B93	2	4
1976	B51	1	5
1976	C42	1	6
1976	B08	1	7
1976	E80	1	8
1976	B39	1	9
1976	B10	1	10
1976	B15	1	11
1976	C83	1	12
1976	B41	1	13
1976	B03	1	14
1976	B40	1	15
1976	E10	1	16
1976	E76	1	17
1976	A05	1	18
1976	A48	1	19
1977	B29	1	0
1977	A05	3	1
1977	B41	2	2
1977	C01	1	3
1977	B06	1	4
1977	A54	1	5
1977	A48	1	6
1977	A50	1	7
1977	A47	2	8
1977	B90	1	9
1977	E61	1	10
1977	B10	1	11
1977	D37	1	12
1977	B18	2	13
1977	C18	1	14
1977	C42	1	15
1977	A46	1	16
1977	B60	1	17
1977	A65	1	18
1977	B19	1	19
1977	B95	1	20
1977	A04	1	21
1977	B40	1	22
1978	A16	1	0
1978	B04	1	1
1978	A13	3	2
1978	A56	3	3
1978	E11	1	4
1978	B10	1	5
1978	B17	1	6
1978	B12	4	7
1978	B19	1	8
1978	B18	1	9
1978	B14	1	10
1978	A10	1	11
1978	A22	1	12
1978	A00	1	13
1978	B38	1	14
1978	B33	1	15
1978	C61	2	16
1978	B45	1	17
1978	A05	4	18
1978	A46	1	19
1978	B40	1	20
1978	C92	1	21
1978	D37	1	22
1978	C96	1	23
1978	B43	1	24
1978	C69	1	25
1978	B90	1	26
1978	B82	1	27
1978	A48	2	28
1978	E73	1	29
1978	E74	1	30
1978	D42	1	31
1978	B96	1	32
1978	B70	1	33
1978	E10	2	34
1978	C08	1	35
1978	B41	2	36
1978	A66	1	37
1978	E83	1	38
1979	A10	4	0
1979	A65	1	1
1979	E12	3	2
1979	A13	1	3
1979	A16	1	4
1979	A25	1	5
1979	A56	1	6
1979	A05	2	7
1979	B07	1	8
1979	D85	2	9
1979	C81	1	10
1979	B41	3	11
1979	E46	4	12
1979	C96	2	13
1979	E42	1	14
1979	B97	1	15
1979	D15	1	16
1979	C41	1	17
1979	D14	1	18
1979	B60	1	19
1979	A40	1	20
1979	B22	1	21
1979	B44	1	22
1979	A45	1	23
1979	A48	1	24
1979	B81	2	25
1979	B90	1	26
1979	E98	1	27
1979	E41	1	28
1979	A60	2	29
1979	A61	1	30
1979	E10	1	31
1980	A13	2	0
1980	A61	1	1
1980	A65	2	2
1980	A56	2	3
1980	B12	2	4
1980	E92	1	5
1980	A11	1	6
1980	A10	1	7
1980	A05	7	8
1980	A16	1	9
1980	C00	1	10
1980	D85	2	11
1980	E42	1	12
1980	B44	1	13
1980	A43	1	14
1980	D58	1	15
1980	E46	2	16
1980	E12	3	17
1980	A48	2	18
1980	E20	1	19
1980	B83	1	20
1980	B06	1	21
1980	B92	1	22
1980	B40	1	23
1980	D30	1	24
1980	B96	1	25
1980	E17	2	26
1980	D15	1	27
1980	E15	1	28
1980	B45	1	29
1980	A15	1	30
1980	A04	1	31
1980	E11	1	32
1981	E42	1	0
1981	E12	7	1
1981	D18	3	2
1981	E83	2	3
1981	D10	1	4
1981	A56	3	5
1981	E11	1	6
1981	A05	6	7
1981	A04	2	8
1981	A16	2	9
1981	B45	3	10
1981	D85	2	11
1981	A49	3	12
1981	E20	3	13
1981	E10	5	14
1981	C42	1	15
1981	A06	2	16
1981	E41	2	17
1981	B96	1	18
1981	D15	3	19
1981	D30	3	20
1981	E74	1	21
1981	E92	1	22
1981	A45	1	23
1981	B44	3	24
1981	A15	2	25
1981	E15	2	26
1981	B56	1	27
1981	E48	1	28
1981	A48	1	29
1981	E76	1	30
1981	C70	1	31
1981	A00	1	32
1981	A54	1	33
1981	E60	1	34
1981	D25	1	35
1982	A10	3	0
1982	E11	3	1
1982	A05	2	2
1982	C92	1	3
1982	B12	1	4
1982	E76	1	5
1982	B41	1	6
1982	E12	9	7
1982	D86	1	8
1982	E15	1	9
1982	E73	1	10
1982	B90	2	11
1982	A55	1	12
1982	E74	1	13
1982	E84	1	14
1982	B23	1	15
1982	A48	1	16
1982	E20	1	17
1982	E60	1	18
1982	E10	3	19
1982	A46	1	20
1982	D30	1	21
1982	A45	2	22
1982	D20	1	23
1982	A04	1	24
1982	B45	1	25
1982	A56	1	26
1983	E04	3	0
1983	E20	1	1
1983	D34	4	2
1983	D35	2	3
1983	E47	1	4
1983	E81	1	5
1983	A46	1	6
1983	E11	1	7
1983	E00	1	8
1983	D30	5	9
1983	A40	1	10
1983	A13	1	11
1983	A47	1	12
1983	E12	3	13
1983	E10	1	14
1983	B45	1	15
1983	B40	1	16
1983	E41	1	17
1983	E80	1	18
1983	B96	1	19
1984	E06	1	0
1984	A05	2	1
1984	B41	1	2
1984	E17	1	3
1984	B44	1	4
1984	E15	2	5
1984	B92	1	6
1984	D30	1	7
1984	E12	2	8
1984	E10	4	9
1984	A06	2	10
1984	C42	5	11
1984	B33	1	12
1984	B63	1	13
1984	C92	2	14
1984	D02	6	15
1984	E84	1	16
1984	A16	1	17
1984	E60	1	18
1984	A57	1	19
1984	A48	1	20
1984	A56	1	21
1984	D44	1	22
1984	A45	1	23
1985	E04	2	0
1985	A06	1	1
1985	A05	1	2
1985	E06	1	3
1985	A57	1	4
1985	E00	1	5
1985	A21	1	6
1985	A04	1	7
1985	D93	1	8
1985	E15	1	9
1985	E10	3	10
1985	B63	1	11
1985	E21	4	12
1985	B92	3	13
1985	D31	3	14
1985	C92	4	15
1985	B44	2	16
1985	B45	2	17
1985	C42	1	18
1985	D16	1	19
1985	D30	1	20
1985	B52	1	21
1985	E12	2	22
1985	C69	1	23
1986	A56	1	0
1986	A57	1	1
1986	E11	1	2
1986	E06	1	3
1986	A13	1	4
1986	D90	1	5
1986	D91	1	6
1986	D92	1	7
1986	D98	2	8
1986	D97	1	9
1986	D82	2	10
1986	D10	3	11
1986	E21	3	12
1986	E60	1	13
1986	C42	1	14
1986	D31	5	15
1986	E12	1	16
1986	E15	1	17
1986	E10	5	18
1986	E16	1	19
1986	D11	1	20
1986	A46	2	21
1986	D02	1	22
1986	B97	1	23
1986	B90	1	24
1986	A40	2	25
1986	A48	1	26
