1st January 1990 FIDE Rating List

Name                                 Fed  Rtng 

Aaron,M.                             IND  2375
Abarca Aguirre,M.                    CHI  2375
Abbas,B.H.                           IRQ  2210
Abdennabi,I.                         EGY  2370
Abdul Satar,M.A.                     IRQ  2240
Abdulla,H.                           UAE  2205
Abdulla,M.                           UAE  2240
Abdullah,H.A.                        MAR  2220
Abdulrahman,A.                       YEM  2205
Abel,L.                              HUN  2305
Abhyankar,A.G.                       IND  2185
Abichaaya                            LIB  2220
Abou El Zein,E.                      EGY  2330
Abramovic,B.                         YUG  2495
Abramson,H.                          ARG  2230
Abravanel,Ch.                        FRA  2320
Abregu,M.                            ARG  2205
Abreu,J.D.                           DOM  2385
Abuchamala                           PLE  2210
Ac,M.                                CSR  2215
Acebal,A.                            ESP  2285
Acebal,M.J.                          ESP  2320
Acevedo,A.                           MEX  2330
Acevedo,H.                           MEX  2070
Acimovic,S.                          YUG  2345
Acosta,A.                            COL  2330
Acosta,T.                            ARG  2250
Adad,C.                              ARG  2225
Adams,M.                             ENG  2555
Adamski,A.                           POL  2285
Adamski,J.                           POL  2410
Adelman,Ch.D.                        USA  2240
Ademi,S.                             YUG  2240
Adianto,U.                           INA  2525
Adla,D.                              ARG  2335
Adler,J.                             SUI  2265
Adler,V.                             USR  2340
Adoamnei,R.                          ROM  2070
Adok,J.                              HUN  2230
Adorjan,A.                           HUN  2520
Adrian,C.                            FRA  2255
Ady,J.J.                             ENG  2295
Adzic,M.                             YUG  2205
Adzic,S.                             YUG  2275
Afek,Y.                              ISR  2335
Afifi,A.                             EGY  2405
Afriany,V.                           HAI  2205
Agapov,K.                            USR  2395
Agarwal,B.                           IND  2260
Agdamus,J.L.                         ARG  2230
Agdestein,E.                         NOR  2335
Agdestein,S.                         NOR  2600
Ageichenko,G.A.                      USR  2340
Agh,M.                               HUN  2240
Agic,A.                              YUG  2025
Agnos,D.                             ENG  2390
Agrawal,K.                           IND  2065
Agrest,E.                            USR  2415
Agudelo,A.                           COL  2355
Aguila,G.                            ARG  2285
Aguilera,J.                          ESP  2270
Agusto,O.                            NGR  2210
Agustsson,J.                         ISL  2315
Ahlander,B.                          SWE  2400
Ahmed,F.                             BAN  2230
Ahmed,H.                             PAK  2270
Ahmels,V.                            FRG  2275
Aidarov,N.                           USR  2330
Airapetian,S.H.                      USR  2120
Ajanski,J.S.                         BUL  2350
Ajvazi,R.                            YUG  2215
Akeel,M.                             SYR  2270
Akesson,R.                           SWE  2435
Akhsharumova,A.M.                    USA  2395
Akopian,V.                           USR  2550
Akopov,R.                            USR  2340
Al Akraa,I.                          SYR  2005
Al-Khateeb,A.                        SYR  2245
Al-Kubaisi,R.                        QAT  2255
Al-Othman,A.L.                       KUW  2205
Al-Othman,A.W.                       KUW  2245
Alaan,V.                             PHI  2330
Aladjova,K.                          BUL  2110
Alarcon,R.                           CRC  2240
Alava,M.                             FIN  2335
Alayola,J.E.                         MEX  2240
Albano,M.                            ITA  2230
Alber,H.                             FRG  2340
Alberston,B.                         USA  2280
Albrecht,R.                          FRG  2280
Albulet,M.                           ROM  2095
Alburt,L.O.                          USA  2565
Aldoma,D.                            CUB  2310
Aldrete,J.                           MEX  2400
Alekhina,N.V.                        USR  2215
Aleksandrov,A.                       USR  2340
Aleksandrov,G.                       BUL  2235
Alekseev,A.                          USR  2290
Aleksic,M.                           YUG  2215
Aleksic,N.                           YUG  2415
Aleksieva,S.                         BUL  2040
Alexakis,D.                          GRE  2235
Alexandria,N.G.                      USR  2360
Alghasra,A.                          BRN  2255
Ali,I.                               BRU  2205
Ali,M.Z.                             BRU  2205
Alienkin,A.                          USR  2415
Alieva,E.                            USR  2180
Allan,D.                             CAN  2275
Allegro,V.                           SUI  2350
Allen,B.L.                           USA  2330
Allen,E.J.                           USA  2235
Allen,K.                             IRL  2300
Almada,E.                            URU  2330
Almasi,Z.                            HUN  2245
Almeida Saenz,A.                     MEX  2270
Almeida,M.A.                         ESP  2315
Alonso Paschal,F.                    ESP  2240
Alonso,R.                            CUB  2355
Alpern,A.                            ARG  2260
Alsharfi,S.S.                        YEM  2205
Alsharhan,F.                         UAE  2205
Alster,L.                            CSR  2240
Altamirano,B.                        ARG  2225
Alterman,V.I.                        ISR  2380
Altini,D.                            ITA  2270
Alvarez Ibarra,R.D.                  ESP  2385
Alvarez,Fi.                          CUB  2285
Alvarez,Fr.                          DOM  2240
Alvas,P.                             GRE  2215
Alvir,A.                             YUG  2295
Alzate,D.                            COL  2390
Alzugaray,D.                         CUB  2230
Ambarcumjan,A.                       USR  2355
Ambroz,J.                            CSR  2435
Amendola,K.                          GRE  2235
Amer,M.                              LBA  2205
Amer,S.                              LBA  2205
Amil Meilan,H.                       ARG  2290
Amir,K.                              PAK  2275
Ammann,Ph.                           SUI  2280
Amos,B.M.                            CAN  2355
Amovilli,M.                          ITA  2275
Amura,C.N.                           ARG  2285
An,Jang-Feng                         CHN  2250
Anand,V.                             IND  2555
Anastasian,A.                        USR  2490
Anastasovski,N.                      YUG  2225
Anbuhl,E.                            FRG  2230
Anceschi,V.                          ITA  2275
Anciaux,M.                           BEL  2210
Andersen,D.                          DEN  2280
Andersen,I.                          DEN  2210
Andersen,O.                          NOR  2225
Anderson,J.                          ENG  2205
Anderson,R.                          USA  2250
Andersson,B.                         SWE  2330
Andersson,G.                         SWE  2245
Andersson,M.                         SWE  2325
Andersson,T.                         SWE  2215
Andersson,U.                         SWE  2630
Anderton,D.W.                        ENG  2265
Andonov,B.                           BUL  2360
Andonovski,Lj.                       YUG  2285
Andre,W.                             FRG  2230
Andreasen,P.                         DEN  2245
Andreasson,I.                        SWE  2370
Andreev,D.                           BUL  2250
Andreoli,R.                          ITA  2245
Andres,M.                            CUB  2340
Andrianov,N.                         USR  2455
Andric,Z.                            YUG  2260
Andrijasevic,M.                      YUG  2315
Andrijevic,M.                        YUG  2380
Andruet,G.                           FRA  2355
Anelli,A.                            ARG  2275
Ang,Ch.-Y.                           SIN  2205
