1st January 1988 FIDE Rating List

Name                                 Fed  Rtng 
Arkhipov,S.                          USR  2465
Arlandi,E.                           ITA  2405
Armas,A.                             CUB  2060
Armas,I.                             ROM  2410
Armas,J.                             CUB  2435
Arnason,A.T.                         ISL  2300
Arnason,J.                           ISL  2510
Arnason,Th.                          ISL  2235
Arnaudov,P.                          BUL  2270
Arni,A.A.                            ISL  2215
Arnold,F.                            HUN  2330
Arnold,L.                            FRG  2315
Aronoff,I.                           USA  2165
Arriba,M.                            CUB  2105
Artamonova,V.                        USR  2070
Asaturoglu,R.                        TUR  2280
Aschwanden,F.-B.                     SUI  2205
Ascic,A.                             YUG  2350
Aseev,K.N.                           USR  2445
Aseeva,M.                            USR  2175
Asenova,V.                           BUL  2065
Asfora,M.                            BRA  2330
Ashley,M.                            USA  2280
Ashok,A.                             HKG  2250
Asmah,F.                             GHA  2205
Asmundsson,I.                        ISL  2360
Assem,M.                             EGY  2280
Astrom,R.                            SWE  2260
Atakisi,F.                           TUR  2285
Atala                                CUB  2265
Atalik,S.                            TUR  2390
Atanasijadis,A.                      YUG  2320
Atanasov,G.                          BUL  2315
Atanasov,P.                          BUL  2370
Athala                               MEX  2285
Aturupane,Harin.                     SRI  2315
Aturupane,Harsha                     SRI  2385
Auchenberg,P.                        DEN  2240
Auer,M.                              FRG  2300
Augustin,J.                          CSR  2370
Autenrieth,M.                        FRG  2295
Autowicz,B.                          POL  2035
Autowicz,Z.                          POL  2210
Averahami,R.                         ISR  2250
Averbakh,Y.L.                        USR  2465
Averkin,O.                           USR  2465
Avgerinos,H.                         GRE  2215
Avner,U.                             ISR  2245
Avni,A.                              ISR  2310
Avramov,A.                           BUL  2320
Avramov,B.                           YUG  2275
Avshalumov,A.                        USR  2410
Awate,A.S.                           IND  2285
Axamit,R.                            CSR  2230
Ayza,B.J.                            ESP  2325
Azaric,S.                            YUG  2310
Azmayparashvili,Z.                   USR  2540
Babault,P.                           FRA  2305
Babev,A.                             BUL  2310
Babic,D.                             YUG  2325
Babic,T.                             YUG  2245
Babits,A.                            HUN  2220
Babos,Cs.                            ROM  2230
Babovic,N.                           YUG  2215
Babu,N.S.                            IND  2325
Babula                               CSR  2330
Babur,M.T.                           IND  2230
Baccelliere                          CHI  2280
Bach,A.                              ROM  2270
Bachareva,C.C.                       USR  2100
Bachchevanski,H.                     BUL  2315
Bachmann,A.                          FRG  2235
Bachtiar,A.                          INA  2285
Baciu,S.                             ROM  2225
Backe,P.                             SWE  2295
Backwinkel,P.                        FRG  2300
Bacso,G.                             HUN  2305
Baczynskyj,B.                        USA  2350
Badulescu,Ch.                        ROM  2255
Baez,S.                              DOM  2005
Bagaturov                            USR  2365
Baginskaite,K.                       USR  2340
Bagirov,V.K.                         USR  2480
Bagonyai,A.                          HUN  2235
Baikov,V.                            USR  2375
Baja,V.                              USA  2260
Bajkovic                             YUG  2045
Bajovic,M.                           YUG  2340
Baka,G.                              HUN  2210
Bakalarz,M.                          POL  2270
Bakalat,P.                           CSR  2260
Baker,B.                             USA  2225
Baker,C.                             ENG  2255
Bakic,D.                             YUG  2340
Bakic,R.                             YUG  2370
Bako,L.                              HUN  2245
Bakos,S.                             HUN  2245
Balaban,N.                           YUG  2030
Balashov,Y.                          USR  2555
Balashova,E.                         USR  2165
Balcerowski,W.                       POL  2250
Baldauf,M.                           FRG  2265
Balenovic,Z.                         YUG  2325
Balev,K.                             BUL  2305
Balicki,C.                           POL  2285
Balinas,R.                           PHI  2390
Balinov,I.                           BUL  2355
Ball,S.                              CAN  2230
Ballester Sanz,J.                    ESP  2250
Ballicora,M.                         ARG  2245
Ballmann,M.                          SUI  2280
Ballon,G.J.                          NED  2325
Balogh,B.                            HUN  2265
Balun,A.                             POL  2210
Bammoune,A.-E.                       ALG  2245
Banas,J.                             CSR  2390
Banaszek,M.                          POL  2295
Banchev,B.                           BUL  2255
Bang,A.                              DEN  2245
Banhazi,I.                           HUN  2220
Bank Frijs,C.                        DEN  2310
Bank,M.                              ISR  2245
Bany,J.                              POL  2450
Baquero,L.A.                         COL  2290
Baragar,F.                           CAN  2290
Baranyai,K.                          HUN  2335
Barash,D.                            ISR  2240
Barba,E.                             MEX  2275
Barbeau                              CAN  2355
Barber,H.J.                          AUS  2360
Barbera Estelles,R.                  ESP  2280
Barbero,G.F.                         ARG  2505
Barbulescu,D.                        ROM  2425
Barbulescu,V.                        ROM  2240
Barbulovic,S.                        YUG  2325
Barcenilla,R.                        PHI  2320
Barczay,L.                           HUN  2410
Bareev,E.                            USR  2555
Barenbaum,A.                         ARG  2230
Barkovsky,E.                         USR  2280
Barlay,I.                            USA  2275
Barle,J.                             YUG  2425
Barlov,D.                            YUG  2520
Baron (Dworaczek),I.                 POL  2010
Barouty,D.                           USA  2235
Barraza,S.                           PAN  2205
Barreras,A.                          CUB  2355
Barreto,L.N.M.                       BRA  2280
Barria,B.                            PAN  2205
Barrientos,V.                        MEX  2230
Barros,R.                            COL  2280
Barry,C.                             IRL  2260
Barsov,Y.                            USR  2305
Barta,S.                             HUN  2210
Barta,Zs.                            HUN  2040
Bartels,H.A.                         NED  2345
Barth,J.                             USA  2295
Bartha,S.                            HUN  2215
Barthel,B.                           FRG  2060
Bartsch,B.                           FRG  2255
Barua,D.                             IND  2480
Barus,C.                             INA  2330
Barwinski,D.                         POL  2245
Basagic,Z.                           YUG  2395
Basagic-Misanovic,V.                 YUG  2225
Basanta,G.                           CAN  2215
Basin,L.                             USR  2350
Basman,M.J.                          ENG  2385
Bass,L.                              USA  2435
Basta,D.                             YUG  2230
Basta,E.                             AUS  2245
Basta-Sohair,F.                      EGY  2005
Bastian,H.                           FRG  2335
Bastian,M.                           FRG  2265
Batchelder,W.                        USA  2240
Bator,R.                             SWE  2375
Bator,Z.                             POL  2335
Batruch,K.                           POL  2315
Battikhi,H.                          JOR  2205
Battsetseg,T.                        MGL  2130
Baudrier,J.                          FRA  2250
Bauer,F.                             AUT  2005
Bauer,Peter                          HUN  2235
Bauer,Peter                          FRG  2295
Bauer,R.N.                           USA  2235
Bauer,T.                             HUN  2310
Bauk,S.                              YUG  2310
Baum,B.                              DDR  2225
Baumann,C.                           SUI  2015
Baumbach                             DDR  2315
Baumgartner,H.                       AUT  2345
Baumhus,R.                           FRG  2295
Baumstark,G.                         ROM  2215
Bauza,A.                             URU  2250
Bayarma,G.                           MGL  2155
Bayer,E.-W.                          FRG  2360
Bayramicli,M.                        TUR  2270
Bazaj,S.                             YUG  2225
Bazan,O.                             ARG  2220
Becher,H.                            FRG  2315
Beckenmeyer,W.                       FRG  2365
Becker,Mi.                           DDR  2330
Becx,C.                              NED  2315
Bednarski,J.B.                       POL  2375
Bedolla,L.M.                         MEX  2005
Beelby,M.A.                          USA  2280
Begnis,N.                            GRE  2210
Begovac,F.                           YUG  2390
Behle,K.-W.                          FRG  2300
Behling,R.                           FRG  2290
Behrens,H.                           FRG  2305
Behrensen,J.                         ARG  2350
Behrhorst,F.                         FRG  2325
Beil,Z.                              CSR  2385
Beilfuss,W.                          FRG  2250
Beitar                               SYR  2310
Bekefi,L.                            HUN  2315
Belamaric,T.                         YUG  2230
Belani,M.                            YUG  2260
Beliavsky,A.                         USR  2645
Belke,F.                             DDR  2225
Belkhodja,S.                         FRA  2390
Bell,S.                              ENG  2380
Belle,E.                             NED  2140
Bellia,F.                            ITA  2265
