1st January 1984 FIDE Rating List

Name                                 Fed  Rtng 

Aaron,M.                             IND  2355
Aatolainen,M.                        SWE  1950
Abarca Aguirre,M.                    CHI  2260
Abdel,M.N.                           EGY  2205
Abel,L.                              HUN  2285
Abramovic,B.                         YUG  2495
Abramson,H.                          ARG  2230
Abravanel,Ch.                        FRA  2250
Abreu,J.D.                           DOM  2385
Absianidze,I.                        USR  1870
Abundo,C.                            PHI  2205
Acerbi,A.                            ARG  2215
Acevedo,A.                           MEX  2330
Acevedo,H.                           MEX  1905
Acic,S.                              YUG  1880
Ackermann,H.-W.                      FRG  2255
Acosta,A.                            COL  2255
Acosta,T.                            ARG  2220
Adad,C.F.                            ARG  2245
Adamski,A.                           POL  2395
Adamski,J.                           POL  2460
Ademi,S.                             YUG  2210
Adianto,U.                           INA  2385
Adok,J.                              HUN  2220
Adorjan,A.                           HUN  2570
Ady,J.J.                             ENG  2260
Afek,Y.                              ISR  2295
Afifi,A.-A.                          EGY  2350
Agababian,N.                         USR  1950
Agapov,K.                            USR  2335
Agdestein,E.                         NOR  2280
Agdestein,S.                         NOR  2435
Agic,A.                              YUG  1965
Agudelo,A.                           COL  2320
Aguerreberry,C.                      ARG  2210
Agusto,O.                            NGR  2205
Agzamov,G.                           USR  2570
Agzamov,Via.                         USR  2255
Ahmed,F.                             BAN  2245
Ahmels,V.                            FRG  2270
Ajanski,J.                           BUL  2360
Akesson                              SWE  2420
Akhmilovskaya,E.B.                   USR  2300
Akhsharumova,A.M.                    USA  2195
Akvist,H.                            SWE  2285
Al Nashed,K.                         SYR  2205
Al-Bashir                            KUW  2205
Al-Bouni,Y.                          YEM  2205
Al-Khateeb,A.                        SYR  2285
Al-Othman,A.W.                       KUW  2205
Al-Quallaf,A.J.                      KUW  2205
Albano,M.                            ITA  2205
Alberston,B.                         USA  2270
Albulet,M.                           ROM  1985
Alburt,L.O.                          USA  2515
Aldrete,J.                           MEX  2415
Alekhina,N.V.                        USR  2120
Aleksic,M.                           YUG  2005
Aleksic,N.                           YUG  2295
Alexakis,D.                          GRE  2285
Alexander,A.                         IND  2265
Alexandria,N.                        USR  2370
Alexandrou,Th.                       GRE  2230
Alexandrova                          BUL  1970
Alexopoulos,G.                       GRE  2235
Alieva,E.                            USR  2020
Allan,D.                             CAN  2280
Alldorson,G.                         ISL  2260
Almada,E.                            URU  2235
Alpern,A.                            ARG  2245
Alster,L.                            CSR  2290
Alvarez,E.                           ARG  2260
Alvarez,Fi.                          CUB  2240
Alvarez,R.                           ESP  2265
Alvas,P.                             GRE  2255
Alvir,A.                             YUG  2240
Alzate,D.                            COL  2390
Amado,C.                             ARG  2370
Ambroz,J.                            CSR  2430
Amendola                             GRE  2240
Amil-Kumar,N.R.                      IND  2240
Ammann,Ph.                           SUI  2345
An,Yang-Feng                         CHN  2065
Anand,V.                             IND  2285
Andersen,D.                          DEN  2220
Anderson,A.J.                        USA  2265
Anderson,B.R.                        NZL  2230
Andersson,B.                         SWE  2310
Andersson,U.                         SWE  2630
Andonov,B.                           BUL  2210
Andonovski,Lj.                       YUG  2255
Andre,W.                             FRG  2235
Andreieva,O.                         CUB  2180
Andres,M.                            CUB  2295
Andrianov,N.I.                       USR  2400
Andric,Z.                            YUG  2230
Andrijevic,M.                        YUG  2360
Andruet,G.                           FRA  2420
Andrzejewski                         POL  2305
Anelli,A.                            ARG  2320
Anev,A.                              BUL  2200
Angantysson,H.                       ISL  2395
Angelov,A.                           BUL  2305
Angelov,K.                           BUL  2320
Angelov,R.                           BUL  2275
Angelova-Chilinginov                 BUL  2065
Anic,D.                              YUG  2315
Anikaev,Y.                           USR  2460
