1st January 1980 FIDE Rating List

Name                                 Fed  Rtng 

Aaron,M.                             IND  2305
Aaronson                             USA  1950
Aatolainen,M.                        SWE  1900
Abarca Aguirre,M.                    CHI  2220
Abella                               PHI  2330
Abramovic,B.                         YUG  2415
Abramson,H.                          ARG  2230
Abreu,J.D.                           DOM  2340
Abroshina                            USR  1975
Acevedo,A.                           MEX  2360
Ackermann,H.-W.                      FRG  2270
Acosta,M.                            PHI  2210
Adad,C.F.                            ARG  2275
Adam,W.J                             USA  2280
Adams,J.B.                           ENG  2240
Adamski,A.                           POL  2350
Adamski,J.                           POL  2410
Adler,V.E.V.                         USR  2320
Adorjan,A.                           HUN  2550
Adzic,S.                             YUG  2280
Afek,Y.                              ISR  2300
Agdamus                              ARG  2210
Ager                                 AUT  2260
Agic,A.                              YUG  1985
Agudelo,A.                           COL  2325
Aguilar                              PHI  2255
Agur                                 ISR  2285
Agzamov,G.                           USR  2410
Agzamov,Val.                         USR  2210
Agzamov,Via.                         USR  2255
Aijala Jouko                         FIN  2340
Aingorn                              USR  2410
Ajanski,J.                           BUL  2365
Akesson                              SWE  2230
Akhmilovskaya,E.B.                   USR  2315
Akhsharumova,A.M.                    USA  2280
Akopian,A.                           USR  1950
Akopian,V.                           USR  2315
Akvist,H.                            SWE  2275
Albano,M.                            ITA  2240
Albulet,M.                           ROM  2050
Alburt,L.O.                          USA  2515
Aldrete,J.                           MEX  2375
Alekhina,N.V.                        USR  2100
Aleksic,M.                           YUG  2030
Alexandria,N.                        USR  2335
Alexandrova                          BUL  1955
Alexopoulos,G.                       GRE  2200
Ali                                  IND  2250
Alieva,E.                            USR  2120
Allan,D.                             CAN  2320
Alster,L.                            CSR  2250
Alvarez                              PHI  1860
Alzate,D.                            COL  2210
Alzate,J.                            COL  2310
Amado,C.                             ARG  2330
Ambroz,J.                            CSR  2390
Amendola                             GRE  2210
Ammann,P.                            SUI  2225
Amos                                 CAN  2390
Andersen,I.                          DEN  2240
Anderson,B.R.                        DEN  2385
Anderson,J.                          DEN  2215
Andersson,G.                         SWE  2260
Andersson,U.                         SWE  2590
