1st January 1975 FIDE Rating List

Name                                 Fed  Rtng 

Aaron,M.                             IND  2240
Aaronson                             USA  1985
Abella                               PHI  2305
Adamski,J.                           POL  2415
Ader                                 CHI  2270
Adhami                               ALB  2335
Adorjan,A.                           HUN  2515
Agaichenko                           USR  2415
Agic,A.                              YUG  1940
Agudelo,A.                           COL  2300
Aguilar                              PHI  2235
Ahmad,I.                             PAK  2250
Ahmad,N.                             PAK  2220
Ajanski,J.                           BUL  2320
Akvist,H.                            SWE  2315
Alburt,L.O.                          USR  2420
Alekhina,N.V.                        USR  2080
Alexandria,N.                        USR  2335
Alexeev,A.                           USR  2400
Aliaga                               BOL  2205
Allan,D.                             CAN  2355
Alster,L.                            CSR  2270
Alterman,V.L.                        USR  2390
Alzate,J.                            COL  2320
Amado,C.                             ARG  2235
Ammann,P.                            SUI  2250
Amos                                 CAN  2415
Anderson,B.R.                        DEN  2380
Andersson,U.                         SWE  2565
Andreieva,O.                         USR  2200
Anelli,A.                            ARG  2215
Angelov,K.                           BUL  2325
Anikaev,Y.                           USR  2465
Antonov,V.                           BUL  2265
Antoshin,V.S.                        USR  2495
Antunac,G.                           YUG  2440
Aparicio,A.                          ARG  2320
Apostolovska                         YUG  1900
Araujo,R.                            BRA  2280
Ardiansyah,H.                        INA  2330
Arnaudov,P.                          BUL  2280
Asbjornsson                          USR  2385
Asenova,V.                           BUL  2155
Asmundsson,I.                        ISL  2405
Atanasov,G.                          BUL  2405
Auchenberg,P.                        DEN  2225
Augustin,J.                          CSR  2370
Averbakh,Y.L.                        USR  2515
Averkin,O.                           USR  2480
Babev,A.                             BUL  2350
Baccelliere                          CHI  2210
Bachtiar,A.                          INA  2305
Bademian,J.                          URU  2205
Badilles                             PHI  2295
Bagirov,V.K.                         USR  2490
Baikov,V.                            USR  2400
Bakulin,N.                           USR  2390
Balashov,Y.                          USR  2540
Balashova,E.                         USR  2090
Balaskas                             GRE  2245
Balcerowski,W.                       POL  2365
Balinas,R.                           PHI  2355
Baljon,C.                            NED  2210
Balogh,B.                            HUN  2250
Baloianu                             ROM  1985
Balshan,A.                           ISR  2435
Banas,J.                             CSR  2355
Barcza,G.                            HUN  2460
Barczay,L.                           HUN  2445
Barda,Y.                             NOR  2240
Barendregt                           NED  2325
Baretic,D.                           YUG  2305
Barle,J.                             YUG  2330
Barreras,A.                          CUB  2380
Bartrina                             ESP  2280
Basagic,Z.                           YUG  2415
Bashina                              USR  2115
Basman,M.J.                          ENG  2395
Basta,D.                             YUG  2250
Baumbach                             DDR  2395
Baumstark,G.                         ROM  2205
Bazan,O.                             ARG  2290
Bednarski,J.B.                       POL  2425
Beggi                                ITA  2250
Behling,R.                           FRG  2370
Beil,Z.                              CSR  2330
Bejm                                 USR  2385
Belamaric,T.                         YUG  2130
Belavenets,W.                        USR  2160
Beliavsky,A.                         USR  2500
Belkadi,R.                           TUN  2350
Belle,E.                             NED  1935
Belliard                             DOM  2235
Bellin,R.                            ENG  2375
Bellon Lopez,J.M.                    ESP  2415
Belmonte,J.                          CHI  2300
Belova,T.                            USR  2220
Benedictsson,B.                      ISL  2375
Beni,A.                              AUT  2210
Benko,P.                             USA  2515
Benoit,M.                            FRA  2270
Bernard,R.                           POL  2380
Berry,J.                             CAN  2240
Bertok,M.                            YUG  2430
Bessenay                             FRA  2280
Betancort C.J.                       ESP  2360
Beyen                                BEL  2280
Bhend,E.                             SUI  2315
Bilek,I.                             HUN  2495
Bilunova,R.I.                        USR  2300
Bilyap                               TUR  2260
Bisguier,A.                          USA  2445
Biyiasas,P.                          CAN  2430
Bjarnason,S.                         ISL  2235
Bjerre,T.                            DEN  2380
Bjerring,K.                          DEN  2395
Blackstock,L.                        SCO  2345
Blatny,F.                            CSR  2325
Bleiman,Y.                           ISR  2455
Bloch,N.                             NED  2260
Blucha                               CSR  2300
Bobotsov,M.                          BUL  2440
Boensch,U.                           DDR  2365
Boersma,P.A.                         NED  2335
Boey,J.                              BEL  2430
Bogdan                               ROM  1965
Bogdanovic,R.                        YUG  2430
Bohling                              DDR  2450
Bohm,H.                              NED  2300
Bohnisch,M.                          DDR  2390
Bohosjan,S.                          BUL  2405
Bojkovic,S.                          YUG  2450
