1st January 1977 FIDE Rating List

Name                                 Fed  Rtng 

Aaron,M.                             IND  2295
Aaronson                             USA  1950
Abella                               PHI  2330
Acevedo,A.                           MEX  2375
Adad,C.F.                            ARG  2300
Adams,J.B.                           ENG  2235
Adamski,A.                           POL  2315
Adamski,J.                           POL  2470
Ader                                 CHI  2270
Adler,V.E.V.                         USR  2270
Adorjan,A.                           HUN  2530
Adzic,S.                             YUG  2330
Agaichenko                           USR  2415
Agic,A.                              YUG  1960
Agudelo,A.                           COL  2300
Aguilar                              PHI  2235
Agzamov,G.                           USR  2375
Ahmad,I.                             PAK  2250
Ahmad,N.                             PAK  2220
Aijala Jouko                         FIN  2340
Ajanski,J.                           BUL  2345
Akhmilovskaya,E.B.                   USR  2245
Akhsharumova,A.M.                    USA  2245
Akopian,V.                           USR  2335
Akvist,H.                            SWE  2315
Alba,A.                              ITA  2240
Albulet,M.                           ROM  2110
Alburt,L.O.                          USR  2505
Aldrete,J.                           MEX  2250
Alekhina,N.V.                        USR  2090
Alexandria,N.                        USR  2340
Alexandrova                          BUL  2015
Alexeev,A.                           USR  2400
Ali                                  IND  2245
Aljechin                             USR  2220
Allan,D.                             CAN  2345
Alster,L.                            CSR  2250
Alterman,V.L.                        USR  2375
Alvarez                              PHI  1860
Alzate,J.                            COL  2300
Amado,C.                             ARG  2310
Ammann,P.                            SUI  2230
Amos                                 CAN  2390
Andersen,I.                          DEN  2240
Anderson,B.R.                        DEN  2385
Andersson,G.                         SWE  2250
Andersson,U.                         SWE  2565
Andres,M.                            CUB  2345
Anelli,A.                            ARG  2290
Angantysson,H.                       ISL  2350
Angelov,K.                           BUL  2315
Anikaev,Y.                           USR  2445
Antonov,V.                           BUL  2290
Antoshik,A.                          BUL  2450
Antoshin,V.S.                        USR  2475
Antunac,G.                           YUG  2450
Aparicio,A.                          ARG  2320
Apostolovska                         YUG  1865
Arapovic,V.                          YUG  2430
Ardiansyah,H.                        INA  2330
Arias                                ARG  1980
Arnason,A.T.                         ISL  2205
Arnaudov,P.                          BUL  2265
Asbjornsson                          USR  2235
Asenova,V.                           BUL  2100
Asmundsson,I.                        ISL  2405
Asparuhov                            BUL  2205
Atanasov,G.                          BUL  2350
Atanasov,P.                          BUL  2275
Attard                               MLT  2250
Auchenberg,P.                        DEN  2225
Auer                                 AUT  2245
Augustin,J.                          CSR  2445
Averbakh,Y.L.                        USR  2520
Averkin,O.                           USR  2455
Avtukhov                             USR  2255
Azzopardi                            MLT  2205
Babev,A.                             BUL  2340
Babrikowski                          DDR  2320
Babula                               CSR  2270
Baccelliere                          CHI  2230
Bach,H.                              FRG  2280
Bachmann,K.-H.                       FRG  2205
Bachrech                             USR  2010
Bachtiar,A.                          INA  2335
Bade                                 DDR  2000
Bademian,J.                          URU  2235
Badilles                             PHI  2295
Bagirov,V.K.                         USR  2480
Baikov,V.                            USR  2395
Bakhchevansky                        USR  2330
Bakulin,N.                           USR  2275
Balashov,Y.                          USR  2565
Balaskas                             GRE  2235
Balcerowski,W.                       POL  2350
Balinas,R.                           PHI  2420
Baljon,C.                            NED  2220
Ball,S.                              CAN  2215
Ball,S.                              ENG  2230
Balogh,B.                            HUN  2285
Balshan,A.                           ISR  2415
Banas,J.                             CSR  2355
Bandal,R.                            PHI  2205
Bang,E.                              DEN  2275
Barcza,G.                            HUN  2435
Barczay,L.                           HUN  2470
Barda,Y.                             NOR  2230
Barea                                ARG  2250
Baretic,D.                           YUG  2270
Barle,J.                             YUG  2450
Barlov,D.                            YUG  2205
Barnes,C.                            USA  2255
Barreras,A.                          CUB  2355
Barta,Zs.                            HUN  2015
Bartis                               ARG  2265
Bartrina                             ESP  2280
Basaco                               CUB  2225
Basagic,Z.                           YUG  2400
Basman,M.J.                          ENG  2390
Basta,D.                             YUG  2260
Bastian,H.                           FRG  2305
Baum                                 DDR  2235
Baumbach                             DDR  2395
Baumstark,G.                         ROM  2205
Bednarski,J.B.                       POL  2400
Beggi                                ITA  2290
Begovac,F.                           YUG  2390
Begun                                USR  2440
Behling,R.                           FRG  2375
Beil,Z.                              CSR  2350
Belamaric,T.                         YUG  2140
Belavenets,W.                        USR  2190
Beliavsky,A.                         USR  2555
Belkadi,R.                           TUN  2350
Belle,E.                             NED  2005
Bellin,R.                            ENG  2400
Bellon Lopez,J.M.                    ESP  2415
Belova,T.                            USR  2195
Ben Zion                             ISR  2250
Benedictsson,B.                      ISL  2375
Bengtsson,B.                         SWE  2340
Bengtsson,S.                         SWE  1970
Beni,A.                              AUT  2225
Benitez                              URU  2250
Benko,F.                             ARG  2290
Benko,P.                             USA  2455
Bennett,G.H.                         ENG  2315
Benoit,M.                            FRA  2270
Bergstroen                           SWE  2250
Bernard,R.                           POL  2360
Bernat,M.                            ARG  2410
Bernstein,D.                         ISR  2400
Bernstein,Y.                         ISR  2270
Berry,D.                             USA  2280
Berry,J.                             CAN  2315
Bertok,M.                            YUG  2425
Bessenay                             FRA  2255
Betancort Curbelo,J.                 ESP  2355
Beyen                                BEL  2270
Bhend,E.                             SUI  2320
Bichsel,W.                           SUI  2265
Bielczyk,J.                          POL  2385
Bielicki,C.                          ARG  2245
Biglova                              HUN  1945
Bilek,I.                             HUN  2435
Bilunov,B.                           USR  2420
Bilunova,R.I.                        USR  2240
Bilyap                               TUR  2230
Binham,T.F.                          FIN  2340
Biriescu,I.                          ROM  2330
Birnboim,N.                          ISR  2440
Bisguier,A.                          USA  2440
Biyiasas,P.                          CAN  2435
Bjarnason,S.                         ISL  2225
Bjelajac,M.                          YUG  2410
Bjelica,D.                           YUG  2390
Bjerre,T.                            DEN  2380
Bjerring,K.                          DEN  2365
Blackstock,L.                        SCO  2410
Blaeser                              LUX  2240
Blatny,F.                            CSR  2325
Bleiman,Y.                           ISR  2440
Bloch,N.                             NED  2260
Blom                                 DEN  2250
Blow                                 GCI  2230
Blumenfeld,R.                        USA  2300
Bobotsov,M.                          BUL  2405
Bodic,D.                             YUG  2295
Boensch,U.                           DDR  2440
Boersma,P.A.                         NED  2350
Boey,J.                              BEL  2415
Bogda                                PAR  2240
Bogdan                               ROM  2100
Bogdanovic,R.                        YUG  2430
Bohm,H.                              NED  2445
Bohmgren                             SWE  1900
Bohnisch,M.                          DDR  2365
Bohosjan,S.                          BUL  2400
Bojarinov                            USR  2450
Bojkovic,S.                          YUG  2415
Bonchev,K.S.                         BUL  2340
Bonchev,S.                           BUL  2265
Bonfa                                ITA  2240
Bonne,M.                             BEL  2255
Bonner,G.                            SCO  2250
Book,E.                              FIN  2250
Bordonada                            PHI  2360
Borik,O.                             FRG  2400
Borisenko,G.K.                       USR  2430
Borisenko,V.                         USR  2215
Borisova,B.                          SWE  2150
Borkowski,F.                         POL  2365
Borm,F.W.M.                          NED  2260
Borngasser,R.                        FRG  2365
Bosanac                              YUG  1880
Boskova,M.                           CSR  1940
Boskovic,M. (F)                      YUG  2005
Boskovic,M.                          YUG  2255
Botez,C.                             ROM  2360
Bottcher                             DDR  2045
Botterill,G.S.                       WLS  2350
Bouaziz                              TUN  2355
Boudy,J.                             CUB  2350
Braun,G.                             DDR  2360
Braunlin                             FRG  2080
Bravo,H.                             PER  2300
Brichikova                           BUL  1980
Briem,S.                             ISL  2300
Brinck-Claussen,B.                   DEN  2380
Brkljaca,A.                          YUG  2450
Brodeur,G.                           MGL  2295
Brond                                ARG  2385
Brondum,E.                           DEN  2335
Bronstein,D.                         USR  2560
Bronstein,L.                         ARG  2385
Browne,W.S.                          USA  2545
