1st January 1985 FIDE Rating List

Name                                 Fed  Rtng 

Aaron,M.                             IND  2375
Aatolainen,M.                        SWE  1950
Abarca Aguirre,M.                    CHI  2335
Abdel,M.N.                           EGY  2270
Abdullah,A.H.                        MAR  2220
Abel,L.                              HUN  2240
Abramovic,B.                         YUG  2460
Abramson,H.                          ARG  2230
Abravanel,Ch.                        FRA  2250
Abreu Carvalho,H.                    BRA  2235
Abreu Carvalho,L.                    BRA  1835
Abreu,J.D.                           DOM  2385
Absianidze,I.                        USR  1870
Abundo,C.                            PHI  2205
Acerbi,A.                            ARG  2215
Acevedo,A.                           MEX  2330
Acevedo,H.                           MEX  1905
Acic,S.                              YUG  1880
Ackermann,H.-W.                      FRG  2255
Acosta,A.                            COL  2255
Acosta,T.                            ARG  2220
Adad,C.F.                            ARG  2245
Adam,A.                              KEN  2205
Adamski,A.                           POL  2335
Adamski,J.                           POL  2450
Adelman,Ch.C.                        USA  2225
Ademi,S.                             YUG  2230
Adianto,U.                           INA  2375
Adler,J.                             SUI  2230
Adoamnei,R.                          ROM  1805
Adok,J.                              HUN  2210
Adorjan,A.                           HUN  2565
Ady,J.J.                             ENG  2305
Afek,Y.                              ISR  2290
Afifi,A.-A.                          EGY  2370
Agababian,N.                         USR  1950
Agapov,K.                            USR  2365
Agdestein,E.                         NOR  2305
Agdestein,S.                         NOR  2500
Agic,A.                              YUG  1965
Agudelo,A.                           COL  2310
Aguerreberry,C.                      ARG  2210
Agusto,O.                            NGR  2205
Agzamov,G.                           USR  2590
Agzamov,Via.                         USR  2255
Ahmed,F.                             BAN  2245
Ahmed,R.                             PAK  2240
Ahmels,V.                            FRG  2265
Ajanski,J.                           BUL  2370
Akesson                              SWE  2425
Akhmilovskaya,E.B.                   USR  2245
Akhsharumova,A.M.                    USA  2215
Akmal,M.                             BAN  2210
Akvist,H.                            SWE  2285
Al Nashed,K.                         SYR  2205
Al-Bashir                            KUW  2205
Al-Bouni,Y.                          YEM  2205
Al-Khateeb,A.                        SYR  2300
Al-Othman,A.L.                       KUW  2205
Al-Othman,A.W.                       KUW  2200
Al-Quallaf,A.J.                      KUW  2205
Albano,M.                            ITA  2230
Alber,H.                             FRG  2235
Alberston,B.                         USA  2270
Albulet,M.                           ROM  2005
Alburt,L.O.                          USA  2535
Aldrete,J.                           MEX  2415
Alekhina,N.V.                        USR  2355
Aleksic,M.                           YUG  1935
Aleksic,N.                           YUG  2345
Alexakis,D.                          GRE  2290
Alexander,A.                         IND  2265
Alexandria,N.                        USR  2275
Alexandrou,Th.                       GRE  2205
Alexandrova                          BUL  1970
Alexopoulos,G.                       GRE  2235
Alfonso,R.                           CUB  2205
Alieva,E.                            USR  2015
Allan,D.                             CAN  2280
Alldorson,G.                         ISL  2235
Almada,E.                            URU  2235
Alpern,A.                            ARG  2245
Alster,L.                            CSR  2325
Alvarez,Fi.                          CUB  2350
Alvarez,R.                           ESP  2265
Alvas,P.                             GRE  2255
Alvir,A.                             YUG  2240
Alzate,D.                            COL  2360
Amado,C.                             ARG  2370
Amaral,N.                            POR  2230
Ambroz,J.                            CSR  2455
Amil-Kumar,N.R.                      IND  2260
Ammann,Ph.                           SUI  2345
An,Yang-Feng                         CHN  2090
Anand,V.                             IND  2380
Andersen,D.                          DEN  2220
Andersen,I.                          DEN  2215
Anderson,A.J.                        USA  2265
Anderson,R.                          USA  2380
Andersson,B.                         SWE  2310
Andersson,T.                         SWE  2245
Andersson,U.                         SWE  2575
Anderton,D.W.                        ENG  2210
Andonov,B.                           BUL  2285
Andonovski,Lj.                       YUG  2245
Andre,W.                             FRG  2235
Andreasen,P.                         DEN  2260
Andreieva,O.                         CUB  2180
Andres,M.                            CUB  2385
Andrianov,N.I.                       USR  2395
Andric,Z.                            YUG  2240
Andrijevic,M.                        YUG  2380
Andruet,G.                           FRA  2390
Andrzejewski                         POL  2305
Anelli,A.                            ARG  2320
Anev,A.                              BUL  2215
Angantysson,H.                       ISL  2340
Angelov,A.                           BUL  2305
Angelov,G.                           BUL  2360
Angelov,K.                           BUL  2320
Angelov,R.                           BUL  2275
Angelova-Chilinginov                 BUL  2145
Anic,D.                              YUG  2340
Anikaev,Y.                           USR  2460
Anitoaie,D.                          ROM  2305
Ankerst,M.                           YUG  2085
Anson,J.                             WLS  1890
Antonov,V.                           BUL  2375
Antoshik,A.                          CSR  2250
Antoshin,V.S.                        USR  2340
Antunac,G.                           YUG  2400
Antunes,A.                           POR  2460
Antypas,D.                           CYP  2205
Aparicio,A.                          ARG  2335
Apicella,M.                          FRA  2290
Apostolou,A.                         GRE  2220
Araiza                               MEX  2225
Arakhamia,K.                         USR  2140
Arapovic,V.                          YUG  2405
Araujo,R.                            BRA  2250
Araya Ibarra,M.I.                    CHI  2260
Araya,R.                             CHI  2285
Arbakov,V.M.                         USR  2405
Arbil,J.E.                           TUR  1905
Arbunic Castro,G.B.                  CHI  2060
Ardaman,M.                           USA  2235
Ardeleanu,A.                         ROM  2290
Ardiansyah,H.                        INA  2435
Arduman,C.                           TUR  2280
Arencibia,W.                         CUB  2380
Aristegui,J.C.                       ESP  2240
Arjona Monforte,F.                   MEX  2205
Arkell,K.C.                          ENG  2410
Arkhipov,S.                          USR  2550
Arlandi,E.                           ITA  2310
Armas,I.                             ROM  2325
Armas,J.                             CUB  2330
Arnason,A.T.                         ISL  2250
Arnason,J.                           ISL  2495
Arnaudov,P.                          BUL  2310
Arnold,L.                            FRG  2305
Aronoff,I.                           USA  2015
Arrata,P.                            ECU  2245
Arseniev,V.                          ISL  2325
Artamonova,V.                        USR  2005
Asanov,B.                            USR  2210
Asaturoglu,R.                        TUR  2240
Aseev,K.N.                           USR  2455
Aseeva,M.                            USR  2030
Asenova,V.                           BUL  2000
Asmundsson,I.                        ISL  2400
Asparuhov                            BUL  2210
Assem,M.                             EGY  2265
Atalik,S.                            TUR  2230
Atanasov,G.                          BUL  2315
Atanasov,P.                          BUL  2405
Athala                               MEX  2295
Atir,G.                              IRQ  2205
