1st January 1976 FIDE Rating List

Name                                 Fed  Rtng 

Aaron,M.                             IND  2295
Aaronson                             USA  1970
Abella                               PHI  2305
Adad,C.F.                            ARG  2300
Adamski,J.                           POL  2415
Ader                                 CHI  2270
Adler,V.E.V.                         USR  2270
Adorjan,A.                           HUN  2510
Adzic,S.                             YUG  2330
Agaichenko                           USR  2415
Agic,A.                              YUG  1960
Agudelo,A.                           COL  2305
Aguilar                              PHI  2235
Agzamov,G.                           USR  2375
Ahmad,I.                             PAK  2250
Ahmad,N.                             PAK  2220
Ajanski,J.                           BUL  2345
Akhmilovskaya,E.B.                   USR  2230
Akhsharumova,A.M.                    USA  2220
Akopian,V.                           USR  2335
Akvist,H.                            SWE  2325
Alburt,L.O.                          USR  2520
Alekhina,N.V.                        USR  2090
Alexandria,N.                        USR  2340
Alexandrova                          BUL  2015
Alexeev,A.                           USR  2400
Ali                                  IND  2245
Aljechin                             USR  2220
Allan,D.                             CAN  2345
Alster,L.                            CSR  2250
Alterman,V.L.                        USR  2375
Alzate,J.                            COL  2310
Amado,C.                             ARG  2265
Ammann,P.                            SUI  2220
Amos                                 CAN  2420
Andersen,I.                          DEN  2310
Anderson,B.R.                        DEN  2380
Andersson,G.                         SWE  2315
Andersson,U.                         SWE  2585
Andres,M.                            CUB  2355
Anelli,A.                            ARG  2245
Angantysson,H.                       ISL  2400
Angelov,K.                           BUL  2320
Anikaev,Y.                           USR  2435
Antonov,V.                           BUL  2305
Antoshin,V.S.                        USR  2460
Antunac,G.                           YUG  2450
Aparicio,A.                          ARG  2320
Apostolovska                         YUG  1900
Arapovic,V.                          YUG  2400
Araujo,R.                            BRA  2280
Ardiansyah,H.                        INA  2345
Arnaudov,P.                          BUL  2265
Asbjornsson                          USR  2385
Asenova,V.                           BUL  2160
Asmundsson,I.                        ISL  2415
Atanasov,G.                          BUL  2405
Auchenberg,P.                        DEN  2225
Augustin,J.                          CSR  2405
Averbakh,Y.L.                        USR  2530
Averkin,O.                           USR  2450
Avtukhov                             USR  2255
Babev,A.                             BUL  2340
Babula                               CSR  2270
Baccelliere                          CHI  2230
Bachrech                             USR  2010
Bachtiar,A.                          INA  2305
Bade                                 DDR  2040
Bademian,J.                          URU  2205
Badilles                             PHI  2295
Bagirov,V.K.                         USR  2490
Baikov,V.                            USR  2395
Bakhchevansky                        USR  2330
Bakulin,N.                           USR  2390
Balashov,Y.                          USR  2545
Balaskas                             GRE  2245
Balcerowski,W.                       POL  2350
Balinas,R.                           PHI  2365
Baljon,C.                            NED  2210
Ball,S.                              CAN  2215
Ball,S.                              ENG  2230
Balogh,B.                            HUN  2270
Baloianu                             ROM  1985
Balshan,A.                           ISR  2415
Banas,J.                             CSR  2350
Barcza,G.                            HUN  2435
Barczay,L.                           HUN  2485
Barda,Y.                             NOR  2240
Barea                                ARG  2250
Baretic,D.                           YUG  2350
Barle,J.                             YUG  2480
Barlov,D.                            YUG  2205
Barnes,C.                            USA  2280
Barreras,A.                          CUB  2340
Barta,Zs.                            HUN  2060
Bartis                               ARG  2265
Bartrina                             ESP  2280
Basaco                               CUB  2215
Basagic,Z.                           YUG  2390
Basman,M.J.                          ENG  2390
Basta,D.                             YUG  2260
Baum                                 DDR  2235
Baumbach                             DDR  2390
Baumstark,G.                         ROM  2210
Bazan,O.                             ARG  2290
Bednarski,J.B.                       POL  2425
Beggi                                ITA  2250
Begun                                USR  2440
Behling,R.                           FRG  2370
Beil,Z.                              CSR  2350
Belamaric,T.                         YUG  2125
Belavenets,W.                        USR  2165
Beliavsky,A.                         USR  2560
Belkadi,R.                           TUN  2350
Belle,E.                             NED  1940
Bellin,R.                            ENG  2360
Bellon Lopez,J.M.                    ESP  2475
Belova,T.                            USR  2220
Benedictsson,B.                      ISL  2375
Bengtsson,B.                         SWE  2410
Benko,F.                             ARG  2290
Benko,P.                             USA  2480
Bennett,G.H.                         ENG  2350
Benoit,M.                            FRA  2270
Bernard,R.                           POL  2360
Berry,D.                             USA  2280
Berry,J.                             CAN  2330
Bertok,M.                            YUG  1975
Bessenay                             FRA  2270
Betancort Curbelo,J.                 ESP  2360
Beyen                                BEL  2280
Bichsel,W.                           SUI  2275
Bielczyk,J.                          POL  2375
Biglova                              HUN  1945
Bilek,I.                             HUN  2435
Bilunov,B.                           USR  2420
Bilunova,R.I.                        USR  2240
Bilyap                               TUR  2255
Biriescu,I.                          ROM  2330
Bisguier,A.                          USA  2440
Biyiasas,P.                          CAN  2460
Bjarnason,S.                         ISL  2225
Bjelajac,M.                          YUG  2385
Bjelica,D.                           YUG  2390
Bjerre,T.                            DEN  2380
Bjerring,K.                          DEN  2380
Blackstock,L.                        SCO  2345
Blaeser                              LUX  2240
Blatny,F.                            CSR  2315
Bleiman,Y.                           ISR  2440
Bloch,N.                             NED  2260
Blom                                 DEN  2250
Bobotsov,M.                          BUL  2400
Bodic,D.                             YUG  2295
Boensch,U.                           DDR  2365
Boersma,P.A.                         NED  2345
Boey,J.                              BEL  2415
Bogdan                               ROM  2040
Bogdanovic,R.                        YUG  2430
Bohling                              DDR  2450
Bohm,H.                              NED  2425
Bohmgren                             SWE  1900
Bohnisch                             DDR  2365
Bohosjan,S.                          BUL  2405
Bojarinov                            USR  2450
Bojkovic,S.                          YUG  2440
Bonchev,K.S.                         BUL  2440
Bonchev,S.                           BUL  2265
Bonfa                                ITA  2240
Bonne,M.                             BEL  2255
Bonner,G.                            SCO  2255
Bordonada                            PHI  2365
Borik,O.                             FRG  2330
Borisenko,G.K.                       USR  2430
Borisenko,V.                         USR  2215
Borisova,B.                          SWE  2120
Borkowski,F.                         POL  2350
Borm,F.W.M.                          NED  2220
Borngosser                           FRG  2375
Boskova,M.                           CSR  1940
Boskovic,M. (F)                      YUG  2050
Botez,C.                             ROM  2350
Bottcher                             DDR  2045
Botterill,G.S.                       WLS  2390
Bouaziz                              TUN  2355
Boudy,J.                             CUB  2395
Bouwmeester,H.                       NED  2420
Braun,G.                             DDR  2360
Braunlin                             FRG  2080
Braymeyer                            DDR  2270
Brichikova                           BUL  1960
Briem,S.                             ISL  2300
Brinck-Claussen,B.                   DEN  2390
Brodeur,G.                           MGL  2295
Brond                                ARG  2345
Brondum,E.                           DEN  2340
Bronstein,D.                         USR  2540
Bronstein,L.                         ARG  2380
Browne,W.S.                          USA  2585
Bruce,R.M.                           ENG  1990
Bruggemann                           DDR  2310
Bruinenberg,C.                       NED  2025
Buch,O.                              DEN  2205
Buchal,S.                            FRG  2260
Buchenthal,D.                        FRG  2280
Buckos                               YUG  1800
Bujupi,B.                            YUG  2350
Bukal,V.                             YUG  2390
Bukhman,E.                           USR  2420
Bukic,E.                             YUG  2500
Bulat,A.                             YUG  2240
Buljovcic,I.                         YUG  2455
Busch,R.                             FRG  2240
Buslaev,A.                           USR  2290
Butt                                 PAK  2275
Buza,A.                              ROM  2280
Bykov,V.                             USR  2390
Byrne,D.                             USA  2445
Byrne,R.                             USA  2540
Cabrera                              ESP  2215
Cabrilo,G.                           YUG  2335
Cafferty,B.                          ENG  2310
Caldwell                             ENG  2060
Calvo Minguez,R.                     ESP  2435
Camara,H.                            BRA  2340
Camaton                              ECU  2240
Camilleri,H.                         MLT  2210
Campos,A.                            MEX  2345
Camps,A.                             MEX  1810
Canalejo,P.                          CUB  2215
Capece                               ITA  2205
Capelan,G.                           FRG  2425
Cappello,G.                          ITA  2285
Cappello,R.                          ITA  2310
Carbone,J.M.                         ARG  2235
Cardoso,R.                           BRA  2015
