1st January 1986 FIDE Rating List

Name                                 Fed  Rtng 

Aaron,M.                             IND  2375
Aatolainen,M.                        SWE  1950
Abarca Aguirre,M.                    CHI  2340
Abayasekera,R.                       ENG  2280
Abdel,M.N.                           EGY  2295
Abdullah,A.H.                        MAR  2220
Abel,L.                              HUN  2275
Abramovic,B.                         YUG  2490
Abramson,H.                          ARG  2240
Abravanel,Ch.                        FRA  2265
Abreu,J.D.                           DOM  2385
Absianidze,I.                        USR  1905
Abundo,C.                            PHI  2205
Acevedo,A.                           MEX  2330
Acevedo,H.                           MEX  1905
Acic,S.                              YUG  1905
Acimovic,S.                          YUG  2380
Ackermann,H.-W.                      FRG  2255
Acosta,T.                            ARG  2240
Adam,A.                              KEN  2205
Adams,M.                             ENG  2295
Adamski,A.                           POL  2370
Adamski,J.                           POL  2380
Adelman,Ch.D.                        USA  2280
Ademi,S.                             YUG  2220
Adianto,U.                           INA  2400
Adler,J.                             SUI  2220
Adok,J.                              HUN  2245
Adorjan,A.                           HUN  2555
Adrian,C.                            FRA  2300
Ady,J.J.                             ENG  2305
Afek,Y.                              ISR  2285
Afifi,A.-A.                          EGY  2350
Agababian,N.                         USR  1950
Agapov,K.                            USR  2365
Agdestein,E.                         NOR  2340
Agdestein,S.                         NOR  2535
Agic,A.                              YUG  1925
Agnos,D.                             ENG  2240
Agudelo,A.                           COL  2355
Aguerreberry,C.                      ARG  2210
Aguila,G.                            ARG  2400
Agusto,O.                            NGR  2210
Agzamov,G.                           USR  2545
Ahlander,B.                          SWE  2240
Ahmed,F.                             BAN  2265
Ahmed,R.                             PAK  2240
Ahmels,V.                            FRG  2265
Ajanski,J.                           BUL  2350
Akesson                              SWE  2420
Akhmilovskaya,E.B.                   USR  2305
Akhsharumova,A.M.                    USR  2195
Akmal,M.                             BAN  2225
Akvist,H.                            SWE  2285
Al-Bouni,Y.                          YEM  2205
Al-Khateeb,A.                        SYR  2300
Al-Mahmud                            BAN  2205
Albano,M.                            ITA  2230
Alber,H.                             FRG  2285
Alberston,B.                         USA  2280
Albrecht,R.                          FRG  2235
Albulet,M.                           ROM  2015
Alburt,L.O.                          USA  2515
Aldrete,J.                           MEX  2415
Alekhina,N.V.                        USR  2215
Aleksic,N.                           YUG  2390
Alexakis,D.                          GRE  2295
Alexandria,N.                        USR  2310
Alexandrou,Th.                       GRE  2205
Alexopoulos,G.                       GRE  2235
Alfonso,R.                           CUB  2205
Alieva,E.                            USR  2010
Allan,D.                             CAN  2260
Allen,E.J.                           USA  2280
Allen,K.                             IRL  2220
Alonso,R.                            CUB  2255
Alpern,A.                            ARG  2260
Alpin,P.                             AUS  2205
Alster,L.                            CSR  2340
Alterman,V.L.                        ISR  2370
Alvarez Ibarra,D.R.                  ESP  2310
Alvarez,Fi.                          CUB  2335
Alvas,P.                             GRE  2255
Alvir,A.                             YUG  2255
Alzate,D.                            COL  2365
Amaral,N.                            POR  2215
Ambroz,J.                            CSR  2460
Amil-Kumar,N.R.                      IND  2260
Ammann,Ph.                           SUI  2330
Amos                                 CAN  2355
Amura,C.N.                           ARG  1940
An,Yang-Feng                         CHN  2145
Anand,V.                             IND  2405
Anceschi,V.                          ITA  2255
Andersen,D.                          DEN  2265
Andersen,I.                          DEN  2215
Andersen,O.                          NOR  2225
Anderson,A.J.                        USA  2265
Anderson,R.                          USA  2350
Andersson,B.                         SWE  2310
Andersson,T.                         SWE  2215
Andersson,U.                         SWE  2585
Anderton,D.W.                        ENG  2210
Andonov,B.                           BUL  2300
Andonov,T.                           YUG  2235
Andonovski,Lj.                       YUG  2275
Andre,W.                             FRG  2230
Andreasen,P.                         DEN  2230
Andreev,D.                           BUL  2220
Andreieva,O.                         USR  2180
Andres,M.                            CUB  2400
Andrianov,N.I.                       USR  2395
Andric,Z.                            YUG  2245
Andrijevic,M.                        YUG  2370
Andruet,G.                           FRA  2410
Andrzejewski                         POL  2255
Anelli,A.                            ARG  2320
Angantysson,H.                       ISL  2305
Angelov,A.                           BUL  2305
Angelov,G.                           BUL  2340
Angelov,K.                           BUL  2335
Angelov,R.                           BUL  2255
Angelova-Chilinginov                 BUL  1995
Anic,D.                              YUG  2375
Anikaev,Y.                           USR  2460
Anitoaie,D.                          ROM  2215
Ankerst,M.                           YUG  2110
Anson,J.                             WLS  1905
Antonijevic,D.                       YUG  2250
Antonov,V.                           BUL  2375
Antoshik,A.                          CSR  2250
Antoshin,V.S.                        USR  2310
Antunac,G.                           YUG  2400
Antunes,A.                           POR  2455
Aparicio,A.                          ARG  2335
Apicella,M.                          FRA  2295
Apostolou,A.                         GRE  2220
Arakhamia,K.                         USR  2155
Arapovic,V.                          YUG  2405
Araujo,R.                            BRA  2225
Araya Ibarra,M.I.                    CHI  2235
Araya,R.                             CHI  2330
Arbakov,V.M.                         USR  2405
Arbil,J.E.                           TUR  1905
Arbunic Castro,G.B.                  CHI  2095
Ardaman,M.                           USA  2255
Ardeleanu,A.                         ROM  2325
Ardiansyah,H.                        INA  2430
Arduman,C.                           TUR  2280
Arencibia,W.                         CUB  2315
Aristizabal,L.                       COL  2205
Arjona Monforte,F.                   MEX  2205
Arkell,K.C.                          ENG  2375
Arkhipov,S.                          USR  2545
Arlandi,E.                           ITA  2360
Armas,I.                             ROM  2340
Armas,J.                             CUB  2345
Arnason,A.A.                         ISL  2240
Arnason,A.T.                         ISL  2240
Arnason,J.                           ISL  2500
Arnaudov,P.                          BUL  2275
Arnold,L.                            FRG  2305
Aronoff,I.                           USA  2070
Arrata,P.                            ECU  2245
Arseniev,V.                          USR  2325
Artamonova,V.                        USR  2005
Asanov,B.                            USR  2210
Asaturoglu,R.                        TUR  2275
Aseev,K.N.                           USR  2440
Aseeva,M.                            USR  2090
Asenova,V.                           BUL  1955
Asfora,M.                            BRA  2330
Asmundsson,I.                        ISL  2375
Asparuhov                            BUL  2210
Assem,M.                             EGY  2265
Atakisi,F.                           TUR  2285
Atalik,S.                            TUR  2290
Atanasov,G.                          BUL  2300
