FED,name_FED,ISO3,rating,name,players
ARG,Argentina,ARG,2580,"Panno,O. ",56
AUS,Australia,AUS,2420,"Jamieson,R.M. ",12
AUT,Austria,AUT,2430,"Robatsch,K. ",26
BEL,Belgium,BEL,2460,"O'Kelly,A. ",8
BOL,Bolivia,BOL,2205,"Ramirez,P. ",1
BRA,Brazil,BRA,2630,"Mecking,H. ",14
IVB,British Virgin Islands,VGB,2250,"Hook,W. ",1
BUL,Bulgaria,BGR,2520,"Ermenkov,E. ",93
CAN,Canada,CAN,2470,Suttles  ,24
CHI,Chile,CHL,2405,"Donoso Velasco,P. ",18
CHN,China,CHN,2280,"Xu,Hongshun  ",3
COL,Colombia,COL,2425,"Castro,O. ",25
CRC,Costa Rica,CRI,2290,Rovira  ,4
CUB,Cuba,CUB,2535,"Garcia Gonzales,G. ",58
DEN,Denmark,DNK,2620,"Larsen,B. ",47
DOM,Dominican Republic,DOM,2300,"Delgado,C. ",3
ECU,Ecuador,ECU,2390,"Yepez,O. ",12
ESA,El Salvador,SLV,2215,"Pineda,B. ",1
FIN,Finland,FIN,2450,"Westerinen,H.M.J. ",21
FRA,France,FRA,2425,"Haik,A. ",18
GRE,Greece,GRC,2330,Dimitriades  ,15
GUA,Guatemala,GTM,2205,"Perez,F.J. ",1
GCI,Guernsey,GGY,2270,Browning  ,2
HON,Honduras,HND,2230,"Lozano,T.R. ",2
HKG,Hong Kong,HKG,2340,"Kan,W.S. ",1
HUN,Hungary,HUN,2630,"Portisch,L. ",94
ISL,Iceland,ISL,2530,"Olafsson,F. ",33
IND,India,IND,2360,"Thipsay,P. ",4
INA,Indonesia,IDN,2335,"Bachtiar,A. ",7
IRI,Iran,IRN,2390,"Harandi,K. ",3
IRQ,Iraq,IRQ,2330,Al Attar  ,1
IRL,Ireland,IRL,2380,Kernan  ,10
ISR,Israel,ISR,2555,"Liberzon,V. ",45
ITA,Italy,ITA,2480,"Toth,B. ",36
JPN,Japan,JPN,2235,Karuda  ,3
LIB,Lebanon,LBN,2345,"Kouatly,B. ",2
LUX,Luxembourg,LUX,2295,"Schneider,R. ",6
MLT,Malta,MLT,2240,Attard  ,5
MEX,Mexico,MEX,2455,"Sisniega,M. ",16
MGL,Mongolia,MNG,2065,Handsuren  ,1
NED,Netherlands,NLD,2585,"Timman,J. ",43
NZL,New Zealand,NZL,2390,"Chandler,M. ",3
NCA,Nicaragua,NIC,2300,"Davila,E. ",3
NOR,Norway,NOR,2450,Zwaig  ,37
PAK,Pakistan,PAK,2335,"Farooqui,Z. ",2
PAR,Paraguay,PRY,2335,"Ferreira,O. ",4
PER,Peru,PER,2485,"Rodriguez,O. ",6
PHI,Philippines,PHL,2490,"Torre,E. ",25
POL,Poland,POL,2505,"Schmidt,W. ",74
POR,Portugal,PRT,2350,"Silva,F. ",5
SCO,United Kingdom,GBR,2405,Pritchett  ,12
ENG,United Kingdom,GBR,2565,"Miles,A. ",95
WLS,United Kingdom,GBR,2400,"Botterill,G.S. ",10
SIN,Singapore,SGP,2430,"Lim,S.H. ",4
ESP,Spain,ESP,2455,"Calvo Minguez,R. ",34
SWE,Sweden,SWE,2545,"Andersson,U. ",53
SUI,Switzerland,CHE,2665,"Kortchnoi,V. ",21
THA,Thailand,THA,2250,Sangadsup  ,2
TUN,Tunisia,TUN,2365,Bouaziz  ,2
TUR,Turkey,TUR,2335,Onat  ,4
USA,United States,USA,2570,"Kavalek,L. ",99
URU,Uruguay,URY,2415,Dienavorian  ,8
VEN,Venezuela,VEN,2370,"Palacios,A. ",8
