FED,name_FED,ISO3,rating,name,players
ALB,Albania,ALB,2445,"Muco,F. ",6
AND,Andorra,AND,2220,"Gomez,A. ",1
ANG,Angola,AGO,2210,"Gutierrez,A. ",2
ARG,Argentina,ARG,2510,Najdorf  ,86
AUS,Australia,AUS,2425,"Jamieson,R.M. ",21
AUT,Austria,AUT,2415,"Robatsch,K. ",51
BAN,Bangladesh,BGD,2305,"Murshed,",6
BEL,Belgium,BEL,2415,"Boey,J. ",14
BOL,Bolivia,BOL,2225,"Chavez,R. ",2
BRA,Brazil,BRA,2615,"Mecking,H. ",33
IVB,British Virgin Islands,VGB,2230,"Hook,W. ",2
BUL,Bulgaria,BGR,2505,"Radulov,I. ",126
CAN,Canada,CAN,2570,"Kupreichik,V. ",53
CHI,Chile,CHL,2445,"Morovic Fernandez,I. ",27
CHN,China,CHN,2420,Qi Jingxuan  ,17
COL,Colombia,COL,2435,"Cuartas,C. ",43
CRC,Costa Rica,CRI,2290,Rovira  ,8
CUB,Cuba,CUB,2495,"Nogueiras,J. ",72
CYP,Cyprus,CYP,2250,"Martidis,A. ",2
DEN,Denmark,DNK,2605,"Larsen,B. ",66
DOM,Dominican Republic,DOM,2330,"Abreu,J.D. ",10
ECU,Ecuador,ECU,2470,"Verduga,D. ",15
EGY,Egypt,EGY,2370,"Afifi,A.-A. ",2
ESA,El Salvador,SLV,2280,Grimaldi  ,2
FIN,Finland,FIN,2440,"Westerinen,H.M.J. ",32
FRA,France,FRA,2440,"Haik,A. ",44
GRE,Greece,GRC,2420,"Gesos,P. ",67
GUA,Guatemala,GTM,2310,"Perez,F.J. ",11
GCI,Guernsey,GGY,2270,Browning  ,2
GUY,Guyana,GUY,2225,"Broomes,G. ",2
HON,Honduras,HND,2260,"Lozano,T.R. ",2
HKG,Hong Kong,HKG,2365,"Kan,W.S. ",8
HUN,Hungary,HUN,2630,"Portisch,L. ",181
ISL,Iceland,ISL,2530,"Olafsson,F. ",44
IND,India,IND,2415,"Thipsay,P. ",29
INA,Indonesia,IDN,2395,"Ardiansyah,H. ",19
IRI,Iran,IRN,2465,"Shirazi,K. ",7
IRQ,Iraq,IRQ,2310,Al Attar  ,3
IRL,Ireland,IRL,2380,Kernan  ,18
ISR,Israel,ISR,2505,"Gruenfeld,Y. ",68
ITA,Italy,ITA,2455,"Mariotti,S. ",50
JPN,Japan,JPN,2315,Kuroda  ,6
LIB,Lebanon,LBN,2435,"Kouatly,B. ",3
LUX,Luxembourg,LUX,2295,"Schneider,R. ",10
MAS,Malaysia,MYS,2240,Liew  ,2
MLT,Malta,MLT,2215,"Camilleri,H. ",4
MEX,Mexico,MEX,2480,"Frey,K. ",73
MGL,Mongolia,MNG,2355,Tumurbator  ,5
NED,Netherlands,NLD,2655,"Timman,J. ",80
NZL,New Zealand,NZL,2470,"Chandler,M. ",14
NCA,Nicaragua,NIC,2310,"Pilarte,R. ",8
NOR,Norway,NOR,2485,"Ogaard,L. ",58
PAK,Pakistan,PAK,2295,"Mirza,Sh. ",6
PAN,Panama,PAN,2250,Paniagua  ,3
PAR,Paraguay,PRY,2505,"Franco,Z. ",5
PER,Peru,PER,2430,"Rodriguez,O. ",5
PHI,Philippines,PHL,2535,"Torre,E. ",37
POL,Poland,POL,2485,"Schmidt,W. ",164
POR,Portugal,PRT,2365,"Santos,J.P. ",16
PUR,Puerto Rico,PRI,2235,Balsinde  ,4
SCO,United Kingdom,GBR,2410,Pritchett  ,21
ENG,United Kingdom,GBR,2590,"Nun,Ji. ",141
WLS,United Kingdom,GBR,2400,"Botterill,G.S. ",11
SIN,Singapore,SGP,2440,"Lim,S.H. ",15
ESP,Spain,ESP,2475,"Diez Del Corral,J. ",69
SRI,Sri Lanka,LKA,2250,Goonetilleke  ,2
SWE,Sweden,SWE,2605,"Andersson,U. ",68
SUI,Switzerland,CHE,2645,"Kortchnoi,V. ",38
SYR,Syria,SYR,2310,"Hakki,I. ",5
THA,Thailand,THA,2310,"Sinprayoon,P. ",5
TUN,Tunisia,TUN,2355,Bouaziz  ,3
TUR,Turkey,TUR,2370,"Soylu,S. ",17
UAE,United Arab Emirates,ARE,2325,"Saeed,S.-A. ",2
USA,United States,USA,2590,"Kavalek,L. ",236
URU,Uruguay,URY,2265,Dienavorian  ,9
VEN,Venezuela,VEN,2380,"Ostos,J. ",13
