FED,name_FED,ISO3,rating,name,players
ARG,Argentina,ARG,2555,Quinteros  ,59
AUS,Australia,AUS,2430,"Jamieson,R.M. ",10
AUT,Austria,AUT,2435,"Robatsch,K. ",21
BEL,Belgium,BEL,2460,"O'Kelly,A. ",12
BOL,Bolivia,BOL,2205,"Ramirez,P. ",1
BRA,Brazil,BRA,2635,"Mecking,H. ",14
IVB,British Virgin Islands,VGB,2250,"Hook,W. ",1
BUL,Bulgaria,BGR,2500,"Radulov,I. ",82
CAN,Canada,CAN,2470,Suttles  ,23
CHI,Chile,CHL,2400,"Donoso Velasco,P. ",17
COL,Colombia,COL,2450,"Gonzales,J.A. ",20
CRC,Costa Rica,CRI,2290,Rovira  ,4
CUB,Cuba,CUB,2485,"Garcia Gonzales,G. ",44
DEN,Denmark,DNK,2615,"Larsen,B. ",50
DOM,Dominican Republic,DOM,2300,"Carrion,M. ",5
ECU,Ecuador,ECU,2385,"Yepez,O. ",7
ESA,El Salvador,SLV,2215,"Pineda,B. ",1
FIN,Finland,FIN,2430,Poutiainen  ,19
FRA,France,FRA,2410,"Todorcevic,M. ",17
GRE,Greece,GRC,2360,"Koifman,I. ",12
GUA,Guatemala,GTM,2205,"Perez,F.J. ",1
GCI,Guernsey,GGY,2270,Browning  ,2
HON,Honduras,HND,2230,"Lozano,T.R. ",2
HKG,Hong Kong,HKG,2340,"Kan,W.S. ",1
HUN,Hungary,HUN,2625,"Portisch,L. ",86
ISL,Iceland,ISL,2560,"Olafsson,F. ",35
IND,India,IND,2295,"Aaron,M. ",3
INA,Indonesia,IDN,2350,"Suradiradja,H. ",8
IRI,Iran,IRN,2375,"Harandi,K. ",5
IRL,Ireland,IRL,2330,"Henry,P. ",11
ISR,Israel,ISR,2550,"Liberzon,V. ",41
ITA,Italy,ITA,2490,"Mariotti,S. ",33
JPN,Japan,JPN,2235,Karuda  ,3
LIB,Lebanon,LBN,2340,"Kouatly,B. ",3
LUX,Luxembourg,LUX,2295,"Schneider,R. ",6
MLT,Malta,MLT,2250,Attard  ,4
MEX,Mexico,MEX,2390,De Winter  ,13
MNC,Monaco,MCO,1820,Cellario  ,1
MGL,Mongolia,MNG,2385,"Ujtumen,T. ",5
NED,Netherlands,NLD,2590,"Timman,J. ",46
NZL,New Zealand,NZL,2385,"Chandler,M. ",5
NCA,Nicaragua,NIC,2300,"Davila,E. ",3
NOR,Norway,NOR,2450,Zwaig  ,29
PAK,Pakistan,PAK,2325,"Farooqui,Z. ",5
PAN,Panama,PAN,2205,Fabrega  ,1
PAR,Paraguay,PRY,2315,"Franco,Z. ",4
PER,Peru,PER,2450,"Rodriguez,O. ",5
PHI,Philippines,PHL,2550,"Torre,E. ",25
POL,Poland,POL,2490,"Schmidt,W. ",65
POR,Portugal,PRT,2350,"Silva,F. ",8
PUR,Puerto Rico,PRI,2290,"Colon,A. ",6
SCO,United Kingdom,GBR,2425,Pritchett  ,11
ENG,United Kingdom,GBR,2555,"Miles,A. ",70
WLS,United Kingdom,GBR,2380,"Williams,A.H. ",9
SIN,Singapore,SGP,2365,"Tomalczyk,T. ",7
RSA,South Africa,ZAF,2330,Kroon  ,3
ESP,Spain,ESP,2490,"Diez Del Corral,J. ",32
SWE,Sweden,SWE,2565,"Andersson,U. ",52
SUI,Switzerland,CHE,2645,"Kortchnoi,V. ",20
SYR,Syria,SYR,2230,Rifa  ,1
THA,Thailand,THA,2250,Sangadsup  ,2
TUN,Tunisia,TUN,2355,Bouaziz  ,3
TUR,Turkey,TUR,2335,Onat  ,6
USA,United States,USA,2580,"Byrne,R. ",80
URU,Uruguay,URY,2360,Dienavorian  ,7
VEN,Venezuela,VEN,2340,"Sanchez,C. ",9
