FED,name_FED,ISO3,rating,name,players
LIB,Lebanon,LBN,2245,"Khechen,N.E. ",4
LBA,Libya,LBY,2205,"Amer,M. ",4
LUX,Luxembourg,LUX,2395,"Piasetski,L. ",7
MAS,Malaysia,MYS,2415,Liew  ,22
MLI,Mali,MLI,2205,"Houna,M. ",4
MLT,Malta,MLT,2365,"Borg,G. ",4
MRI,Mauritius,MUS,2205,"Mansoor,J. ",2
MEX,Mexico,MEX,2455,"Sisniega,M. ",48
MNC,Monaco,MCO,2205,"Caruhana,M. ",3
MGL,Mongolia,MNG,2415,"Tumurhuyag,N. ",9
MAR,Morocco,MAR,2250,"Rian,M. ",3
NED,Netherlands,NLD,2590,"Timman,J. ",102
NZL,New Zealand,NZL,2410,"Ker,A. ",18
NCA,Nicaragua,NIC,2400,"Canda,D. ",7
NGR,Nigeria,NGA,2225,"Omuku,E. ",4
NOR,Norway,NOR,2560,"Agdestein,S. ",47
PAK,Pakistan,PAK,2375,"Khan,Mohd.I. ",15
PLE,Palestine,PSE,2205,Abuchamala  ,4
PAN,Panama,PAN,2285,Paniagua  ,6
PNG,Papua New Guinea,PNG,2205,Conejares  ,4
PAR,Paraguay,PRY,2440,"Franco,Z. ",6
PER,Peru,PER,2555,"Granda Zuniga,J.E. ",5
PHI,Philippines,PHL,2540,"Torre,E. ",30
POL,Poland,POL,2470,"Schmidt,Wl. ",304
POR,Portugal,PRT,2405,"Antunes,A. ",22
PUR,Puerto Rico,PRI,2260,"Freyre,J. ",11
QAT,Qatar,QAT,2205,"Abumouza,A. ",2
SMR,San Marino,SMR,2205,Magalotti  ,2
SCO,United Kingdom,GBR,2425,"Motwani,P. ",25
ENG,United Kingdom,GBR,2615,"Short,N.D. ",142
WLS,United Kingdom,GBR,2380,"Cooper,J.G. ",14
SEN,Senegal,SEN,2205,"Gueye,G. ",2
SIN,Singapore,SGP,2435,Leow  ,20
ESP,Spain,ESP,2505,"Illescas Cordoba,M. ",79
SRI,Sri Lanka,LKA,2385,"Aturupane,Harsha  ",10
SUD,Sudan,SDN,2205,"Hamadto,F. ",3
SUR,Suriname,SUR,2220,"Lindeboom,J. ",4
SWE,Sweden,SWE,2600,"Andersson,U. ",84
SUI,Switzerland,CHE,2625,"Kortchnoi,V. ",63
SYR,Syria,SYR,2355,"Shadarevian,M. ",8
THA,Thailand,THA,2332,Chaivichit  ,8
TUN,Tunisia,TUN,2370,Bouaziz  ,5
TUR,Turkey,TUR,2375,"Atalik,S. ",16
UGA,Uganda,UGA,2205,"Bwanika,D. ",3
UAE,United Arab Emirates,ARE,2435,"Saeed,S.-A. ",10
USA,United States,USA,2595,"Seirawan,Y. ",325
URU,Uruguay,URY,2305,"Kurtic,I. ",12
ISV,US Virgin Islands,VIR,2310,"Van Tilbury,C. ",1
VEN,Venezuela,VEN,2355,Guerra J. ,10
YEM,Yemen,YEM,2205,"Alsharfi,S.S. ",4
ZAM,Zambia,ZMB,2205,"Kalunga,W. ",2
ZIM,Zimbabwe,ZWE,2235,"Kyriakides,S. ",6
