FED,name_FED,ISO3,rating,name,players
ALB,Albania,ALB,2435,"Muco,F. ",6
ALG,Algeria,DZA,2265,"Bammoune,A.-E. ",6
AND,Andorra,AND,2250,"Garcia,Raul  ",3
ANG,Angola,AGO,2205,"Andrade,M. ",4
ARG,Argentina,ARG,2550,"Campora,D.H. ",130
AUS,Australia,AUS,2525,"Rogers,I. ",33
AUT,Austria,AUT,2465,"Klinger,J. ",86
BAH,Bahamas,BHS,2205,"Gibson,F. ",1
BRN,Bahrain,BHR,2205,"Aigasra,A. ",4
BAN,Bangladesh,BGD,2450,"Murshed,",13
BAR,Barbados,BRB,2295,"Buckmire,R. ",4
BEL,Belgium,BEL,2415,"Winants,L. ",44
BER,Bermuda,BMU,2215,"Harris,D.J.E. ",4
BOL,Bolivia,BOL,2320,"Berrocal,J. ",4
BOT,Botswana,BWA,2205,"Jones,R. ",2
BRA,Brazil,BRA,2500,"Sunye-Neto,J. ",46
IVB,British Virgin Islands,VGB,2220,"Jarecki,J. ",2
BRU,Brunei,BRN,2205,"Ali,I. ",2
BUL,Bulgaria,BGR,2590,"Georgiev,Kir. ",153
CAN,Canada,CAN,2550,"Spraggett,K. ",58
CHI,Chile,CHL,2525,"Morovic F,I. ",29
CHN,China,CHN,2495,"Xu,Jun  ",16
COL,Colombia,COL,2505,"Zapata,A. ",29
CRC,Costa Rica,CRI,2350,"Charpentier,W. ",6
CUB,Cuba,CUB,2565,"Nogueiras,J. ",94
CYP,Cyprus,CYP,2255,"Martidis,A. ",6
DEN,Denmark,DNK,2565,"Larsen,B. ",64
DOM,Dominican Republic,DOM,2405,"Liao,Y.E. ",12
ECU,Ecuador,ECU,2395,"Matamoros,C.S. ",10
EGY,Egypt,EGY,2375,"Afifi,A.-A. ",10
ESA,El Salvador,SLV,2285,Grimaldi  ,4
FAI,Faroe Islands,FRO,2370,"Rodgaard,J. ",2
FIJ,Fiji,FJI,2205,"Singh,J. ",1
FIN,Finland,FIN,2415,"Yrjola,J. ",41
FRA,France,FRA,2470,"Haik,A. ",97
GAM,Gambia,GMB,2205,"Jallow,A. ",2
GHA,Ghana,GHA,2205,Anquandah  ,3
GRE,Greece,GRC,2575,"Vazoura,E. ",72
GUA,Guatemala,GTM,2340,"Juarez Flores,C.A. ",8
GCI,Guernsey,GGY,2285,"Le Blancq,S. ",3
HAI,Haiti,HTI,2205,"Laroche,G. ",4
HON,Honduras,HND,2305,"Guillen,R.J. ",6
HKG,Hong Kong,HKG,2360,"Jhunjhnuwala,K. ",8
HUN,Hungary,HUN,2610,"Portisch,L. ",318
ISL,Iceland,ISL,2550,"Olafsson,H. ",46
IND,India,IND,2500,"Anand,V. ",66
INA,Indonesia,IDN,2480,"Adianto,U. ",25
IRQ,Iraq,IRQ,2250,"Hermiz,A. ",10
IRL,Ireland,IRL,2340,"Orr,M.J.L. ",18
ISR,Israel,ISR,2535,"Gruenfeld,Y. ",88
ITA,Italy,ITA,2445,"Braga,F. ",77
JAM,Jamaica,JAM,2255,"Matthews,S. ",6
JPN,Japan,JPN,2210,"Takemoto,H. ",8
JOR,Jordan,JOR,2225,"Rimawi,B.T. ",4
KEN,Kenya,KEN,2245,"Kanani,S. ",4
