FED,name_FED,ISO3,rating,name,players
ALB,Albania,ALB,2430,"Muco,F. ",5
ALG,Algeria,DZA,2200,"Benhadi,M. ",1
ANG,Angola,AGO,2210,"Gutierrez,A. ",1
ARG,Argentina,ARG,2515,"Panno,O. ",135
AUS,Australia,AUS,2475,"Johansen,D.K. ",28
AUT,Austria,AUT,2455,"Herzog,A. ",61
BAN,Bangladesh,BGD,2410,"Murshed,",8
BEL,Belgium,BEL,2405,"Boey,J. ",21
BER,Bermuda,BMU,2330,"Harris,D.J.E. ",1
BRA,Brazil,BRA,2470,"Sunye Neto,J. ",30
IVB,British Virgin Islands,VGB,2235,"Jarecki,J. ",2
BUL,Bulgaria,BGR,2490,"Donchev,D. ",113
CAN,Canada,CAN,2550,"Ivanov,I.V. ",56
CHI,Chile,CHL,2435,"Morovic Fernandez,I. ",20
CHN,China,CHN,2455,"Ye,Jiangchuan  ",21
COL,Colombia,COL,2470,"Zapata,A. ",36
CRC,Costa Rica,CRI,2330,"Charpentier,W. ",7
CUB,Cuba,CUB,2515,"Garcia Gonzales,G. ",72
CYP,Cyprus,CYP,2320,"Martidis,A. ",2
DEN,Denmark,DNK,2565,"Larsen,B. ",53
DOM,Dominican Republic,DOM,2405,"Mateo,R. ",6
ECU,Ecuador,ECU,2435,"Verduga,D. ",5
EGY,Egypt,EGY,2350,"Afifi,A.-A. ",6
ESA,El Salvador,SLV,2365,"Camacho,R. ",2
FAI,Faroe Islands,FRO,2205,Midjord  ,1
FIN,Finland,FIN,2515,"Yrjola,J. ",34
FRA,France,FRA,2420,"Andruet,G. ",66
GRE,Greece,GRC,2420,"Gesos,P. ",86
GUA,Guatemala,GTM,2310,"Juarez Flores,C.A. ",10
GUY,Guyana,GUY,2210,"Broomes,M. ",1
HKG,Hong Kong,HKG,2350,"Shui,K.W. ",11
HUN,Hungary,HUN,2625,"Portisch,L. ",184
ISL,Iceland,ISL,2500,"Arnason,J. ",41
IND,India,IND,2460,"Barua,D. ",45
INA,Indonesia,IDN,2450,"Ardiansyah,H. ",21
IRI,Iran,IRN,2470,"Shirazi,K. ",3
IRL,Ireland,IRL,2315,"Dunne,D. ",8
ISR,Israel,ISR,2480,"Gutman,L. ",80
ITA,Italy,ITA,2445,"Mariotti,S. ",42
JAM,Jamaica,JAM,2205,"Powell,J. ",2
JPN,Japan,JPN,2330,Kuroda  ,7
JOR,Jordan,JOR,2205,"Bukhari,M. ",1
KUW,Kuwait,KWT,2205,Al-Bashir  ,3
LIB,Lebanon,LBN,2425,"Kouatly,B. ",4
LUX,Luxembourg,LUX,2235,Blaeser  ,7
MAS,Malaysia,MYS,2365,Liew  ,13
MLT,Malta,MLT,2205,Azzopardi  ,4
MEX,Mexico,MEX,2465,"Sisniega,M. ",70
MNC,Monaco,MCO,2215,"Girault,E. ",1
MGL,Mongolia,MNG,2345,"Churelbaatar,C. ",7
NED,Netherlands,NLD,2610,"Timman,J. ",92
NZL,New Zealand,NZL,2330,"Small,V. ",16
NCA,Nicaragua,NIC,2315,"Canda,D. ",14
NGR,Nigeria,NGA,2205,"Agusto,O. ",1
NOR,Norway,NOR,2465,"Ogaard,L. ",42
PAK,Pakistan,PAK,2290,"Mirza,Sh. ",7
PAN,Panama,PAN,2245,Paniagua  ,1
PAR,Paraguay,PRY,2480,"Franco,Z. ",5
PER,Peru,PER,2415,"Granda Zuniga,J.E. ",5
PHI,Philippines,PHL,2565,"Torre,E. ",28
POL,Poland,POL,2485,"Schmidt,Wl. ",260
POR,Portugal,PRT,2350,"Fernandes,An.M. ",19
PUR,Puerto Rico,PRI,2260,"Santa Torre,J. ",3
SCO,United Kingdom,GBR,2395,Pritchett  ,24
ENG,United Kingdom,GBR,2600,"Nun,Ji. ",124
WLS,United Kingdom,GBR,2395,"Williams,A.H. ",11
SIN,Singapore,SGP,2415,"Tomalczyk,T. ",12
ESP,Spain,ESP,2500,"Rivas Pastor,M. ",62
SRI,Sri Lanka,LKA,2435,"Aturupane,Harsha  ",8
SWE,Sweden,SWE,2630,"Andersson,U. ",58
SUI,Switzerland,CHE,2635,"Kortchnoi,V. ",52
SYR,Syria,SYR,2335,"Kassabe,E. ",7
THA,Thailand,THA,2300,Chaivichit  ,10
TUN,Tunisia,TUN,2390,Bouaziz  ,5
TUR,Turkey,TUR,2390,"Soylu,S. ",25
UAE,United Arab Emirates,ARE,2390,"Saeed,S.-A. ",2
USA,United States,USA,2585,"Browne,W.S. ",261
URU,Uruguay,URY,2295,"Kurtic,I. ",9
ISV,US Virgin Islands,VIR,2210,"Van Tilbury,C. ",1
VEN,Venezuela,VEN,2375,"Fernandez,A. ",9
YEM,Yemen,YEM,2205,"Al-Bouni,Y. ",1
