FED,name_FED,ISO3,rating,name,players
ARG,Argentina,ARG,2545,"Panno,O. ",71
AUS,Australia,AUS,2425,"Jamieson,R.M. ",11
AUT,Austria,AUT,2435,"Robatsch,K. ",30
BEL,Belgium,BEL,2420,"O'Kelly,A. ",11
BOL,Bolivia,BOL,2210,Zarco  ,3
BRA,Brazil,BRA,2415,"Trois,F. ",19
IVB,British Virgin Islands,VGB,2240,"Hook,W. ",1
BUL,Bulgaria,BGR,2495,"Ermenkov,E. ",103
CAN,Canada,CAN,2485,"Biyiasas,P. ",30
CHI,Chile,CHL,2435,"Donoso Velasco,P. ",26
CHN,China,CHN,2415,Qi Jingxuan  ,9
COL,Colombia,COL,2430,"Castro,O. ",26
CRC,Costa Rica,CRI,2290,Rovira  ,4
CUB,Cuba,CUB,2500,"Hernandez,Rom. ",59
DEN,Denmark,DNK,2620,"Larsen,B. ",54
DOM,Dominican Republic,DOM,2340,"Abreu,J.D. ",6
ECU,Ecuador,ECU,2390,"Yepez,O. ",13
ESA,El Salvador,SLV,2345,Grimaldi  ,3
FIN,Finland,FIN,2465,"Westerinen,H.M.J. ",23
FRA,France,FRA,2435,"Haik,A. ",23
GRE,Greece,GRC,2405,"Gesos,P. ",20
GUA,Guatemala,GTM,2215,De Leon  ,2
GCI,Guernsey,GGY,2270,Browning  ,2
GUY,Guyana,GUY,2210,"Broomes,G. ",1
HON,Honduras,HND,2260,"Lozano,T.R. ",2
HKG,Hong Kong,HKG,2340,"Kan,W.S. ",2
HUN,Hungary,HUN,2640,"Portisch,L. ",99
ISL,Iceland,ISL,2555,"Olafsson,F. ",41
IND,India,IND,2360,"Thipsay,P. ",12
INA,Indonesia,IDN,2390,"Bachtiar,A. ",10
IRI,Iran,IRN,2445,Sharif  ,7
IRL,Ireland,IRL,2400,"Henry,P. ",16
ISR,Israel,ISR,2595,"Dzindzichashvili,R. ",45
ITA,Italy,ITA,2485,"Mariotti,S. ",37
JPN,Japan,JPN,2235,Karuda  ,4
LIB,Lebanon,LBN,2335,"Kouatly,B. ",3
LUX,Luxembourg,LUX,2295,"Schneider,R. ",6
MLT,Malta,MLT,2240,Attard  ,5
MEX,Mexico,MEX,2405,"Frey,K. ",22
MNC,Monaco,MCO,1900,Fassler  ,2
MGL,Mongolia,MNG,2385,"Ujtumen,T. ",4
NED,Netherlands,NLD,2625,"Timman,J. ",53
NZL,New Zealand,NZL,2380,"Chandler,M. ",7
NCA,Nicaragua,NIC,2300,"Davila,E. ",3
NOR,Norway,NOR,2450,Zwaig  ,40
PAK,Pakistan,PAK,2325,"Farooqui,Z. ",5
PAN,Panama,PAN,2225,Fabrega  ,2
PAR,Paraguay,PRY,2360,"Franco,Z. ",5
PER,Peru,PER,2495,"Rodriguez,O. ",6
PHI,Philippines,PHL,2520,"Torre,E. ",26
POL,Poland,POL,2495,"Kuligowski,A. ",96
POR,Portugal,PRT,2360,"Silva,F. ",8
PUR,Puerto Rico,PRI,2230,Fryre  ,3
SCO,United Kingdom,GBR,2405,Pritchett  ,15
ENG,United Kingdom,GBR,2560,"Miles,A. ",104
WLS,United Kingdom,GBR,2395,"Williams,A.H. ",11
SIN,Singapore,SGP,2440,"Lim,S.H. ",9
RSA,South Africa,ZAF,2330,Kroon  ,2
ESP,Spain,ESP,2485,"Diez Del Corral,J. ",40
SWE,Sweden,SWE,2560,"Andersson,U. ",60
SUI,Switzerland,CHE,2695,"Kortchnoi,V. ",25
SYR,Syria,SYR,2255,"Hakki,I. ",3
THA,Thailand,THA,2250,Sangadsup  ,2
TUN,Tunisia,TUN,2420,Bouaziz  ,3
TUR,Turkey,TUR,2365,Onat  ,8
USA,United States,USA,2590,"Kavalek,L. ",127
URU,Uruguay,URY,2310,Dienavorian  ,10
ISV,US Virgin Islands,VIR,2350,Van Vliet  ,1
VEN,Venezuela,VEN,2360,"Ostos,J. ",10
