FED,name_FED,ISO3,rating,name,players
ALB,Albania,ALB,2440,"Muco,F. ",6
ALG,Algeria,DZA,2380,"Boudiba,N. ",7
AND,Andorra,AND,2245,"Garcia,Rau. ",2
ANG,Angola,AGO,2260,"Mateus,M. ",1
ARG,Argentina,ARG,2520,"Campora,D.H. ",217
AUS,Australia,AUS,2515,"Rogers,I. ",47
AUT,Austria,AUT,2480,"Fauland,A. ",150
BAH,Bahamas,BHS,2205,"Gibson,F. ",1
BRN,Bahrain,BHR,2255,"Alghasra,A. ",3
BAN,Bangladesh,BGD,2475,"Murshed,N. ",12
BAR,Barbados,BRB,2305,"Buckmire,R. ",6
BEL,Belgium,BEL,2455,"Winants,L. ",57
BER,Bermuda,BMU,2215,"Harris,De.J.E. ",3
BOL,Bolivia,BOL,2325,"Guzman,E. ",5
BOT,Botswana,BWA,2235,"Hutcheson,J. ",2
BRA,Brazil,BRA,2530,"Milos,G. ",58
IVB,British Virgin Islands,VGB,2270,Senkiewicz  ,4
BRU,Brunei,BRN,2205,"Ali,I. ",2
BUL,Bulgaria,BGR,2605,"Georgiev,Ki. ",220
CAN,Canada,CAN,2555,"Spraggett,K. ",70
CHI,Chile,CHL,2535,"Morovic Fernandez,I. ",44
CHN,China,CHN,2530,"Ye,Jiangchuan  ",32
COL,Colombia,COL,2480,"Zapata,A. ",38
CRC,Costa Rica,CRI,2330,"Charpentier,W. ",10
CUB,Cuba,CUB,2555,"Nogueiras,J. ",133
CYP,Cyprus,CYP,2300,"Martidis,A. ",4
DEN,Denmark,DNK,2570,"Hansen,Cu. ",99
DOM,Dominican Republic,DOM,2430,"Mateo,R. ",15
ECU,Ecuador,ECU,2420,"Matamoros,C.S. ",10
EGY,Egypt,EGY,2405,"Afifi,A. ",16
ESA,El Salvador,SLV,2255,"Grimaldi,R.A. ",3
FAI,Faroe Islands,FRO,2360,"Rodgaard,J. ",2
FIN,Finland,FIN,2495,"Yrjola,J. ",65
FRA,France,FRA,2560,"Spassky,B.V. ",174
GAM,Gambia,GMB,2205,"Jallow,A. ",2
GHA,Ghana,GHA,2205,Anquandah  ,3
GRE,Greece,GRC,2500,"Kotronias,V. ",92
GUA,Guatemala,GTM,2375,"Juarez Flores,C.A. ",9
GCI,Guernsey,GGY,2265,"Le Blancq,S. ",3
HAI,Haiti,HTI,2210,Martineau  ,2
HON,Honduras,HND,2330,"Guillen R,J. ",6
HKG,Hong Kong,HKG,2340,"Jhunjhnuwala,K. ",12
HUN,Hungary,HUN,2605,"Portisch,L. ",445
ISL,Iceland,ISL,2575,"Olafsson,H. ",56
IND,India,IND,2555,"Anand,V. ",112
INA,Indonesia,IDN,2525,"Adianto,U. ",27
IRQ,Iraq,IRQ,2330,"Samer,I.M. ",12
IRL,Ireland,IRL,2375,"Orr,M.J.L. ",24
ISR,Israel,ISR,2530,"Greenfeld,A. ",111
ITA,Italy,ITA,2480,"Braga,F. ",124
JAM,Jamaica,JAM,2265,"Matthews,S. ",5
JPN,Japan,JPN,2280,"Pineau,J. ",8
JOR,Jordan,JOR,2230,"Rimawi,B.T. ",2
KEN,Kenya,KEN,2245,"Kanani,S. ",4
KUW,Kuwait,KWT,2245,"Al-Othman,A.W. ",2
LIB,Lebanon,LBN,2260,"Sursock,S. ",7
LBA,Libya,LBY,2205,"Amer,M. ",5
LIE,Liechtenstein,LIE,2205,"Schadler,M. ",1
LUX,Luxembourg,LUX,2315,"David,Al. ",8
MAS,Malaysia,MYS,2355,"Liew,Ch.-M.-J. ",21
MLI,Mali,MLI,2205,"Houna,M. ",4
