FED,name_FED,ISO3,rating,name,players
ALB,Albania,ALB,2435,"Muco,F. ",6
ALG,Algeria,DZA,2205,"Chaourar,N.-E. ",4
AND,Andorra,AND,2235,"Garcia,Raul  ",4
ANG,Angola,AGO,2225,"Nascimento,A. ",2
ARG,Argentina,ARG,2550,"Garcia Palermo,C. ",134
AUS,Australia,AUS,2515,"Rogers,I. ",37
AUT,Austria,AUT,2445,"Klinger,J. ",73
BRN,Bahrain,BHR,2205,"Rasheed,A. ",1
BAN,Bangladesh,BGD,2415,"Murshed,",12
BAR,Barbados,BRB,2280,"Buckmire,R. ",1
BEL,Belgium,BEL,2390,"Boey,J. ",39
BER,Bermuda,BMU,2220,"Harris,D.J.E. ",2
BOL,Bolivia,BOL,2250,"Chavez,R. ",1
BOT,Botswana,BWA,2205,"Hamley,P. ",1
BRA,Brazil,BRA,2480,"Sunye Neto,J. ",43
IVB,British Virgin Islands,VGB,2220,"Jarecki,J. ",2
BUL,Bulgaria,BGR,2545,"Georgiev,Kir. ",140
CAN,Canada,CAN,2535,"Spraggett,K. ",58
CHI,Chile,CHL,2495,"Morovic Fernandez,I. ",29
CHN,China,CHN,2490,Qi Jingxuan  ,21
COL,Colombia,COL,2515,"Zapata,A. ",22
CRC,Costa Rica,CRI,2335,"Charpentier,W. ",6
CUB,Cuba,CUB,2570,"Nogueiras,J. ",92
CYP,Cyprus,CYP,2235,"Martidis,A. ",4
DEN,Denmark,DNK,2575,"Larsen,B. ",61
DOM,Dominican Republic,DOM,2395,"Mateo,R. ",8
ECU,Ecuador,ECU,2420,"Moran,B. ",7
EGY,Egypt,EGY,2350,"Afifi,A.-A. ",8
ESA,El Salvador,SLV,2365,"Camacho,R. ",3
FAI,Faroe Islands,FRO,2350,"Rodgaard,J. ",5
FIN,Finland,FIN,2440,"Yrjola,J. ",38
FRA,France,FRA,2475,"Haik,A. ",82
GRE,Greece,GRC,2425,"Makropoulos,G. ",75
GUA,Guatemala,GTM,2300,"Juarez Flores,C.A. ",8
GCI,Guernsey,GGY,2410,"Le Blancq,S. ",1
HKG,Hong Kong,HKG,2350,"Jhunjhnuwala,K. ",11
HUN,Hungary,HUN,2610,"Portisch,L. ",269
ISL,Iceland,ISL,2545,"Olafsson,H. ",43
IND,India,IND,2485,"Thipsay,P. ",59
INA,Indonesia,IDN,2440,"Gunawan,Ro. ",26
IRI,Iran,IRN,2430,"Shirazi,K. ",1
IRQ,Iraq,IRQ,2210,Mahdi  ,4
IRL,Ireland,IRL,2330,"Orr,M.J.L. ",13
ISR,Israel,ISR,2535,"Gruenfeld,Y. ",88
ITA,Italy,ITA,2445,"Mariotti,S. ",58
JAM,Jamaica,JAM,2205,"Cameron,F. ",3
JPN,Japan,JPN,2330,Kuroda  ,8
JOR,Jordan,JOR,2205,"Kilani,Z. ",1
KEN,Kenya,KEN,2245,"Kanani,S. ",3
LIB,Lebanon,LBN,2255,"Khechen,N.E. ",7
LUX,Luxembourg,LUX,2235,"Feller,J. ",4
MAS,Malaysia,MYS,2385,Liew  ,20
MLT,Malta,MLT,2385,"Borg,G. ",4
MEX,Mexico,MEX,2470,"Sisniega,M. ",47
MNC,Monaco,MCO,2215,"Girault,E. ",4
MGL,Mongolia,MNG,2375,"Tumurhuyag,N. ",9
MAR,Morocco,MAR,2220,"Abdullah,A.H. ",1
NED,Netherlands,NLD,2645,"Timman,J. ",97
NZL,New Zealand,NZL,2360,"Small,V. ",19
NCA,Nicaragua,NIC,2375,"Canda,D. ",8
NGR,Nigeria,NGA,2245,"Omuku,E. ",2
NOR,Norway,NOR,2535,"Agdestein,S. ",52
PAK,Pakistan,PAK,2375,"Khan,Mohan.O. ",16
PAN,Panama,PAN,2285,Paniagua  ,2
PNG,Papua New Guinea,PNG,2205,Fancy  ,5
PAR,Paraguay,PRY,2460,"Franco,Z. ",6
PER,Peru,PER,2440,"Rodriguez,O. ",4
PHI,Philippines,PHL,2525,"Torre,E. ",25
POL,Poland,POL,2450,"Schmidt,Wl. ",283
POR,Portugal,PRT,2455,"Antunes,A. ",20
PUR,Puerto Rico,PRI,2290,"Torres,L. ",7
SCO,United Kingdom,GBR,2425,"Condie,M.L. ",26
ENG,United Kingdom,GBR,2610,"Miles,A.J. ",139
WLS,United Kingdom,GBR,2395,"Botterill,G.S. ",14
SEN,Senegal,SEN,2205,"Sargos,P. ",1
SIN,Singapore,SGP,2440,Leow  ,20
ESP,Spain,ESP,2470,"Rivas Pastor,M. ",71
SRI,Sri Lanka,LKA,2390,"Aturupane,Harsha  ",7
SUR,Suriname,SUR,2220,"Lindeboom,J. ",5
SWE,Sweden,SWE,2585,"Andersson,U. ",79
SUI,Switzerland,CHE,2635,"Kortchnoi,V. ",60
SYR,Syria,SYR,2325,Beitar  ,6
THA,Thailand,THA,2305,Chaivichit  ,7
TUN,Tunisia,TUN,2380,"Bouaziz,S. ",7
TUR,Turkey,TUR,2370,"Yilmaz,T. ",22
UGA,Uganda,UGA,2210,"Zabasajja,W. ",3
UAE,United Arab Emirates,ARE,2435,"Saeed,S.-A. ",6
USA,United States,USA,2605,"Seirawan,Y. ",297
URU,Uruguay,URY,2315,"Roselli M, B. ",9
ISV,US Virgin Islands,VIR,2310,"Van Tilbury,C. ",2
VEN,Venezuela,VEN,2365,"Ostos,J. ",8
YEM,Yemen,YEM,2205,"Al-Bouni,Y. ",1
ZAM,Zambia,ZMB,2205,Kafumbe  ,1
ZIM,Zimbabwe,ZWE,2235,"Kyriakides,S. ",3
