FED,name_FED,ISO3,rating,name,players
ALB,Albania,ALB,2440,"Muller,W. ",5
ARG,Argentina,ARG,2545,"Panno,O. ",50
AUS,Australia,AUS,2470,Woodhams  ,8
AUT,Austria,AUT,2455,"Robatsch,K. ",17
BEL,Belgium,BEL,2445,"O'Kelly,A. ",8
BOL,Bolivia,BOL,2205,Aliaga  ,1
BRA,Brazil,BRA,2610,"Mecking,H. ",19
BUL,Bulgaria,BGR,2510,"Radulov,I. ",69
CAN,Canada,CAN,2460,"Kupreichik,V. ",18
CHI,Chile,CHL,2380,"Donoso Velasco,P. ",16
CHN,China,CHN,2250,"Torres,L. ",2
COL,Colombia,COL,2405,"Cuartas,C. ",15
CRC,Costa Rica,CRI,2295,Rovira  ,1
CUB,Cuba,CUB,2485,"Garcia Gonzales,G. ",30
DEN,Denmark,DNK,2625,"Larsen,B. ",30
DOM,Dominican Republic,DOM,2280,Juliao  ,4
ECU,Ecuador,ECU,2370,"Yepez,O. ",5
FAI,Faroe Islands,FRO,2205,Midjord  ,1
FIN,Finland,FIN,2475,"Westerinen,H.M.J. ",14
FRA,France,FRA,2410,"Seret,J.-L. ",14
GRE,Greece,GRC,2345,Siaperas  ,7
HKG,Hong Kong,HKG,2380,"Kan,W.S. ",1
HUN,Hungary,HUN,2635,"Portisch,L. ",79
ISL,Iceland,ISL,2535,"Olafsson,F. ",26
IND,India,IND,2380,"Hassan,M. ",3
INA,Indonesia,IDN,2370,Suwuh  ,10
IRI,Iran,IRN,2360,"Harandi,K. ",4
IRL,Ireland,IRL,2330,"Henry,P. ",9
ISR,Israel,ISR,2485,"Liberzon,V. ",23
ITA,Italy,ITA,2495,"Mariotti,S. ",19
JPN,Japan,JPN,2250,Miyasaka  ,3
LIB,Lebanon,LBN,2230,"Loheac-Amoun,F. ",3
LUX,Luxembourg,LUX,2310,"Schneider,R. ",3
MLT,Malta,MLT,2210,"Camilleri,H. ",1
MEX,Mexico,MEX,2340,"Campos Lopez,M. ",6
MNC,Monaco,MCO,1820,Cellario  ,1
MGL,Mongolia,MNG,2385,"Ujtumen,T. ",9
NED,Netherlands,NLD,2510,"Timman,J. ",48
NZL,New Zealand,NZL,2350,"Wade,R.G. ",6
NOR,Norway,NOR,2475,Zwaig  ,22
PAK,Pakistan,PAK,2350,"Farooqui,Z. ",4
PAN,Panama,PAN,2205,Fabrega  ,1
PER,Peru,PER,2435,"Rodriguez,O. ",5
PHI,Philippines,PHL,2515,"Torre,E. ",19
POL,Poland,POL,2465,"Schmidt,W. ",46
POR,Portugal,PRT,2350,"Durao,J. ",5
PUR,Puerto Rico,PRI,2290,"Colon,A. ",4
SCO,United Kingdom,GBR,2390,Pritchett  ,8
ENG,United Kingdom,GBR,2505,"Keene,R. ",39
WLS,United Kingdom,GBR,2415,"Williams,A.H. ",6
SIN,Singapore,SGP,2360,"Tomalczyk,T. ",7
RSA,South Africa,ZAF,2370,Kroon  ,3
ESP,Spain,ESP,2515,"Diez Del Corral,J. ",21
SWE,Sweden,SWE,2565,"Andersson,U. ",40
SUI,Switzerland,CHE,2665,"Kortchnoi,V. ",25
SYR,Syria,SYR,2230,Rifa  ,1
TUN,Tunisia,TUN,2350,"Belkadi,R. ",5
TUR,Turkey,TUR,2340,Onat  ,6
USA,United States,USA,2780,"Fischer,R. ",52
URU,Uruguay,URY,2255,Maiztequi  ,3
VEN,Venezuela,VEN,2385,"Sanchez,C. ",5
