FED,name_FED,ISO3,rating,name,players
ALB,Albania,ALB,2415,"Muco,F. ",6
ALG,Algeria,DZA,2205,Bemmoune  ,7
AND,Andorra,AND,2320,"Garcia,Raul  ",5
ANG,Angola,AGO,2205,"Ferreira,R. ",3
ARG,Argentina,ARG,2530,Quinteros  ,127
AUS,Australia,AUS,2485,"Rogers,I. ",34
AUT,Austria,AUT,2495,"Klinger,J. ",77
BRN,Bahrain,BHR,2205,"Rasheed,Y.M. ",1
BAN,Bangladesh,BGD,2415,"Murshed,",11
BEL,Belgium,BEL,2405,"Boey,J. ",29
BER,Bermuda,BMU,2220,"Harris,D.J.E. ",2
BOT,Botswana,BWA,2205,"Hamley,P. ",1
BRA,Brazil,BRA,2510,"Sunye Neto,J. ",43
IVB,British Virgin Islands,VGB,2230,"Hook,W. ",2
BUL,Bulgaria,BGR,2535,"Georgiev,Kir. ",127
CAN,Canada,CAN,2560,"Spraggett,K. ",60
CHI,Chile,CHL,2455,"Cifuentes Parada,R. ",29
CHN,China,CHN,2455,"Li,Zunian  ",21
COL,Colombia,COL,2535,"Zapata,A. ",34
CRC,Costa Rica,CRI,2330,"Charpentier,W. ",6
CUB,Cuba,CUB,2545,"Nogueiras,J. ",89
CYP,Cyprus,CYP,2240,"Martidis,A. ",5
DEN,Denmark,DNK,2520,"Larsen,B. ",60
DOM,Dominican Republic,DOM,2390,"Mateo,R. ",9
ECU,Ecuador,ECU,2415,"Verduga,D. ",8
EGY,Egypt,EGY,2370,"Afifi,A.-A. ",8
ESA,El Salvador,SLV,2365,"Camacho,R. ",3
FAI,Faroe Islands,FRO,2205,Midjord  ,2
FIN,Finland,FIN,2500,"Yrjola,J. ",35
FRA,France,FRA,2455,"Haik,A. ",75
GRE,Greece,GRC,2435,"Skembris,S. ",90
GUA,Guatemala,GTM,2295,"Juarez Flores,C.A. ",11
GCI,Guernsey,GGY,2205,Comben  ,2
GUY,Guyana,GUY,2210,"Broomes,M. ",1
HKG,Hong Kong,HKG,2350,"Jhunjhnuwala,K. ",11
HUN,Hungary,HUN,2635,"Portisch,L. ",216
ISL,Iceland,ISL,2535,"Petursson,M. ",46
IND,India,IND,2470,"Thipsay,P. ",55
INA,Indonesia,IDN,2440,"Gunawan,Ro. ",28
IRI,Iran,IRN,2400,"Shirazi,K. ",1
IRQ,Iraq,IRQ,2210,Mahdi  ,4
IRL,Ireland,IRL,2320,"Orr,M.J.L. ",12
ISR,Israel,ISR,2490,"Greenfeld,A. ",92
ITA,Italy,ITA,2475,"Tatai,S. ",48
JAM,Jamaica,JAM,2205,"Cameron,F. ",3
JPN,Japan,JPN,2330,Kuroda  ,10
JOR,Jordan,JOR,2205,"Battikhi,H. ",3
KEN,Kenya,KEN,2245,"Kanani,S. ",3
KUW,Kuwait,KWT,2205,Al-Bashir  ,4
LIB,Lebanon,LBN,2460,"Kouatly,B. ",9
LUX,Luxembourg,LUX,2250,"Trauth,M. ",10
MAS,Malaysia,MYS,2395,Liew  ,18
MLT,Malta,MLT,2360,"Borg,G. ",3
MEX,Mexico,MEX,2470,"Sisniega,M. ",75
MNC,Monaco,MCO,2215,"Girault,E. ",5
MGL,Mongolia,MNG,2385,"Tumurhuyag,N. ",9
MAR,Morocco,MAR,2255,"Skili,K. ",2
NED,Netherlands,NLD,2650,"Timman,J. ",103
NZL,New Zealand,NZL,2360,"Small,V. ",17
NCA,Nicaragua,NIC,2320,"Guevara,Martin  ",8
NGR,Nigeria,NGA,2205,"Agusto,O. ",4
NOR,Norway,NOR,2500,"Agdestein,S. ",53
PAK,Pakistan,PAK,2375,"Umer Khan,M. ",15
PAN,Panama,PAN,2285,Paniagua  ,1
PNG,Papua New Guinea,PNG,2205,"Marko,H. ",5
PAR,Paraguay,PRY,2440,"Franco,Z. ",5
PER,Peru,PER,2440,"Granda Zuniga,J.E. ",4
PHI,Philippines,PHL,2540,"Torre,E. ",27
POL,Poland,POL,2475,"Schmidt,Wl. ",273
POR,Portugal,PRT,2460,"Antunes,A. ",22
PUR,Puerto Rico,PRI,2285,Moraza  ,5
SMR,San Marino,SMR,2205,"Righi,E. ",1
SCO,United Kingdom,GBR,2395,"Mcnab,C.A. ",29
ENG,United Kingdom,GBR,2615,"Nun,Ji. ",139
WLS,United Kingdom,GBR,2415,"Botterill,G.S. ",13
SEN,Senegal,SEN,2205,Mbaye  ,2
SIN,Singapore,SGP,2430,Leow  ,12
ESP,Spain,ESP,2480,"Rivas Pastor,M. ",65
SRI,Sri Lanka,LKA,2435,"Aturupane,Harsha  ",9
SUR,Suriname,SUR,2205,"Chin A Lein,H. ",5
SWE,Sweden,SWE,2575,"Andersson,U. ",71
SUI,Switzerland,CHE,2630,"Kortchnoi,V. ",57
SYR,Syria,SYR,2325,"Catalan,T. ",7
THA,Thailand,THA,2305,Chaivichit  ,9
TUN,Tunisia,TUN,2395,Bouaziz  ,9
TUR,Turkey,TUR,2380,"Soylu,S. ",25
UGA,Uganda,UGA,2205,"Kamuhangire,S. ",2
UAE,United Arab Emirates,ARE,2400,"Saeed,S.-A. ",5
USA,United States,USA,2570,"Dzindzichashvili,R. ",302
URU,Uruguay,URY,2295,"Kurtic,I. ",6
ISV,US Virgin Islands,VIR,2285,"Van Tilbury,C. ",2
VEN,Venezuela,VEN,2375,"Fernandez,Ant. ",9
YEM,Yemen,YEM,2205,"Al-Bouni,Y. ",1
ZAM,Zambia,ZMB,2205,Kafumbe  ,1
ZIM,Zimbabwe,ZWE,2205,"Donnely,B. ",4
