FED,name_FED,ISO3,rating,name,players
ALB,Albania,ALB,2435,"Muco,F. ",6
ALG,Algeria,DZA,2280,"Chaourar,N.-E. ",4
AND,Andorra,AND,2220,"Garcia,Raul  ",3
ANG,Angola,AGO,2215,"Mateus,M. ",5
ARG,Argentina,ARG,2540,"Campora,D.H. ",155
AUS,Australia,AUS,2520,"Rogers,I. ",35
AUT,Austria,AUT,2505,"Klinger,J. ",105
BAH,Bahamas,BHS,2205,"Gibson,F. ",1
BRN,Bahrain,BHR,2205,"Aigasra,A. ",3
BAN,Bangladesh,BGD,2455,"Murshed,",13
BAR,Barbados,BRB,2290,"Buckmire,R. ",5
BEL,Belgium,BEL,2465,"Winants,L. ",49
BER,Bermuda,BMU,2215,"Harris,D.J.E. ",3
BOL,Bolivia,BOL,2320,"Berrocal,J. ",4
BRA,Brazil,BRA,2510,"Milos,G. ",46
IVB,British Virgin Islands,VGB,2220,"Jarecki,J. ",2
BRU,Brunei,BRN,2205,"Ali,I. ",2
BUL,Bulgaria,BGR,2595,"Georgiev,Kir. ",181
CAN,Canada,CAN,2580,"Spraggett,K. ",72
CHI,Chile,CHL,2535,"Morovic F,I. ",36
CHN,China,CHN,2505,"Xu,Jun  ",25
COL,Colombia,COL,2500,"Zapata,A. ",31
CRC,Costa Rica,CRI,2335,"Chinchilla,E. ",6
CUB,Cuba,CUB,2560,"Nogueiras,J. ",114
CYP,Cyprus,CYP,2280,"Martidis,A. ",6
DEN,Denmark,DNK,2570,"Larsen,B. ",69
DOM,Dominican Republic,DOM,2445,"Mateo,R. ",13
ECU,Ecuador,ECU,2435,"Matamoros,C.S. ",10
EGY,Egypt,EGY,2375,"Afifi,A.-A. ",12
ESA,El Salvador,SLV,2285,Grimaldi  ,3
FAI,Faroe Islands,FRO,2380,"Rodgaard,J. ",2
FIJ,Fiji,FJI,2205,"Singh,J. ",1
FIN,Finland,FIN,2455,"Yrjola,J. ",45
FRA,France,FRA,2460,"Renet,O. ",107
GAM,Gambia,GMB,2205,"Jallow,A. ",2
GHA,Ghana,GHA,2205,Anquandah  ,3
GRE,Greece,GRC,2465,"Kotronias,V. ",75
GUA,Guatemala,GTM,2355,"Juarez Flores,C.A. ",8
GCI,Guernsey,GGY,2280,"Le Blancq,S. ",2
HAI,Haiti,HTI,2205,Martineau  ,2
HON,Honduras,HND,2290,"Guillen,R.J. ",6
HKG,Hong Kong,HKG,2345,"Jhunjhnuwala,K. ",9
HUN,Hungary,HUN,2620,"Ribli,Z. ",365
ISL,Iceland,ISL,2590,"Hjartarson,J. ",50
IND,India,IND,2520,"Anand,V. ",79
INA,Indonesia,IDN,2525,"Adianto,U. ",26
IRQ,Iraq,IRQ,2220,"Hermiz,A. ",10
IRL,Ireland,IRL,2345,"Orr,M.J.L. ",16
ISR,Israel,ISR,2550,"Gruenfeld,Y. ",102
ITA,Italy,ITA,2440,"Mariotti,S. ",78
JAM,Jamaica,JAM,2265,"Fairclough,N. ",4
JPN,Japan,JPN,2205,"Nishimura,H. ",7
JOR,Jordan,JOR,2255,"Rimawi,B.T. ",4
KEN,Kenya,KEN,2245,"Kanani,S. ",4
LIB,Lebanon,LBN,2255,"Loheac-Amoun,F. ",5
LBA,Libya,LBY,2205,"Amer,M. ",4
LUX,Luxembourg,LUX,2365,"David,Al. ",5
MAS,Malaysia,MYS,2365,Liew  ,20
MLI,Mali,MLI,2205,"Houna,M. ",4
MLT,Malta,MLT,2365,"Borg,G. ",3
MRI,Mauritius,MUS,2205,"Mansoor,J. ",2
MEX,Mexico,MEX,2450,"Espinoza,R. ",68
MNC,Monaco,MCO,2210,"Girault,E. ",4
MGL,Mongolia,MNG,2405,"Tumurhuyag,N. ",14
MAR,Morocco,MAR,2225,"Arbouche,M. ",2
NED,Netherlands,NLD,2675,"Timman,J. ",111
NZL,New Zealand,NZL,2410,"Ker,A. ",19
NCA,Nicaragua,NIC,2375,"Canda,D. ",8
NGR,Nigeria,NGA,2210,"Agusto,O. ",3
NOR,Norway,NOR,2560,"Agdestein,S. ",54
PAK,Pakistan,PAK,2400,"Lodhi,M. ",17
PLE,Palestine,PSE,2220,"Taha,A. ",4
PAN,Panama,PAN,2285,Paniagua  ,6
PNG,Papua New Guinea,PNG,2205,Conejares  ,4
PAR,Paraguay,PRY,2425,"Franco,Z. ",6
PER,Peru,PER,2540,"Granda Zuniga,J.E. ",5
PHI,Philippines,PHL,2545,"Torre,E. ",33
POL,Poland,POL,2485,"Kuczynski,R. ",354
POR,Portugal,PRT,2400,"Fernandes,An.M. ",24
PUR,Puerto Rico,PRI,2265,"Freyre,J. ",12
SMR,San Marino,SMR,2205,Magalotti  ,2
SCO,United Kingdom,GBR,2465,"Motwani,P. ",26
ENG,United Kingdom,GBR,2630,"Short,N.D. ",161
WLS,United Kingdom,GBR,2380,"Cooper,J.G. ",15
SEN,Senegal,SEN,2205,"Gueye,G. ",2
SIN,Singapore,SGP,2435,Leow  ,25
ESP,Spain,ESP,2505,"Rivas Pastor,M. ",103
SRI,Sri Lanka,LKA,2385,"Aturupane,Harsha  ",9
SUD,Sudan,SDN,2205,"Hamadto,F. ",3
SUR,Suriname,SUR,2220,"Lindeboom,J. ",4
SWE,Sweden,SWE,2605,"Andersson,U. ",102
SUI,Switzerland,CHE,2640,"Kortchnoi,V. ",74
SYR,Syria,SYR,2335,"Hakki,I. ",8
THA,Thailand,THA,2330,Chaivichit  ,8
TUN,Tunisia,TUN,2360,"Bouaziz,S. ",5
TUR,Turkey,TUR,2390,"Atalik,S. ",15
UGA,Uganda,UGA,2205,"Bwanika,D. ",2
UAE,United Arab Emirates,ARE,2435,"Saeed,S.-A. ",10
USA,United States,USA,2595,"Gulko,B. ",334
URU,Uruguay,URY,2285,"Rivera,D. ",11
ISV,US Virgin Islands,VIR,2310,"Van Tilbury,C. ",1
VEN,Venezuela,VEN,2390,"Ostos,J. ",10
YEM,Yemen,YEM,2205,"Alsharfi,S.S. ",3
ZAM,Zambia,ZMB,2205,"Kalunga,W. ",2
ZIM,Zimbabwe,ZWE,2235,"Kyriakides,S. ",6
