FED,name_FED,ISO3,rating,name,players
ALB,Albania,ALB,2430,"Muco,F. ",7
ALG,Algeria,DZA,2205,"Benhadi,M. ",4
AND,Andorra,AND,2205,"Iglesias,D. ",3
ANG,Angola,AGO,2210,"Gutierrez,A. ",3
ARG,Argentina,ARG,2515,Najdorf  ,100
AUS,Australia,AUS,2490,"Johansen,D.K. ",25
AUT,Austria,AUT,2435,"Wittmann,W. ",58
BRN,Bahrain,BHR,2205,"Farooghi,K. ",2
BAN,Bangladesh,BGD,2380,"Murshed,",9
BEL,Belgium,BEL,2415,"Boey,J. ",19
BER,Bermuda,BMU,2230,"Harris,D.J.E. ",2
BOL,Bolivia,BOL,2225,"Chavez,R. ",1
BOT,Botswana,BWA,2205,"Hamley,P. ",1
BRA,Brazil,BRA,2480,"Sunye Neto,J. ",32
IVB,British Virgin Islands,VGB,2230,"Hook,W. ",2
BUL,Bulgaria,BGR,2500,"Inkiov,V. ",118
CAN,Canada,CAN,2530,"Ivanov,I.V. ",59
CHI,Chile,CHL,2440,"Frias,V. ",24
CHN,China,CHN,2430,Qi Jingxuan  ,15
COL,Colombia,COL,2425,"Zapata,A. ",42
CRC,Costa Rica,CRI,2320,"Charpentier,W. ",8
CUB,Cuba,CUB,2515,"Garcia Gonzales,G. ",73
CYP,Cyprus,CYP,2300,"Martidis,A. ",3
DEN,Denmark,DNK,2555,"Larsen,B. ",57
DOM,Dominican Republic,DOM,2430,"Mateo,R. ",8
ECU,Ecuador,ECU,2440,"Verduga,D. ",9
EGY,Egypt,EGY,2350,"Afifi,A.-A. ",7
ESA,El Salvador,SLV,2360,"Camacho,R. ",3
FAI,Faroe Islands,FRO,2205,"Hansen,J.Ch. ",4
FIN,Finland,FIN,2435,Rantanen  ,37
FRA,France,FRA,2415,"Andruet,G. ",56
GRE,Greece,GRC,2420,"Gesos,P. ",80
GUA,Guatemala,GTM,2320,"Rodas Martini,P. ",11
GCI,Guernsey,GGY,2205,"Knight,T. ",1
GUY,Guyana,GUY,2225,"Broomes,G. ",2
HKG,Hong Kong,HKG,2350,"Jhunjhnuwala,K. ",11
HUN,Hungary,HUN,2620,"Portisch,L. ",188
ISL,Iceland,ISL,2495,"Olafsson,F. ",45
IND,India,IND,2405,Ravisekhar  ,36
INA,Indonesia,IDN,2450,"Ardiansyah,H. ",24
IRI,Iran,IRN,2475,"Shirazi,K. ",5
IRQ,Iraq,IRQ,2310,Al Attar  ,3
IRL,Ireland,IRL,2380,Kernan  ,20
ISR,Israel,ISR,2500,"Murey,Y. ",83
ITA,Italy,ITA,2445,"Mariotti,S. ",44
JAM,Jamaica,JAM,2205,"Matthews,S. ",2
JPN,Japan,JPN,2340,"Nishimura,H. ",10
JOR,Jordan,JOR,2205,"Battikhi,H. ",2
KEN,Kenya,KEN,2220,"Kanani,S. ",2
LIB,Lebanon,LBN,2410,"Kouatly,B. ",6
LUX,Luxembourg,LUX,2295,"Schneider,R. ",8
MAS,Malaysia,MYS,2310,Liew  ,7
MLT,Malta,MLT,2210,Gouder  ,6
MEX,Mexico,MEX,2455,"Sisniega,M. ",81
MNC,Monaco,MCO,2205,"Girault,E. ",2
MGL,Mongolia,MNG,2355,Tumurbator  ,9
NED,Netherlands,NLD,2605,"Timman,J. ",90
NZL,New Zealand,NZL,2310,"Green,E. ",17
NCA,Nicaragua,NIC,2350,"Canda,D. ",13
NGR,Nigeria,NGA,2205,"Agusto,O. ",2
NOR,Norway,NOR,2475,"Ogaard,L. ",54
PAK,Pakistan,PAK,2290,"Mirza,Sh. ",9
PAN,Panama,PAN,2235,Paniagua  ,1
PNG,Papua New Guinea,PNG,2205,Fanoy  ,3
PAR,Paraguay,PRY,2500,"Franco,Z. ",6
PER,Peru,PER,2440,"Rodriguez,O. ",6
PHI,Philippines,PHL,2580,"Torre,E. ",31
POL,Poland,POL,2460,"Sznapik,A. ",237
POR,Portugal,PRT,2365,"Santos,L. ",17
PUR,Puerto Rico,PRI,2235,Balsinde  ,6
SCO,United Kingdom,GBR,2410,"Mcnab,C.A. ",22
ENG,United Kingdom,GBR,2570,"Nun,Ji. ",143
WLS,United Kingdom,GBR,2410,"Botterill,G.S. ",11
SEN,Senegal,SEN,2205,Mbaye  ,2
SIN,Singapore,SGP,2415,"Tomalczyk,T. ",14
ESP,Spain,ESP,2465,"Rivas Pastor,M. ",68
SRI,Sri Lanka,LKA,2435,"Aturupane,Harsha  ",8
SUR,Suriname,SUR,2205,"Kaslan,C. ",2
SWE,Sweden,SWE,2635,"Andersson,U. ",56
SUI,Switzerland,CHE,2600,"Kortchnoi,V. ",43
SYR,Syria,SYR,2370,"Kassabe,E. ",6
THA,Thailand,THA,2345,Chaivichit  ,9
TUN,Tunisia,TUN,2390,Bouaziz  ,6
TUR,Turkey,TUR,2365,"Soylu,S. ",22
UGA,Uganda,UGA,2205,"Mungyereza,A. ",2
UAE,United Arab Emirates,ARE,2390,"Saeed,S.-A. ",5
USA,United States,USA,2600,"Seirawan,Y. ",246
URU,Uruguay,URY,2310,"Izquierdo,D. ",4
ISV,US Virgin Islands,VIR,2210,"Van Tilbury,C. ",2
VEN,Venezuela,VEN,2365,"Ostos,J. ",12
ZAM,Zambia,ZMB,2205,Kafumbe  ,1
ZIM,Zimbabwe,ZWE,2205,"Glazier,L. ",3
