Rank	Name	Rating	Year
1	John Cochrane	2571	1843
2	Pierre Saint-Amant	2568	1843
3	Boncourt	2566	1843
4	Eugène Rousseau	2340	1843
5	Benjamin Oliver	2340	1843
6	John Schulten	2311	1843
1	Howard Staunton	2670	1844
2	Pierre Saint-Amant	2571	1844
3	John Cochrane	2509	1844
4	Taverner	2445	1844
5	John Schulten	2311	1844
1	Howard Staunton	2654	1845
2	Pierre Saint-Amant	2563	1845
3	John Cochrane	2495	1845
4	John Schulten	2325	1845
1	Howard Staunton	2642	1846
2	Pierre Saint-Amant	2567	1846
3	John Cochrane	2489	1846
1	Howard Staunton	2690	1847
2	Lionel Kieseritzky	2568	1847
3	Pierre Saint-Amant	2562	1847
4	Bernhard Horwitz	2533	1847
5	George Walker	2488	1847
6	Daniel Harrwitz	2469	1847
1	Howard Staunton	2662	1848
2	Lionel Kieseritzky	2599	1848
3	Bernhard Horwitz	2538	1848
4	George Walker	2484	1848
5	Daniel Harrwitz	2483	1848
6	Carl Mayet	2373	1848
1	Howard Staunton	2630	1849
2	Lionel Kieseritzky	2588	1849
3	Henry Buckle	2582	1849
4	Bernhard Horwitz	2533	1849
5	Daniel Harrwitz	2490	1849
6	Adolf Anderssen	2458	1849
7	Carl Mayet	2383	1849
1	Henry Buckle	2564	1850
2	Lionel Kieseritzky	2559	1850
3	Daniel Harrwitz	2527	1850
4	Bernhard Horwitz	2496	1850
5	Adolf Anderssen	2462	1850
1	Lionel Kieseritzky	2734	1851
2	John Schulten	2509	1851
3	Daniel Harrwitz	2507	1851
4	Bernhard Horwitz	2443	1851
1	Tassilo von der Lasa	2630	1852
2	Adolf Anderssen	2604	1852
3	Lionel Kieseritzky	2599	1852
4	Henry Buckle	2544	1852
5	Elijah Williams	2529	1852
6	ósef  Szén	2528	1852
7	Howard Staunton	2521	1852
8	Johann Löwenthal	2511	1852
9	Marmaduke Wyvill	2469	1852
10	Carl Mayet	2458	1852
11	Carl von Jaenisch	2425	1852
12	George Medley	2418	1852
13	John Schulten	2413	1852
14	Bernhard Horwitz	2411	1852
15	Frederic Deacon	2410	1852
16	F Dudley	2384	1852
17	Augustus Mongrédien	2366	1852
18	Hugh Kennedy	2361	1852
19	Henry Bird	2348	1852
20	J Spencer Turner	2343	1852
21	Edward Löwe	2267	1852
22	James Mucklow	2175	1852
1	Daniel Harrwitz	2622	1853
2	Tassilo von der Lasa	2617	1853
3	Adolf Anderssen	2607	1853
4	Lionel Kieseritzky	2603	1853
5	Henry Buckle	2532	1853
6	ósef  Szén	2531	1853
7	Johann Löwenthal	2525	1853
8	Howard Staunton	2505	1853
9	Elijah Williams	2480	1853
10	Frederic Deacon	2479	1853
11	Charles Stanley	2461	1853
12	Marmaduke Wyvill	2460	1853
13	Pierre Saint-Amant	2433	1853
14	Carl Mayet	2430	1853
15	John Schulten	2426	1853
16	Carl von Jaenisch	2426	1853
17	Bernhard Horwitz	2412	1853
18	F Dudley	2394	1853
19	George Medley	2394	1853
20	Hugh Kennedy	2379	1853
21	Augustus Mongrédien	2365	1853
22	Henry Bird	2361	1853
23	Moheschunder Bannerjee	2355	1853
24	Edward Löwe	2300	1853
25	James Mucklow	2195	1853
1	Daniel Harrwitz	2618	1854
2	Tassilo von der Lasa	2609	1854
3	Adolf Anderssen	2596	1854
4	Howard Staunton	2557	1854
5	Johann Löwenthal	2541	1854
6	Henry Buckle	2530	1854
7	ósef  Szén	2503	1854
8	Elijah Williams	2475	1854
9	Jean Dufresne	2470	1854
10	Frederic Deacon	2455	1854
11	Marmaduke Wyvill	2446	1854
12	Charles Stanley	2445	1854
13	Carl von Jaenisch	2435	1854
14	Carl Mayet	2424	1854
15	Pierre Saint-Amant	2421	1854
16	Bernhard Horwitz	2412	1854
17	Hugh Kennedy	2386	1854
18	Henry Bird	2374	1854
19	Moheschunder Bannerjee	2357	1854
20	Edward Löwe	2308	1854
1	Daniel Harrwitz	2619	1855
2	Tassilo von der Lasa	2574	1855
3	Howard Staunton	2560	1855
4	Johann Löwenthal	2549	1855
5	Ernst Falkbeer	2516	1855
6	ósef  Szén	2481	1855
7	Jean Dufresne	2465	1855
8	Ilia Shumov	2421	1855
9	Carl Mayet	2418	1855
10	Bernhard Horwitz	2415	1855
1	Daniel Harrwitz	2614	1856
2	Howard Staunton	2568	1856
3	Johann Löwenthal	2557	1856
4	Tassilo von der Lasa	2535	1856
5	Ernst Falkbeer	2524	1856
6	Jean Dufresne	2456	1856
7	Ilia Shumov	2435	1856
8	Jules de Rivière	2397	1856
1	Serafino Dubois	2642	1857
2	Daniel Harrwitz	2549	1857
3	Jules de Rivière	2528	1857
4	J Budzinsky	2523	1857
5	Johann Löwenthal	2520	1857
6	Thomas Wiegelmann	2477	1857
7	Robert Brien	2462	1857
8	Henry Bird	2452	1857
9	Ernst Falkbeer	2450	1857
10	ósef  Szén	2438	1857
11	James Hannah	2423	1857
12	Ilia Shumov	2419	1857
13	Czaikowsky	2416	1857
14	John Schulten	2414	1857
1	Serafino Dubois	2629	1858
2	Jules de Rivière	2546	1858
3	J Budzinsky	2530	1858
4	Robert Brien	2463	1858
5	Henry Bird	2462	1858
6	Ernst Falkbeer	2444	1858
7	Czaikowsky	2443	1858
8	John Schulten	2421	1858
1	Paul Morphy	2724	1859
2	Johann Löwenthal	2609	1859
3	Adolf Anderssen	2579	1859
4	Franciscus Janssens	2538	1859
5	Louis Paulsen	2527	1859
6	Daniel Harrwitz	2520	1859
7	Ernst Falkbeer	2516	1859
8	Joseph Campbell	2511	1859
9	Jules de Rivière	2498	1859
10	Thomas Barnes	2487	1859
11	Robert Brien	2478	1859
12	Henry Bird	2470	1859
13	Theodor Lichtenhein	2452	1859
14	György Szabó	2429	1859
15	William Kenny	2427	1859
16	Valentine Green	2419	1859
1	Paul Morphy	2736	1860
2	Adolf Anderssen	2662	1860
3	Johann Löwenthal	2605	1860
4	Joseph Campbell	2556	1860
5	Daniel Harrwitz	2545	1860
6	Berthold Suhle	2537	1860
7	Carstanjen	2501	1860
8	Robert Wormald	2499	1860
9	Thomas Barnes	2489	1860
10	Ernst Falkbeer	2489	1860
11	Augustus Mongrédien	2471	1860
12	Robert Brien	2440	1860
13	Carl Mayet	2409	1860
14	Paul Journoud	2388	1860
1	Paul Morphy	2709	1861
2	Adolf Anderssen	2644	1861
3	Ignatz Kolisch	2623	1861
4	Daniel Harrwitz	2608	1861
5	Johann Löwenthal	2593	1861
6	Philipp Hirschfeld	2576	1861
7	Jules de Rivière	2557	1861
8	J Gocher	2549	1861
9	Berthold Suhle	2526	1861
10	John Owen	2499	1861
11	Joseph Campbell	2494	1861
12	Carstanjen	2492	1861
13	Ernst Falkbeer	2482	1861
14	Paul Journoud	2466	1861
15	Robert Wormald	2436	1861
16	Carl Mayet	2411	1861
17	Thomas Barnes	2389	1861
18	Augustus Mongrédien	2387	1861
19	Bernhard von Guretzky-Cornitz	2367	1861
1	Adolf Anderssen	2659	1862
2	Louis Paulsen	2654	1862
3	Paul Morphy	2649	1862
4	Ignatz Kolisch	2634	1862
5	Daniel Harrwitz	2597	1862
6	Philipp Hirschfeld	2581	1862
7	Edward Pindar	2553	1862
8	Johann Löwenthal	2550	1862
9	Jules de Rivière	2544	1862
10	Berthold Suhle	2533	1862
11	J Gocher	2523	1862
12	John Owen	2523	1862
13	Joseph Blackburne	2504	1862
14	Joseph Campbell	2476	1862
15	Ernst Falkbeer	2471	1862
16	Paul Journoud	2466	1862
17	Carl Mayet	2438	1862
18	Robert Wormald	2427	1862
19	Augustus Mongrédien	2408	1862
20	Bernhard Horwitz	2406	1862
21	Thomas Barnes	2393	1862
22	Bernhard von Guretzky-Cornitz	2385	1862
23	Valentine Green	2369	1862
24	Charles Stanley	2330	1862
1	Louis Paulsen	2705	1863
2	Adolf Anderssen	2657	1863
3	Ignatz Kolisch	2656	1863
4	Philipp Hirschfeld	2578	1863
5	Wilhelm Steinitz	2571	1863
6	Serafino Dubois	2550	1863
7	John Owen	2537	1863
8	Sergey Urusov	2536	1863
9	George Mackenzie	2535	1863
10	George MacDonnell	2531	1863
11	Daniel Harrwitz	2521	1863
12	Edward Pindar	2517	1863
13	Jules de Rivière	2516	1863
14	Ilia Shumov	2483	1863
15	J Gocher	2474	1863
16	Thomas Barnes	2463	1863
17	James Hannah	2458	1863
18	Paul Journoud	2457	1863
19	Joseph Blackburne	2450	1863
20	Frederic Deacon	2423	1863
21	Bernhard Horwitz	2383	1863
22	Ernst Falkbeer	2372	1863
23	Carlo Bonetti	2366	1863
24	Augustus Mongrédien	2350	1863
25	S Solomons	2344	1863
26	James Robey	2324	1863
27	Valentine Green	2320	1863
1	Louis Paulsen	2699	1864
2	Ignatz Kolisch	2646	1864
3	Adolf Anderssen	2645	1864
4	Wilhelm Steinitz	2616	1864
5	Serafino Dubois	2559	1864
6	George Mackenzie	2531	1864
7	George MacDonnell	2530	1864
8	John Owen	2524	1864
9	Edward Pindar	2492	1864
10	Thomas Barnes	2484	1864
11	Joseph Blackburne	2454	1864
12	Frederic Deacon	2409	1864
13	Carlo Bonetti	2388	1864
14	Ernst Falkbeer	2367	1864
15	S Solomons	2353	1864
16	Valentine Green	2344	1864
17	James Robey	2341	1864
18	Augustus Mongrédien	2337	1864
1	Louis Paulsen	2682	1865
2	Ignatz Kolisch	2628	1865
3	Wilhelm Steinitz	2619	1865
4	Adolf Anderssen	2617	1865
5	Berthold Suhle	2610	1865
6	Philipp Hirschfeld	2599	1865
7	Gustav Neumann	2566	1865
8	Serafino Dubois	2549	1865
9	Max Lange	2534	1865
10	George Mackenzie	2530	1865
11	George MacDonnell	2520	1865
12	Thomas Barnes	2485	1865
13	John Owen	2484	1865
14	Joseph Blackburne	2471	1865
15	Samuel Rosenthal	2438	1865
16	Frederic Deacon	2434	1865
17	Carlo Bonetti	2414	1865
18	Augustus Mongrédien	2353	1865
19	Valentine Green	2347	1865
1	Berthold Suhle	2731	1866
2	Wilhelm Steinitz	2632	1866
3	Adolf Anderssen	2615	1866
4	Gustav Neumann	2579	1866
5	Ignatz Kolisch	2537	1866
6	Philipp Hirschfeld	2504	1866
7	George MacDonnell	2500	1866
8	Joseph Blackburne	2485	1866
9	Samuel Rosenthal	2465	1866
10	James Robey	2444	1866
11	Valentine Green	2407	1866
12	Augustus Mongrédien	2404	1866
1	Berthold Suhle	2694	1867
2	Wilhelm Steinitz	2690	1867
3	Cecil de Vere	2684	1867
4	Adolf Anderssen	2620	1867
5	Henry Bird	2546	1867
6	Hans von Minckwitz	2545	1867
7	George MacDonnell	2500	1867
8	Philipp Hirschfeld	2493	1867
9	Minchin	2459	1867
1	Ignatz Kolisch	2748	1868
2	Gustav Neumann	2741	1868
3	Wilhelm Steinitz	2710	1868
4	Szymon Winawer	2677	1868
5	Cecil de Vere	2636	1868
6	Adolf Anderssen	2618	1868
7	Henry Bird	2548	1868
8	Hans von Minckwitz	2546	1868
9	Jules de Rivière	2544	1868
10	George MacDonnell	2533	1868
11	George Fraser	2513	1868
12	Philipp Hirschfeld	2496	1868
13	Samuel Rosenthal	2491	1868
14	Hieronim Czarnowski	2484	1868
15	Celso Golmayo Zupide	2458	1868
16	Minchin	2455	1868
17	William Robertson	2432	1868
18	Sam Loyd	2408	1868
19	Martin From	2381	1868
20	Sigismund Hamel	2368	1868
21	Walter Spens	2368	1868
22	Andrey Mingrelia	2365	1868
23	Eugène Rousseau	2344	1868
24	James Mortimer	2339	1868
25	Gustavus Reichhelm	2324	1868
1	Gustav Neumann	2730	1869
2	Ignatz Kolisch	2728	1869
3	Wilhelm Steinitz	2702	1869
4	Szymon Winawer	2662	1869
5	Cecil de Vere	2630	1869
6	Adolf Anderssen	2604	1869
7	Johannes Zukertort	2540	1869
8	Jules de Rivière	2538	1869
9	George MacDonnell	2538	1869
10	Henry Bird	2535	1869
11	George Fraser	2518	1869
12	Samuel Rosenthal	2495	1869
13	Hieronim Czarnowski	2485	1869
14	Celso Golmayo Zupide	2462	1869
15	Sam Loyd	2416	1869
16	Martin From	2392	1869
17	Andrey Mingrelia	2377	1869
18	Eugène Rousseau	2358	1869
19	James Mortimer	2355	1869
20	Gustavus Reichhelm	2347	1869
1	Gustav Neumann	2714	1870
2	Adolf Anderssen	2706	1870
3	Ignatz Kolisch	2685	1870
4	Wilhelm Steinitz	2679	1870
5	Szymon Winawer	2636	1870
6	Louis Paulsen	2635	1870
7	Cecil de Vere	2619	1870
8	George MacDonnell	2543	1870
9	Samuel Rosenthal	2530	1870
10	Jules de Rivière	2530	1870
11	Johannes Zukertort	2525	1870
12	Hans von Minckwitz	2515	1870
13	Henry Bird	2510	1870
14	Hieronim Czarnowski	2488	1870
15	Celso Golmayo Zupide	2470	1870
16	Emil Schallopp	2438	1870
17	Sam Loyd	2432	1870
18	Martin From	2411	1870
19	Wilfried Paulsen	2404	1870
20	Andrey Mingrelia	2401	1870
21	Eugène Rousseau	2384	1870
22	Richard Hein	2297	1870
1	Wilhelm Steinitz	2768	1871
2	Adolf Anderssen	2732	1871
3	Gustav Neumann	2723	1871
4	Louis Paulsen	2667	1871
5	Joseph Blackburne	2641	1871
6	Szymon Winawer	2600	1871
7	Amos Burn	2593	1871
8	Samuel Rosenthal	2587	1871
9	Cecil de Vere	2584	1871
10	John Wisker	2549	1871
11	John Owen	2524	1871
12	Johannes Zukertort	2506	1871
13	Hans von Minckwitz	2504	1871
14	Emil Schallopp	2439	1871
1	Wilhelm Steinitz	2734	1872
2	Gustav Neumann	2671	1872
3	Adolf Anderssen	2661	1872
4	Louis Paulsen	2661	1872
5	Johannes Zukertort	2630	1872
6	Joseph Blackburne	2612	1872
7	Samuel Rosenthal	2575	1872
8	Szymon Winawer	2559	1872
9	Cecil de Vere	2551	1872
10	Hans von Minckwitz	2537	1872
11	John Wisker	2524	1872
12	Carl Göring	2478	1872
13	Wilfried Paulsen	2396	1872
1	Wilhelm Steinitz	2783	1873
2	Adolf Anderssen	2671	1873
3	Louis Paulsen	2648	1873
4	Gustav Neumann	2647	1873
5	Johannes Zukertort	2615	1873
6	John Wisker	2597	1873
7	Joseph Blackburne	2590	1873
8	Samuel Rosenthal	2585	1873
9	Cecil de Vere	2582	1873
10	Szymon Winawer	2555	1873
11	Hans von Minckwitz	2554	1873
12	George MacDonnell	2543	1873
13	Samuel Mieses	2515	1873
14	Carl Göring	2470	1873
15	John Owen	2444	1873
16	Emil Schallopp	2437	1873
17	Karl Pitschel	2362	1873
18	George Gossip	2335	1873
19	William Martin	2328	1873
1	Wilhelm Steinitz	2791	1874
2	Joseph Blackburne	2659	1874
3	Adolf Anderssen	2637	1874
4	Samuel Rosenthal	2632	1874
5	George MacDonnell	2624	1874
6	Henry Bird	2620	1874
7	Johannes Zukertort	2617	1874
8	Louis Paulsen	2608	1874
9	John Wisker	2601	1874
10	Cecil de Vere	2577	1874
11	Hans von Minckwitz	2525	1874
12	Samuel Mieses	2484	1874
13	Maximilian Fleissig	2481	1874
14	Philipp Meitner	2474	1874
15	Josef Heral	2466	1874
16	John Owen	2454	1874
17	Carl Göring	2450	1874
18	Adolf Schwarz	2443	1874
19	Oscar Gelbfuhs	2433	1874
20	Karl Pitschel	2342	1874
1	Wilhelm Steinitz	2776	1875
2	Joseph Blackburne	2661	1875
3	Henry Bird	2634	1875
4	Adolf Anderssen	2632	1875
5	Samuel Rosenthal	2626	1875
6	John Wisker	2621	1875
7	Johannes Zukertort	2616	1875
8	Louis Paulsen	2597	1875
9	George MacDonnell	2581	1875
10	Amos Burn	2558	1875
11	Cecil de Vere	2544	1875
12	Maximilian Fleissig	2492	1875
13	Philipp Meitner	2486	1875
14	Josef Heral	2479	1875
15	John Owen	2468	1875
16	Adolf Schwarz	2456	1875
17	Oscar Gelbfuhs	2448	1875
18	Karl Pitschel	2365	1875
1	Wilhelm Steinitz	2736	1876
2	Joseph Blackburne	2650	1876
3	Henry Bird	2633	1876
4	John Wisker	2623	1876
5	Samuel Rosenthal	2612	1876
6	Adolf Anderssen	2610	1876
7	Louis Paulsen	2580	1876
8	George MacDonnell	2570	1876
9	William Potter	2546	1876
10	Amos Burn	2542	1876
11	Maximilian Fleissig	2499	1876
12	Philipp Meitner	2495	1876
13	Josef Heral	2486	1876
14	John Owen	2483	1876
15	Ilia Shumov	2469	1876
16	Adolf Schwarz	2467	1876
17	Oscar Gelbfuhs	2460	1876
18	Karl Pitschel	2398	1876
1	Wilhelm Steinitz	2777	1877
2	James Mason	2715	1877
3	Amos Burn	2686	1877
4	Johannes Zukertort	2648	1877
5	Joseph Blackburne	2637	1877
6	William Potter	2609	1877
7	Louis Paulsen	2604	1877
8	Edward Alberoni	2601	1877
9	Adolf Anderssen	2597	1877
10	John Owen	2582	1877
11	George MacDonnell	2567	1877
12	Bernard Fisher	2548	1877
13	William Wayte	2527	1877
14	John Wisker	2519	1877
15	Jenkins	2507	1877
16	James Minchin	2487	1877
17	Carl Göring	2474	1877
18	John Coker	2471	1877
19	Karl Pitschel	2459	1877
20	Archdall	2452	1877
21	Andrews	2440	1877
22	Albert Hodges	2437	1877
23	Franciscus Janssens	2433	1877
24	Arthur Skipworth	2415	1877
25	George Fraser	2391	1877
26	Charles Ranken	2366	1877
27	Edmund Thorold	2358	1877
28	William Martin	2263	1877
29	Walter Spens	2247	1877
1	James Mason	2709	1878
2	Louis Paulsen	2684	1878
3	Amos Burn	2663	1878
4	Adolf Anderssen	2633	1878
5	Johannes Zukertort	2627	1878
6	Joseph Blackburne	2615	1878
7	Edward Alberoni	2608	1878
8	William Potter	2608	1878
9	John Owen	2570	1878
10	William Wayte	2569	1878
11	George MacDonnell	2559	1878
12	Szymon Winawer	2557	1878
13	Bernard Fisher	2534	1878
14	Carl Göring	2508	1878
15	James Minchin	2495	1878
16	Emil Schallopp	2489	1878
17	John Coker	2485	1878
18	Berthold Englisch	2463	1878
19	Karl Leffmann	2463	1878
20	Franciscus Janssens	2451	1878
21	Albert Hodges	2444	1878
22	John Wisker	2441	1878
23	Arthur Skipworth	2420	1878
24	George Fraser	2404	1878
25	Johannes Metger	2394	1878
26	Wilfried Paulsen	2376	1878
27	Edmund Thorold	2368	1878
28	Charles Ranken	2368	1878
29	Ernst Flechsig	2344	1878
30	August Franke	2337	1878
31	William Martin	2295	1878
32	Walter Spens	2276	1878
1	Johannes Zukertort	2749	1879
2	Louis Paulsen	2702	1879
3	Szymon Winawer	2693	1879
4	Joseph Blackburne	2671	1879
5	Adolf Anderssen	2647	1879
6	George Mackenzie	2644	1879
7	William Potter	2603	1879
8	James Mason	2591	1879
9	Samuel Rosenthal	2579	1879
10	Berthold Englisch	2566	1879
11	Henry Bird	2557	1879
12	William Wayte	2546	1879
13	Philipp Meitner	2544	1879
14	Amos Burn	2543	1879
15	Adolf Schwarz	2527	1879
16	Max Judd	2513	1879
17	Albert Clerc	2504	1879
18	Carl Göring	2498	1879
19	Edward Alberoni	2491	1879
20	John Owen	2486	1879
21	James Minchin	2471	1879
22	Karl Leffmann	2469	1879
23	Emil Schallopp	2462	1879
24	Hans von Minckwitz	2449	1879
25	Bernard Fisher	2447	1879
26	Alexander Fritz	2438	1879
27	John Coker	2433	1879
28	Wilfried Paulsen	2428	1879
29	Carl Wemmers	2409	1879
30	Johannes Metger	2409	1879
31	Edmund Thorold	2407	1879
32	Ernst Flechsig	2383	1879
33	August Franke	2379	1879
34	H Gifford	2373	1879
35	Karl Pitschel	2367	1879
36	Charles Ranken	2349	1879
37	Arthur Skipworth	2338	1879
38	Adolf Stern	2328	1879
39	William Martin	2310	1879
40	Walter Spens	2285	1879
41	Eduard Hammacher	2276	1879
1	Johannes Zukertort	2732	1880
2	Szymon Winawer	2679	1880
3	Joseph Blackburne	2664	1880
4	Louis Paulsen	2661	1880
5	George Mackenzie	2637	1880
6	Berthold Englisch	2637	1880
7	William Potter	2628	1880
8	James Mason	2618	1880
9	Henry Bird	2581	1880
10	Samuel Rosenthal	2577	1880
11	Philipp Meitner	2539	1880
12	Adolf Schwarz	2531	1880
13	William Wayte	2509	1880
14	Albert Clerc	2509	1880
15	Max Bier	2505	1880
16	John Owen	2483	1880
17	Emil Schallopp	2478	1880
18	Arnold Schottländer	2455	1880
19	James Minchin	2448	1880
20	Ernst Flechsig	2438	1880
21	Alexander Fritz	2431	1880
22	Wilfried Paulsen	2417	1880
23	Hans von Minckwitz	2416	1880
24	Johannes Metger	2400	1880
25	H Gifford	2391	1880
26	Fritz Riemann	2379	1880
27	Karl Pitschel	2360	1880
28	Carl Wemmers	2344	1880
29	Eduard Hammacher	2295	1880
1	Johannes Zukertort	2734	1881
2	Joseph Blackburne	2670	1881
3	Louis Paulsen	2669	1881
4	Berthold Englisch	2665	1881
5	Adolf Schwarz	2654	1881
6	George Mackenzie	2651	1881
7	William Potter	2617	1881
8	Szymon Winawer	2615	1881
9	James Mason	2607	1881
10	Samuel Rosenthal	2604	1881
11	Henry Bird	2600	1881
12	James Grundy	2551	1881
13	Charles Moehle	2547	1881
14	Hans von Minckwitz	2544	1881
15	Fritz Riemann	2536	1881
16	Emil Schallopp	2508	1881
17	Albert Clerc	2498	1881
18	Arnold Schottländer	2497	1881
19	Miksa Weiss	2493	1881
20	Max Bier	2490	1881
21	Wilfried Paulsen	2480	1881
22	Carl Wemmers	2476	1881
23	Alexander Sellman	2473	1881
24	Ernst Flechsig	2454	1881
25	Johannes Metger	2452	1881
26	H Gifford	2415	1881
27	Alexander Fritz	2407	1881
28	James Congdon	2398	1881
29	Constantin Schwede	2382	1881
30	Karl Pitschel	2378	1881
31	John Ryan	2373	1881
32	Sam Loyd	2341	1881
33	August Franke	2327	1881
34	Victor Knorre	2311	1881
35	Carl Schmid	2311	1881
36	Albert Cohnfeld	2299	1881
37	Robert Barnes	2249	1881
1	Johannes Zukertort	2756	1882
2	Joseph Blackburne	2712	1882
3	Berthold Englisch	2661	1882
4	Adolf Schwarz	2653	1882
5	George Mackenzie	2652	1882
6	Szymon Winawer	2629	1882
7	Mikhail Chigorin	2628	1882
8	James Mason	2622	1882
9	Samuel Rosenthal	2620	1882
10	Louis Paulsen	2616	1882
11	William Potter	2605	1882
12	Isidor Gunsberg	2604	1882
13	Max Judd	2601	1882
14	Alexander Wittek	2595	1882
15	Henry Bird	2591	1882
16	Hans von Minckwitz	2570	1882
17	Jules de Rivière	2556	1882
18	John Owen	2549	1882
19	James Grundy	2546	1882
20	Jacques Schwarz	2543	1882
21	Miksa Weiss	2542	1882
22	Johann Berger	2533	1882
23	Fritz Riemann	2519	1882
24	Emil Schallopp	2513	1882
25	Wilfried Paulsen	2511	1882
26	Arnold Schottländer	2502	1882
27	Emanuel Schiffers	2492	1882
28	Carl Wemmers	2491	1882
29	Max Bier	2481	1882
30	Semyon Alapin	2476	1882
31	Eugen von Schmidt	2467	1882
32	Charles Ranken	2462	1882
33	Albert Clerc	2460	1882
34	Josef Noa	2440	1882
35	Alexander Fritz	2412	1882
36	Constantin Schwede	2399	1882
37	Charles-Emile Chasery	2383	1882
38	Karl Pitschel	2379	1882
39	William Wayte	2378	1882
40	August Franke	2343	1882
41	Carl Schmid	2341	1882
42	Victor Knorre	2337	1882
43	de Boistertre	2327	1882
44	H von Schuetz	2313	1882
45	Arthur Skipworth	2312	1882
46	John Coker	2305	1882
47	Robert Barnes	2284	1882
1	Wilhelm Steinitz	2778	1883
2	Johannes Zukertort	2736	1883
3	Szymon Winawer	2705	1883
4	Joseph Blackburne	2703	1883
5	George Mackenzie	2701	1883
6	James Mason	2696	1883
7	Berthold Englisch	2630	1883
8	Louis Paulsen	2616	1883
9	Vincenz Hrubý	2612	1883
10	Alexander Wittek	2602	1883
11	Samuel Rosenthal	2598	1883
12	Isidor Gunsberg	2585	1883
13	Adolf Schwarz	2581	1883
14	Max Judd	2580	1883
15	Mikhail Chigorin	2578	1883
16	Alexander Sellman	2577	1883
17	Dion Martinez	2576	1883
18	Miksa Weiss	2576	1883
19	Hans von Minckwitz	2561	1883
20	Jacques Schwarz	2539	1883
21	James Grundy	2536	1883
22	Josef Noa	2535	1883
23	Johann Berger	2528	1883
24	Philipp Meitner	2524	1883
25	Maximilian Fleissig	2520	1883
26	Bernhard Fleissig	2520	1883
27	Henry Bird	2517	1883
28	Fritz Riemann	2508	1883
29	Wilfried Paulsen	2505	1883
30	Emil Schallopp	2505	1883
31	Moritz Porges	2497	1883
32	Arnold Schottländer	2483	1883
33	Preston Ware Jr	2457	1883
34	Adolf Csánk	2443	1883
35	Max Bier	2440	1883
36	Emanuel Schiffers	2437	1883
37	Alexander Fritz	2401	1883
38	Constantin Schwede	2399	1883
39	Carl Schmid	2352	1883
40	Victor Knorre	2351	1883
41	H von Schuetz	2328	1883
1	Wilhelm Steinitz	2790	1884
2	Johannes Zukertort	2784	1884
3	Joseph Blackburne	2716	1884
4	Szymon Winawer	2700	1884
5	James Mason	2693	1884
6	George Mackenzie	2681	1884
7	Berthold Englisch	2663	1884
8	Samuel Rosenthal	2652	1884
9	Mikhail Chigorin	2633	1884
10	Curt von Bardeleben	2608	1884
11	Johann Berger	2604	1884
12	Alexander Wittek	2601	1884
13	Vincenz Hrubý	2595	1884
14	Louis Paulsen	2580	1884
15	Henry Bird	2573	1884
16	Fritz Riemann	2571	1884
17	Celso Golmayo Zupide	2570	1884
18	Miksa Weiss	2570	1884
19	Jacques Schwarz	2563	1884
20	Josef Noa	2561	1884
21	Adolf Schwarz	2560	1884
22	Emil Schallopp	2556	1884
23	Hans von Minckwitz	2555	1884
24	Jules de Rivière	2540	1884
25	Dion Martinez	2535	1884
26	Walter Gattie	2528	1884
27	Philipp Meitner	2526	1884
28	Bernhard Fleissig	2523	1884
29	Arnold Schottländer	2521	1884
30	Fisher	2517	1884
31	Alexander Sellman	2511	1884
32	Max Bier	2495	1884
33	Moritz Porges	2494	1884
34	Charles Ranken	2493	1884
35	Goudjou	2488	1884
36	Wilfried Paulsen	2485	1884
37	Albert Clerc	2482	1884
38	Preston Ware Jr	2477	1884
39	Edmund Thorold	2462	1884
40	Isidor Gunsberg	2449	1884
41	Adolf Csánk	2449	1884
42	Bernard Fisher	2441	1884
43	Harry Lee	2439	1884
44	George MacDonnell	2433	1884
45	John Owen	2422	1884
46	Alexander Fritz	2419	1884
47	Levi Benima	2415	1884
48	George Gossip	2414	1884
49	John Lord	2412	1884
50	Daniel Mills	2408	1884
51	Max Lange	2408	1884
52	James Mortimer	2402	1884
53	Carl Schmid	2389	1884
54	T Piper	2386	1884
55	Joseph Blake	2377	1884
56	Karl Leffmann	2375	1884
57	H von Schuetz	2363	1884
58	W. Mundell	2357	1884
59	F Hunter	2357	1884
60	Arthur Skipworth	2356	1884
61	Charles Lambert	2340	1884
62	Charles-Emile Chasery	2330	1884
63	W Elliott Vyse	2329	1884
64	William Newham	2329	1884
65	James Minchin	2326	1884
66	de Boistertre	2302	1884
67	Cyril Vansittart	2300	1884
68	W Lindsay	2300	1884
69	Léon Febvret	2300	1884
70	de Pernes	2283	1884
71	Finaly	2283	1884
72	John Coker	2267	1884
73	Thomas Yarranton	2262	1884
74	Richard Pilkington	2243	1884
75	Francis Ensor	2243	1884
76	F Dudley	2243	1884
77	James West	2243	1884
78	Arthur Puller	2243	1884
79	R Rabson	2243	1884
80	Istel	2230	1884
81	Walter Spens	2222	1884
1	Wilhelm Steinitz	2791	1885
2	Johannes Zukertort	2781	1885
3	Joseph Blackburne	2719	1885
4	Szymon Winawer	2701	1885
5	James Mason	2694	1885
6	George Mackenzie	2680	1885
7	Berthold Englisch	2666	1885
8	Samuel Rosenthal	2652	1885
9	Mikhail Chigorin	2640	1885
10	Johann Berger	2601	1885
11	Curt von Bardeleben	2596	1885
12	Vincenz Hrubý	2592	1885
13	Alexander Wittek	2592	1885
14	Celso Golmayo Zupide	2580	1885
15	Henry Bird	2578	1885
